classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,Expresses admiration for Billie's talent and growth.
Positive,Positive,Oh the warmth and tone in her voice!   Dreamy!,Expresses strong positive feelings about the singer’s voice.
Positive,Positive,"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.",Expresses a surprising and profound emotional connection to the song.
Positive,Positive,This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,Expresses deep emotional connection and healing through the music.
Positive,Positive,"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.",Expresses deep appreciation and admiration for the song's emotional depth and Billie Eilish's vocal performance.
Positive,Positive,"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.",Expresses strong enthusiasm and identifies the song as a universally appealing classic.
Positive,Positive,"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",Expresses deep emotional connection and admiration for the song.
Positive,Positive,"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶",Expresses overwhelming love and admiration for the song and artist.
Positive,Positive,"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""",Expresses enduring appreciation for the song and its qualities.
Positive,Positive,3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,Expresses strong positive feelings about a specific vocal element.
Positive,Positive,My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,Expresses strong enthusiasm and praise for the song's elements.
Positive,Positive,"I love this song, especially the vibes it gives",Expresses strong enjoyment and appreciation for the song's atmosphere.
Positive,Positive,Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,Expresses strong positive feelings and describes the song as addictive.
Positive,Positive,I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,Expresses strong positive emotion and appreciation for the song.
