classificacao,comentario,justificativa
Positive,Genuinely thought this was an old song I'd somehow missed. She really caught the old vibe so well!,The commenter expresses genuine enjoyment and appreciation for the video's portrayal of the song's original atmosphere.
Positive,This might be one of the best industrial-synth-pop EDM tracks she's ever done.... She's clearly in her prime as a vocalist. This track shows a level of maturity as an artist... Very catchy.,"The comment expresses enthusiastic praise for the artist's performance and the track itself, indicating a positive sentiment."
Positive,"I love how she glides through different styles and still kills it every time, from Harlequin's jazz vibes to a full-on POP banger... LADY GAGA, YOU'RE A GENIUS!",The comment expresses enthusiastic admiration and praise for the artist's performance and talent.
Positive,The vocal layering is 🔥🔥🔥,The use of fire emojis indicates strong positive enthusiasm for the vocal layering.
Positive,I love how amazing this is. Her vocals are fire and how she slowly builds the song to explosion in the end.,The commenter expresses strong positive feelings using words like 'love' and 'amazing' regarding the music video and vocals.
Positive,"Last album for a long time just for her true fans who loves her dark vibes. She doesn't need to top charts, win awards or earn millions. She did all of this in past. Now, she is free.",The comment expresses appreciation and admiration for the artist's dedication to her core fanbase and independent spirit.
Positive,There is so much originality to this song in every possible way from the beat to the tone to what Gaga does with her voice.  And the lyrics have so much force.  A perfect score on this one.,"The commenter expresses overwhelming enthusiasm and a 'perfect score,' indicating a highly positive sentiment towards the music video."
Positive,This song is unbelievably catchy. I learned every word already.,"The commenter expresses enthusiastic enjoyment and demonstrates understanding of the song, indicating a positive sentiment."
Positive,Im so emotional right now... This is pure dark industrial pop!!! Thanks mother for this cure to my Disease🖤🖤🖤,"The commenter expresses strong positive emotions and excitement about the music video, using enthusiastic language and emojis."
Positive,I LOVE THE FACT THAT YOU WENT FOR AN OLD STYLE OLD SYNTH .,"The commenter expresses enthusiastic enjoyment of a specific musical element, indicating a positive sentiment."
Positive,I can't stop listening to it! The vocal lines she creates amplify the powerful feeling of this song. Lady Gaga isn’t just a singer; she’s a multi-instrumentalist and songwriter. No one else can move from jazz to this genre with such results. I really wish I could sing like her!!! I just hope I don’t ruin this song when I make my cover...,The commenter expresses enthusiastic enjoyment and admiration for the song and artist.
