classificacao,comentario,justificativa
Positive,"idk how many times i've watched this, yall dont understand how badly i need a full movie of this vibe","The commenter expresses strong enjoyment and desire for more content, indicating a positive sentiment."
Negative,This is awful lmao <3,"While the heart emoji suggests some positive feeling, the use of 'awful' and 'lmao' strongly indicates a negative sentiment."
Negative,The video clip is so disgusting!Awful!🤢,"The comment uses strongly negative words like 'disgusting' and 'awful', along with a disgusted emoji, indicating a negative sentiment."
Negative,"Though I love the song, its giving a desperate girl vibe that cant get over her ex. Ladies, please dont let a man ruin you. If he left you, then it means he is a trash","Despite acknowledging liking the song, the comment expresses a negative interpretation and delivers a critical message about relationships and self-worth."
Positive,Best video I’ve seen in a long time. Beats any of the boring videos of TS,"The comment uses highly positive language like ""best"" and explicitly praises the video while criticizing others, indicating a favorable sentiment."
Negative,"Hot take: not every powerful, badass woman who doesn't need a man is lesbian. In fact, the idea that they're lovers totally takes away from the actual story. It makes so much more sense and makes both characters cooler if they come out of the mess realizing that NEITHER of them need validation from a romantic relationship, and they become good friends because of their similar views. The last few seconds with the playful banter really confirms this: they both found a friend in each other, and they were willing to forgive each other for the beef between them. Not everything is LGBTQ.","The comment expresses frustration and disagreement with the video's perceived misinterpretation, criticizing the narrative direction and implying a negative impact on the characters."
Negative,This music video is awful,"The comment explicitly uses the word 'awful,' indicating a strongly negative opinion."
Negative,this shit is god awful,The phrase 'god awful' expresses strong disapproval and a highly negative opinion of the music video.
Negative,"I'm not going to lie to you. But I really hate you Sabrina Carpenter, You are the worst!","The comment explicitly expresses hatred and describes the artist as 'the worst,' indicating a strongly negative sentiment."
Negative,"It’s weird how Hollywood always advertises violence, and hateful lyrics, disguised into a nice happy melody 😊✨","While using positive emojis, the comment expresses disapproval and concern about the promotion of violence and hateful lyrics within the music."
Negative,"It's such a shame this kind of trash is on top of YouTube.. The message is terrible, the music is horrible, the lyrics are empty.","The comment uses strongly negative language like 'trash,' 'terrible,' 'horrible,' and 'empty' to criticize the video."
Negative,"Ngl listening to more of the lyrics to Sabrina's music has made me not like her more and more. The music sounds good, but every song is so mean girl coded. And being a mean girl isn't ""slay"", it's pathetic.","The comment expresses dislike for the artist and her lyrical content, criticizing the 'mean girl' themes and deeming them 'pathetic'."
Negative,What a horrific video - no wonder we have messed up folk - awful and worrying,"The comment uses strongly negative words like 'horrific,' 'awful,' and 'worrying' to express a very unfavorable opinion."
Negative,This has to be the worst thing I have heard,"The comment explicitly states it's the 'worst thing' heard, indicating a strongly negative opinion."
Positive,"Love the video for sure, was hoping this second video would change my mind about her vocals after finally seeing who she was and the hype behind her. After watching please please please I was disappointed. But this kind of changed my mind just a little bit. Her voice is cute and that's it lol","Despite initial disappointment, the commenter expresses a positive shift in opinion and acknowledges liking the video."
Negative,Love this song but hate these lyrics!,"While expressing love for the song, the comment explicitly states dislike for the lyrics, indicating an overall negative sentiment."
Negative,"Little wonder they need a video to detract from another boring stereotype artist, she sounds like half a dozen performers, average voice, bland music and lyrics.","The comment uses explicitly negative language like 'boring,' 'average,' and 'bland' to criticize the artist and their music."
Negative,Sabrina is annoying and weird and jenna is annoying and weird,"The comment uses explicitly negative descriptors ('annoying', 'weird') to describe the artists."
Positive,omg i love this video gives a lot of vibes well done i like every single scene in this video even though it involves blood and isnt to bad,"The commenter expresses enthusiastic enjoyment of the video, using phrases like 'I love this' and 'well done,' indicating a positive sentiment."
Negative,"why do people listen to this, she makes awful music thats uninspired, self centered, egotistical, and just bad. the sentiment is awful, the lyrics are repetitive. awful music.","The comment uses overwhelmingly negative descriptors like 'awful,' 'uninspired,' 'egotistical,' and 'bad' to harshly criticize the music."
Negative,That 'most replayed' bump looking awfully suspicious 👀👀,"The comment implies suspicion and suggests manipulation of replay counts, indicating a negative perception."
Negative,YT is the worst,"The comment explicitly states a negative opinion (""YT is the worst"") regarding YouTube."
