classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,Artemas's songs are always such a vibe. 10/10 again!!,Expresses strong positive feelings and high praise.
Positive,Positive,'' The perfect girl '' vibes. I love it.,Expresses enthusiastic enjoyment of the song's atmosphere.
Positive,Positive,Proof this genre of music and melody just can't die.,Expresses a belief that the music style will remain popular.
Positive,Positive,This song gives  80s vibe and I love it,Expresses clear enjoyment of the song's 80s-inspired sound.
Positive,Positive,"This is too good! It gives me that ""riding a bike at midnight"" melancholic vibe","Expresses strong enjoyment and a specific, evocative feeling."
Neutral,Neutral,"For those who have been in relationships like the one described in the lyrics, they know the range of feelings it evokes, whether it's euphoria, anguish, melancholy, regret, and a series of others. Listening to this song from that perspective adds tremendous depth. It is quite heartless to listen from a first-person point of view, but the one who is in love, even if deluded, leaves a small door of hope for humanity.",Acknowledges emotional depth while criticizing a self-centered perspective.
Positive,Neutral,"One year already, which makes this sound 10x more nostalgic.",Expresses fondness and nostalgia for the song's age.
Positive,Positive,We want more songs with this rhythm now!!,Expresses strong desire for more music with the same rhythm.
Positive,Positive,this song nails a vibe so precisely i was convinced it was a cover of a song i already loved,Expresses strong admiration and a feeling of recognition.
Positive,Positive,Felt the Bloc Party vibes all the way through. What a tune! Soundtrack material right here. Ciao!,Expresses enjoyment and identifies a positive influence.
Positive,Positive,Holy heck - I haven’t heart this kind of Dark/Upbeat EDM get big in a while.,Expresses excitement about a return of a particular musical style.
Positive,Positive,I love this song. Gives me a dark wave synthesizer 80's beat. Your hair looks so healthy 🍀,Expresses strong enjoyment and specific praise for the song's style and a compliment about the artist's hair.
Positive,Neutral,It gives an impeccable retro vibe.,Describes the song as having a desirable and high-quality vintage feel.
Positive,Positive,"it hits, hits, hits part of the song is the vibe!",Expresses strong positive feelings about a specific part of the song.
Positive,Positive,"Lately i sleep with my tv on, on mtv and last night i saw this the first time, as a 80s kid i instantly loved it what a vibe.",Expresses nostalgic enjoyment and positive feelings about the song.
Positive,Neutral,"I broke down and made a video of the song, but with vibes 80’s",Expressing enthusiasm and creativity through a fan-made video.
Positive,Positive,This beat got me. Fantastic. Cant stop hearing it.,Expresses strong enjoyment and compulsion to listen.
Positive,Positive,The fact this song came a little less than four weeks ago shocked me…it’s so catchy!!,Expresses surprise and delight at the song's catchiness.
Positive,Positive,0:30 The Weeknd vibes 😮😮😮,Expresses appreciation for the song's similarity to The Weeknd.
Neutral,Neutral,"Today it all sounds the same, repetitive not bad, well produced but in the end not very interesting. Often the better songs go back to the past. This one does that all too and yet, it catches attention. The secret? Not a lack of repetitive elements for sure, on the contrary but somehow it sounds like those who make it were inspired, liked this song themselves. It's shorter than usual. I wonder if they had discussions about this. Why??","Acknowledges both positive aspects (production, catchy hook) and negative criticisms (repetitive, short)."
Positive,Neutral,Those few days have been torture and now I can finally vibe to this song all day!!!,Expresses relief and enjoyment of the music after a difficult period.
Positive,Positive,"This is the best songs I've heard in a while, such a vibe",Expresses strong positive feelings about the song.
Positive,Positive,this songs a vibe,Expresses enjoyment and appreciation for the song's atmosphere.
Positive,Positive,The vibe is unreal ❤,Expresses enthusiastic enjoyment of the song's atmosphere.
Positive,Neutral,absolute vibe tbf,‘Tbf’ (to be fair) expresses a positive and enthusiastic appreciation for the song’s vibe.
Positive,Neutral,This gives me some Slavic vibes🎉🎉🎉,Expresses excitement and positive association with ‘Slavic vibes’.
Positive,Positive,"This is perfect. Absolutely a vibe, amen for this .",Expresses strong approval and enthusiasm for the song.
Positive,Positive,Banger 🔥🔥🔥 got that 80s vibe ❤,Expresses strong enthusiasm with emojis.
Negative,Neutral,The blue tinted background is so melancholic ugh the vibes,Expresses dislike and sadness about the video's aesthetic.
Neutral,Positive,"This has such a old ish vibe, i live this genre of music",Expresses liking the genre while noting an ‘old’ vibe.
