file,class,precision,recall,f1-score,support
ariana grande - we can't be friends (wait for your love) (official music video) comments_scored,Negative,0.15873015873015872,0.8333333333333334,0.26666666666666666,12
ariana grande - we can't be friends (wait for your love) (official music video) comments_scored,Neutral,0.5636363636363636,0.27927927927927926,0.37349397590361444,111
ariana grande - we can't be friends (wait for your love) (official music video) comments_scored,Positive,0.7362637362637363,0.7570621468926554,0.7465181058495822,177
artemas - i like the way you kiss me (lyric video) comments_scored,Negative,0.32653061224489793,0.6956521739130435,0.4444444444444444,23
artemas - i like the way you kiss me (lyric video) comments_scored,Neutral,0.6138613861386139,0.4492753623188406,0.5188284518828452,138
artemas - i like the way you kiss me (lyric video) comments_scored,Positive,0.5704697986577181,0.6159420289855072,0.5923344947735192,138
benson boone - beautiful things (official music video) comments_scored,Negative,0.7192982456140351,0.7735849056603774,0.7454545454545455,53
benson boone - beautiful things (official music video) comments_scored,Neutral,0.19047619047619047,0.21621621621621623,0.20253164556962025,37
benson boone - beautiful things (official music video) comments_scored,Positive,0.8308457711442786,0.7952380952380952,0.8126520681265207,210
beyonc - texas hold 'em (official visualizer) comments_scored,Negative,0.8588235294117647,0.6517857142857143,0.7411167512690355,224
beyonc - texas hold 'em (official visualizer) comments_scored,Neutral,0.3,0.27906976744186046,0.2891566265060241,43
beyonc - texas hold 'em (official visualizer) comments_scored,Positive,0.23333333333333334,0.6363636363636364,0.34146341463414637,33
billie eilish - birds of a feather (official lyric video) comments_scored,Negative,0.18604651162790697,0.6153846153846154,0.2857142857142857,13
billie eilish - birds of a feather (official lyric video) comments_scored,Neutral,0.5,0.35051546391752575,0.4121212121212121,97
billie eilish - birds of a feather (official lyric video) comments_scored,Positive,0.7671957671957672,0.7631578947368421,0.7651715039577837,190
chappell roan - good luck babe (official lyric video) comments_scored,Negative,0.3333333333333333,0.48484848484848486,0.3950617283950617,33
chappell roan - good luck babe (official lyric video) comments_scored,Neutral,0.5789473684210527,0.3235294117647059,0.41509433962264153,102
chappell roan - good luck babe (official lyric video) comments_scored,Positive,0.6820512820512821,0.806060606060606,0.7388888888888889,165
charli xcx - guess featuring billie eilish (official video) comments_scored,Negative,0.4819277108433735,0.5797101449275363,0.5263157894736842,69
charli xcx - guess featuring billie eilish (official video) comments_scored,Neutral,0.5121951219512195,0.4117647058823529,0.45652173913043476,102
charli xcx - guess featuring billie eilish (official video) comments_scored,Positive,0.5851851851851851,0.6124031007751938,0.5984848484848485,129
dua lipa - training season (official music video) comments_scored,Negative,0.5636363636363636,0.5961538461538461,0.5794392523364486,52
dua lipa - training season (official music video) comments_scored,Neutral,0.48333333333333334,0.3411764705882353,0.4,85
dua lipa - training season (official music video) comments_scored,Positive,0.7135135135135136,0.8098159509202454,0.7586206896551724,163
kendrick lamar - not like us comments_scored,Negative,0.7010309278350515,0.6017699115044248,0.6476190476190476,113
kendrick lamar - not like us comments_scored,Neutral,0.37037037037037035,0.47619047619047616,0.4166666666666667,63
kendrick lamar - not like us comments_scored,Positive,0.5901639344262295,0.5806451612903226,0.5853658536585366,124
lady gaga bruno mars - die with a smile (official music video) comments_scored,Negative,0.5689655172413793,0.66,0.6111111111111112,50
lady gaga bruno mars - die with a smile (official music video) comments_scored,Neutral,0.32,0.25806451612903225,0.2857142857142857,62
lady gaga bruno mars - die with a smile (official music video) comments_scored,Positive,0.734375,0.75,0.7421052631578947,188
olivia rodrigo - obsessed (official music video) comments_scored,Negative,0.5272727272727272,0.5178571428571429,0.5225225225225225,56
olivia rodrigo - obsessed (official music video) comments_scored,Neutral,0.5416666666666666,0.4105263157894737,0.46706586826347307,95
olivia rodrigo - obsessed (official music video) comments_scored,Positive,0.6358381502890174,0.738255033557047,0.6832298136645962,149
sabrina carpenter - espresso comments_scored,Negative,0.5660377358490566,0.5,0.5309734513274337,60
sabrina carpenter - espresso comments_scored,Neutral,0.4189189189189189,0.5166666666666667,0.4626865671641791,60
sabrina carpenter - espresso comments_scored,Positive,0.7687861271676301,0.7388888888888889,0.7535410764872521,180
sza - snooze (audio) comments_scored,Negative,0.24489795918367346,0.36363636363636365,0.2926829268292683,33
sza - snooze (audio) comments_scored,Neutral,0.2878787878787879,0.3958333333333333,0.3333333333333333,48
sza - snooze (audio) comments_scored,Positive,0.8054054054054054,0.680365296803653,0.7376237623762376,219
taylor swift - fortnight (feat. post malone) (official music video) comments_scored,Negative,0.5692307692307692,0.49333333333333335,0.5285714285714286,75
taylor swift - fortnight (feat. post malone) (official music video) comments_scored,Neutral,0.47368421052631576,0.35064935064935066,0.40298507462686567,77
taylor swift - fortnight (feat. post malone) (official music video) comments_scored,Positive,0.651685393258427,0.7837837837837838,0.7116564417177914,148
tyla - water (official audio) comments_scored,Negative,0.2413793103448276,0.4117647058823529,0.30434782608695654,17
tyla - water (official audio) comments_scored,Neutral,0.32653061224489793,0.38095238095238093,0.3516483516483517,42
tyla - water (official audio) comments_scored,Positive,0.796875,0.6938775510204082,0.7418181818181818,147
