classificacao,comentario,justificativa,sentimento_manual
Positive,"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps","The commenter expresses a strong positive reaction, describing the chorus as inducing 'goosebumps' which indicates excitement and enjoyment.",Positive
Positive,"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!","The commenter expresses strong positive feelings, pride, and appreciation for the music and its impact across generations, using enthusiastic language and declarations of love.",Positive
Positive,"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already",The comment expresses enthusiastic admiration and celebrates the song's impact and energy.,Positive
Positive,Bro the beat alone is legendary,"The commenter uses the word 'legendary,' indicating a highly positive and enthusiastic opinion of the music video's beat.",Positive
Positive,"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg","The commenter expresses strong positive emotion and excitement about the verse, using phrases like 'my favorite verse' and 'omg'.",Positive
Negative,4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,"The comment expresses a critical and negative reaction to the music video's portrayal of Whitney wearing a wifebeater, directly referencing the controversy surrounding Kendrick Lamar.",Neutral
Positive,I will never get tired of this song lol. The beat is 🔥,"The user expresses enthusiastic enjoyment of the song and its beat, indicating a positive sentiment.",Positive
Positive,This BEAT… Mustard for Prez!!!,The enthusiastic exclamation 'Mustard for Prez!!!' clearly indicates a positive sentiment towards the video and its theme.,Positive
Negative,"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂","The comment utilizes vulgar language and a confrontational tone, clearly expressing a negative sentiment towards the music video.",Neutral
Positive,"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉","The comment expresses enthusiastic praise and adoration for Kendrick Lamar and his music, utilizing positive language and emojis.",Positive
Positive,Playing this at max volume so even my neighbors can vibe too.😂,"The commenter expresses enjoyment and recommends playing the music loudly, indicating a positive reaction.",Positive
Positive,Humble and this was first thing I played through my new studio Beats!!!,The commenter expresses excitement and delight with the music and their new studio equipment.,Positive
Positive,Ten years from now this will still b a vibe,The comment expresses a positive feeling about the music video's enduring appeal and enjoyable quality.,Positive
Positive,This song is still undeniably catchy.,The use of 'undeniably catchy' indicates a strong positive feeling about the song.,Positive
Positive,Amazing beat ❤,The use of 'Amazing' and the heart emoji clearly indicate a positive sentiment towards the music video.,Positive
