classificacao,comentario,justificativa
Positive,Cualquier canción que tenga el beat de la vieja escuela está condenada a ser un éxito 🎉🎉🎉,Expresses excitement and predicts success based on a nostalgic beat.
Positive,"The way this artist created the MV is truly impressive, beating all my predictions 😍👍",Expresses enthusiastic admiration for the music video's creation.
Positive,Mooor tamto hemos esperado para esto ests colab es legendaria los dos reggaetoneros mas grandes del momento junto con rauw ahora pongamosla en primer lugar mundial escuchenla y compartenla tanto la hemos pedido esto es una obra de arte hermosa feid ft bsd buny por fin q hptaaa mor aparte esta muy buena esto ya rompio va a der hit la cancion del año minimo cien millones en un mes de vistas mor no le temas a la oscuridad q nadie sabe lo q va a pasar mañana🔥💚💚💚💚☝️😩😩😩,Expresses overwhelming excitement and praise for the collaboration.
Positive,"That beat is fuckin increíble, dios mio!",Expresses strong enthusiastic praise for the beat.
Positive,Con ese beat no importa la basura que dicen en la letra y menos la basura de voces autotune qué usan siempre. Tremenda pista!,Expresses enthusiastic praise for the beat despite criticisms of the lyrics and vocals.
Positive,"Sigue siendo el mejor reggaeton y la mejor colaboración del mundo, todos quisimos por años que Bad Bunny y Feid colaboraran, ahora nos hace falta un álbum juntos, de puro perreo intenso como este, el beat es oscuro, increíble, un álbum con beats parecidos de ellos dos sería algo histórico. Generaciones lo recordarían!",Expresses strong enthusiasm and desire for a collaborative album.
Positive,The beats the beat🐰,Expresses enthusiastic enjoyment of the music's rhythm.
Positive,Medio beat loco !! Debieron alargar mas el final esta brutal el tema k.l.o,Expresses enthusiastic enjoyment of the song's beat and overall quality.
Positive,Le metió muy sabrooooo a ese beat,Expresses enjoyment of the beat with the word ‘sabrooooo’ indicating delight.
Neutral,"el unico track que me gusto del album, no es malo igual, pero soy mas fan del bad bunny reggeatonero",Expresses a preference for one song while acknowledging the album isn't entirely bad.
Negative,"Se nota, que la voz de feid, no tiene tanto autone, se nota la diferencia , entre las 2 voces con bunni",Expresses criticism of Feid's voice compared to Bunni's.
Negative,jesus christ what happened to real reggaeton..this is SHIT! a high pitched gay voice on a autotune with a pop melody and beat on the background.. my god ..rip reggaeton 2010,Expresses strong disapproval and insults the music's quality and style.
Positive,Nossa que vibe,'Nossa' (Portuguese for 'Wow') expresses a positive and enthusiastic reaction.
Neutral,Yo tenía que romper el se beat 🔥,Expresses enthusiasm with a Spanish phrase indicating excitement.
Positive,Boa Bad Bunny. Gostei da vibe,Expresses enjoyment of the song's vibe.
Neutral,Pensé que el Ferxxo se montaría en un beat de trap JAJSKAK 🥲,"Expresses a mild, uncertain opinion using a Spanish expression."
Neutral,Quien produce?? Está zarpado el beat,"Asks a question about the producer, expressing a positive reaction to the beat without strong emotion."
Negative,"Literally every Spanish song has this same beat and sounds exactly like this, it's so unoriginal",Expresses strong criticism of the song's lack of originality.
Negative,El mundo se volvió loco. ¿Qué vendrá mañana? ¿unos eructos y pedos arreglados con autotune?,Expresses skepticism and mockery of the music.
Negative,"Esta canción debió empezarla Rick Ross , por la primera voz y por el beat , es un beat pesao para una voz tan sensilla",Criticizes the song’s choice of vocalist as unsuitable.
Negative,"Que malos temad que estan sacando ultimamente, un regueton tan generico ya, falta el bad bunny de antes","Expresses dissatisfaction with recent music, describing it as generic and lacking previous quality."
Positive,Soy yo o en El Momento 1:15 me Suena El Beat de Que Malo 😮 del team de YHLQMDLG,Expresses excitement and appreciation for a specific beat.
Positive,i beat walls,Expresses a feeling of overcoming challenges and achieving something positive.
Neutral,Tempo NFT 2 🔥,Expresses enthusiasm with a trending term without strong positive or negative sentiment.
Positive,dónde se mete Feid rompe el Beat 🔥🔥🔥🔥,Expresses enthusiastic enjoyment of the music with fire emojis.
Positive,O beat 🎉,Expresses enthusiastic excitement about the beat.
Neutral,"University of Georgia water baptisms amazing grace share unity repentance matthew 18 verse 18-20, psalm 81 - 7-14",Religious commentary without expressing positive or negative feelings about the music.
Positive,I'm here from 2k lmao the beat and song is 🔥🔥🔥🔥 i love the beat plz tell me more songs with this kind of beats plz,Expresses strong enthusiasm and enjoyment of the song's beat.
Negative,Nunca escuché a este famoso reguetonero .Es la 1ra vez y es una verdadera miegda de letra solo se salva el bajo hecho x unaa computadora este tipo no es cantante es un embaucador!!,Strongly criticizes the artist and their song as lacking talent and quality.
Negative,muy corta la cancion al ferxxo le falto beat,Criticizes the song's brevity and lack of a beat.
Negative,"Bad Bunny está incorporando en nuestra cultura hasta el tuétano, inclusive por sus mismos detractores. Cuando se habla de música en la mesa o en la fiesta, siempre sale a relucir su nombre. He visto a personas discutir por ello a muerte, (a mí hasta el divorcio me están pidiendo). Pienso como mujer de casi 40 años, que las personas liberales de mi época, se convirtieron en conservadoras. A mí me gusta mucho Bad Bunny y vaya que soy muy Pink Floyd, Bowie, Beatles, Alan Parsons, Paganini y más, aclaro esto para las personas que tienen la falsa idea de que si te gusta el reguetón o el trap, es porque no conoces de música. Es una pena que no puedan tener la capacidad de extender sus gustos musicales, hace falta escuchar sin prejuicio y más con el corazón. Te amo Bad Bunny y si lees esto quiero decirte que ya estoy casi divorciada. 🙈😂🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤",Expresses strong disapproval and criticism of Bad Bunny's influence.
Negative,Generic trapeton,Uses a derogatory term ('trapeton') to criticize the song's lack of originality.
Positive,El mejor reggaetonero del mundo ❤️❤️❤️❤️😭,Expresses strong adoration and excitement for the artist.
