classificacao,comentario,justificativa
Positive,i swear she put smth in that chorus its so addicting,"The commenter expresses enthusiasm and finds the chorus 'addicting,' indicating a positive reaction."
Positive,"It’s giving mariah carey 2000s vibes with mix inspired maddona, lana del ray, charli xcx and lorde","The comment expresses a positive comparison, referencing popular and admired artists and styles."
Positive,"This is PURE Lana del Rey, the lyrics, the video, the music style.",The commenter expresses enthusiastic appreciation for the video's faithfulness to Lana del Rey's style and sound.
Positive,That key change on the final chorus…OMG,The use of 'OMG' indicates extreme enthusiasm and excitement about the musical element.
Positive,Lana Del Ray meets 90’s Mariah Carey vibes.,"The comment expresses a positive comparison, highlighting desirable influences and creating a favorable impression."
Positive,There’s something so emotional about this music video. She’s so beautiful and effortless. She deserves all the success.,"The commenter expresses admiration and support, indicating a positive emotional response to the video and artist."
Positive,"I love how this song has a dreamlike vibe, and then it sounds like it's ending, but then continues in a deeper tone like your slipping into an even deeper dream.",The commenter expresses clear enjoyment and appreciation for the song's atmosphere and progression.
Positive,"This is perfection.  Her moves, the lyrics, the video, the nostalgia.  Nailed ❤it.",The commenter expresses overwhelming enthusiasm and positive feelings using terms like 'perfection' and 'nailed it'.
Positive,This song is honestly a vibe,The phrase 'a vibe' indicates a positive and enjoyable experience with the music video.
Positive,This beat is insane. The production is A+. Whether you like the lyrics or not,The commenter uses strong positive language like 'insane' and 'A+' to express enthusiasm for the music video.
Positive,Did not expect to be listening to Addison Rae ever 😂 but my God this is so catchy. It’s giving me 90s pop star vibes.,"The commenter expresses enjoyment and enthusiasm, describing the music as 'catchy' and reminiscent of a '90s pop star,' indicating a positive reaction."
Positive,This song totally has young nostalgia all over it. Reminds me of my early 20's. Good times good vibes,"The commenter expresses positive feelings and memories associated with the song, using phrases like 'good times' and 'good vibes'."
Positive,I can’t help but replay this over and over. Love the melody and flow of this. It’s giving early 2000s vibes for me. I don’t know much of Addison but one thing from this video I can take is she seems so free spirited and quirky. Love that! ❤ Can’t  wait for more music from her! She has a nice voice and good taste of music!,"{""sentiment"":""Positive"",""justification"":""The commenter expresses clear enjoyment of the music and artist, using positive language like 'love' and 'enjoy'}"
Positive,This is 2010s vibe,The comment expresses a positive association with the music video's style and era.
Neutral,Jojo take notes,This comment is a simple reference to the song title and lacks any explicit emotional expression.
Negative,Lana del rey's  influence is all over this video and lyrics! Wtf,The use of 'WTF' indicates a negative reaction to the video and its content.
Positive,The chorus omfgggg fireeeee,The use of intensifiers like 'omfgggg' and 'fireeeee' clearly indicates enthusiastic approval of the music video's chorus.
