comment,user_name,date,likes,compound,sentiment
Let’s be honest. This vibe never gets boring ❤,@Mrluxurious-official,2025-05-16T00:39:21Z,128,0.8577,Positive
"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨",@lovesongforever.68,2025-03-13T04:25:17Z,57,0.6988,Positive
"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.",@tristenmartens,2025-04-06T04:51:33Z,22,0.7345,Positive
I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,@pastelpinkPink-m9l,2025-06-24T15:09:53Z,14,0.9622,Positive
I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,@NotSo-Typikal,2025-05-22T03:32:28Z,11,0.9801,Positive
1:18 chorus,@nasirahmed2119,2025-05-08T11:55:05Z,11,0.0,Neutral
"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥",@JoaoVictor-kk1hc,2025-04-18T15:30:48Z,11,-0.34,Negative
"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥",@Benji2flyy,2025-04-11T19:06:34Z,11,0.2682,Positive
Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,@MatchMastersOnlinePlayer688,2025-04-12T06:09:46Z,10,0.4404,Positive
The vibe of this song is lethal. Love it!,@shahzaibahmadsiddiquii6851,2025-05-24T06:44:17Z,9,0.6696,Positive
"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.",@cairistìonadavenport,2025-04-10T23:51:00Z,9,0.8832,Positive
"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘",@aslancimbom1923,2025-08-08T01:59:47Z,9,0.9042,Positive
"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖",@auping85,2025-07-02T11:24:25Z,9,0.8622,Positive
"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕",@Materoskinor,2025-04-11T17:23:13Z,7,0.9274,Positive
Scott Cramer and his video about the wrong lyrics brought me here,@tam_3413,2025-07-21T06:48:57Z,7,-0.4767,Negative
The quiet house put this song so nice vibes,@carloscristales1877,2025-07-25T23:39:56Z,5,0.5598,Positive
"Happy 1st Anniversary. I can't believe it's been a year already, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, as a guy, I'm not too crazy with this song, but the vibe goes hard. 1 year since this went off the charts along with They Not Like Us by Kendrick Lamar during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! April 12, 2024 - April 12, 2025.",@matthewmichel6508,2025-04-12T15:26:53Z,5,-0.9794,Negative
i love the lyrics,@Dress_To_Impress_12,2025-04-11T07:15:48Z,5,0.6369,Positive
Its literally giving summer vibes its giving vintage it’s giving beach vibes its giving perfect summer day ✌️,@bynndokulil7735,2025-04-06T18:03:53Z,5,0.9062,Positive
"Looking forward to this song becoming nostalgic, except for it already is ☕",@D_MOOD,2025-07-06T18:12:22Z,4,0.0,Neutral
Yo the summer vibes feel it from here.,@rachmi3810,2025-05-26T04:12:43Z,4,0.0,Neutral
Such a beautiful beat and voice ❤,@cheguevara6198,2025-04-28T12:22:25Z,4,0.8442,Positive
Wow it's 1 year already 😭✌️✌️ I used to vibe this til June ..,@flopchucks2020,2025-04-12T13:50:22Z,4,0.1779,Positive
Wow is this awful.,@woofielove1970,2025-06-23T14:18:31Z,3,0.2023,Positive
"Cannot understand her lyrics, no talent, just a stripper.",@curiousobserver97,2025-06-23T04:47:28Z,3,-0.3252,Negative
