classificacao,comentario,justificativa
Positive,She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,The commenter expresses a positive appreciation for the artist's versatility and creative expression.
Positive,"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece","The commenter expresses enthusiastic excitement and a desire to 'run through a wall,' indicating a strong positive reaction to the music."
Positive,This is giving me 2000s punk rock vibes. I love it,The commenter expresses enthusiastic enjoyment and explicitly states 'I love it' indicating a positive feeling.
Positive,this mv gives off 2000s-2010s vibes in the BEST way!!,"The comment expresses enthusiastic approval of the music video's aesthetic, indicating a positive sentiment."
Positive,The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,The comment expresses a positive assessment of the video's lyrical content and its ability to explain a complex psychological concept.
Positive,She’s such a good actress - she conveys emotion so well,"The comment expresses admiration and praise for the actress's acting skills, indicating a positive sentiment."
Positive,She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,"The commenter expresses enthusiastic praise for the artist and the song's quality, indicating a positive sentiment."
Positive,"1:00 im getting such strong ballad of monalisa vibes, love it🖤","The commenter expresses love and positive feelings ('love it', '🖤') regarding the video's similarity to a beloved song ('ballad of monalisa vibes')."
Positive,"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this","The commenter expresses strong positive feelings about the video and artist, using words like 'genius,' 'unique,' and 'obsessed.'"
Negative,CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,"The user expresses distress and sadness due to the song's relatable lyrics, indicating a negative sentiment."
Positive,"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤",The commenter expresses clear admiration and positive feelings towards the music video’s aesthetics and overall quality.
Positive,I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,The commenter expresses strong positive feelings through enthusiastic language and emojis indicating enjoyment of the music video and Olivia's performance.
Positive,This has such a 2000s music vibe,The comment expresses a positive feeling about the music video's resemblance to a nostalgic and well-regarded era of music.
Positive,"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao","The commenter uses enthusiastic language ('damn good') and expresses a positive, amused reaction to the video."
Positive,Love her how she makes lyrics so relatable. ❤,The commenter expresses affection and appreciation for the song's relatable lyrics.
Positive,"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it","The comment expresses enthusiastic enjoyment and love for the video and song, indicating a positive sentiment."
Positive,Love these rock vibes,The comment expresses enjoyment and appreciation for the music video's style.
Positive,She’s giving Wednesday vibes,"The comment expresses admiration and positive association with the artist's style, referencing a popular and generally positive aesthetic."
Positive,Can you make another music like drivers licence and traitor vibes again?,"The commenter expresses a desire for more music similar to previous successful tracks, indicating a positive reception."
Positive,this songs such a vibe,The comment expresses a positive feeling about the song using the word 'vibe' which implies enjoyment.
Positive,This song is a vibe,The phrase 'a vibe' indicates a positive and enjoyable experience with the music video.
Positive,"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY","The commenter expresses enthusiastic admiration for the song's impact and energy, indicating a positive emotional response."
Positive,This song is such a vibeee✨️✨️,The use of 'vibeee' and the emojis indicate a positive and enthusiastic reaction to the music video.
Positive,Olivia is a vibe trust me,The comment expresses a positive opinion by describing Olivia as a 'vibe'.
Positive,"coming back to this music video, #THATGIRL could never beat olivia rodrigo.","The commenter expresses a positive opinion by stating '#THATGIRL could never beat Olivia Rodrigo,' indicating a preference for the original song."
Positive,Tryna listen for Chappell’s backing vocals!!!,"The commenter is expressing a desire to hear a specific element of the music, indicating a positive engagement with the song."
Positive,Olivia always beats it!!❤‍🔥,The use of a heart emoji and the statement 'always beats it' clearly indicates enthusiastic approval.
Positive,Olivia is giving gay vibes with this one,"The comment expresses a positive association by describing Olivia as giving 'gay vibes,' implying a desirable and appreciated quality."
Positive,Omg Olivia so much emotions you are so talented and incredible❤,The comment expresses enthusiastic admiration and appreciation for the artist's talent and performance.
Positive,Good vibes!,The use of 'Good vibes!' clearly expresses a positive feeling about the music video.
Positive,The overflow of emotion that's always present in Rodrigo's song👍👍👍,The use of multiple thumbs-up emojis indicates strong positive sentiment towards the music video and Rodrigo's performance.
Positive,"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤","The commenter expresses clear positive feelings about Olivia and her music, using enthusiastic language and an emoji."
Negative,"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.",The use of the expletive 'fck' and the overall expression of feeling 'ok' about negative emotions indicates a negative sentiment.
Positive,What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,The commenter expresses enthusiastic enjoyment with repeated heart emojis and positive adjectives.
Positive,❤ love the relatability of her lyrics,The use of a heart emoji and the statement 'love the relatability' clearly indicate a positive sentiment.
Positive,Love the rock vibes!!,The commenter expresses positive appreciation for the music video's 'rock vibes'.
Neutral,The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,"The comment expresses a personal observation and comparison, without overtly positive or negative emotion."
Positive,I’m so obsessed with your exe so catchy right,"The commenter expresses enthusiasm and enjoyment of the song, indicating a positive sentiment."
Positive,i love this music video!! like i wish “get him back” had a similar vibe,"The commenter expresses clear enthusiasm and a positive desire for a similar style, indicating a favorable opinion."
Negative,This song is annoying,The word 'annoying' expresses a clear dislike and negative feeling towards the song.
Positive,I’m only here for the Alt/Rock vibes.,"The user expresses a positive preference for the music genre, indicating enjoyment."
Positive,The moves makes me emotional,"The comment expresses a feeling of being moved emotionally, indicating a positive reaction to the music video's performance."
Positive,God damn whatever guy has all these girls as his exes must be the most attractive dude in the universe,"The comment expresses admiration and suggests the subject is desirable, indicating a positive sentiment."
Negative,She did it again. Olivia somehow managed to be more generic than Taylor Swift. She carefully handpicked another one of the most generic situations in life and is pretending she wrote and filmed a masterpiece. The delusion is beyond. And the people who likes her music are the most basic I ever witnessed in my lifetime. That's impressive. What a load of shit.,"Despite some sarcastic phrasing, the overall tone criticizes the artist's work and fan base, indicating a negative sentiment."
Positive,It's giving me Avril Lavigne vibes❤❤ love it❤️,The use of emojis (❤❤❤️) and the comparison to a well-liked artist indicates a positive feeling about the music video.
Positive,This gives me 90’s Garbage and Courtney Love vibes. ❤,"The comment expresses a positive association with 90s music and Courtney Love, indicated by the heart emoji."
Positive,The classical rocker vibe we love ❤,The use of the heart emoji and the phrase 'we love' clearly indicates a positive sentiment.
Negative,I feel this Lyrics so much (unfortunately) 🥲,The use of 'unfortunately' alongside the emoji suggests a feeling of sadness or disappointment regarding the lyrics.
Positive,The most emotional yet beautiful song on Olivias channel,"The comment expresses strong positive feelings, describing the song as 'emotional yet beautiful'."
