classificacao,comentario,justificativa
Positive,"When Sabrina said ""I heard you're an actor, so act like a stand up guy"" every woman alive felt that. The way her lyrics are so simple yet always have a double meaning is genius. Definitely one to watch.","The commenter expresses enthusiastic admiration for the song and its lyrics, indicating a positive emotional response."
Positive,"This song is pure perfection from start to finish. From the very first note, it grabs my attention and doesn’t let go. Even after listening to it several times, it still feels as fresh and exciting as the first time. The melody, lyrics, and emotions blend perfectly, making it truly unforgettable.","The comment expresses overwhelmingly positive feelings about the song, describing it as 'pure perfection' and 'unforgettable'."
Positive,"The final verse of this song , it's perfect 3:16. I've repeated the ending 20 times.","The commenter expresses enthusiasm and repeated listening, indicating a positive reaction to the song's ending."
Positive,Who’s back here after watching the release of the new version w Dolly Parton? And dropped on Valentine’s Day. POWERFUL TRULY.,"The commenter uses enthusiastic words like 'powerful' and 'truly,' indicating a positive reaction to the music video's release."
Positive,"Just found this video, and nothing is more powerful than the message of her relationship with her boyfriend and the way she feels about him is unreal",The commenter expresses a strong positive sentiment regarding the video's message and the artist's feelings.
Positive,I love how she’s just standing there while everyone is getting beat up in the backround😂 Love you Sabrinaaaa!!!💕💕💕,The user expresses clear affection and enjoyment of the video with enthusiastic emojis and praise for the artist.
Positive,Sabrina won BEST POP VOCAL ALBUM! 🤍,The use of a white heart emoji and the exclamation of 'BEST POP VOCAL ALBUM!' indicates enthusiastic praise.
Positive,This is the first song I've listened to on REPEAT in years. The lyrics (hilarious!) and the sweet key changes... can't get enough!,"The commenter expresses enthusiastic enjoyment and repeated listening, indicating a positive emotional response."
Positive,"I am def not the target demo for Sabrina Carpenter as a middle aged woman that primarily listens to electronica. This song is really good. The lyrics nail a very specific feeling that can happen in toxic relationships. I'll speak for myself here:  In a past toxic relationship,  was able to look away from lots of things to an extent. I could compartmentalize the bruising of my ego and heartbreak from the public embarrassment and blow to my reputation that comes with a partners bad behavior. I can't recall another song that has hit that real specific feeling. The lyrics are cleverly crafted and elevated with the bits of twang that come through. I had never heard this song outside of background music until her tiny desk show. That performance really highlighted the Country aspects of the songs she was playing, and what turned me onto this song specifically. She reminds me a little bit of Dolly in the best way possible. And now that I'm hearing this version of the song it's like a synthed out Dolly which is really cool. I never would've thought that kind of combination would work. Her harmonies are luscious too. This song has been burned into my brain for the last 72 hours. It scratches the right itches.","The commenter expresses strong positive feelings about the song, highlighting its emotional impact, clever lyrics, and unique blend of genres."
Positive,Bro her voice is like magic. Bonnie hit the 80s/90s party vibe and Sabrina hits that and more. Absolutely digging the Pulp Fiction setup too. It’s going over a lot of heads though,"The commenter expresses enthusiastic admiration for the music video's vocals and aesthetic, using terms like 'magic' and 'digging'."
Positive,I really love the melody 2:56,"The user explicitly states they ‘love’ the melody, indicating a positive sentiment."
Positive,1:57 i love her casually singing and asking him not to screw up while he's beating people up in the back,"The commenter expresses affection ('i love her') and a somewhat humorous, appreciative tone towards the actions depicted in the video."
Negative,The fact that sabrina kept singing please please please while Barry beats up guys in the background is crazy,"The comment expresses frustration and criticism of the video's content, using words like 'crazy' in a negative context."
Positive,"the vocals, the lyrics, the outfits, the hair, the makeup, the BOYFRIEND IN THE VIDEO????? everything about this is just iconic 👏🏼👏🏼👏🏼👏🏼","The commenter uses enthusiastic emojis and repeatedly describes aspects of the video as 'iconic,' indicating a highly positive reaction."
Positive,Fact: Sabrina vocals aren't joke. Her vocals are so soft and healing.,"The comment expresses admiration and appreciation for Sabrina's vocals, indicating a positive sentiment."
Positive,Actually her killing him in another video is pretty dang powerful.,"The commenter expresses admiration and finds the act 'powerful', indicating a positive sentiment."
Positive,"Am i the only one who only stares at the vid and starts thinking how sad it is to be this girl? Imagine it's not all fun n games where I mean IRL, there are ppl like this out there. Too egoistic to admit tht they've made a bad judgement. Too ego to admit n too scared of being told ""i told u so"" at their face. Bcs of the ego and embarrassment, they let themselves suffer in the long run, stay in a toxic relationship. I get it MV wont make the song look deep but this situation is actually depressing. Im just speechless staring at my phone's screen thinking how stressful all these situations are. Sorry dont intend to be a buzz killer. I hate my deep thinking brain too. Sorry to whoever read this. Not tht i expect anyone to reach this lengthy text in between tens of thousands comments anyway lol","The comment expresses empathetic understanding and shared feelings of sadness and recognition of difficult situations, indicating a positive emotional response to the video's themes."
Positive,WAIT ISN'T THAT THE PRADA LIPSTICK ON TASTE??? I LOVE SABRINA UNIVERSE OMG,The user expresses enthusiasm and excitement ('I LOVE SABRINA UNIVERSE OMG') indicating a positive sentiment.
Negative,"he fumbled so hard. and now i cannot wait for lyrics harder than ""if you don’t wanna cry to my music / don’t make me hate you prolifically""","The comment expresses frustration and criticism about the artist's performance, indicating a negative sentiment."
Positive,Anyone getting the Hayden Panettiere’s look vibe?,"The commenter is expressing a positive association with Hayden Panettiere's appearance, indicating approval."
Positive,I listen to this song and feel nostalgic about the old days.,"The commenter expresses a feeling of nostalgia, which is typically associated with positive emotions and positive experiences."
Positive,Getting Abba vibes in this song. Beautiful ❤,The comment expresses a positive sentiment through the comparison to Abba and the use of a heart emoji.
Positive,Are we living back in the 80s..? 🎸The music just has that vibe.. 😌💕,The user expresses a positive feeling about the music's nostalgic '80s vibe and uses emojis indicating fondness.
Positive,"the vocals, the lyrics, the outfits, the hair, the makeup, the BOYFRIEND IN THE VIDEO????? everything about this is just iconic 👏🏼👏🏼👏🏼👏🏼",The user expresses overwhelmingly positive feelings using enthusiastic emojis and describing various aspects of the video as 'iconic'.
Negative,The way she was singing normaly while people were beating eachother up in the back ground is crazy,"The comment expresses a disturbing observation, highlighting a violent backdrop alongside the music performance."
Negative,1:54 the way shes just sittin there listening while her boyfriend is beating the crap outta a gang😂😂,"The comment expresses amusement at a violent act, indicating a negative sentiment towards the depicted behavior."
Neutral,"This is a situation where a song didn't age badly, but one where it aged well in the worst way. I don't know if that makes sense or not.","The comment expresses a somewhat confused and ambivalent opinion, highlighting both a positive (aging well) and a negative (aging badly) aspect without a clear overall emotional tone."
Positive,This is giving me 80's Madonna and Sean Penn vibes! ❤,The use of positive imagery like hearts and the comparison to iconic figures like Madonna indicates a favorable reaction.
Positive,how is this song ALREADY nostalgic😭,The use of 'nostalgic' and the crying emoji strongly indicate a positive emotional response to the song.
Positive,The lyrics is just ICONIC,"The commenter expresses strong approval and admiration for the lyrics, indicating a positive sentiment."
Negative,This is what happens when a psych major dates a manchild — she turns the red flags into lyrics and wins,"The comment expresses criticism and mockery of the artist and their relationship, indicating a negative sentiment."
Positive,All her mvs feel like movies bro... and her vocals 😍👌,The use of emojis like '😍' and phrases like 'bro' and 'feel like movies' strongly indicate positive sentiment towards the music video.
Positive,This is a fantastic song. I keep thinking of Pink Floyd’s the wall when I hear that guitar lick in the chorus,"The commenter expresses strong positive feelings about the song, using the word 'fantastic' and comparing it favorably to a well-regarded track."
Negative,"The newest generation has ruined music! Just terrible, horrible singing, terrible melody…. You are all lost in ur selfie addiction and TikTok waste of time…","The comment expresses strong disapproval and criticism of the music and audience's behavior, indicating a negative sentiment."
Negative,"Awful, extremely overrated",The use of words like 'awful' and 'overrated' clearly expresses a negative opinion about the music video.
Positive,This video gives me “Who’s That Girl?” vibes…an old Madonna movie.,"The commenter expresses a positive association with the video, comparing it favorably to a well-regarded Madonna film."
Negative,This is exactly the same autotuned  voice as all the other female vocalists.,The comment expresses dissatisfaction with the repetitive and unoriginal use of autotuned vocals.
Negative,"To everyone saying this is a cute relationship, the man in the video abandoned his infant and postpartum wife to be with Sabrina. This is the Ariana Grande situation again but its mostly ignored because the couple in question is attractive. This deadbeat father is shooting music videos and following this young woman around on tour while the woman he imoregnated had to birth and raise a baby alone. Its not cute. Its evil and exploitative on his part. Sabrina deserves better too","The comment expresses strong condemnation of the man's actions, labeling them 'evil' and 'exploitative' with a clear negative emotional tone."
Negative,The lyrics of this song sums up the feelings of everyone in America whenever Trump makes a risky executive order,The comment expresses a critical and disapproving opinion of the song's content and its association with a controversial political figure.
Positive,Just so you know how powerful this is: she cast her own boyfriend in a video that tells him not to cheat on her while appealing to the women and gays. That hasn't been done since Britney (see Stronger for reference).,"The comment expresses admiration and highlights a significant and impactful artistic choice, indicating a positive reaction to the music video."
Negative,So BARRY is basically a dating fuckup-er in every universe,The comment uses harsh and derogatory language ('dating fuckup-er') expressing a negative opinion about the music video's subject matter.
Positive,Her high pitched voice is so good,The comment expresses a positive opinion about the singer's vocal quality.
Negative,Who likes this music anymore it gives 1985 vibes,"The comment expresses dislike and criticism of the music, using the phrase 'gives 1985 vibes' in a negative context."
Positive,I beat to this,"The user expresses enjoyment and connection with the music by stating they 'beat to this,' indicating a positive feeling."
Positive,I usually don't like my daughters music. I love this one. The lyrics are amazing.,The commenter expresses clear positive feelings towards the music video through phrases like 'love this one' and 'amazing lyrics'.
Positive,Dude this rhythm is sick. Love that bass.,The commenter uses enthusiastic language like 'sick' and 'love' indicating a positive reaction to the music video.
Negative,This is the most generic crap song Ive ever heard,The comment uses strongly negative language ('generic crap') expressing dissatisfaction with the song.
Negative,Probably the worst singer i have ever had the bad luck of listening to. Please please please disappear and never come back,"The comment expresses strong disapproval and a desire for the artist to cease performing, indicating a negative sentiment."
Positive,If Barry really did cheat on her she 100% knew he was a cheater…like I can’t help but laugh watching this video and listening to the lyrics 🤣 She said this guy is a SERIAL CHEATER!,"The commenter expresses amusement and affirmation of the lyrics, indicating a positive reaction to the video's theme."
Positive,"Old harmony brought back to life.U rock,Sabrina! KUDOS!!!!!🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤","The comment expresses enthusiastic praise and excitement for the music video, using positive emojis and words like 'rock' and 'kudos'."
Positive,I beat to this,"The comment expresses enjoyment and connection to the music, indicating a positive sentiment."
Negative,"Can't we have one decent celebrity relationship, I really hope it's manufactured because writing about real pain, or investing so much emotion in a relationship to secure it and go really badly and leave you blind in the end","The comment expresses disappointment and pain regarding relationships, indicating a negative emotional state."
Positive,Something about this song has an 80's music vibe to it.,"The comment expresses a positive association with the song's sound, referencing a nostalgic and desirable 80's music style."
Negative,Her songs are awful all auto-tune nothing like a true singer,The comment expresses strong dissatisfaction with the artist's music and vocal style.
Positive,This is giving Lady Gaga Telephone vibes.,"The comment expresses a positive comparison to a well-regarded song, indicating a favorable opinion."
Negative,you have awful judgement and taste.,The comment expresses strong disapproval and criticism of the music video's quality and the creator's taste.
Positive,Now I kinda see her being a reevesverse harley quinn,The comment expresses a positive interpretation and appreciation of the artist's character within a specific context.
Positive,Lady Gaga's Telephone vibe at the beggining,"The commenter expresses a positive association with the video's early style, referencing a well-regarded element of Lady Gaga's 'Telephone' song."
Positive,Very prophetic lyrics there now,The use of 'prophetic' suggests a positive and insightful interpretation of the lyrics.
Neutral,AI generated lyrics btw,"The comment simply states a factual observation about the song's creation, without expressing a positive or negative opinion."
Positive,this song 🎧 is so romantic her yellow and pink jacket is so fluffy it gives me romantic vibes and i have a fun babe maybe just stay inside i don’t like that part,"The commenter expresses positive feelings about the song and jacket, describing them as 'romantic' and 'fun'"
Negative,This is a really annoying song.  I work at Walmart and they play this and other noisy garbage.  Music isn't what it used to be. She looks like a streetwalker.  Can't stand Rihanna either.  She is a pig.,"The comment expresses strong dislike of the song, Rihanna, and uses derogatory terms, indicating a predominantly negative sentiment."
Positive,I really love the harmonies in the chorus!!,The commenter expresses strong positive feelings about the harmonies in the song's chorus.
Negative,I really don't like seeing prison as being a romantic anything.  There's some younger person who will watch this and think.... oh...I wanna fall in love with an inmate.   The word MF is so desperately shoved into the lyrics as well... this song gets a rating outta 10 stars...a 4. I take it or leave it.   It won't win any awards.  Cheers,"The commenter expresses dislike for the romanticization of prison and criticizes the use of profanity, indicating a negative overall impression."
Positive,this song is so catchy it makes me catch it😂,The use of 'catchy' and the laughing emoji indicate a positive reaction to the song.
