comment,user_name,date,likes
Her shaking on the machine to the beat CHEWED,@Fammmeeee,2024-06-06T20:43:07Z,13320
No idea what’s going on here but the vibes are immaculate,@adrianomaly1760,2024-06-24T10:50:28Z,13198
"""Totally waiter vibes"" was what got me",@bonbonxo,2024-07-29T10:55:08Z,8094
"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic",@Liesjepiesje,2024-09-08T23:47:18Z,6945
"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.",@chrisparkes,2024-07-20T17:18:02Z,1394
"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back",@andyusa14,2024-05-23T17:19:17Z,1079
not even a year has passed and I already feel nostalgic for this video 😭,@sssso8,2025-05-07T19:33:35Z,899
i am deeply suspicious of people who don't like charli's music.,@SOOKIE42069,2024-05-14T04:37:39Z,781
"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭",@walterblack_intj,2024-10-09T19:46:27Z,496
brat era nostalgic will hit HARD,@bluecat_2001,2024-11-03T18:51:09Z,341
"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.",@officialchrizzz8766,2024-12-31T18:36:58Z,115
"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤",@franventer611,2025-07-28T15:43:40Z,34
this is depressingly catchy,@Imagelesslee,2024-09-03T19:08:26Z,11
I don’t know how Charli does it but her tunes are always iconic and catchy!,@ramuhchoramuhcho4591,2024-05-23T23:03:41Z,9
giving a early 2000s vibe,@ThatOneGK-HL,2025-02-01T17:48:01Z,8
alternate universe where everyone serves cvnt,@CaffPidge,2024-07-28T04:27:45Z,7
