classificacao,comentario,justificativa
Positive,Her smooth vocals and heartfelt lyrics hit every time ❤,Expresses strong positive feelings through emojis and descriptive terms.
Positive,Gives me that 90s Vibe 💯 THANK YOU SZA,Expresses strong positive sentiment and appreciation for the song's nostalgic feel.
Positive,"I love SZA she is just a vibe period. Her voice is amazing!! I love her music, it is so giving.",Expresses strong positive feelings and appreciation for SZA's music.
Positive,I literally listen to this song about 100x a day the lyrics her voice the beat it’s just the whole package I’m addicted to this song,Expresses intense and frequent enjoyment of the song.
Positive,"Her voice is absolutely gorgeous. Amazing control and delivery, not to mention the flow and rhythm 🧐🤩",Expresses strong admiration for the singer's vocal abilities.
Positive,her songs are so catchy plus the lyrics are always fire 🔥 love sza,Expresses strong positive feelings and enthusiasm for the music.
Positive,I love this song. I love the melody. SZA has a great voice.,Expresses strong enjoyment and appreciation for the song and SZA's vocal abilities.
Positive,"This song is pure magic; it's like a warm hug and a confession of love all in one. SZA, you have a gift for capturing raw emotions. Definitely putting this on repeat!",Expresses strong positive feelings and intends to listen to it repeatedly.
Positive,"1:48 I've been listening to this song every day lately, her voice is so amazing I can't get enough of it. ❤️Sometimes her high notes sound like an old Justin, am I the only one who thinks that?",Expresses strong enjoyment and appreciation for the artist's voice.
Positive,Driving thru Midtown Atlanta as it’s raining with the woman of my dreams listening to this. Good vibes!!,Expresses joy and positive feelings associated with a romantic experience.
Positive,im a grown ass man but this song man… i just wanna blast it driving windows down screaming the lyrics. her voice is angelic,Expresses enthusiastic enjoyment and a desire to share the music.
Positive,"The slowed tempo, the dreamy riffs at the beginning & end, she turned emotions into melody, Snooze hits you right in the feels.",Expresses strong positive feelings and appreciation for the song's emotional impact.
Positive,Every one of Sza's songs have the deepest lyrics. Even with few words.,Praises the depth and quality of Sza's lyrics.
Positive,This song show me how strong her vocals really are everything about this song is amazing,Expresses strong positive feelings and describes the song as amazing.
Positive,How she moves her notes is hypnotic ❤️‍🔥,Expresses strong positive emotion and appreciation for the artist's movements.
Positive,Hit those notes beautifully 🔥🔥🔥,Expresses enthusiastic appreciation for the vocals.
Positive,Those outro vocals hit so hard. Like she’s succumbed to her feelings and is being washed away by them,Expresses strong positive feelings about the song's outro vocals.
Positive,"I’m 48 years old and all I’ve got to say is that the music SZA sings is what this world needs! Her vocals and smooth R&B sound is absolutely top notch. Please, let’s keep this amazing genre alive through eternity!",Expresses strong appreciation for SZA's music and desire to see the genre continue.
Positive,SZA is so powerful 💪🏾💯👑🌞 a power that definitely came from the most Hight🌌,Expresses strong admiration and respect for SZA.
Positive,THAT BEAT...FIRE✌️,Expresses enthusiastic approval of the music's rhythm.
Neutral,I can’t get over the vocals in the background at 2:28 😶‍🌫️👌🎧,Expresses a specific observation about the music without a clear positive or negative judgment.
Positive,"WOW after reading several comments, I must say this song brings big emotions. But it's the part about """"LOOKING GOOD UP UNDER HIM, AND HIM BEING TOO IMPORTANT"" for me. Like this is how I feel about my husband. This is definitely getting added to our Chill playlist.",Expresses a personal connection and positive feelings related to the song's theme.
Positive,"🎶 Wow, this beat got my heart dancing in perfect sync! 🔥 The melodies are like a musical rollercoaster taking me on an exhilarating ride. 🎢 Can't wait to jam to this and create some magic! 🎵💫",Expresses enthusiastic enjoyment and excitement about the music.
Positive,"Such a vibe "" beautiful voice & song ❤❤🖤🖤",Expresses strong positive feelings and appreciation for the song and vocals.
Positive,I'm a old school head...bring real vocals back. Great job SZA!,Expresses appreciation and desire for a return to quality vocals.
Positive,This Sza got the magic lyrics and that voice She keeps the hits coming .. I like her because to go for a ride and listen to this..  is the Bomb!,Expresses strong enjoyment and appreciation for Sza's music.
Positive,"Omg I have this song 🎵 on repeat, just listen to all the hip hop lyrical runs and metaphors in her verses , this is ridiculous lol , her cadence is so complex and runs off the beat and on again so smooth, Sza is definitely in a lane between herself trying to sing along is getting better after 100 plays lol",Expresses admiration for the artist's complex lyrical skills and musical flow.
Positive,I love this song so much. It's just a vibe. ❤❤,Expresses strong positive feelings and describes the song as having a good 'vibe'.
Negative,2:30 SZA prob hurt her vocals from doing that,Expresses concern about potential vocal damage.
Positive,I’m starting to listen to this song at a young age to help me with high notes for my voice this is only the start ❤🥲 …. SZA never stop grinding on your music keep it up and stay loving,Expresses support and admiration for the artist.
Positive,This song is so amazing the vocals and pure talent its just so awesome!,Expresses strong positive feelings about the song's vocals and talent.
Positive,Definitely a vibe 😩💕,Expresses a positive feeling and uses an emoji indicating enjoyment.
Positive,I NEED TO HERE MORE OF THESE VOCALS,Expresses strong desire and enthusiasm for the vocals.
Negative,This song takes u deep down under and u really be thinking too deeply into it and having regrets and missing a certain person that's in the past,Expresses feelings of regret and melancholy associated with the song.
Positive,I literally love this song I have it as my ringtone it's so good like really I love this song so much I literally play all day And every day,Expresses intense and repeated enjoyment of the song.
Positive,2025....I'm here and Jasmine is still one of the most underrated vocalist❤️❤️❤️❤️,Expresses strong positive sentiment and admiration for the artist.
Positive,"The person that record this hit, please i feel this so deep. All I can feel is love when I listen to this master piece. Thank you for this ❤❤",Expresses strong positive feelings and describes the song as a masterpiece.
Positive,I love the chorus and beat and it put together really well. And her voice,"Expresses appreciation for the chorus, beat, and vocals."
Neutral,"She’s a Scorpio, notice she’s in the middle of nowhere over water. The emotions run deep, as Sagittarius who was in a relationship with a Scorpio, i understand and feel the same",Offers astrological observations without expressing a clear positive or negative opinion.
Positive,I listen to this and zone out 😵‍💫this a vibe 4 sure,Expresses enjoyment and describes the song as creating a 'vibe'.
Positive,0:03 is my favorite part of the song ❤ (the vocal),Expresses affection for a specific part of the song.
Positive,she flows in this beat,Expresses enjoyment of the song's rhythm and flow.
Positive,"This song is so smooth, gives me old school vibes 😌",Expresses enjoyment and association with nostalgic 'old school' vibes.
Positive,2:27 those background vocals😮‍💨🔥,Expresses excitement and appreciation for the background vocals.
Positive,As a male i can say this song gimme me the good vibes,Expresses enjoyment and positive feelings about the song.
Positive,I ❤ this song can't lie. It's a different type of a vibe..... SZA keep making this type of 🎵🎵!,Expresses strong liking and appreciation for the song's unique style.
Positive,"This video reached 100 million views on August 21st, 2023! 🥳 Keep up with me for more music milestones like this and more 😁✌️",Expresses excitement and celebration of a significant achievement.
Positive,"I heard this tune for the first time a few days ago.This is hot,I’m digging the vibe 👍🏽👍🏽",Expresses enjoyment and positive feelings about the song.
Positive,This song is such a vibe to listen to when you're taking a long drive ❤❤❤,Expresses enjoyment and positive feelings associated with listening to the song.
Neutral,"Ooh, im hearing a lil background melody from Southside by Lloyd",Identifies a reference to another song without expressing a clear positive or negative opinion.
Positive,Definitely putting me back in the feels of Beyonce's me myself and i when it dropped... Just a straight up vibe!!!🙌🏾🙌🏾🙌🏾💚💚💚💚,Expresses strong nostalgic enjoyment and positive vibes reminiscent of a previous Beyoncé hit.
Positive,"This song will always remind me of my best friend, hubby & father of our son...every lyric....the vibe,chorus...ALL OF IT...❤❤❤",Evokes strong positive memories and fondness associated with the song.
Positive,This is the Lloyd Southside beat stripped and slowed down.,Expresses appreciation for the beat.
Positive,I have to play this song nonstop on the car everyday the lyrics her voice her everything it’s so perfect and pretty,Expresses intense and repeated enjoyment of the song.
Positive,Wait hold up this is 🔥🔥🔥💯❤️❤️ that beat hitting too 💯,Expresses strong enthusiasm and excitement using fire emojis and numerical praise.
Positive,Yes lovely vocals ❤God bless her,Expresses adoration for the singer's vocals.
Positive,The languid vocals are wonderful and somehow nostalgic. Love it!,Expresses appreciation for the vocals and evokes a feeling of nostalgia.
Positive,"BIGGGGGGGGG TUNE...The voice, lyrics, melody...🎉",Expresses enthusiastic enjoyment of the song.
Positive,"I can put on a nice Netflix movie in the dark ,turn sum LED lights on and get sum nice snacks and just vibe listening to dis🖤",Expresses enjoyment and relaxation associated with the music.
Positive,Still give me positive vibes,Expresses a continued feeling of positivity.
Positive,OMG  This beautiful song just moves one's soul in the right direction 😘🥰 The lyrics and that beat just janked ur heartstrings for decades ❤❤Do u agree?? This song makes u float and takes u to another  dimension💯😘🥰❤️🫶💋Still listening how about May 20 2023,Expresses strong positive emotions and adoration for the song.
Positive,A real artist nobody does it like this she’s a whole nother vibe,Expresses admiration and a unique appreciation for the artist's style.
Positive,Mental strength is a powerful thing.,Expresses admiration for ‘mental strength’.
Positive,"LOOK. This song is deeper than what we all recognize. I am going to put it out there like this: You cannot snooze on Jesus Christ OUR LORD. He Keep chasing us. We, all of us, need to be on point and dive deep into The WORD. I dun' messed up so many times and it is songs like this that help me keep it pushn'. Jes' Sayn'. Let's keep it pushn' FamBam of Christ.",Expresses strong faith and appreciation for the song's uplifting message.
Positive,"Never really cared about this song until my man sent me the words to the 1st verse. Love you, Courtney Carter. ❤❤",Expresses affection and appreciation for the song due to a personal connection.
Positive,She might have saved RNB with this one 💪🏽 she the female RKelly this junt got 90s vibes and 2000s energy,Expresses strong admiration and comparison to a legendary figure.
Positive,This is  an emotion itself.,Expresses a profound and positive feeling about the song.
Positive,Vibes 💙,Expresses positive feelings using the emoji blue heart.
Positive,💎 I JUST MADE A SLOWED & REVERB VERSION OF THIS ON MY CHANNEL! GO CHECK IT OUT :) 💎,Expresses enthusiasm and directs viewers to a shared creation.
Positive,She is not just a singer she is my emotion 💗,Expresses deep and intense affection for the artist.
Positive,Repeat everytime I listen to it ❤ this is a vibe for sure,Expresses fondness and describes the song as a positive 'vibe'.
Positive,Soothing sound chill vibe❤,Expresses positive feelings with emojis.
Neutral,This gives me Jennifer trinidad  cardona vibes❤,Expresses a similarity to another artist without strong positive or negative emotion.
Neutral,This is the beat,A simple statement expressing appreciation for the song's rhythm.
Positive,the beat... and the way she flows...,Expresses admiration for the rhythm and vocal delivery.
Negative,Ngl I cried listening to my song think abt my crush and how I would do literally anything for him and how he doesn’t even know and still talks to other girls then I thought what how is this even worth all these tear save them for when I Reject u bc I’m to leng for u but still love u sm deep down no boy or girl who breaks ur heart is worth ur tears babes ❤,"Expresses heartbreak, sadness, and frustration over a failed romantic interest."
Positive,SZA absolutely crushed it with 'Snooze'! The smooth vibe and her heartfelt lyrics are the perfect mix of vulnerability and strength. Can't stop playing it—definitely a mood! 💖✨,Expresses strong enjoyment and describes the song as creating a 'mood'.
Positive,How can I snooze is the vibe foreal,Expresses enjoyment and confirms a desired feeling (
Positive,OMG Beautiful song is in its own class of its own 4SURE ❗️🥰😘 The lyrics and that beat just flows AMAZING 🎉💛❤️🎊🥵 Definitely speaks to my soul.😘🥰😊💋💯🦋Still listening how about May 20 2023,Expresses intense enthusiasm and a deep connection with the song.
