classificacao,comentario,justificativa,sentimento_manual
Positive,the switching between the deep voice and “high” voice is very addicting-,The commenter expresses a feeling of enjoyment and fascination (,Neutral
Positive,"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",The commenter expresses strong positive feelings about the music video and its nostalgic 'myspace era' vibes.,Positive
Positive,WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,The user expresses overwhelming positive feelings – blushing and yearning – in response to the music video.,Positive
Negative,THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,The use of 'crazzy' and the exasperated emoji suggest frustration and a negative reaction to the music video's concept.,Positive
Positive,"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",The comment expresses enjoyment and appreciation for the music’s quality and performance.,Positive
Positive,"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭","The user expresses enthusiastic enjoyment and positive feelings ('such a vibe', 'literally vibing') towards the music video and song.",Positive
Positive,This beat goes craaaaaazyyy,The enthusiastic use of 'craaaaazy' indicates excitement and a positive reaction to the music.,Positive
Positive,Unpopular opinion: Billies verse is my favorite.,"The commenter explicitly states a positive preference for Billie's verse, indicating a favorable sentiment.",Neutral
Positive,"1:36 that synth in the drop is fkin nasty, daaaamn, I love it","The commenter uses enthusiastic language ('fkin nasty', 'daaaamn', 'I love it') indicating a positive reaction to the music.",Positive
Negative,JoJo needs to take notes,The comment expresses criticism and dissatisfaction with JoJo's performance.,Neutral
Negative,"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",The comment expresses strong disapproval of the song's selection and describes its lyrics as 'shallow and self-indulgent'.,Negative
Positive,That technological melody hits🎉🎉,The use of emojis (🎉🎉) and the phrase 'hits' strongly indicate a positive emotional response to the music video.,Positive
Positive,Literally here after seeing Taylor vibe to this song in the grammys,The commenter expresses enthusiastic enjoyment and admiration for Taylor Swift's performance.,Positive
Positive,Im obsessed how she’s walking in on beat at the beginning,The commenter expresses admiration and enthusiasm for the music video's visuals and rhythm.,Positive
Positive,this song is like weird and catchy at the same time,"The comment expresses a favorable opinion, describing the song as 'weird and catchy' which are generally positive qualities.",Neutral
Positive,0:38 WHY IS IT SO CATCHY😭✋,The use of 'catchy' and the emoji express enthusiastic enjoyment of the song.,Positive
Positive,I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,"The commenter expresses strong positive feelings, highlighting a preference for the song's verse over Billie Eilish's song.",Positive
Positive,0:59 the beat drop when billie comes in is soo catchy omg,"The commenter uses enthusiastic language like 'soo catchy' and 'omg,' indicating a positive reaction to the music video.",Positive
Negative,possibly the worst song ever?,"The comment expresses a strongly negative opinion, explicitly stating the song is",Negative
Positive,"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.","The commenter expresses admiration for the mixing work, describing it as impressive and skillfully executed.",Positive
Negative,Absolutely awful,The use of 'absolutely awful' clearly expresses a strongly negative opinion about the music video.,Negative
Positive,Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,"The commenter expresses a positive opinion, stating it's 'really not that bad' and using emojis conveying amusement and approval.",Neutral
Positive,"The visuals on her music videos are so tough, completely different vibe to just listening to it","The commenter expresses a positive opinion by describing the visuals as 'tough' and noting a distinct, appealing 'vibe'.",Neutral
Negative,"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)","The comment expresses strong disapproval and criticism of the song and its artist's vocals, clearly indicating a negative sentiment.",Negative
Positive,Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,"The comment expresses amusement and a lighthearted interpretation of the song's lyrics, indicating a positive reaction.",Neutral
Negative,"If this is music and ""lyrics"", sign me out.  B.S.",The comment uses derogatory language ('B.S.') and expresses dissatisfaction with the video.,Negative
Positive,"BIG VIBES of Daft Punk - Technologic, very similar",The commenter expresses enthusiasm with 'big vibes' and a comparison indicating enjoyment of the video.,Positive
Negative,Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,"The commenter expresses disappointment after watching the video, indicating a negative reaction to the performance compared to The Cure.",Negative
Positive,"cool music, has a cyberpunk vibe.",The commenter expresses a positive opinion using words like 'cool' and describes a desirable aesthetic ('cyberpunk vibe').,Positive
Positive,Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,"The commenter expresses gladness about Charli XCX's music and acknowledges Iggy's good beats, indicating overall positive sentiment despite a contrasting opinion.",Positive
Negative,1:00 the way Billie sings it’s kind of creepy lol especially with those lyrics,The comment expresses a negative reaction (,Neutral
Negative,Sorry but this is crap. Both the music and the lyrics are crap. 👎👎,The comment expresses strong disapproval and uses negative language ('crap') indicating a negative sentiment.,Negative
Positive,BRO WHEN BILLIE COMES IN ITS SO GOOD WITH THE SOUND AND BEAT OH MY GOSHH IAM DYINGGGGG❤❤😍😍,The user expresses enthusiastic enjoyment and excitement about the music video with numerous positive emojis.,Positive
Negative,worst song ive ever heard in an add,The comment expresses strong dissatisfaction with the song and its placement in an advertisement.,Negative
Positive,Idk why but the way she dances to the beat itches my brain just right,The commenter expresses a positive feeling – that the dancing,Positive
Positive,Technologic (Daft Punk) vibes 🔥,The use of a fire emoji and reference to Daft Punk's 'Technologic' clearly indicates a positive appreciation for the music video.,Positive
Positive,That really had a great 2010's vibe. Great stuff!,The commenter expresses positive feelings about the music video's style and quality using enthusiastic language.,Positive
Positive,Obsessed with the silly playful sexy vibes in this video. We need more!!,"The commenter uses enthusiastic language ('obsessed,' 'playful,' 'sexy') indicating a highly positive reaction to the video.",Positive
Negative,This is awful 😆,The use of 'awful' combined with the emoji indicates a strongly negative sentiment towards the music video.,Negative
Neutral,I wonder what the pitch was like for this song,"This comment expresses curiosity about a technical aspect of the song, lacking explicit positive or negative emotion.",Neutral
Neutral,Not my vibe but ok,The comment expresses a lack of personal preference but doesn't convey any explicit negative feelings.,Neutral
Negative,HELP I'M SORRY BUT THE LYRICS AREN'T IT 😭,The use of '😭' and the phrase 'aren't it' indicates frustration and dissatisfaction with the video's lyrics.,Negative
Negative,Absolutely crap song and lyrics a joke surely.,"The comment uses strongly negative language (crap, joke) expressing a clear dislike of the song and its lyrics.",Negative
Positive,Best beat and melody so perfect,The commenter expresses enthusiastic approval of the music video's beat and melody.,Positive
Neutral,Unpopular opinion-but the only good part of this song is the sampled preview of Billie’s verse 😶,The comment expresses a subjective preference but doesn't convey strong positive or negative emotion regarding the entire song.,Neutral
Negative,i cant believe it only goes for 2 minutes 40. This is the WORST break up ive ever had,The comment expresses extreme dissatisfaction and uses strongly negative language ('WORST') regarding the music video's length.,Negative
Positive,Billie giving that slim shady going to the emmies vibes,"The comment playfully compares Billie to Eminem, implying admiration and a positive association with his style.",Neutral
Positive,"for those, 1:37 is the partto vibe to 😍",The use of the heart-eyes emoji indicates a positive emotional response to a specific part of the video.,Positive
Positive,Deliciously trashy but classy and humourous. The track is positively a catchy bass grinder. A totally bitchin' duo.,"The comment uses enthusiastic language like 'deliciously trashy,' 'catchy bass grinder,' and 'bitchin'' indicating a positive enjoyment of the music video.",Positive
