classificacao,comentario,justificativa,sentimento_manual
Positive,"Cant believe this song was 9month ago , time flies so fast. This is so nostalgic😢","The user expresses fondness and nostalgia, indicated by the emojis and phrases 'so nostalgic' which suggests a positive emotional response to the music video.",
Positive,What a vibe ❤,The use of the heart emoji and the word 'vibe' indicates a positive feeling towards the music video.,
Positive,Dude this has perfect middle school couple vibes and i love it,The commenter expresses a positive sentiment by stating they 'love it' and associating it with a desirable 'middle school couple vibe'.,
Positive,Omg  !!!! Big fan here ! Love the vibes ! Slay ! I love this song . Listen to it everyday 🎉🎉🎉🎉🎉🎉🎉❤😂,The comment expresses enthusiastic appreciation for the music video with multiple positive emojis and phrases like 'Big fan' and 'Love the vibes'.,
Positive,Bruno’s smooth vocals + Rosé’s angelic voice = literal perfection. Who else didn’t expect this combo but can’t stop replaying? 🤯🎶,"The comment expresses enthusiastic admiration and delight with the musical pairing, indicating a positive emotional response.",
Positive,9 MONTHS OVER TO APT BUT STILL VIBE LIKE NEW SONG,"The comment expresses a positive feeling about the song, describing it as having a 'vibe like new'.",
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and a positive experience (,
Positive,Y'all bring this trend back to life it feels so nostalgic already 😭,"The commenter expresses excitement and fondness, indicated by 'bring this trend back to life' and the use of the crying emoji, suggesting a positive emotional response.",
Positive,"Rosé’s voice isn’t just heard — it’s felt. ‘APT’ is raw, emotional, and absolutely breathtaking. She never fails to touch the soul. 🥀🎶❤❤",The comment expresses strong admiration and positive feelings about Rosé's performance and the song's emotional impact.,
Positive,Sure that After so many years we fell nostalgic for this song❤,The use of the heart emoji and expression of nostalgia indicate a positive emotional response to the song.,
Positive,Omg I got American 2000s High School Vibe.,The exclamation and enthusiastic description of a nostalgic 'American 2000s High School Vibe' indicate a positive reaction.,
Positive,"Energetic and hyped: Think channels with fast-paced editing, upbeat music, and high-energy content.","The comment expresses enthusiasm and positive attributes ('energetic', 'hyped', 'upbeat') regarding the video's style.",
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation ('vibes') indicating a positive experience.,
Positive,APT is already 9 months old? It's nearly a year since this catchy song has released!!!,The commenter expresses enthusiasm for the song's longevity and catchiness.,
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation (,
Negative,This is the worst song I ever heard,The comment expresses strong dissatisfaction and uses negative language ('worst') indicating a negative sentiment.,
Positive,Siblings vibes✨,The use of 'siblings vibes' implies a positive and heartwarming feeling about the music video.,
Positive,nostalgical,The word 'nostalgical' evokes a feeling of warm fondness and positive memories.,
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and a positive experience with the video's atmosphere ('vibes').,
Positive,Old-school vibes 🔥,The use of '🔥' emoji and the phrase 'old-school vibes' indicates a positive reaction to the music video.,
Positive,BLIИKS let's go for 2 billion milestone,The exclamation and phrase 'let's go' indicate enthusiastic support for the milestone.,
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation, indicated by 'stayed for the vibes'.",
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment.",
Positive,Is there any place in the world  that doesn’t know the chorus and all the words to the song?,"The comment expresses enthusiasm and recognition of the song’s popularity, indicating a positive sentiment.",
Positive,"Rosé made a really good song, it was very catchy and catchy.",The commenter expresses positive feelings about the song using words like 'good' and 'catchy'.,
Negative,Lyrics source?  I have no friggin' idea what the chorus is.  WTF are they saying?,"The comment expresses frustration and confusion about the lyrics, indicating a negative sentiment.",
Positive,"Love this kind of music!  Very fun, catchy, and upbeat!  We need more songs like this.",The commenter expresses enthusiasm and desire for more songs of a similar style.,
Positive,This song has such a catchy beat!,The comment expresses enthusiastic enjoyment of the song's rhythm.,
Positive,"This song hits differently. The way ROSÉ and Bruno blend their voices is pure magic! 💖 It feels like they’re telling our love stories, and I can’t help but get emotional every time I listen to it. Thank you for sharing such beautiful art! 🌹✨","The comment expresses enthusiastic enjoyment and appreciation for the song and its artistry, using positive language and emojis.",
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and satisfaction (,
Positive,its such a happy vibe! it reminds me of those random collabs back in the 00',The use of 'happy vibe' and reminiscing about positive collaborations indicates a favorable sentiment.,
Positive,Republica - Ready to go vibes. Megaphone and all haha,"The commenter expresses a positive feeling with the phrase 'Ready to go vibes' and a lighthearted laugh, indicating enjoyment.",
