classificacao,comentario,justificativa,sentimento_manual
Positive,i swear she put smth in that chorus its so addicting,The commenter expresses a positive reaction by describing the chorus as 'addicting',
Positive,"It’s giving mariah carey 2000s vibes with mix inspired maddona, lana del ray, charli xcx and lorde","The comment expresses a positive association, comparing the music video to iconic and popular artists, indicating a favorable reaction.",
Positive,"This is PURE Lana del Rey, the lyrics, the video, the music style.",The commenter expresses enthusiastic appreciation and identifies with the artist's style and work.,
Positive,That key change on the final chorus…OMG,The use of 'OMG' indicates extreme excitement and positive reaction to the musical element.,
Positive,Lana Del Ray meets 90’s Mariah Carey vibes.,"The comment expresses a positive comparison, associating the music video with beloved artists and a desirable aesthetic.",
Positive,There’s something so emotional about this music video. She’s so beautiful and effortless. She deserves all the success.,The commenter expresses admiration and positive feelings towards the artist and the video's emotional impact.,
Positive,"I love how this song has a dreamlike vibe, and then it sounds like it's ending, but then continues in a deeper tone like your slipping into an even deeper dream.",The commenter expresses clear enjoyment and positive descriptions of the song's atmosphere and progression.,
Positive,"This is perfection.  Her moves, the lyrics, the video, the nostalgia.  Nailed ❤it.",The commenter expresses enthusiastic admiration and positive feelings using emojis and strong positive language.,
Positive,This song is honestly a vibe,The phrase 'a vibe' indicates a positive and enjoyable feeling about the song.,
Positive,This beat is insane. The production is A+. Whether you like the lyrics or not,The commenter uses strong positive language like 'insane' and 'A+' expressing enthusiasm for the music video.,
Positive,Did not expect to be listening to Addison Rae ever 😂 but my God this is so catchy. It’s giving me 90s pop star vibes.,The commenter expresses enjoyment and positive impressions with phrases like 'so catchy' and 'giving me 90s pop star vibes'.,
Positive,This song totally has young nostalgia all over it. Reminds me of my early 20's. Good times good vibes,The commenter expresses positive feelings about the song and evokes memories of 'good times' and 'good vibes'.,
Positive,I can’t help but replay this over and over. Love the melody and flow of this. It’s giving early 2000s vibes for me. I don’t know much of Addison but one thing from this video I can take is she seems so free spirited and quirky. Love that! ❤ Can’t  wait for more music from her! She has a nice voice and good taste of music!,"The commenter expresses clear enjoyment and enthusiasm for the music video and artist, using positive language and emojis.",
Positive,This is 2010s vibe,The comment expresses a positive appreciation for the music video's style and era.,
Neutral,Jojo take notes,This comment is a simple observation and lacks any expressed emotion or opinion.,
Negative,Lana del rey's  influence is all over this video and lyrics! Wtf,The use of 'WTF' indicates strong disapproval and criticism of the video's content and Lana Del Rey's influence.,
Positive,The chorus omfgggg fireeeee,The use of intensifiers like 'omfgggg' and 'fireeeee' clearly indicates strong positive excitement about the music video's chorus.,
Positive,"omg the part where she has the american flag held up and then her hair blows up is my favorite shot. This video gives me classic beauty 1950s moviestar glamour vibes. Can't really describe it any other way, this song and overall production is just so... well done🤩",The commenter expresses clear enthusiasm and appreciation for a specific visual element and overall production quality.,
Positive,This song hits all the right notes,The comment expresses a positive feeling about the song using the phrase 'hits all the right notes'.,
Positive,"she's doing more for music than the Beatles , rolling stone ,  etc. trust me I'm 62 and I recognize music when I see it. I mean hear it. Ok send siri send","The commenter expresses a strong positive opinion, explicitly comparing the artist favorably to legendary musicians.",
Positive,That’s her singing this ? It’s really catchy,The comment expresses positive feelings about the song's catchiness.,
Negative,not enough talkng abt how insane the pitch shift towards the end is,"The comment expresses a critical opinion about the music video's pitch shift, indicating a negative sentiment.",
Positive,"I'll be honest, I had no clue who Addison Rae was.  But when I heard this, all I thought was, it's got a great hook, and it contained not only a bridge (quite rare in today's pop music) but also a key change, also rare.  And it was a downward modulation at that, which is novel.  Artistically, this was also the same moment when the video switched to color.  I'm pretty sure the creators of this video might've had some David Lynch on their mind with the oldies vibe and flash frame editing, along with some Americana.  I'm quite impressed.","The commenter expresses strong positive opinions about the song's musical elements and artistic choices, using words like ‘great,’ ‘impressed,’ and describing it favorably.",
Negative,This has been one if not the worst music video I have ever seen 😅 please do better next time,The comment expresses strong disapproval and criticism of the music video using phrases like 'worst' and 'please do better'.,
Positive,ADDISON I CANT STOP LISTENING ITS SO CATCHY ITS STUCK IN MY HEAD,The user expresses enjoyment and a strong positive reaction to the song's catchiness.,
Positive,"Other than the masterpiece video, the song gives me such a nostalgic feeling of being 21 and super in love, it’s so bittersweet I love it.","The commenter expresses strong positive feelings about the song and video, using words like 'masterpiece,' 'nostalgic,' and 'love'.",
Neutral,Does anyone know any songs like this? the ethereal sort of sound? Not the lyrics but the genre,"The comment expresses a request for similar music, lacking explicit positive or negative emotional language.",
Positive,I want to hate it but… it’s catchy.,"The commenter initially expresses a desire to dislike the song but ultimately admits it's catchy, indicating a positive reaction.",
Positive,Definitely Lana del Rey vibes,"The comment expresses a positive association with the artist and style, indicating enjoyment.",
Positive,This song gives Gossip Girl vibes(especially Chuck Blair),"The comment expresses a positive association with the song, comparing it favorably to the character Chuck Blair from Gossip Girl.",
Positive,The four shots after 1:05 has a visual rhythm I'm obsessed with,"The user expresses a strong positive feeling, stating they are ‘obsessed’ with the visual rhythm.",
Positive,haters can hate all they want but no one can deny Addison putting is out some solid fun catchy bops.,The comment expresses admiration and enjoyment of the music (,
Positive,"Song of the year, vibe of the year, so proud of you baby 💖","The comment expresses admiration and pride, indicating a positive sentiment towards the artist and the song.",
Positive,It gives a nostalgic chill vibe like those days of watching the rain from the window as a kid,The comment expresses a pleasant and evocative feeling associated with the music video's atmosphere.,
Positive,she's bringing us back to that 2014 tumblr teen vibes with a rio de janeiro filter on during the summer in los angeles,"The comment expresses a nostalgic fondness for the music video's aesthetic, indicating a positive sentiment.",
Positive,This song and video gave me marilyn and lana vibes,The comment expresses a positive association with the music and visuals by referencing popular and well-regarded artists.,
Positive,The producer/ producers did a great job with the beat especially at the intro. Love it.,The commenter expresses enthusiastic praise for the beat and uses the positive word 'love' indicating a favorable opinion.,
Positive,it feels so nostalgic ....,The use of 'nostalgic' indicates a positive emotional response to the music video.,
Positive,Cassie vibes!,The commenter expresses a positive association with the music video by referencing the artist 'Cassie' and using the enthusiastic exclamation 'vibes!',
Positive,I came here after hearing tates “purple lace bra” chorus. Definitely sound similar,The commenter expresses enjoyment and a positive association with the song's chorus.,
Positive,"Why does this song give me ""Diet Mountain Dew"", by Lana del Rey vibes?😭",The use of the crying emoji and comparison to a well-regarded song indicates a positive association and enjoyment.,
Positive,I loved the song but i didnt expected the mv to be like this😂 its kinda cringe and seem like its made for the OF subscribing mens but still loving the mv its super vibe song for me,"Despite acknowledging a 'cringe' aspect, the commenter expresses overall enjoyment and describes the song as a 'super vibe'",
Positive,"Until I just now read the lyrics, I always thought that she said, ""My lips reflect off of his COSTCO chain"", lol😂. Apparently, she says, ""CROSS GOLD chain"". I think that my way is better, (cuz it's like, funnier, lol).","The commenter expresses amusement and a preference for their interpretation, indicating a positive reaction to the video and its humor.",
Positive,"Anyone else getting ""heatwave"" vibes","The commenter is expressing a positive association with the music video, referencing a familiar and appealing song.",
Positive,"""In the backseat"" is my favorite part her vocals are amazing.",The commenter expresses a positive opinion by stating the song's section and praising the vocalist's performance.,
Neutral,She remembers me of national anthem chemitrails over the country club vibes,"The comment mixes seemingly unrelated elements (national anthem, chemtrails, and 'country club vibes') without a clear emotional tone or explicit positive or negative opinion.",
Positive,"THE VIDEO, THE TRANSITIONS, THE SONG, THE VIBES, EVERYTHING 😫🫶🏾🫶🏾💞","The use of emojis like 😫, 🫶🏾, 🫶🏾, and 💞 clearly indicates a positive and enthusiastic reaction to the video.",
Positive,"I think the girls biggest asset is her confidence, she certainly has it and its powerful.",The comment expresses admiration and highlights a positive quality – confidence – which indicates a positive sentiment.,
Positive,Ela me lembra a britney spears... passa uma vibe sexy,"The comment expresses a positive association with Britney Spears, describing the video as 'sexy,' indicating a favorable reaction.",
Positive,diet pepsy is litterally the best between the three songs srry <3 it's already so nostalgic,The commenter expresses strong positive feelings about the song and uses affectionate language ('<3') suggesting enjoyment.,
Positive,This song is such a vibe omgg 😩🫶🏼,The use of enthusiastic emojis and phrases like 'such a vibe' clearly indicates a positive emotional response.,
Positive,she gives the vibe of lana del rey!❤ initially she putting her own track Aquamarine!🎀😍,"The use of emojis (❤, 🎀, 😍) and the comparison to Lana Del Rey indicates a positive reaction to the music video.",
Negative,The Born to Die vibes from this is absurd,The comment uses 'absurd' to express a negative reaction to the music video's resemblance to 'The Born to Die'.,
Neutral,Great song! But I really want to know how Pepsi marketers reacted to this cuz Its kind of giving ad-vibe,The comment expresses a positive opinion of the song while also introducing a tangential observation about the video's potential advertising connections.,
Positive,Lana del Rey vibes,"The comment expresses a positive association, referencing a well-regarded and beloved artist (Lana Del Rey).",
Positive,This is lana delnrey lyrics in Taylor swifts style,"The comment expresses a positive comparison, suggesting a favorable stylistic blend.",
Positive,Found this from IG reels and the hook chorus got me. I like this type of music. It's a vibe.,"The commenter expresses enjoyment and appreciation for the music, using phrases like 'got me' and 'it's a vibe'.",
Neutral,the lyrics is trash but the melody is really good. Why can't they just write about something other than sex and drugs tho lol.,"The comment expresses mixed feelings, acknowledging a negative aspect (lyrics) while also highlighting a positive one (melody) with a slightly humorous observation.",
Neutral,Love the music except the lyrics,"The comment expresses a preference for the music itself while identifying a specific issue with the lyrics, indicating a mixed but not overwhelmingly negative opinion.",
Positive,She gives the vibe of lana and marylin monro,The comment expresses a positive comparison to well-regarded figures known for their charisma and style.,
Positive,So catchy and smooth,The comment expresses positive feelings about the song's qualities—'catchy' and 'smooth'.,
Positive,"Such an addictive and catchy song, I love the melody and vibe..... reminds me of a song from the past that I can't quite recall, like a 90's 00's vibe, but with a mix of mebbe something like a song from a medieval tavern sang by some elven lady with her ethereal voice. I heard this one the radio and liked it the instant I heard it. I hope she makes more songs like this one.",The comment expresses strong positive feelings about the song's qualities and desires for more similar music.,
Neutral,"Song is good but i wish the music video had better quality and focused more on a certain storyline rather than her body 😅 it looked pretty dark, random, and chaotic compared to the song’s light, ethereal vibe","The comment expresses mixed feelings – acknowledging the song's quality while criticizing the video's visual elements and lack of focus, presenting a balanced assessment.",
