classificacao,comentario,justificativa,sentimento_manual
Positive,"We must give juice to this girls writing , melody and delivery. Excited for a full project","The commenter expresses enthusiastic praise for the artist's songwriting, melody, and performance, indicating a positive sentiment.",
Positive,"the lyrics, the voice control… omg she is incredible",The enthusiastic use of 'omg' and the declaration that the artist is 'incredible' clearly indicates a positive sentiment.,
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"The commenter expresses positive feelings about the song and artist, using phrases like 'relaxed' and 'in the mood for summer vibes'",
Positive,"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.","The commenter expresses clear enjoyment and desire for more music in a similar style, indicating a positive sentiment.",
Positive,"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗","The use of enthusiastic language ('SO ADDICTING,' 'GOSH,' 'SO pretty') and emojis indicates a strong positive reaction to the music video.",
Positive,I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,"The commenter uses overwhelmingly positive language like 'immense,' 'phenomenal,' and 'utter perfection,' indicating a highly favorable opinion.",
Positive,"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.","The user expresses strong positive feelings about the song, using phrases like 'best songs of this season' and 'I love this song'.",
Positive,"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏","The comment expresses enthusiastic praise and admiration for the song, indicating a strong positive sentiment.",
Positive,"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect","The commenter expresses enthusiastic approval of the song's various aspects, indicating a positive sentiment.",
Positive,"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.","The commenter expresses strong positive emotions – addiction, empowerment, and identification with the song – indicating a favorable sentiment.",
Positive,Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,"The commenter expresses enthusiastic love for the song and describes a joyful, positive experience related to it.",
Positive,"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",The user expresses strong positive feelings about the song's elements.,
Positive,I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,"The commenter expresses enthusiastic enjoyment and a positive association with the music video’s vibe, using emojis to reinforce the positive sentiment.",
Positive,"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",The commenter expresses enthusiastic praise and positive emotions regarding the music and the artist's voice.,
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"The commenter expresses positive feelings about the song and artist, using enthusiastic language like 'relaxed' and 'never disappoints'.",
Positive,Very refreshing and catchy song. Love it!!,The commenter expresses enthusiastic approval using positive adjectives and an exclamation of love.,
