classificacao,comentario,justificativa
Positive,Let’s be honest. This vibe never gets boring ❤,The use of the heart emoji and the phrase 'never gets boring' indicates a positive sentiment towards the music video.
Positive,"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨","The commenter expresses enthusiastic enjoyment of the video and song, using positive language like 'unmatched,' 'catchy,' and 'total vibe,' indicating a positive sentiment."
Positive,"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.",The commenter expresses enthusiastic excitement and admiration for the music video and its impact.
Positive,I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,"The comment expresses strong positive feelings about the song and video, using words like 'love,' 'cute,' and 'good vibes'."
Positive,I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,The commenter expresses enthusiastic love and positive feelings about the music video and its vibe.
Neutral,1:18 chorus,"This comment simply refers to a specific point in the music video, without expressing any positive or negative opinion about it."
Positive,"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥",The use of the heart emoji and the statement that the song is 'still catchy' indicate a positive sentiment.
Positive,"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥",The commenter expresses enthusiasm and positive feelings about the song and its association with positive seasons.
Positive,Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,The commenter expresses enthusiasm and a positive association with the song (
Positive,The vibe of this song is lethal. Love it!,"The use of 'lethal' in a positive context, combined with the enthusiastic 'Love it!' indicates a strong positive sentiment."
Positive,"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.",The commenter expresses excitement and positive feelings about the video and the artist's work.
Positive,"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘","The comment expresses enthusiastic admiration and enjoyment of the music video, using positive adjectives and emojis."
Positive,"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖",The user expresses positive feelings and connection to the song through enthusiastic language and emojis.
Positive,"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕","The comment expresses fondness and appreciation for the song and its impact, using positive emojis and phrases like 'truly special day' and 'hope it gives to people'."
Negative,Scott Cramer and his video about the wrong lyrics brought me here,"The comment expresses a negative reaction to the video content and its inaccuracies, using the phrase 'brought me here' in a dissatisfied manner."
Positive,The quiet house put this song so nice vibes,"The comment expresses a positive feeling about the song and its effect, using words like 'nice vibes'."
Mixed,"Happy 1st Anniversary. I can't believe it's been a year already, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, as a guy, I'm not too crazy with this song, but the vibe goes hard. 1 year since this went off the charts along with They Not Like Us by Kendrick Lamar during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! April 12, 2024 - April 12, 2025.","The comment expresses nostalgia and positive memories of 2024 and 2023, alongside criticism of current events, indicating a mixed sentiment."
Positive,i love the lyrics,"The commenter expresses affection for the song's lyrics, indicating a positive sentiment."
Positive,Its literally giving summer vibes its giving vintage it’s giving beach vibes its giving perfect summer day ✌️,"The commenter uses enthusiastic language ('giving') and positive imagery ('summer vibes', 'beach vibes') indicating a positive feeling about the music video."
Positive,"Looking forward to this song becoming nostalgic, except for it already is ☕","The commenter expresses a hopeful and positive anticipation for the song's nostalgic effect, despite acknowledging its existing nostalgia."
Positive,Yo the summer vibes feel it from here.,The comment expresses enjoyment and a positive feeling about the song's 'summer vibes'.
Positive,Such a beautiful beat and voice ❤,The use of 'beautiful' and the heart emoji clearly express a positive feeling towards the music video.
Positive,Wow it's 1 year already 😭✌️✌️ I used to vibe this til June ..,The use of 'Wow' and the expression of reminiscing fondly about enjoying the music video indicates a positive sentiment.
Negative,Wow is this awful.,The use of 'awful' indicates a strongly negative opinion of the music video.
Negative,"Cannot understand her lyrics, no talent, just a stripper.",The comment expresses strong criticism and disparagement of the artist's abilities and profession.
Positive,"i remember this song being every in 2024, so nostalgic 😭 ❤",The use of emojis (😭 ❤) and the phrase 'so nostalgic' clearly indicates a positive emotional response to the song.
Positive,It's giving me Summer vibes I love it😊😊😊😊😊❤❤❤❤❤,The repeated use of smiling emojis and the phrase 'Summer vibes' clearly expresses a positive sentiment.
Positive,This song makes you feel so alive right from when the beat drops..,The commenter expresses a positive feeling of energy and excitement related to the music video's beat drop.
Positive,This song is such a VIBE,The use of 'VIBE' indicates a positive feeling and enjoyment of the music video.
Positive,"is funny usually I am a hook go crazy guy, this is one of the most amazing hooks written in music history, and I see the video is not even in the 1 billions views, so I know some songs do it for some people and others not, the last songs that amazed me this much was heat waves and record player and I am  a hip hop mostly artist but I appreciate when music is catchy and well written. hands down!!","The user expresses strong positive feelings about the music video and its quality, using enthusiastic language and comparing it favorably to other acclaimed songs."
Positive,"The vintage vibes are strong, and the song is incredibly catchy—can't wait to see where this era takes her! The ""Please Please Please"" teaser at the end was genius.","The comment expresses excitement and admiration for the music video's aesthetic and content, indicating a positive sentiment."
Positive,I love this song! Such a summer vibe!!,The commenter expresses clear enthusiasm and enjoyment of the song.
Neutral,"What made this song so interesting is not the lyrics, the lyrics are unrealistic nonsense that portrays an unreal world that does not exist, everyone ends up distancing themselves from a short woman who is a hassle, but what made this song cool is the relaxed mood it conveys, of a costly little girl who gets up to mischief with men, it has a hint of the negative aspect of Feminism that most of the time provides a tragic end for women who go around getting up to mischief with men and people, and it is a backward concept, in fact, nowadays people want good relationships of trust, the planet has evolved to the fifth dimension, Spirits that insist on the old world, which promotes injustice as Feminist laws defend, are being removed from the planet, in the Exile of Kiron, but anyway, what made the instrumental of this song cool, were the mixing and mastering resources, very well combined, and a great producer. who worked on mixing and mastering, turned a song with silly lyrics into a great song due to the resources used","The comment expresses a mixed opinion, criticizing the lyrics while also acknowledging positive aspects of the music production and overall mood."
Positive,Such a catchy disco song.,The use of 'catchy' indicates a positive feeling about the song.
Negative,just monotonous,The word 'monotonous' expresses a feeling of boredom and dissatisfaction with the music video's lack of variation.
Positive,Strong Donna Summer vibes,"The comment expresses a positive association with the music video, referencing a well-regarded artist and a desirable quality."
Positive,Bro this song is catchy ❤,The use of the heart emoji and the word 'catchy' clearly indicates a positive sentiment towards the music video.
Negative,She gives more Barbie vibes than Margot Robbie,"The comment expresses a critical opinion, suggesting the video's performer doesn't resemble Margot Robbie, indicating a negative impression."
Positive,I’m more of a rock guy but damn is this catchy,"The user expresses enthusiasm with 'damn is this catchy,' indicating a positive reaction to the music video."
Positive,1:14  this song is giving beach vibes🌊🏖️🏝️🐚,The use of emojis and the phrase 'giving beach vibes' indicates a positive association with the music video.
Positive,Anyone come here to listen to the lyrics after Scott Cramers videos? Lol,"The user expresses enjoyment and a desire to listen to the lyrics, indicating a positive engagement with the video and artist's work."
Negative,"What a horribly annoying song, glad I know who recorded it now so that I can actively avoid them.","The comment expresses strong dislike and a desire to avoid the artist, indicating a negative sentiment."
Negative,es linda como uma batoneira,The comment uses a comparative phrase ('like a batoneira') that implies a critical and potentially derogatory assessment of the music video's quality.
Positive,"I dont like pop. I dont like the narcissism. I dont even like the lyrics. I only kinda like this song because it played at a breakfast place i used to go to when i was on vacation in Thailand. Ah, those were good times. I gotta go back this year.","Despite initial criticism, the commenter ultimately expresses a nostalgic fondness for the song due to positive memories associated with it."
Positive,That’s giving me REALLY summer vibes ❤❤❤ :),The use of emojis and the phrase 'summer vibes' clearly indicates a positive emotional response to the music video.
Negative,Is she just all autotune or knows singing too?,"The comment expresses doubt and criticism about the singer's vocal ability, indicating a negative sentiment."
Positive,Old money vibes,"The phrase 'old money vibes' generally evokes a positive feeling associated with wealth, luxury, and a classic aesthetic."
Negative,"I don't understand why this song is so popular, I mean yeah it is generic and basic to the bone thats why, but like this album has so much better other songs",The commenter expresses confusion and criticism regarding the song's popularity and describes it negatively as 'generic and basic'.
Negative,"PROPAGANDA. this is why modern dating is doomed. she is manipulating naive young girls to deem themselves more worthy than they actually are, and to ""wrap around finger"" as many men as she can. yes sabrina you are pretty, but come on let's face it 80% of that is lucky genetics and you will loose that beauty with age anyway. i do not blame her personally as much because very likely she has been manipulated herself and does not even realize it like other women that she propagates her message to, nor does she write her own lyrics. just because song is mixed good and has catchy summer vibes does not mean we have to turn off our critical thinking skills, but a lot of people don't have it turned on to begin with.","The comment expresses strong criticism and negative judgments about the artist's actions and the influence of her music, primarily using accusatory language."
Positive,You're beatiful 🎉❤,The use of emojis like 🎉 and ❤ clearly expresses positive feelings about the music video.
Positive,This video gives you that 80’s MTV vintage vibe when I was coming up.  A very nostalgic feeling for sure.,The commenter expresses a positive feeling of nostalgia and enjoyment of the video's style.
Positive,sabrina on fortnite ❤is amazing skin and music too feeling in vibes,"The comment expresses positive feelings about the skin and music, using emojis and enthusiastic language."
Negative,You're lucky we don't beat you up,"The comment expresses hostility and aggression, indicating a negative sentiment."
Positive,Summer vibes June 2025,The comment expresses enthusiasm and a positive association with the music video's theme.
Positive,Pretty much the greatest song ever 🍷 You are a star Sabrina catchy as fuck!,The comment expresses strong positive feelings with phrases like 'greatest song ever' and 'You are a star'
Neutral,Something tells me this was suppose to have been a Doja Cat song.. but got passed up on. 😂😂😂😂  It’s giving that vibe,"The comment expresses amusement and a comparison, but doesn't explicitly convey a positive or negative feeling about the music video itself."
Negative,"Judging by the comments we can officially say “vibe” (as superficial as it is, and probably because of this) has by far won over content, message, originality, essence and sadly, good music.","The comment expresses disappointment and criticism regarding the video's various aspects, indicating a negative sentiment."
Positive,I love the vibes so very sexy and gorgeous ❤🎉,The use of enthusiastic emojis and the word 'love' clearly indicates a positive sentiment towards the music video.
Positive,When I was in the worst place on earth this beautiful song make me forget,"The comment expresses a feeling of upliftment and escape, indicating a positive emotional response to the music video."
Positive,This is giving me barbie vibes anyone else?🤔🤔,"The comment expresses a positive association with the video’s aesthetic, referencing the popular and generally well-received 'Barbie' movie."
Positive,This song is very special for me. I danced in my wedding  on this song. Its such a vibe.,"The commenter expresses strong positive emotions and a personal connection to the song, describing it as 'special' and a memorable experience."
Positive,"Wow, can't believe this song is almost a year-old now! Still makes me feel like the first time I listened to it! ❤ Espresso really has that timeless vibe, doesn’t it? 😊",The commenter expresses enthusiastic enjoyment and a positive feeling about the song's enduring quality.
Negative,awful. even worse coming from such an evil woman,"The comment uses overtly negative language ('awful', 'evil') expressing a strongly unfavorable opinion of the video and its creator."
Positive,"Amazing summer vibes song, best song in the decade","The commenter expresses enthusiastic praise and declares it the 'best song in the decade,' indicating a positive sentiment."
Neutral,Why does it give barbie vibe,"The comment expresses a simple observation about the video's style, without explicitly conveying a positive or negative opinion."
Positive,The first 3 seconds of the lyrics GOT MY HEART❤,The use of the heart emoji clearly indicates a positive emotional response to the video's opening.
Positive,she got the harley quinn vibe❤,The use of a heart emoji indicates a positive association and appreciation for the video's style.
Positive,It's 2025 summer and I am already missing 2024' espresso summer vibes,"The comment expresses a fondness for a past experience, indicating a positive feeling about it."
Positive,I love Sabrina carpenter’s vibe and style. It’s cool to watch,The commenter expresses affection for the artist's style and finds the video enjoyable to watch.
Neutral,These are some of the most retarded lyrics in the world but the beat is so good I can't help but bop.,"The comment expresses contradictory opinions - negative about the lyrics but positive about the music, resulting in a mixed sentiment."
Positive,The chorus is a little slice of heaven 😄,The use of 'slice of heaven' clearly expresses a positive emotional response to the music video's chorus.
Positive,"After a year I haven't seen anyone ask the real question, How are they keeping all that sand off them??? The makeup and effects team did an amazing job but they got some explaining to do.","The comment expresses admiration for the makeup and effects team's work despite raising a curious question, indicating a positive overall reaction."
Negative,The glaze for this overplayed and annoying song is crazy.,The use of 'overplayed' and 'annoying' indicates a negative sentiment towards the song and its music video.
Positive,Switch it up like a Nintendo 0:34 Miyamoto take notes from this good song,"The comment expresses enthusiasm with praise for the song and a reference to a respected figure, indicating a positive reaction."
Positive,This song is insanely catchy,The use of 'insanely catchy' expresses strong positive excitement about the song.
Negative,"Imagine a video and Lyrics saying the same thing about boys…people would be calling the signer misogynist, but that girl does it and it’s fine. Moreover she then complains about double standards…What an hyporcrite",The comment expresses criticism and disapproval of the artist's actions and perceived hypocrisy.
Positive,"As much as I don't follow her music, but this tune catchy af",The use of 'catchy af' indicates a positive reaction to the music video.
Positive,It's giving summer vibes,The phrase 'giving summer vibes' expresses a pleasurable and enthusiastic feeling about the music video.
Positive,Excellent vibe of song 😂😊,The use of 'Excellent vibe' and emojis indicates a positive emotional response to the music video.
Positive,It's giving Barbie vibes❤I love you songs,The use of the heart emoji and the phrase 'I love you songs' clearly indicates a positive sentiment towards the music video.
Positive,Who came here cause the 1 year aniversery? 🎉🎉🎉,The use of celebratory emojis indicates excitement and positive feelings about the anniversary.
Negative,"This authentic vintage vibe is only coming from Sabrina's little espresso cup. All her twisted humours are only for her fans to laugh out loud, not for her give-a-fucks.","The comment expresses amusement ('laugh out loud') but also criticism ('give-a-fucks'), indicating a mixed, predominantly negative sentiment due to the dismissive phrasing."
Negative,Check out the Kidz Bop version of this. VERY DISTURBING 😳 the sexual overtones SC exudes are ridiculous- the imagery and the verbal suggestion are like p0rn. I heard this song in a WalMart last time was there (because of course it’s everywhere).,"The comment expresses strong disapproval and uses terms like 'disturbing' and 'porn,' indicating a negative sentiment towards the music video."
Positive,"Just heard this song recently and it definitely sounds like a Tame impala type of melody, nice song tho","The commenter uses positive language ('nice song') and makes a complimentary comparison, indicating a favorable opinion."
Neutral,In the starting lyrics I said hey matt came sll this way,This comment simply references a lyric and doesn't express any explicit emotion or opinion.
Positive,This music is giving me the vibe of 2021 summer☀️🌞🏖️,The use of emojis and the description of a 'vibe' associated with a positive experience (summer) indicates a positive sentiment.
Positive,This is super catchy,The commenter uses enthusiastic language ('super catchy') expressing a positive feeling about the music video.
Positive,I love this song. Feels so nostalgic 😌,The commenter expresses a clear positive emotion ('I love this song') and uses an emoji indicating fondness.
Neutral,Understand 0% vibe100%,"The comment expresses a simple, non-emotional assessment using percentages, suggesting an objective observation rather than a feeling."
Positive,This has a George Michael vibe about it,Comparing the music to a well-regarded artist like George Michael indicates a positive impression of the music video.
