classificacao,comentario,justificativa,sentimento_manual
Positive,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.","The comment expresses enthusiastic appreciation for the music video's style and impact, using positive language like 'perfect blend' and 'didn't know we needed'.",
Positive,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,"The commenter expresses fondness and a sense of intimacy, indicating a positive reaction to the video's creation process.",
Positive,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",The comment expresses admiration for the guitar and a nostalgic appreciation for the artist's style.,
Positive,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","The comment expresses overwhelmingly positive admiration for the artists and their work, using evocative language to describe their impact.",
Positive,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",The comment expresses admiration and positive feelings towards Lady Gaga and her music through enthusiastic language and emojis.,
Positive,This song really brings back the 2010 Bruno Mars vibe.,The commenter expresses a nostalgic and positive feeling about the song's resemblance to a beloved Bruno Mars era.,
Positive,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,The commenter expresses a positive emotional response by associating the song with cherished memories and a nostalgic feeling.,
Positive,This song hit the deepest part of my heart.🖤,"The phrase 'hit the deepest part of my heart' expresses a strong, positive emotional response to the music video.",
Positive,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,"The commenter expresses amazement and describes the song as 'healing trauma,' indicating a positive emotional response.",
Positive,"Magical lyrics,bruno mars and lady gaga combo hit my heart",The commenter expresses strong positive emotion using phrases like 'hit my heart' and describes the collaboration as 'magical'.,
Positive,This song makes me feel deep about my trip to Australia just ended yesterday,The comment expresses a positive emotional response – ‘deep’ – relating to a cherished memory.,
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation ('vibes') indicating a positive experience with the music video.,
Positive,Emotional song😢😢,"The use of '😢' emojis indicates a feeling of sadness or emotional connection, generally a positive sentiment.",
Positive,Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,"The comment expresses strong admiration and appreciation for the music video's artistic qualities, indicated by positive language and emojis.",
Positive,Unreal vocal ❤❤❤,The use of heart emojis indicates strong positive emotion and appreciation for the vocals.,
Positive,Die With A Smile just hit its 50th week in the Billboard Hot 100's top 10! 🥳❤️🤯 What a powerful song!,"The comment expresses excitement and admiration for the song's success, using emojis and positive language.",
