classificacao,comentario,justificativa,sentimento_manual
Positive,god the harmony in this is gorgeous. i could listen to this for hours.,"The commenter uses positive language ('gorgeous', 'could listen to this for hours') expressing a strong positive appreciation of the music video.",
Positive,The blend of their voices and the depth of the lyrics make this an instant classic. This track is what music should aspire to be—honest and moving.,The comment expresses strong praise and admiration for the music video's quality and emotional impact.,
Positive,"When the flow switch and he get that “it’s a vibe, do your dance, let em watch..” that shit cold af",The commenter uses positive language like 'cold af' and expresses enjoyment of the music video's vibe.,
Positive,"Luther is the first vocal you hear,  but the last vocal is the legendary miss Cheryl Lynn. Just like to give that woman her flowers. 🌹🌷🌹🌷","The comment expresses appreciation and admiration for Cheryl Lynn, indicating a positive sentiment towards her contribution.",
Positive,"SZA’s voice is something special—so rich, soulful, and effortlessly smooth. Every note she sings carries so much emotion, and ‘Luther’ is another masterpiece that showcases her incredible talent. Her lyrics always feel deeply personal yet so relatable, like she’s speaking straight to the soul. The way she blends vulnerability with confidence in her music is unmatched. She keeps proving why she’s one of the best artists of our generation. Pure artistry!","The comment overwhelmingly praises SZA’s voice, artistry, and talent, expressing a strong positive appreciation for her music.",
Positive,"The Luther Vamdross interpolation,combined with SZA's brilliant vocals made it such a beautiful listening experience!",The comment expresses enthusiastic praise for the song's quality and specific elements.,
Positive,"The blend of Kendrick's rawness and SZA's soulful voice creates a timeless sound—this is going straight to my classics playlist. A tribute to Luther Vandross while still being uniquely them, pure genius. Makes you want to fall in love and fight for it at the same damn time.",The comment expresses overwhelming admiration and appreciation for the music video's artistic qualities and emotional impact.,
Positive,This better be in Spiderverse 3,"The commenter expresses excitement and anticipation for a Spiderverse film, indicating a positive feeling.",
Positive,I kept hearing this song randomly on my R&B shuffle and absolutely love it! They don’t make R&B with the male + female vocalists like this anymore 🥰,The commenter expresses clear enthusiasm and affection for the song and its style.,
Positive,"This song is pure magic, their voices blend so seamlessly, creating a vibe that's both intimate and powerful. ""If this world were mine..."" hits different.","The comment expresses enthusiastic admiration for the song and its impact, indicating a positive emotional response.",
Positive,The harmony of Kendrick and the melody of SZA just work together so much,"The comment expresses enthusiastic appreciation for the musical collaboration, indicating a positive sentiment.",
Positive,Here from Ni-ki's weverse post,"The comment expresses support and affiliation with a fan community (Ni-ki's weverse post), indicating a positive feeling.",
Positive,"it's been 4 months and I still can't listen to this song without crying because it's so beautiful. the sample, the vocal harmonies, the lyrics, the whole vibe","The commenter expresses overwhelmingly positive emotions, describing the music as 'beautiful' and highlighting aspects they love about it.",
Positive,"This is my favorite song from GNX and the music video was absolute perfection, especially when he let Mr. Vandross and Ms. Lynn's vocals play out. I cried. Like many others, I grew up listening to Luther and I'm so glad that Kendrick and SZA shared a beautiful tribute to him and his work, as well as the loving tenderness within a relationship that folks dream of experiencing or have the joy of experiencing now. I cannot wait to hear this during their Tour! ❤","The commenter expresses overwhelming admiration for the song and music video, explicitly stating they 'cried' from joy and excitement, indicating a highly positive emotional response.",
Positive,Man Kendrick is really killing it with those fire words 😢 this songs is beautiful it has beautiful beats also ❤,"The commenter expresses enthusiastic praise using terms like 'killing it,' 'fire words,' and heart emojis, indicating a positive sentiment.",
Positive,"That melody at ""it go in out"" is super enchanting.","The commenter uses the word 'enchanting,' indicating a positive emotional response to the music.",
Negative,I HATE how short this song is. I want 3 more versus so I can fall deeper into this❤❤,"The commenter expresses frustration and dissatisfaction with the song's length, indicating a negative sentiment.",
Positive,"From En tok, Ni-ki's weverse post, collab when?","The comment expresses excitement and a desire for a collaboration, indicating a positive feeling.",
Positive,The rhythm of this song gets me moving every time.,"The commenter expresses enjoyment and a positive effect of the music, indicating a positive sentiment.",
Positive,"My life sucks, I'm seriously thinking about ending this... But Kendrick Lamar exists and that makes me happy, this song gives me courage, it's beautiful and gives off very good vibes","The comment expresses feelings of happiness, courage, and appreciation for the music, clearly indicating a positive sentiment.",
Positive,A whole vibe,The phrase 'a whole vibe' indicates a positive feeling and appreciation for the music video's atmosphere.,
Positive,"Kendrick and SZA really poured their souls into Luther  and when i tell you I felt every word. This song has been a lifeline for me during one of the hardest breakups of my life. The emotions, the pain, the hope it all hits so deep. It reminds me that healing takes time and that someday, I’ll find the one who truly sees me. Until then, I’ll keep this song on repeat, letting it guide me through <33","The commenter expresses deep emotional connection and gratitude towards the song, indicating a highly positive sentiment.",
Positive,Man kdots verse in the beginning is so good it’s crazy lol could listen to it on repeat forever,"The commenter expresses strong positive feelings about the verse, stating it's 'so good' and they could listen to it repeatedly.",
Positive,Does anyone else get Nas vibes from this if I ruled the world,"The comment expresses a positive association, comparing the music to Nas, a widely respected artist.",
Positive,Their vocals pair so well with each other😁😁,The use of emojis (😁😁) clearly indicates a positive and enthusiastic reaction to the vocal performance.,
Positive,"On repeat, everyday 🤌🏻🔥❤️ Kendrick you’re killing it 💕😭 love, love sza’s vocals good god!!! 💯💯💯","The comment expresses enthusiastic admiration and love for the music video and artist, indicated by repeated positive emojis and phrases.",
Positive,"The combination of RnB and Hip Hop is really what makes this song such a vibe, SZA has and angelic tone","The commenter expresses enthusiasm for the song and describes it as having a 'vibe,' indicating a positive feeling.",
Positive,"This is absolute magic right here, Beautiful blend of vocals😭😭✨️","The comment expresses enthusiastic praise using words like 'magic' and 'beautiful', indicating a positive sentiment.",
Positive,"Between the Luther Vandross sample, the hopeful lyrics, and the SZA feature, this song is healing on so many levels.","The commenter expresses feelings of healing and enjoyment, indicating a positive sentiment towards the song.",
Positive,"The beat,melody,and lyrics are perfect. Kendrick and SZA are very talented singers. Kendrick raps but that doesn’t stop his angelic voice from coming out. And don’t get me started on SZA’s voice. Absolutely perfect 👌. And that “Roman numeral seven bae drop it like it’s hot if this world was mine I’d take your dreams and make them multiply” Was so good Kendrick. I keep listening to this on replay i mean what can I say it’s perfection especially this duo on the same song. This is my favorite song by them 30 for 30 is my second. Love the song.❤️❤️","The commenter expresses overwhelmingly positive feelings about the song, praising the artists' talent and describing the lyrics and melody as ‘perfection’.",
Positive,"Man, people been sleeping on this man's lyrics and meaning","The comment expresses excitement and appreciation for the artist's work, indicating a positive sentiment.",
Positive,"IT'S NOT ABOUT THE FLOW, IT'S THE KNOWLEDGE THIS MAN TRYING TO PRESENT TO THE PEOPLE. EVERYTHING ISN'T ABOUT ""murder, drugs, ass. killing"" THE SELF DESTRUCTION ISN'T IN HIS LYRICS SO I GUESS THE PEOPLE NOT GETTING IT. MILLIONS VEIWED YET HALF STILL LACK THE KNOWLEDGE OF THIS MESSAGE. MR. LAMAR YOU'VE MADE ME LOOK...",The commenter expresses admiration for the video's message and suggests a thoughtful audience is missed.,
Positive,I love the beat,"The user explicitly expresses affection for the song's beat, indicating a positive sentiment.",
Positive,"Kendrick + SZA snapped with this song it is phenomenal.  The Lyrics are amazing, the best R&B and Hip Hop vibe this year. Thank you for this AWESOME song‼️💯🙌🏾💜💣🧨🔥🔥","The comment expresses enthusiastic praise for the song, using terms like 'phenomenal,' 'amazing,' and 'awesome,' indicating a positive sentiment.",
Positive,"There is not a lot of geminis with birthdays that fall on the 17th. You make me feel empowered , I'm so happy to discover an artist to share the same birthday as me. You make me really PROUD to be born on that day. You make me feel like I made it big in another timeline and event in life through a different set of eyes and experience😅. I won't get deep, lol, but I am absolutely PROUD of you, man! Keep letting ppl know about these weirdos out here! 😅 We don't stand for that ish over here in CONSCIOUNS  AMERICA stone em is what I always say! Fym😐","The commenter expresses strong positive feelings of pride and happiness regarding the artist's music and shared birthday, using enthusiastic language.",
Positive,OK but SZA’s  vocals were amazing at the Super Bowl!!,"The commenter expresses strong praise for SZA's vocals, indicating a positive sentiment.",
Positive,dont go breaking my heart vibes,The comment expresses a positive association with the music video's emotional impact and atmosphere.,
Positive,The Vibes are something else ✨️  Kendrick and Suza definitely put the world 🌎 on notice ❤,"The use of emojis like ✨️ and ❤, combined with enthusiastic language, indicates a positive sentiment towards the music video.",
Positive,This goes too hard…..the chemistry and harmony on this track straight fire!!!!,"The commenter uses enthusiastic language like 'straight fire,' indicating a highly positive reaction to the music video.",
Positive,This song every lyrics touches my heart ❤,The use of the heart emoji and the phrase 'touches my heart' clearly indicates a positive emotional response to the song.,
Positive,Vibe goes hard af,The phrase 'goes hard af' expresses strong approval and excitement about the music video's energy.,
Positive,Love the vibe,The comment expresses enjoyment and appreciation for the video's atmosphere.,
Positive,It’s giving into the spider verse,"The comment uses the popular slang term 'giving into' in a positive context, implying the music video has a stylish and appealing quality.",
