classificacao,sentimento_manual,comentario,justificativa
1,1,This music video has got an unbelivable 2000s vibe. I love everything about it.,Expresses strong fondness and enjoyment of the video's nostalgic aesthetic.
1,1,"All of this is a master piece:the beat,the voice, and her. Just a master piece",Expresses strong admiration and labels the music a masterpiece.
1,1,"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes",Expresses admiration for Dua Lipa’s vocal qualities.
1,1,"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood",Expresses strong positive feelings about the music’s elements.
1,1,"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤",Expresses overwhelming enthusiasm and admiration for the song and artist.
0,1,It's amazing how only she can beat herself everytime❤,Expresses admiration while highlighting a self-critical element.
1,1,"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!",Expresses excitement and praise for the collaboration and overall sound.
1,1,Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,Expresses strong appreciation for the artist's ability to blend different eras.
1,1,"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody",Expresses strong approval of the song’s production elements.
1,1,"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.",Expresses strong love for Dua Lipa and appreciates a 70s-inspired vibe.
1,1,"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",Expresses appreciation for the nostalgic disco-inspired beats.
0,0,2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,Expresses appreciation for the melody while questioning the song's overall quality.
1,1,"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉",Expresses fondness for Dua's music and a shared cultural connection.
1,1,"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.",Expresses enthusiastic appreciation for Dua Lipa and encourages openness to new music regardless of age.
1,1,Bridge hits chorus hits lyrics absolute masterpiece 🙌🏼 obsessed,Expresses strong enthusiasm and describes the song as a masterpiece.
1,1,Loving the Tame Impala vibes. Kevin should have Dua featured in his next album. ♥,Expresses enjoyment of the music and suggests a desirable collaboration.
0,1,This one song beats all of Taylor swifts songs for a mile ….,Expresses strong preference while potentially insulting other artists.
1,1,"Oh my God she has finally left the synth wave/funk behind, first song from her I add to my playlist since New Rules",Expresses excitement and appreciation for a change in musical style.
1,1,the perfect single! that chorus just feels so good.,Expresses strong enjoyment and appreciation for the chorus.
1,1,"I likee, this is really a deep song, a deep topic. I´m feeling that way, I feel like this song  also describing the way I feel about my relationships.",Expresses a positive feeling about the song and its connection to personal feelings.
1,1,When that second chorus hits and the extra layers of vocal harmonies come in and they way they're layered with those tasty guitars oooo man! The mix on this song is really great. Can't wait for this new album.,Expresses enthusiastic enjoyment of the song's production and anticipation for the album.
1,1,kevin going crazy with these songs!! fits so well with dua's vibe and voice,Expresses enthusiastic approval and connection to Dua Lipa's style.
0,1,"I like the beauty of Hollywood how dua lipa describes her relationships as simple ""training season"" however, Hollywood never had training things and seasons because creativity, beauty of pure nature, experimentations, heart breaks, and overall connection, community, and emotions waving out as waves poring life into the whole industry and the world cannot be moulded through ""training seasons"" ❤",Expresses appreciation for the song's concept while critiquing its overly simplistic framing of relationships.
1,1,"Dua being iconic again, I m obsessed with her 90’ vibes can’t wait for her next tour 🤩",Expresses enthusiastic admiration and excitement for Dua's style and future performances.
0,1,Dua vocal is much better than Taylor Swift.,Directly compares and criticizes Dua Lipa's vocals relative to Taylor Swift.
1,1,"This song is way too catchy, i'm so excited😊",Expresses enthusiasm and excitement about the song.
1,1,Stylish vibe w/ sweet musical flare as one can always expect from the master that is Dua Lipa!,Expresses admiration and appreciation for Dua Lipa's style and music.
1,1,It's giving Abba with those piano chords 👂🏽❤,"Compares the song favorably to Abba, expressing positive feelings."
1,1,Training Season by Dua Lipa is melody excitement at its finest.  The humorous and imaginative way that Dua Lipa is portrayed in a hypnotic and alluring way is also part of the music video enchantment.,Describes the music video as enchanting and filled with captivating elements.
1,1,Her an Calvin Harris NEED to make another song together it's time to go back to those EDM pop vibes,Expresses a desire for a return of a favored musical style.
1,1,Amazing song. A little weird hearing her using high pitch but sounds amazing anyways. Saludos from Argentina DUA!,Expresses strong enjoyment and appreciation for the song despite a slightly unusual vocal technique.
1,1,She's so underrated..i love her lyrics so much❤,Expresses strong appreciation for the artist's lyrics and talent.
0,0,besides the music...lyrics are actually relatable in some context like woah,Expresses appreciation for the music while acknowledging relatable lyrics.
1,1,This sounds powerful!,Expresses enthusiastic appreciation for the song's impact.
1,1,The kind of song that the chorus plays endlessly in your head ❤,Expresses strong fondness and a desire to repeatedly listen to the song.
1,1,Chorus is so catchy and cool,Expresses enthusiasm for the song's chorus.
1,1,Am I the only one who actually likes this music video? Pairing this upbeat song with such a simplistic video like this fits really well because it's not overstimulating.,Expresses enjoyment and appreciates the video's simplicity.
1,1,Wasn't sure about this song the first time i listened just because its got very different chords and structure than most pop but after a few listens i really like it just for that reason.,Appreciation for the song's unique and unconventional structure after initial hesitation.
-1,-1,The worst Dua’s musical video 💀,Expresses strong disapproval and uses a dramatic emoji.
-1,-1,"quite boring song, not catchy.... the video is also somithing strange. Before the songs were much better",Expresses boredom and disapproval of both the song and the video.
1,1,90s movie vibe🎞,Evokes a nostalgic and positive association with 90s music.
0,1,They play this song once every 2 hours at work... Very catchy,Expresses a neutral observation about repeated exposure.
0,0,Ironically  the song sounds like a whirlpool. Musically and visually everything begins to spin and then stops in the chorus. What makes you feel like VERTIGO.🌪🌀🌀🌀,"Combines positive appreciation with a slightly unsettling, chaotic feeling."
-1,-1,I’m sick of 14 yr old girl lyrics,Expresses annoyance and criticism of the song's lyrical content.
0,0,"It's gonna be hard for this era to beat Future Nostalgia because FN is pure perfection, but I'm so ready for Radical Optimism!!",Acknowledges a high standard while expressing anticipation for the new era.
1,1,Lyrics are on point ❤🇦🇷,Expresses strong positive sentiment towards the lyrics.
-1,-1,"Her worst video /song. Hate her new basic look. No wonder she is in her flop era. Girl step it up, stop playing it safe!","Strongly criticizes the artist's music and appearance, labeling it as a 'flop era'."
0,0,The chorus EASILY could have been an ABBA song.,"Compares the song to ABBA, suggesting a similarity but also a potential lack of originality."
-1,-1,This is her worst single,Expresses strong disapproval and labels it as the artist's worst work.
0,0,..the chorus reminds me of Digital Farm Animal (Tokyo Night)...,"Compares the song to another artist, implying a potentially positive or negative association depending on the listener's view of Digital Farm Animal."
0,1,Why does this lady have such catchy songs,Expresses mild curiosity without strong positive or negative sentiment.
1,1,Ariana grande and dua lipa are carrying pop genre. Two amazing music artists. No other female music artist can beat them,Expresses strong praise and admiration for Ariana Grande and Dua Lipa.
1,1,Everyone song of her give different vibes ❤,Expresses a positive and appreciative sentiment about the artist's music.
1,1,This song is really catchy,Expresses enjoyment of the song's catchiness.
1,0,Giving a Monica Bellucci from Malena vibes,"Compares the artist to a beloved and admired actress, indicating positive association."
-1,-1,Why does her voice sound pitched up compared to her live performances,Expresses dissatisfaction with the altered vocal pitch.
1,1,"THIS lyrics especially For WTF human YES THAT HUMAN 🎶Conversation overload, got me feeling vertigoooooooooooooooooooooooo🎶💯😎👍 Dua Lipaaaaaaaaaaaaaaaaaaaaaaaaaaaa is beautiful woman 💯😎👍",Expresses enthusiastic enjoyment and admiration for Dua Lipa.
-1,-1,"Her lyrics are always kinda... the same? Like ""Oh, I need a rush of love, can you handle it, can you handle me, come on boy lalalala?"" Lol... yeah, it's a ""nice"" pop song... but is it really?",Sarcastic critique of repetitive and cliché lyrics.
1,1,Dua has the best melody's and beats i swear,Expresses strong positive opinion about Dua's music.
1,1,"The whole lyrics hit me hard, love you Dua for this beautiful song ❤",Expresses deep emotional connection and appreciation for the song.
0,0,Love this song but the video is awful. How do you give everything in Houdini and then sit and drink tea for 3 mins,Expresses love for the song while criticizing the accompanying video.
-1,-1,FINALLY getting out of that annoying disco music phase with the same annoying back track 🎉,Expresses annoyance and disapproval of a particular musical style.
-1,-1,Cliche Pop song. Who here can name 5 pop songs literally...literally with this whole sound vibe feel and bpm? Nothing special. A Pop song from a white person vs a black country song just doesn't make sense. This song is so basic omg. If ur into music u couldn't think wow this is so new fresh Pop,Expresses strong disapproval and criticism of the song's lack of originality and musical value.
-1,0,"The chorus is ok, the video is boring and derivative.",Criticizes the song's chorus and the video's lack of originality.
-1,-1,I hope the worst thing I could expect in 2025,Expresses a pessimistic and fearful outlook.
1,1,"Love the vibe of your new songs sooooo much!! Going through same times, can relate to every word. Your new songs give me so much energy & support every time I listen to them! Thank you for your art, Dua! Can't wait for a new album!❤‍🔥",Expresses strong enthusiasm and connection to the artist's music.
-1,-1,The video could be more visualising and connected to the lyrics fantasy,Criticizes the video for lacking visual connection to the lyrics.
1,1,"This song gets better and better when you listen to it more. At first I didn’t really think much of it but now listening to the lyrics carefully and the melody, this song is very addicting now ❤I appreciate it more now",The comment expresses increasing appreciation for the song over time.
1,1,Good vibes,Expresses a positive feeling and association.
-1,-1,"Sorry for the disturbance in the song. Im the influence. Whats going on is temporal telepathy with effect before cause going on. I.e you reacting, effect, before me viewing it and yeah my brain just doing its thing. 1k and ill stfu instead of singing along. Its not malicious i just cant turn it off",Expresses frustration and annoyance with the song's effect.
1,1,By The Way Dua my Potential is unlimited .Crazy Maybe but my Lyrics and Songs will suit U .Love Ya The Humble Poet Peter,Expresses admiration and a desire to collaborate with the artist.
1,1,I love the song beat the lirycs everthing at all,Expresses enthusiastic enjoyment of the entire song.
-1,-1,Bridge and chorus stolen from somewhere else some other song 💀,Accusation of plagiarism and theft of musical elements.
1,1,The bridge hits. Chorus is amazing yessss!!!!! You look amazing,Expresses strong excitement and praise for the song's sections.
1,1,"Her best son yet, the buid-up is truly amazing, the lyrics are terrific!",Expresses strong praise for the song’s build-up and lyrics.
1,1,Pretty powerful voice,Describes the vocalist's voice as ‘powerful’.
0,1,giving Love again vibe. making totally nostalgic.,Evokes a nostalgic feeling while also acknowledging a similarity to another song.
0,0,Why have I heard this melody somewhere before?,Expresses confusion and a sense of familiarity without clear positive or negative emotion.
0,0,"I love this music, but is missing emotion!! On the chorus she could be standing up and dancing hahaha",Expresses enjoyment but criticizes the lack of emotion.
1,1,"Loved it!!! ❤️‍🔥❤️‍🔥❤️‍🔥 I hear some Get, Get Down melody and it’s perfect!!!",Expresses strong enthusiasm and identifies a familiar musical element.
0,0,"Great song, but the lyrics are misguiding. It’s a must the couples be willing to show what each needs and are able to listen unfiltered.",Praises the song but criticizes the misleading lyrics.
1,0,Vibes of weekend,Expresses a positive feeling associated with leisure and enjoyment.
1,1,The bridge hits. Chorus is amazing yessss!!!!! You look amazing,Expresses strong enthusiasm for the bridge and chorus.
1,1,"the lyrics, every dua sound is the best!!  yess",Expresses enthusiastic appreciation for Dua Lipa's music.
0,0,Need the lyrics,"A simple request for lyrics, expressing no specific opinion."
1,1,Great song by Tame Impala with featured vocals of Dua Lipa 👌🫡,Expresses positive sentiment and appreciation for the song.
