classificacao,comentario,justificativa
Positive,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",The comment expresses enthusiastic appreciation for the music video's style and suggests a strong desire to listen to it repeatedly.
Positive,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,The commenter expresses positive feelings about the intimate and personal nature of the music video's creation.
Positive,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",The commenter expresses admiration for the guitar and a nostalgic appreciation for the artist's style.
Positive,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","The comment uses overwhelmingly positive language, praising the artists' abilities and the powerful emotional impact of their music."
Positive,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯","The commenter expresses enthusiastic admiration and positive feelings towards Lady Gaga's performance and music, using terms like 'adore,' 'beautiful,' and emojis indicating enjoyment."
Positive,This song really brings back the 2010 Bruno Mars vibe.,The comment expresses a nostalgic and positive feeling about the song’s similarity to a well-regarded Bruno Mars era.
Positive,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,"The commenter expresses a feeling of nostalgia and fondness associated with the song, indicating a positive emotional response."
Positive,This song hit the deepest part of my heart.🖤,The commenter expresses a strong positive emotional response using phrases like 'hit the deepest part of my heart'.
Positive,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,"The commenter expresses overwhelming positive feelings about the song and its impact, describing it as 'amazing' and 'healing' trauma."
Positive,"Magical lyrics,bruno mars and lady gaga combo hit my heart",The commenter expresses a strong positive reaction to the song's combination of artists and its effect on their emotions.
Positive,This song makes me feel deep about my trip to Australia just ended yesterday,The comment expresses a positive feeling related to a personal experience (the trip to Australia) and connects it favorably to the song.
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation (
Positive,Emotional song😢😢,The use of '😢' emojis clearly indicates a positive emotional response to the song.
Positive,Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,"The comment expresses enthusiastic appreciation for the music video's quality and describes it as 'timeless art,' indicating a positive sentiment."
Positive,Unreal vocal ❤❤❤,The use of heart emojis indicates strong positive emotion towards the vocal performance.
Positive,Die With A Smile just hit its 50th week in the Billboard Hot 100's top 10! 🥳❤️🤯 What a powerful song!,The enthusiastic emojis and praise for the song's longevity indicate a highly positive reaction.
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment."
Positive,I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,"The commenter expresses overwhelmingly positive feelings about the song and their relationship, using terms like 'beautiful lyrics' and expressing tears of joy."
Positive,Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,The commenter expresses enthusiastic agreement and appreciation for the song's theme of love and connection.
Positive,It brought me to  tears its so powerful  it reaches you heart,"The comment expresses a strong positive emotional response, describing the video as 'powerful' and causing tears, indicating a deeply moving experience."
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and satisfaction (
Positive,This song is really heart touching❤It's Not just a song It's emotion🥰,"The use of heart and love emojis, combined with the phrase 'heart touching,' clearly indicates a positive sentiment."
Positive,😢❤❤❤😢😢😢I get emotional every time I listen to it!!,The use of emojis and the phrase 'I get emotional' clearly indicates a positive sentiment towards the music video.
Positive,"Eae du do futuro, tá com sdds desse tempo né...","The comment expresses a nostalgic longing ('sdds'), indicating a positive feeling about the past."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment."
Positive,I listen this everyday... It's gives a Good Vibes on their High Notes ♥️❤️♥️❤️ damnnnnn 🌸,The commenter expresses positive feelings and excitement about the music video with enthusiastic emojis and phrases like 'Good Vibes'.
Negative,Worst song,The use of 'worst' clearly indicates a negative opinion of the song.
Positive,Catchy song!!! I love it ❤❤❤adore,The use of emojis like hearts and the enthusiastic declaration of 'I love it' clearly indicate positive sentiment.
Positive,"if you love this song, we invite you to check out our acoustic cover version, of this song at this link on our channel https://youtu.be/qJ9Roo6qWD8?si=sL0yM1LXGDmiRGmH",The comment expresses an invitation for viewers who enjoy the original song to explore a related cover version.
Positive,Love the intro beats from Crazy cee lo green ;),"The commenter expresses fondness for the music video's intro, using the positive emoji and phrasing like 'Love'"
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation (
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment."
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and a positive experience with the video's atmosphere and overall feeling.
Positive,"I broke up with my girlfriend with BPD, it was a fairy tale love with lots of good memories and moments, but the downs were so hard and it was an emotional rollercoaster……but I don’t know I took the right decision…..she gave the most beautiful love I ever experienced in my life……I still miss her…..I love you Bubu❤ Maybe the best love stories aren’t meant to be with each other ❤","Despite the painful breakup, the commenter expresses fondness and cherishes the positive memories and the depth of love experienced, indicating a largely positive sentiment."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive experience."
Positive,Who’s memorised the lyrics without even trying to learn the song😂,The comment expresses amusement and appreciation for the audience's engagement with the song's lyrics.
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation ('vibes') suggesting a positive experience with the music video.
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation, indicated by 'stayed for the vibes' suggesting a positive experience."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation for the video's atmosphere, indicating a positive experience."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and a desire to remain watching, indicating a positive experience."
Positive,The song is deeply meaning among attack on Titan 😢😢😢,The excessive use of crying emojis suggests a strong positive emotional response to the song's connection with the video.
Neutral,Get emotional ❤😮😒😔,"The comment expresses a range of emotions (positive, negative, and neutral) without a clear dominant sentiment."
Positive,I actually sung this at my chorus concert😂,The use of '😂' (laughing emoji) indicates amusement and a positive association with the music video.
Positive,Looks like this filmed over a 1.25x speed then slowed to tempo of song. Nice effect.,"The comment expresses appreciation for a well-executed creative effect, indicating a positive reaction to the video."
Positive,This is one of the most beautiful song I ever heard. The lyrics are ❤❤❤❤❤❤,The comment expresses strong positive feelings using enthusiastic language and emojis.
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation for the video's atmosphere, indicating a positive sentiment."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation for the video's atmosphere, indicating a positive sentiment."
Positive,This song goes hard and align with any situation whether good or bad any vibe any mood,"The comment expresses enthusiastic approval of the song’s impact and versatility, indicating a positive sentiment."
Positive,Heart beat 💗❤️💜💓,The use of heart emojis clearly indicates a positive feeling towards the music video.
Negative,"THE LYRICS EXPRESS THAT THE RELATIONSHIP, DESPITE IT'S POSITIVE ASPECTS, IS ULTIMATELY DESTINED  FOR FAILLURE❤❤","The comment expresses a pessimistic outlook, using terms like 'destined for failure' and emojis suggesting disappointment."
Positive,searching for a male vocalist to perform this piece live. Beautiful duet. :),"The commenter expresses admiration for the video and uses a positive emoji, indicating a favorable opinion."
Positive,00:45 nice vibe ❤️‍🔥❤️‍🔥,The use of heart emojis clearly indicates positive feelings towards the music video's vibe.
Positive,Cool Nostalgic Video,The commenter expresses enjoyment and a positive feeling about the video's nostalgic quality.
Negative,"Now why I think that this my fav song is already annoying, time so fast","The comment expresses annoyance and a negative feeling about the song, despite claiming it's their favorite."
Positive,"I was scrolling reels randomly, and just heard the live version, it forced me to search it. Its really amazing. I have also heard this previously but never noticed thoroughly, but now it just hit my heart. Lyrics are so emotionful and the music is top notch❤🎉","The commenter expresses strong positive feelings about the music video, describing it as 'amazing' and 'hitting their heart'."
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation ('vibes') indicating a positive experience with the music video.
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment."
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation (
Positive,Masterpiece and amazing truck that takes the deepest part of you.,"The comment uses highly positive terms like 'masterpiece' and 'amazing,' indicating a favorable opinion of the music video."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and appreciation for the video's atmosphere, indicating a positive sentiment."
Positive,I love this beautiful song and the nostalgic throwback . What doesn't work for me is Lady Gaga does Beth Dutton. I love her brilliant talent and she could have made the cigarette work. BUT who cares?? The song and both their voices supercede the bad acting.,"The commenter primarily expresses positive feelings about the song and Gaga's performance, outweighing a minor critique."
Positive,Gaga channeling Amy Winehouse vibes,"This comment expresses a positive comparison, suggesting admiration for the artist's stylistic choices."
