classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,Our golden voice rose smash hit needs 67.17m more views before we make history as the fastest song to reach two billion views. Let's go blinks,Expresses enthusiastic support and a desire for increased popularity.
Positive,Positive,The fact that this is gonna be a younger generation’s nostalgic song is crazy Rosé and Bruno really are entertaining for every possible generation.,Expresses positive sentiment about the song appealing to multiple generations.
Positive,Positive,let's make it to 2B views before its one year anniversary!! This will be the first in history!!,Expresses hope and excitement for reaching a significant milestone.
Positive,Positive,It's a lively and good song that's never boring to listen to❤,Expresses enjoyment and finds the song engaging.
Positive,Positive,You are making history Rosé,Expresses admiration and recognition of Rosé's achievements.
Positive,Positive,When the song is so powerful that the cat started dancing.😺 Let Rosé's voice sound forever. ❤,Expresses delight and admiration for the song's impact.
Positive,Positive,"!!!ATTENTION!!! We’re standing at the edge of history. If APT hits 2 billion streams on both Spotify and YouTube, ROSÉ will enter a league reserved for the most iconic artists in the world and possibly become the first K-pop female soloist to ever do it. We should reach 3.5M daily view until the end of this month so we can get those goals.",Expresses enthusiastic support and a goal-oriented desire to achieve a significant milestone.
Positive,Positive,"I like this song. It is one of my favorites. My best friend and I would vibe to this song all day, every day.",Expresses strong fondness and frequent listening habits.
Positive,Positive,First MV in history to reach 1.9 billion on YouTube AND Spotify! Crazyyyy,Expresses amazement and admiration for a significant YouTube achievement.
Positive,Positive,What a vibe ❤,Expresses positive emotion and appreciation.
Positive,Positive,"Almost 2 billion views in quite a short time, I bet this never happened before with any other songs😮 This must be the most populair song in history. I see songs who are like 10 years older, but still haven't reached the 1 billion views",Expresses excitement and admiration for the song's immense popularity.
Neutral,Positive,"Cant believe this song was 9month ago , time flies so fast. This is so nostalgic😢",Expresses a sense of nostalgia and reflection on time passing.
Positive,Positive,I'm literally still vibing to this masterpiece without getting tired of it. Rosé made history I'm so proud of her for coming that far 💖✨✨,Expresses intense and sustained enjoyment and admiration for the song and artist.
Positive,Positive,"Absolutely stunning pairing! The visuals, the vocals, and the chemistry between ROSÉ and Bruno Mars are mesmerizing. APT. is pure artistry. Love this!",Expresses enthusiastic praise for the artistic elements and performance.
Positive,Positive,Love the song! A catchy song! An iconic song in the world! Love u Rosé. You are the best,Expresses strong positive feelings and admiration for the artist.
Positive,Positive,This song is catchy for sure,Expresses a positive opinion about the song's catchiness.
Positive,Positive,"What, already 1.7 billion? Wow, so fast! I feel like i just witnessed a history in the making right now.",Expresses awe and excitement about the song’s massive popularity.
Positive,Positive,"I love this, rhey are having so much fun performing, the song is happy and up beat, and even the set was a fun color!",Expresses enjoyment of the performance and the song's upbeat nature.
Positive,Positive,0:37 the way Bruno can keep drumming without skipping a beat while Rosé hugs him like that is incredible,Expresses admiration for Bruno's drumming skills and the heartwarming interaction between him and Rosé.
Positive,Positive,"""The vibe is so fun and happy, love this song!""",Expresses strong positive feelings about the song's vibe.
Neutral,Neutral,Definitely has a late 2000's early 2010's vibe. Kinda like 3oh3 and Katy Perry.,Describes the song's style in terms of past artists without expressing a strong positive or negative opinion.
Positive,Positive,Dude this has perfect middle school couple vibes and i love it,Expresses fondness for the song’s relatable “middle school couple” theme.
Positive,Positive,Omg  !!!! Big fan here ! Love the vibes ! Slay ! I love this song . Listen to it everyday 🎉🎉🎉🎉🎉🎉🎉❤😂,Expresses strong enthusiasm and affection for the song.
Positive,Positive,Bubblegum Pop I like teen pop and this rosé vibe really,Expresses enjoyment of bubblegum pop and a ‘rosé vibe’.
Positive,Positive,This gave me chills… in the best way,Expresses a powerful and positive emotional response to the music.
Positive,Positive,I MISSED THOSE ARTIST COLLABORATION WE USED TO GET BACK IN THE 2000S. THIS HAS THOSE VIBES AND I M ALL HERE FOR IT,Expresses enthusiasm and nostalgia for past collaborations.
Positive,Positive,This song is so vibey let's get it to 2billion guys😂😂,Expresses enthusiasm and a desire for high views.
Positive,Positive,9 MONTHS OVER TO APT BUT STILL VIBE LIKE NEW SONG,Expresses satisfaction with the music despite a delayed release.
Positive,Positive,"“‘Apt.’ is a colorful hit by Rosé and Bruno Mars — a high-energy, pop-punk tune with an addictive ‘apateu’ chorus. Rosé’s voice on this song exudes both a soft femininity and a strong inner strength, especially when harmonizing with Bruno Mars — creating a fresh and confident feeling. Rosie’s album really has an impressive opening!”🫶❤️❤️‍🔥😭","Expresses enthusiastic praise for the song’s energy, Rosé’s vocals, and the album’s strong start."
Positive,Positive,Lyrics + voice = perfection ??,Expresses strong admiration and approval.
Positive,Positive,Y'all bring this trend back to life it feels so nostalgic already 😭,Expresses enthusiasm and fondness for a revived trend.
Positive,Positive,Congrats for another milestone!,Expresses congratulations and positive recognition.
Positive,Positive,"generally praised for its fun, catchy, and vibrant energy,","Describes the song’s positive attributes – fun, catchy, and vibrant."
Positive,Positive,Bruno’s smooth vocals + Rosé’s angelic voice = literal perfection. Who else didn’t expect this combo but can’t stop replaying? 🤯🎶,Expresses strong enthusiasm and admiration for the combined vocals.
Positive,Positive,"This collab is everything! Rosé looks genuinely happy and free, and the song is such a fun, unexpected vibe. I love seeing this side of her artistry.",Expresses joy and appreciation for the collaboration and Rosé's newfound artistic freedom.
Positive,Positive,Omg I got American 2000s High School Vibe.,Expresses a nostalgic and positive feeling associated with the song's theme.
Positive,Positive,Sure that After so many years we fell nostalgic for this song❤,Expresses fondness and nostalgia for the song.
Positive,Positive,"Rosé’s voice isn’t just heard — it’s felt. ‘APT’ is raw, emotional, and absolutely breathtaking. She never fails to touch the soul. 🥀🎶❤❤",Expresses deep admiration and emotional impact of the song.
Positive,Positive,"K  it may be true that Brother Mars contributed some, but it was rosé who wrote lyrics and composed music. rosé auditioned three songs for Brother Mars, and Brother Mars said that apt was very good, so they cooperated. This song is on the top of all the music of Brother Mars. I don't want to see anyone say that it's all up to Brother Mars or something. rosé is worth it.And numberones Don't be brainwashed by haters😅Rosé has made great contributions, and it is not necessarily so popular for another person to cooperate with Brother Mars, such as his cooperation with ladygaga.😅😂R totally deserves everything",Strongly defends rosé's contribution and praises her work.
Positive,Positive,The harmony of them is perfect✨️✨️🎀,Expresses delight with emojis indicating strong positive sentiment.
