comment,user_name,date,likes,compound,sentiment,sentimento_manual
One of the most emotion-filled songs i’ve ever heard,@rydogjkjr3325,2025-02-25T02:51:06Z,1760,0.0,Neutral,Positive
"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.",@benjaminmiller9656,2025-05-26T10:05:08Z,344,0.897,Positive,Positive
"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.",@michaelmacbeth7171,2024-12-05T07:03:26Z,241,0.1785,Positive,Positive
I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,@Exterme123,2025-01-06T08:47:15Z,28,0.7269,Positive,Positive
I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,@roborobert1,2025-04-27T22:18:26Z,21,0.5809,Positive,Positive
Such a catchy song. Definitely one of the best songs of the 2020s.,@BrentBare-cw6gz,2025-02-13T04:09:37Z,19,0.7845,Positive,Positive
"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖",@rikatochimomi2314,2025-01-22T11:06:25Z,16,0.7951,Positive,Positive
"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.",@Kellygluckman,2025-01-14T23:37:00Z,11,0.8828,Positive,Positive
I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,@astaroththedaeva9717,2025-02-25T04:48:51Z,10,0.5317,Positive,Positive
my deeply closeted dad finds this song uncomfortable for some reason,@WalterMellin-e1r,2025-05-28T23:04:03Z,9,-0.3818,Negative,Neutral
0:53 I’m almost 16 and I can still hit these notes,@mgwrestling27,2025-03-14T16:39:19Z,9,0.0,Neutral,Positive
"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds",@LouisTorres-ut4ks,2025-01-27T10:56:06Z,9,0.6597,Positive,Positive
I really love the ending how the music slows down but entire song gives such nostalgic vibes its great,@katkit1479,2025-06-26T00:17:39Z,8,0.8554,Positive,Positive
Kate bush vibes,@samb8744,2025-02-24T20:52:18Z,6,0.0,Neutral,Positive
2024 is already nostalgic 😢,@OnlyGanzi,2025-04-22T12:16:36Z,6,-0.4767,Negative,Neutral
Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,@Jataynaurr,2025-03-06T05:04:19Z,5,-0.7351,Negative,Neutral
"Chappell Roan's ""Good Luck, Babe!"" is such an empowering track! The lyrics hit hard, and the vibe is perfectly bold. Definitely a song that sticks with you. 🔥🎤",@pomas_official,2025-04-30T16:32:48Z,5,0.9214,Positive,Positive
I ugly girl cried when the bridge dropped. I wonder how many gay guys in the same situation with “straight” men behind closed doors can also relate to the lyrics.,@pottspointer8449,2025-05-12T18:33:00Z,5,-0.7096,Negative,Neutral
This how the weekend thinks he sounds. This girl has the 80’s vibe sound down to a T,@aggydreams,2025-01-26T04:25:44Z,5,0.0,Neutral,Neutral
"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful",@Amenlimit,2025-03-17T19:34:34Z,5,0.068,Positive,Negative
This song is fucking awful lmao,@BortJT,2025-02-03T09:08:20Z,5,0.2228,Positive,Negative
"Ever noticed the lyrics sound like ""Shutterstock""? 😂 Genius! 0:42",@jennybph,2024-11-20T00:50:32Z,5,0.69,Positive,Neutral
the lyric video giving vibes of 2007 computers HAHAHAHA love it,@moniquelacsamana8013,2025-01-12T02:40:12Z,5,0.765,Positive,Positive
