classificacao,comentario,justificativa,sentimento_manual
Positive,One of the most emotion-filled songs i’ve ever heard,"The commenter expresses a strong positive feeling, describing the song as 'emotion-filled'.",Positive
Positive,"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.","The comment expresses clear enthusiasm for the music and describes it positively, highlighting qualities like 'good' and 'real emotion'.",Positive
Positive,"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.","The commenter expresses admiration for the lyrics and finds resonance with their own experiences, indicating a positive emotional response.",Positive
Positive,I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,"The commenter expresses affection for the song's vocals and finds the lyric video 'goofy' in a positive way, indicating enjoyment.",Positive
Positive,I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,"The commenter expresses enthusiastic enjoyment of the music video, using terms like 'sweet,' 'killer,' and 'so hot,' indicating a positive sentiment.",Positive
Positive,Such a catchy song. Definitely one of the best songs of the 2020s.,The commenter expresses enthusiastic appreciation for the song's catchiness and ranks it highly within a recent decade.,Positive
Positive,"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖","The comment uses overwhelmingly positive adjectives describing the singer's voice and expresses excitement, indicating a positive emotional response.",Positive
Positive,"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.","The commenter expresses strong positive feelings about the song, repeatedly praising its quality and impact, indicating a highly favorable opinion.",Positive
Positive,I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,"The comment expresses strong enthusiasm and admiration for the artist and her music, using positive language like 'fucking love,' 'knows how to sing,' and 'good shit.'",Positive
Negative,my deeply closeted dad finds this song uncomfortable for some reason,The comment expresses discomfort and suggests a negative reaction to the song due to the commenter’s father's feelings.,Neutral
Positive,0:53 I’m almost 16 and I can still hit these notes,"The comment expresses admiration and accomplishment, indicating a positive emotional response to the music video.",Positive
Positive,"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds","The comment expresses enthusiastic praise for the song's qualities – catchy, good melody, and uplifting.",Positive
Positive,I really love the ending how the music slows down but entire song gives such nostalgic vibes its great,"The user expresses enthusiastic enjoyment and describes the song as 'great' and 'nostalgic', indicating a positive sentiment.",Positive
Positive,Kate bush vibes,The comment expresses a positive association with Kate Bush's music and style.,Positive
Positive,2024 is already nostalgic 😢,"The use of the crying emoji (😢) suggests a feeling of fondness and perhaps longing, indicating a positive sentiment towards the music video and the feeling it evokes.",Neutral
Positive,Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,"The use of '😭😭' (crying emojis) suggests a nostalgic and appreciative reaction to the cover, indicating a positive sentiment.",Neutral
Positive,"Chappell Roan's ""Good Luck, Babe!"" is such an empowering track! The lyrics hit hard, and the vibe is perfectly bold. Definitely a song that sticks with you. 🔥🎤","The commenter expresses enthusiastic praise for the song, using terms like 'empowering,' 'hit hard,' and 'perfectly bold,' indicating a positive sentiment.",Positive
Negative,I ugly girl cried when the bridge dropped. I wonder how many gay guys in the same situation with “straight” men behind closed doors can also relate to the lyrics.,"The comment expresses sadness and implies a potentially uncomfortable or difficult situation, indicating a negative emotional response.",Neutral
Positive,This how the weekend thinks he sounds. This girl has the 80’s vibe sound down to a T,"The comment expresses admiration for the music video’s sound and aesthetic, using positive language like ‘down to a T’.",Neutral
Positive,"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful","The comment expresses a powerful and emotional reaction to the music video, indicating a positive sentiment despite the somewhat unsettling situation described.",Negative
Negative,This song is fucking awful lmao,The use of 'fucking awful' and 'lmao' clearly indicates a negative reaction to the music video.,Negative
Positive,"Ever noticed the lyrics sound like ""Shutterstock""? 😂 Genius! 0:42","The commenter expresses amusement and praise for a clever lyric association, indicating a positive reaction.",Neutral
Positive,the lyric video giving vibes of 2007 computers HAHAHAHA love it,The user expresses enjoyment and a nostalgic feeling ('love it') associated with the video's style.,Positive
Positive,I absolutely love the style of the MV it’s so nostalgic,The use of words like 'absolutely love' and 'nostalgic' clearly expresses a positive feeling about the music video.,Positive
Negative,Thank goodness my homophobic countrys radios don't see the sapphic meaning so I can vibe,The comment expresses frustration and negativity towards a perceived lack of representation and societal prejudice.,Positive
Positive,"As a gay man, I can relate to these lyrics so much.",The commenter expresses a strong personal connection and positive feeling regarding the lyrics.,Positive
Positive,"I will never tire of this song. Lyrics, production, song, singer….ten out of ten!","The commenter expresses strong enthusiasm and gives a high rating, indicating a positive feeling towards the music video.",Positive
Positive,"She’s got like 80s,90s,00s vibes all rolled into 1 somehow",The comment expresses a positive appreciation for the music video's nostalgic style and sound.,Positive
Positive,"the tone, the lyrics, the video gives me nostalgic vibes. it's like I've been returning to the past where the world still good, but I had to stop these feelings because I don't live in the past :(","The commenter expresses a feeling of nostalgia and fondness for the video's themes, indicating a positive emotional response.",Positive
Positive,No Doubt vibes,"The comment expresses a positive association with the music video, referencing the popular band No Doubt.",Positive
Positive,2:37 and 3:23 IS THE BEST PART OF THIS SONG. OMGGGG THE SONG IS GOOD ALREADY BUT THOSE TWO PARTS TOUCH ME EMOTIONALLY AND I GET CHILLS LOL.,"The commenter expresses strong positive feelings about specific parts of the song, using enthusiastic language and describing emotional impact.",Positive
Positive,"This woman has single handedly mastered 80's, 90's, and 00's vibes. How.",The comment expresses admiration and high praise for the music video's style and influence.,Positive
Positive,She gives Marina Diamond vibes,"The comment expresses a positive comparison, associating the artist with a well-regarded and admired figure.",Neutral
Positive,Gwen Stefani vibe ❤,The use of 'vibe' and the heart emoji clearly indicate a positive sentiment towards the music video.,Positive
Positive,I love the vintage youtube lyric video vibes it's so nostalgic,"The commenter expresses clear enthusiasm and fondness for the video's style, indicating a positive sentiment.",Positive
Positive,"imagine just. releasing one of the most influential songs of a generation. because of how good and nice and fun and catchy your vocalizations and wordplay are. like, oops! i did poetry and music and self expression so good that this song will become a cultural touchstone!! that's what it means to be queer btw","The comment expresses overwhelmingly positive feelings about the song's quality and impact, using enthusiastic language like 'good,' 'nice,' 'fun,' and 'catchy,' and celebrating its potential as a cultural landmark.",Positive
Positive,"""The energy, the melody, the vibe—everything is just chef’s kiss.""",The enthusiastic use of 'chef's kiss' indicates strong approval and delight with the music video.,Positive
Neutral,It gives the old Microsoft computers vibe,The comment evokes a nostalgic feeling without expressing explicit positive or negative emotion about the music video itself.,Neutral
Positive,"As a man I always love a song that speaks unapologetically to the silent struggles of being a woman in society. The emotion in the vocals and simplicity of the hook said it all before I read the lyrics. Too many ladies that need love and respect. I had to choose one. Keep searching, don't settle for these braggadocious bozos, true empathy and kindness exists for you if seek it and forsake the nonsense.","The comment expresses admiration for the song's message and themes of empathy and respect, indicating a positive sentiment.",Positive
Positive,HELPPP IM LITERALLY AROACE(?) AND DONT RELATE TO THE LYRICS AT ALL BUT IM STILL CRYING OVER THIS WTF ITS LIKE 2 PM ON A WEDNESDAY AND IM CRYING OVER A SONG WITH A POWERPOINT PRESENTATION VIDEO 😭,"Despite expressing frustration, the commenter is clearly moved by the song and its video, indicated by the continued crying and exclamation of 'WTF' (which often indicates strong emotional response).",Neutral
Positive,Why this song feels like Nostalgic. 80's vibes,The comment expresses a positive feeling of nostalgia associated with the music and its 80s influences.,Positive
Negative,Why does the lyrics video feels like created on PowerPoint 😂😂,The comment expresses a negative opinion by comparing the lyrics video to something perceived as low-quality and amateurish (PowerPoint).,Negative
Positive,It was driving me crazy to figure out what this song reminded me of until I finally found it! The first notes are definitely very similar to french song J'en ai marre by Alizee,"The comment expresses excitement and satisfaction about discovering the song's inspiration, indicating a positive reaction.",Neutral
Positive,she is so amazing and love her vocals. I have just bought the album and would love to see her perform at victorious music festival Portsmouth UK,"The commenter expresses enthusiastic praise for the artist and their vocals, coupled with a purchase of the album.",Positive
Positive,"How many of you just realized that the whole chorus gets slower each time, and not only in the last one?","The comment highlights a clever observation about the music video, indicating appreciation and engagement.",Neutral
Positive,the lyrics in comic sans are getting me lol,The use of 'lol' indicates amusement and a positive reaction to the lyrics.,Neutral
Negative,"As a heterosexual man, the passion and raw display of emotional love makes me wish I was gayer to experience such love.","The comment expresses a desire to *be* something different, indicating dissatisfaction with the current situation and a negative reaction to the video's portrayal of love.",Positive
Negative,Am aroace but relate sooo much to how she describes comphet 💔 I come back everytime I tell myself I need to love a man. These lyrics are so painful,"The comment expresses feelings of pain and difficulty relating to love, indicating a negative emotional response to the music video's themes.",Positive
Positive,"I'm only now realizing that this is the actual video, not just a temporary video until the official video is made","The commenter expresses a positive reaction to discovering the actual video, indicating satisfaction and excitement.",Neutral
Positive,This was a great vibe song this year and a great song to represent 2024.,The commenter expresses enthusiasm and positive feelings about the song and its representation of the year.,Positive
Positive,Oh I really love the lyrics man. Coming back here and thinking about story ideas,The user expresses a clear fondness for the lyrics and indicates positive reflection on the video's narrative.,Positive
Negative,My wife use to say something a lot similar to these lyrics to me for such a long time. She always say she hope we die together so we're always together. Until she suddenly passed in '21 leaving me with our two boys. I feel forever heartbroken because she left alone but our kids need me. I miss her so fucking much. This is a great song if it could bring up so much deep emotions.,"The comment expresses profound grief, heartbreak, and longing, indicating a negative emotional state despite acknowledging the song's impact.",Negative
Positive,Very catchy song,The use of 'catchy' indicates a positive opinion about the song.,Positive
Positive,"It's amazing that she perfectly captured the vibe of a past relationship between a straight man and straight woman from the perspective of a straight man, as a straight woman. W for all the straight fellas out there like me ❤",The comment expresses admiration and positive feelings about the video's portrayal and connection with the viewer.,Positive
Positive,"It's a good song, but looking at the lyrics as a story, it's possible the lover really is a closeted lesbian. But it's more likely that, the character Chappell is portraying is lacking self-awareness. The _contempt_ with which she says 'nothing but a wife' shows how she doesn't respect heterosexual relationships and that they can be loving too. So I think she's using her own lack of understanding/empathy towards straight couples to turn this into an 'us vs them' thing. Maybe her ex left her simply because of Chappell's personality, and she doesn't want to face that. So she blames straightness instead. 'You didn't leave me because I'm shallow; it's because you're in denial.' Seems implausible.","Despite acknowledging potential issues, the commenter ultimately expresses a positive opinion of the song and suggests a thoughtful interpretation of the lyrics.",Positive
Positive,I love this song. She sings well. Yes! Thank you universe for bringing a great new pop artist that sings beautiful 😍,"The comment expresses enthusiastic enjoyment and appreciation for the song and artist, using positive language and emojis.",Positive
Positive,Nerissa Ravencroft introduced me to this song! Such an old school 80/90's vibe to it...,The commenter expresses enthusiasm and positive recognition of the song's nostalgic style.,Positive
Positive,Its giving Kate Bush vibes a bit,"The comment expresses a positive comparison, associating the music video with a well-regarded artist and suggesting a favorable reception.",Positive
Negative,"The last thing anyone needs is two old, heterosexual men mansplaining the hidden meanings in the lyrics to this song. ... so hop aboard your pink pony (does that mean what I think?), slap on some drag, and click our profile to listen to the last thing that anyone needs 🍀💋 ... featuring a reading of the best comments from below this video, in case you don't want to scroll through all 22,548","The comment expresses frustration and disapproval of the video's content and explanation, using dismissive language and sarcasm.",Negative
Positive,this is so nostalgic.. kids of the 90s and teens of 00s represent 😂💖,"The commenter expresses fondness and reminiscing, indicating a positive emotional response to the music video.",Positive
Positive,Loving the 80s vibes retro modern,The commenter expresses enjoyment and appreciation for the video's style.,Positive
Positive,"Lol I thought that the chorus was ""I could stop the world just to start the feeling"" and had no idea it was about lesbians until I read the lyrics 😂😂😂","The commenter expresses amusement and enjoyment of the music video and its lyrics, indicated by laughter and a positive reaction to the unexpected meaning.",Neutral
Positive,"I heard it for the first time on the radio at work, and I think that despite the weak lyrics and the tragic slowdown at the end - the performance is amazing-fantastic!!! That's why I'm shocked, I thought there would be half a billion view here, at least!!! I just hope she doesn't get discouraged and she will do her thing... I'll be waiting for more Kayleigh, you'll be grand❤❤❤","The commenter expresses enthusiastic admiration for the performance and hopes for the artist's continued success, outweighing concerns about the lyrics.",Neutral
