classificacao,comentario,justificativa,sentimento_manual
Positive,Her smooth vocals and heartfelt lyrics hit every time ❤,The comment expresses admiration and appreciation for the singer's performance using positive emojis and language.,Positive
Positive,Gives me that 90s Vibe 💯 THANK YOU SZA,"The commenter expresses enthusiasm and appreciation for the video's nostalgic feel, indicating a positive sentiment.",Positive
Positive,"I love SZA she is just a vibe period. Her voice is amazing!! I love her music, it is so giving.",The commenter expresses strong positive feelings about SZA and her music using enthusiastic language like 'love' and 'amazing'.,Positive
Positive,I literally listen to this song about 100x a day the lyrics her voice the beat it’s just the whole package I’m addicted to this song,"The commenter expresses strong enthusiasm and describes the song as an 'addiction', indicating a positive emotional response.",Positive
Positive,"Her voice is absolutely gorgeous. Amazing control and delivery, not to mention the flow and rhythm 🧐🤩","The commenter uses overwhelmingly positive adjectives like 'gorgeous,' 'amazing,' and expresses enthusiastic emojis, indicating a highly favorable opinion.",Positive
Positive,her songs are so catchy plus the lyrics are always fire 🔥 love sza,"The commenter uses enthusiastic language like 'catchy,' 'fire,' and 'love,' clearly expressing a positive feeling about SZA's music.",Positive
Positive,I love this song. I love the melody. SZA has a great voice.,The commenter expresses clear enthusiasm and admiration for the song and the artist's voice.,Positive
Positive,"This song is pure magic; it's like a warm hug and a confession of love all in one. SZA, you have a gift for capturing raw emotions. Definitely putting this on repeat!","The commenter expresses strong positive feelings about the song and SZA’s talent, using evocative language and a desire to repeatedly listen to it.",Positive
Positive,"1:48 I've been listening to this song every day lately, her voice is so amazing I can't get enough of it. ❤️Sometimes her high notes sound like an old Justin, am I the only one who thinks that?","The commenter expresses strong positive feelings about the song and the artist's voice, indicating enjoyment and enthusiasm.",Positive
Positive,Driving thru Midtown Atlanta as it’s raining with the woman of my dreams listening to this. Good vibes!!,The commenter expresses enjoyment and positive feelings ('good vibes') related to the music video and their experience.,Positive
Positive,im a grown ass man but this song man… i just wanna blast it driving windows down screaming the lyrics. her voice is angelic,"The commenter expresses enthusiastic enjoyment and excitement about the song and the artist's voice, indicating a positive sentiment.",Positive
Positive,"The slowed tempo, the dreamy riffs at the beginning & end, she turned emotions into melody, Snooze hits you right in the feels.",The commenter expresses overwhelmingly positive feelings about the music video's emotional impact and musical elements.,Positive
Positive,Every one of Sza's songs have the deepest lyrics. Even with few words.,"The commenter expresses admiration for the lyrical depth of Sza's music, indicating a positive sentiment.",Positive
Positive,This song show me how strong her vocals really are everything about this song is amazing,"The commenter expresses enthusiastic praise for the song and its vocals, indicating a positive sentiment.",Positive
Positive,How she moves her notes is hypnotic ❤️‍🔥,The use of the heart emoji and the word 'hypnotic' clearly indicates a positive reaction to the music video.,Positive
Positive,Hit those notes beautifully 🔥🔥🔥,The use of fire emojis and the word 'beautifully' clearly indicates enthusiastic appreciation for the music video.,Positive
Positive,Those outro vocals hit so hard. Like she’s succumbed to her feelings and is being washed away by them,"The comment expresses strong positive feelings about the vocals, using phrases like 'hit so hard' and 'washed away by them'.",Positive
Positive,"I’m 48 years old and all I’ve got to say is that the music SZA sings is what this world needs! Her vocals and smooth R&B sound is absolutely top notch. Please, let’s keep this amazing genre alive through eternity!","The commenter expresses strong positive feelings about SZA's music, praising her vocals and genre, indicating a favorable opinion.",Positive
Positive,SZA is so powerful 💪🏾💯👑🌞 a power that definitely came from the most Hight🌌,"The comment uses positive emojis and praise, expressing strong admiration for SZA.",Positive
Positive,THAT BEAT...FIRE✌️,The use of 'fire' indicates a strong positive feeling towards the music and video.,Positive
Positive,I can’t get over the vocals in the background at 2:28 😶‍🌫️👌🎧,The user expresses enjoyment of the vocals with positive emojis and a thumbs up.,Positive
Positive,"WOW after reading several comments, I must say this song brings big emotions. But it's the part about """"LOOKING GOOD UP UNDER HIM, AND HIM BEING TOO IMPORTANT"" for me. Like this is how I feel about my husband. This is definitely getting added to our Chill playlist.","The commenter expresses a positive emotional response to the song and intends to add it to a playlist, indicating enjoyment.",Positive
Positive,"🎶 Wow, this beat got my heart dancing in perfect sync! 🔥 The melodies are like a musical rollercoaster taking me on an exhilarating ride. 🎢 Can't wait to jam to this and create some magic! 🎵💫",The commenter expresses enthusiastic enjoyment and excitement about the music video's rhythm and melodies.,Positive
Positive,"Such a vibe "" beautiful voice & song ❤❤🖤🖤",The use of emojis (hearts and black hearts) and positive phrases like 'such a vibe' indicate a generally positive sentiment.,Positive
Positive,I'm a old school head...bring real vocals back. Great job SZA!,"The commenter expresses admiration and approval of SZA's work while advocating for a style they enjoy, indicating a positive sentiment.",Positive
Positive,This Sza got the magic lyrics and that voice She keeps the hits coming .. I like her because to go for a ride and listen to this..  is the Bomb!,The commenter expresses enthusiastic admiration and enjoyment of the music video and artist's work.,Positive
Positive,"Omg I have this song 🎵 on repeat, just listen to all the hip hop lyrical runs and metaphors in her verses , this is ridiculous lol , her cadence is so complex and runs off the beat and on again so smooth, Sza is definitely in a lane between herself trying to sing along is getting better after 100 plays lol",The comment expresses enthusiastic enjoyment and positive feedback regarding the artist’s skill and the song's quality.,Positive
Positive,I love this song so much. It's just a vibe. ❤❤,The user expresses strong positive feelings about the song using phrases like 'love' and 'just a vibe'.,Positive
Negative,2:30 SZA prob hurt her vocals from doing that,"The comment expresses concern about the artist's vocal health, indicating a negative reaction to the video content.",Neutral
Positive,I’m starting to listen to this song at a young age to help me with high notes for my voice this is only the start ❤🥲 …. SZA never stop grinding on your music keep it up and stay loving,The commenter expresses enthusiastic support and appreciation for the artist's music and its positive impact.,Positive
Positive,This song is so amazing the vocals and pure talent its just so awesome!,The comment expresses enthusiastic praise for the song's quality and the artist's talent.,Positive
Positive,Definitely a vibe 😩💕,The use of 'vibe' and emojis like '😩' and '💕' strongly indicate a positive emotional response to the music video.,Positive
Positive,I NEED TO HERE MORE OF THESE VOCALS,"The commenter expresses a desire for more of the vocals, indicating enjoyment.",Positive
Negative,This song takes u deep down under and u really be thinking too deeply into it and having regrets and missing a certain person that's in the past,"The comment expresses feelings of regret and missing someone from the past, indicating a negative emotional response to the song's themes.",Negative
Positive,I literally love this song I have it as my ringtone it's so good like really I love this song so much I literally play all day And every day,"The commenter uses enthusiastic language like 'love,' 'so good,' and 'literally,' clearly expressing positive feelings about the music video and song.",Positive
Positive,2025....I'm here and Jasmine is still one of the most underrated vocalist❤️❤️❤️❤️,The use of heart emojis and the statement about Jasmine being 'underrated' indicate a positive sentiment towards the music video and the artist.,Positive
Positive,"The person that record this hit, please i feel this so deep. All I can feel is love when I listen to this master piece. Thank you for this ❤❤","The commenter expresses feelings of deep connection and love towards the music video, indicating a positive sentiment.",Positive
Positive,I love the chorus and beat and it put together really well. And her voice,The comment expresses enthusiasm and appreciation for the music video’s elements and the artist’s vocal performance.,Positive
Positive,"She’s a Scorpio, notice she’s in the middle of nowhere over water. The emotions run deep, as Sagittarius who was in a relationship with a Scorpio, i understand and feel the same","The comment expresses an understanding and shared feeling of deep emotions, indicating a positive connection to the music video's theme.",Positive
Positive,I listen to this and zone out 😵‍💫this a vibe 4 sure,"The commenter expresses enjoyment and describes the music as a 'vibe', indicating a positive feeling.",Positive
Positive,0:03 is my favorite part of the song ❤ (the vocal),The use of the heart emoji and the phrase 'my favorite part' clearly indicates a positive sentiment towards the video.,Positive
Positive,she flows in this beat,"The comment expresses a positive feeling about the music video's beat, using the word 'flows' which implies a pleasing experience.",Positive
Positive,"This song is so smooth, gives me old school vibes 😌",The commenter expresses positive feelings about the song's quality and nostalgic atmosphere.,Positive
