classificacao,comentario,justificativa,sentimento_manual
Positive,This music video has got an unbelivable 2000s vibe. I love everything about it.,"The user explicitly states they 'love everything about it,' indicating a positive feeling.",Positive
Positive,"All of this is a master piece:the beat,the voice, and her. Just a master piece","The commenter expresses strong admiration and praise for the music video, using terms like 'masterpiece' and highlighting positive elements.",Positive
Positive,"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes",The comment expresses admiration and appreciation for Dua Lipa's vocal talent and performance.,Positive
Positive,"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood","The commenter expresses strong positive feelings regarding the music video's instrumental, acting, and lyrics.",Positive
Positive,"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤",The comment uses overwhelmingly positive adjectives and emojis to express strong admiration for the artist and her music.,Positive
Positive,It's amazing how only she can beat herself everytime❤,The use of the heart emoji and the phrase 'only she can beat herself' indicates a positive and admiring sentiment towards the artist.,Positive
Positive,"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!","The commenter expresses enthusiastic approval and excitement about the music and production, indicating a positive sentiment.",Positive
Positive,Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,The comment expresses strong positive feelings about the artist and the music's blend of styles.,Positive
Positive,"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody",The commenter expresses strong approval and admiration for the music video's production and arrangement.,Positive
Positive,"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.",The commenter expresses strong positive feelings ('love') and explicitly states they enjoy a specific element of the music video's style.,Positive
Positive,"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",The commenter expresses enthusiastic appreciation for the music video's style and its connection to iconic dance eras.,Positive
Positive,2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,"The commenter expresses enjoyment of the music and instrumentation, indicating a positive reaction to the video and song.",Neutral
Positive,"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉","The commenter expresses fondness for Dua's music and suggests a shared appreciation across cultures, indicating a positive sentiment.",Positive
Positive,"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.","The commenter expresses enthusiastic appreciation for Dua Lipa and her music, highlighting a positive experience and combating age-related bias.",Positive
Positive,Bridge hits chorus hits lyrics absolute masterpiece 🙌🏼 obsessed,The use of emojis and words like 'masterpiece' and 'obsessed' clearly indicate strong positive feelings about the music video.,Positive
Positive,Loving the Tame Impala vibes. Kevin should have Dua featured in his next album. ♥,"The commenter expresses enthusiastic approval and a suggestion for a desirable collaboration, indicating a positive sentiment.",Positive
Positive,This one song beats all of Taylor swifts songs for a mile ….,The commenter is expressing a strong preference and comparison in a clearly enthusiastic manner.,Positive
Positive,"Oh my God she has finally left the synth wave/funk behind, first song from her I add to my playlist since New Rules",The commenter expresses excitement and positive feelings about the artist's new direction and adds the song to their playlist.,Positive
Positive,the perfect single! that chorus just feels so good.,"The commenter expresses enthusiastic enjoyment of the song's chorus, indicating a positive sentiment.",Positive
Positive,"I likee, this is really a deep song, a deep topic. I´m feeling that way, I feel like this song  also describing the way I feel about my relationships.",The commenter expresses positive feelings about the song's depth and resonance with their personal experiences.,Positive
Positive,When that second chorus hits and the extra layers of vocal harmonies come in and they way they're layered with those tasty guitars oooo man! The mix on this song is really great. Can't wait for this new album.,"The commenter expresses enthusiastic enjoyment of the song's production and anticipation for the album, indicating a positive sentiment.",Positive
Positive,kevin going crazy with these songs!! fits so well with dua's vibe and voice,The comment expresses enthusiastic enjoyment of the music and the artist's performance.,Positive
Positive,"I like the beauty of Hollywood how dua lipa describes her relationships as simple ""training season"" however, Hollywood never had training things and seasons because creativity, beauty of pure nature, experimentations, heart breaks, and overall connection, community, and emotions waving out as waves poring life into the whole industry and the world cannot be moulded through ""training seasons"" ❤","The comment expresses admiration for the music video and its themes, using positive language like 'beauty' and 'waving out'",Positive
Positive,"Dua being iconic again, I m obsessed with her 90’ vibes can’t wait for her next tour 🤩","The commenter expresses adoration and excitement, indicating a positive feeling towards Dua Lipa and the music video.",Positive
Positive,Dua vocal is much better than Taylor Swift.,"The commenter explicitly states that Dua Lipa's vocals are 'much better,' indicating a positive opinion.",Positive
Positive,"This song is way too catchy, i'm so excited😊",The commenter expresses excitement and a positive reaction to the song's catchiness.,Positive
Positive,Stylish vibe w/ sweet musical flare as one can always expect from the master that is Dua Lipa!,"The comment expresses enthusiastic admiration for Dua Lipa and her music style, clearly indicating a positive sentiment.",Positive
Positive,It's giving Abba with those piano chords 👂🏽❤,The use of emojis and comparison to Abba indicates a positive reaction to the music video.,Positive
Positive,Training Season by Dua Lipa is melody excitement at its finest.  The humorous and imaginative way that Dua Lipa is portrayed in a hypnotic and alluring way is also part of the music video enchantment.,"The comment expresses strong positive feelings about the music video, using words like 'excitement,' 'enchantment,' and describing it as 'at its finest.'",Positive
Positive,Her an Calvin Harris NEED to make another song together it's time to go back to those EDM pop vibes,"The commenter expresses a desire for more music from these artists, indicating a positive sentiment towards their collaboration.",Positive
Positive,Amazing song. A little weird hearing her using high pitch but sounds amazing anyways. Saludos from Argentina DUA!,The comment expresses overall positive feelings about the song despite noting a minor stylistic preference.,Positive
Positive,She's so underrated..i love her lyrics so much❤,The use of 'love' and the heart emoji clearly indicate a positive sentiment towards the artist and her music.,Positive
Positive,besides the music...lyrics are actually relatable in some context like woah,"The comment expresses a positive opinion about the lyrics being 'relatable,' indicating enjoyment and a favorable feeling.",Neutral
Positive,This sounds powerful!,"The comment expresses enthusiastic approval of the music's sound, indicating a positive feeling.",Positive
Positive,The kind of song that the chorus plays endlessly in your head ❤,The use of the heart emoji and phrase 'endlessly in your head' indicates a strong positive association with the song.,Positive
Positive,Chorus is so catchy and cool,"The comment expresses enthusiastic approval of the chorus, indicating a positive sentiment.",Positive
Positive,Am I the only one who actually likes this music video? Pairing this upbeat song with such a simplistic video like this fits really well because it's not overstimulating.,The commenter expresses enjoyment and approval of the video's simplicity and the song's fit.,Positive
Positive,Wasn't sure about this song the first time i listened just because its got very different chords and structure than most pop but after a few listens i really like it just for that reason.,"The commenter expresses a change of opinion, ultimately stating they",Positive
Negative,The worst Dua’s musical video 💀,The use of 'worst' and the '💀' emoji clearly indicate a negative sentiment towards the music video.,Negative
Negative,"quite boring song, not catchy.... the video is also somithing strange. Before the songs were much better","The comment expresses dislike through terms like 'boring,' 'not catchy,' and 'strange,' indicating a negative sentiment.",Negative
Positive,90s movie vibe🎞,The comment expresses a positive appreciation for the video's nostalgic style.,Positive
Positive,They play this song once every 2 hours at work... Very catchy,The comment expresses a positive reaction to the song's catchiness and frequent play.,Positive
Positive,Ironically  the song sounds like a whirlpool. Musically and visually everything begins to spin and then stops in the chorus. What makes you feel like VERTIGO.🌪🌀🌀🌀,"The commenter uses the word 'vertigo' which evokes a strong, intense feeling, suggesting they enjoy the video's effect.",Neutral
Negative,I’m sick of 14 yr old girl lyrics,"The comment expresses frustration and disapproval regarding the song's lyrical content, indicating a negative sentiment.",Negative
Positive,"It's gonna be hard for this era to beat Future Nostalgia because FN is pure perfection, but I'm so ready for Radical Optimism!!","The commenter expresses excitement and admiration for the new music video, indicating a positive sentiment.",Neutral
Positive,Lyrics are on point ❤🇦🇷,The use of a heart emoji and the mention of the Argentine flag suggest a positive reaction to the music video and its lyrics.,Positive
Negative,"Her worst video /song. Hate her new basic look. No wonder she is in her flop era. Girl step it up, stop playing it safe!","The comment expresses strong dislike and criticism of the artist's recent work and appearance, using negative language like 'hate,' 'flop era,' and 'playing it safe'.",Negative
Positive,The chorus EASILY could have been an ABBA song.,"The comment expresses a positive comparison to a highly regarded musical artist, ABBA.",Neutral
Negative,This is her worst single,"The comment expresses a critical opinion, using the phrase 'worst single', indicating dissatisfaction.",Negative
Positive,..the chorus reminds me of Digital Farm Animal (Tokyo Night)...,"The commenter is explicitly comparing the music video's chorus to a well-regarded electronic music act, indicating a positive association.",Neutral
Positive,Why does this lady have such catchy songs,"The commenter expresses admiration for the singer's songs, indicating a positive sentiment.",Positive
Positive,Ariana grande and dua lipa are carrying pop genre. Two amazing music artists. No other female music artist can beat them,"The comment expresses enthusiastic praise for Ariana Grande and Dua Lipa, using positive adjectives and a superlative comparison.",Positive
Positive,Everyone song of her give different vibes ❤,The use of the heart emoji and the positive phrasing ('give different vibes') indicate a favorable opinion.,Positive
Positive,This song is really catchy,The use of 'really catchy' indicates a favorable and enthusiastic opinion of the song.,Positive
Positive,Giving a Monica Bellucci from Malena vibes,The comment expresses admiration and appreciation for a positive comparison to a well-regarded film and actress.,Neutral
Negative,Why does her voice sound pitched up compared to her live performances,"The comment expresses dissatisfaction with the audio quality, indicating a negative perception of the music video.",Negative
