classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,One of the most emotion-filled songs i’ve ever heard,Expresses a strong positive sentiment due to the description of the song as ‘emotion-filled’.
Positive,Positive,"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.",Expresses strong positive feelings about the music's quality and sound.
Positive,Positive,"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.",Expresses deep connection and empathy with the song's themes.
Positive,Positive,I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,Expresses strong enjoyment and finds the lyric video amusing.
Positive,Positive,I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,Expresses enthusiasm and positive reaction to the song's style and energy.
Positive,Positive,Such a catchy song. Definitely one of the best songs of the 2020s.,Expresses strong positive sentiment and ranks it among the best songs of the decade.
Positive,Positive,"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖",Expresses overwhelming admiration and appreciation for the singer's vocal qualities.
Positive,Positive,"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.",Expresses intense love and appreciation for the song and its emotional impact.
Positive,Positive,I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,"Expresses strong admiration for the artist and her music, highlighting positive aspects and celebrating her identity."
Negative,Neutral,my deeply closeted dad finds this song uncomfortable for some reason,Suggests discomfort and potentially shame related to the music.
Positive,Positive,0:53 I’m almost 16 and I can still hit these notes,Expresses admiration and ability to hit high notes.
Positive,Positive,"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds",Expresses strong positive opinions about the song's qualities.
Positive,Positive,I really love the ending how the music slows down but entire song gives such nostalgic vibes its great,Expresses strong enjoyment and nostalgic feelings about the song.
Positive,Positive,Kate bush vibes,Expresses admiration for Kate Bush's style.
Neutral,Neutral,2024 is already nostalgic 😢,"Expresses a wistful, slightly melancholic feeling without strong positive or negative connotations."
Negative,Neutral,Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,Expresses outrage and criticism of the altered lyrics.
Positive,Positive,"Chappell Roan's ""Good Luck, Babe!"" is such an empowering track! The lyrics hit hard, and the vibe is perfectly bold. Definitely a song that sticks with you. 🔥🎤",Expresses strong enjoyment and describes the song's impact.
Neutral,Neutral,I ugly girl cried when the bridge dropped. I wonder how many gay guys in the same situation with “straight” men behind closed doors can also relate to the lyrics.,Expresses personal emotion alongside a potentially judgmental observation about the song's themes.
Neutral,Neutral,This how the weekend thinks he sounds. This girl has the 80’s vibe sound down to a T,Compliments the style but implies a somewhat dated or cliché sound.
Negative,Negative,"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful",Expresses confusion and sadness regarding the song’s meaning.
Negative,Negative,This song is fucking awful lmao,"Uses strong, offensive language to express extreme dislike."
Neutral,Neutral,"Ever noticed the lyrics sound like ""Shutterstock""? 😂 Genius! 0:42","A humorous observation with a playful, slightly sarcastic tone."
Positive,Positive,the lyric video giving vibes of 2007 computers HAHAHAHA love it,Expresses amusement and enjoyment of the lyric video's nostalgic aesthetic.
Positive,Positive,I absolutely love the style of the MV it’s so nostalgic,Expresses strong fondness for the music video's style.
Negative,Positive,Thank goodness my homophobic countrys radios don't see the sapphic meaning so I can vibe,Expresses frustration and disapproval related to censorship and homophobia.
Positive,Positive,"As a gay man, I can relate to these lyrics so much.",Expresses a strong connection and identification with the song's themes.
Positive,Positive,"I will never tire of this song. Lyrics, production, song, singer….ten out of ten!",Expresses overwhelming enthusiasm and gives the song a perfect score.
Positive,Positive,"She’s got like 80s,90s,00s vibes all rolled into 1 somehow",Expresses fondness for a nostalgic sound reminiscent of multiple decades.
Positive,Positive,"the tone, the lyrics, the video gives me nostalgic vibes. it's like I've been returning to the past where the world still good, but I had to stop these feelings because I don't live in the past :(","Expresses fondness and a wistful, positive nostalgic feeling."
Positive,Positive,No Doubt vibes,Expresses a positive association with the music of No Doubt.
Positive,Positive,2:37 and 3:23 IS THE BEST PART OF THIS SONG. OMGGGG THE SONG IS GOOD ALREADY BUT THOSE TWO PARTS TOUCH ME EMOTIONALLY AND I GET CHILLS LOL.,Expresses intense emotional response and enjoyment of specific parts of the song.
Positive,Positive,"This woman has single handedly mastered 80's, 90's, and 00's vibes. How.",Expresses overwhelming admiration and appreciation for the artist’s musical style.
Neutral,Neutral,She gives Marina Diamond vibes,"Compares the artist to another, expressing a positive association but also a slight critique."
Positive,Positive,Gwen Stefani vibe ❤,Expresses fondness and identifies with Gwen Stefani's style.
Positive,Positive,I love the vintage youtube lyric video vibes it's so nostalgic,Expresses fondness for the nostalgic YouTube lyric video style.
Positive,Positive,"imagine just. releasing one of the most influential songs of a generation. because of how good and nice and fun and catchy your vocalizations and wordplay are. like, oops! i did poetry and music and self expression so good that this song will become a cultural touchstone!! that's what it means to be queer btw",Expresses strong admiration and identifies the song as influential and culturally significant.
Positive,Positive,"""The energy, the melody, the vibe—everything is just chef’s kiss.""",Expresses enthusiastic and highly positive appreciation.
Negative,Neutral,It gives the old Microsoft computers vibe,Evokes a negative association with outdated technology.
Positive,Positive,"As a man I always love a song that speaks unapologetically to the silent struggles of being a woman in society. The emotion in the vocals and simplicity of the hook said it all before I read the lyrics. Too many ladies that need love and respect. I had to choose one. Keep searching, don't settle for these braggadocious bozos, true empathy and kindness exists for you if seek it and forsake the nonsense.",Expresses strong support and admiration for the song's message and emotional impact.
Neutral,Neutral,HELPPP IM LITERALLY AROACE(?) AND DONT RELATE TO THE LYRICS AT ALL BUT IM STILL CRYING OVER THIS WTF ITS LIKE 2 PM ON A WEDNESDAY AND IM CRYING OVER A SONG WITH A POWERPOINT PRESENTATION VIDEO 😭,Expresses intense emotional response alongside criticism of the song's content.
Positive,Positive,Why this song feels like Nostalgic. 80's vibes,Expresses a fondness for the song’s resemblance to 80s music.
Negative,Negative,Why does the lyrics video feels like created on PowerPoint 😂😂,Expresses dissatisfaction and ridicule regarding the music video's visual quality.
Neutral,Neutral,It was driving me crazy to figure out what this song reminded me of until I finally found it! The first notes are definitely very similar to french song J'en ai marre by Alizee,Acknowledges a similarity to another song while expressing a positive sentiment about the original.
Positive,Positive,she is so amazing and love her vocals. I have just bought the album and would love to see her perform at victorious music festival Portsmouth UK,Expresses strong admiration and excitement about the artist and her music.
Neutral,Neutral,"How many of you just realized that the whole chorus gets slower each time, and not only in the last one?",Observes a noticeable change in tempo and highlights a specific detail.
