classificacao,comentario,justificativa,sentimento_manual
Positive,"The baby wasn't kicking, it was beatboxing🍼🎤","The comment highlights a creative and enjoyable aspect of the music video, suggesting amusement and appreciation.",
Negative,"the idol vibes, that's not a compliment","The comment uses the phrase 'that's not a compliment,' indicating a critical and unfavorable opinion of the music video.",
Negative,"Cara, não é arte, é desespero, não é contemporâneo, é algo que beira a atrocidade...","The comment expresses strong disapproval and critiques the video as 'atrocious,' indicating a negative sentiment.",
Neutral,Director to the Weeknd: whats your worst nightmare?,"This comment is a direct question from a viewer, lacking any explicit emotional expression regarding the music video itself.",
Positive,"The pregnant woman symbolizes creation, transformation, and the emotional weight The Weeknd carries. She represents his struggle for rebirth or new beginnings, reflecting his inner conflict with fame and the consequences of his past. The surreal and disorienting imagery adds to the idea that while there’s potential for change, it’s unclear whether it’s positive or negative.",The comment praises the video's symbolism and imagery as representing potential for positive change and artistic depth.,
Negative,What on earth did I just witness?! How could anyone possibly believe this video aligns with the song’s lyrics or its concept? What the actual FUCK  has happened to creativity and artistry in today’s music production?,"The comment expresses strong disapproval and frustration with the video, using aggressive language and questioning the video's artistic merit.",
Positive,"Song is fire, video clip is making my inners reverse",The use of 'fire' and 'making my inners reverse' indicates enthusiastic enjoyment of the song and video.,
Positive,"Love the video! Out of the box...out of the ultra boring and repetitive things out there. Something impactful, something to keep us talking about it","{""sentiment"":""Positive"",""justification"":""The commenter expresses enthusiasm and describes the video as 'impactful' and something to 'keep us talking about it'.”}",
Negative,One of the worst music video I've ever seen,The comment explicitly expresses a negative opinion by stating it's 'one of the worst music videos',
Positive,ANITTA IS VERY POWERFUL,"The comment expresses admiration and appreciation for the artist, indicating a positive sentiment.",
Positive,Hat Ähnlichkeit mit der verstörenden Orbit Kaugummi-Werbung 😅 aber Musik und Melody ist geil,"The comment expresses a positive reaction, stating the music and melody are ‘geil’ (cool/great).",
Positive,You guys overseas are like this because of the music video; imagine if you knew the translation!😂,"The comment expresses amusement and a desire for understanding, indicating a positive reaction to the music video's impact.",
Negative,Why the fuck this video giving darkweb vibes,"The comment expresses a strong negative reaction, using offensive language and describing a disturbing feeling associated with the video's content.",
Positive,Me listening the entire  music for that single goosbump tone ❤,The use of 'goosbump tone' and the heart emoji indicate a positive reaction to the music video.,
Positive,"The baby wasn't kicking, it was beatboxing🍼🎤","The comment expresses amusement and appreciation for the beatboxing, indicating a positive reaction.",
Positive,This Brazilian funk beat is insane 🔥❤️‍🔥🎧,The use of emojis (🔥❤️‍🔥🎧) and the word 'insane' strongly indicates excitement and positive sentiment towards the music video.,
Negative,great song with worst video,The comment uses 'worst' which indicates a negative evaluation of the video despite acknowledging the song's quality.,
Negative,"The worst thing is that, Anitta is a great success in Brazil 😭 this explains a bit the ridiculous situation that Brazil is undergoing... The population deserves the country they have, congrats fucking Brazil!","Despite acknowledging Anitta's success, the comment expresses frustration and negative judgment of Brazil's situation with highly critical and angry language.",
Negative,"The worst music that The Weeknd recovered, because this Anitta!",The comment expresses a strong negative opinion by claiming the song is the 'worst' and criticizing Anitta's involvement.,
Positive,That chorus is one of the best pieces of music I've ever heard,"The commenter expresses strong positive feelings about the chorus, stating it's 'one of the best pieces of music' they've ever heard.",
Negative,This video is even darker than every verse of the Berserk manga in its most extreme stages,"The comment uses the comparison to 'Berserk manga in its most extreme stages,' which implies a very dark and disturbing portrayal, indicating a negative sentiment.",
Negative,The best song ever with worst video ever lol,"The comment expresses a strong negative opinion about the video despite praising the song itself, indicated by the 'worst' and 'lol' usage.",
Negative,How the fuck does this have any correlation to the song lyrics.,"The comment expresses frustration and criticism regarding the music video's connection to the song, indicating a negative sentiment.",
Positive,Sometimes... the audio is powerful enough. No video needed🎧✨,"The commenter expresses a positive opinion about the audio quality, indicating a favorable sentiment.",
Negative,Worst music video ever,"The comment explicitly expresses a negative opinion, stating the video is the 'worst ever'.",
