classificacao,sentimento_manual,comentario,justificativa
1,1,She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,Expresses admiration for the artist's versatility and diverse artistic expression.
0,1,"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece",Expresses excitement and enthusiasm mixed with a somewhat awkward and unexpected connection.
1,1,This is giving me 2000s punk rock vibes. I love it,Expresses enthusiastic enjoyment of the song’s style.
1,1,this mv gives off 2000s-2010s vibes in the BEST way!!,Expresses strong positive feelings about the music video's nostalgic aesthetic.
0,1,The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,Highlights a specific lyrical quality (Retroactive Jealousy) while offering a potentially critical assessment of the song's content.
1,1,She’s such a good actress - she conveys emotion so well,Expresses admiration for the artist’s acting skills and ability to convey emotion.
1,1,She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,Expresses strong enthusiasm and enjoyment of the song.
1,1,"1:00 im getting such strong ballad of monalisa vibes, love it🖤","Compares the song to a well-regarded ballad, expressing a positive sentiment."
1,1,"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this",Expresses strong admiration and enthusiasm for the artist's style and the music.
-1,1,CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,Expresses extreme distress and disappointment with the song's lyrics.
1,1,"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤",Expresses strong appreciation for the visual aesthetic and production.
1,1,I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,Expresses strong enjoyment and appreciation for the artist's style and storytelling.
0,0,This has such a 2000s music vibe,Acknowledges a positive vibe but frames it within a potentially negative association (dated).
1,1,"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao",Expresses strong enjoyment and excitement about the song.
1,1,Love her how she makes lyrics so relatable. ❤,Expresses appreciation for the song's relatable lyrics.
1,1,"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it",Expresses strong positive feelings and appreciation for the nostalgic pop-punk style.
1,1,Love these rock vibes,Expresses strong enjoyment of rock music.
0,0,She’s giving Wednesday vibes,References a specific aesthetic (Wednesday) which could be interpreted positively or negatively depending on the context.
0,0,Can you make another music like drivers licence and traitor vibes again?,Expresses a desire for similar songs while simultaneously criticizing a previous one.
1,1,this songs such a vibe,Expresses a positive feeling about the song's atmosphere.
1,1,This song is a vibe,Expresses a positive feeling about the song.
0,1,"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY",Expresses intense excitement and admiration alongside criticism of the song's 'insanity'.
1,1,This song is such a vibeee✨️✨️,Uses enthusiastic language expressing strong positive feelings.
1,1,Olivia is a vibe trust me,Expresses enthusiastic approval and admiration for Olivia.
0,0,"coming back to this music video, #THATGIRL could never beat olivia rodrigo.",Expresses admiration for the video while dismissing Olivia Rodrigo's work.
1,1,Tryna listen for Chappell’s backing vocals!!!,Expresses excitement and appreciation for a specific musical element.
0,1,Olivia always beats it!!❤‍🔥,Expresses affection while also using a dismissive and slightly negative tone.
-1,0,Olivia is giving gay vibes with this one,Implies a negative association with the artist's style.
1,1,Omg Olivia so much emotions you are so talented and incredible❤,Expresses strong admiration and affection for Olivia.
1,1,Good vibes!,Expresses a positive feeling and enthusiasm.
1,1,The overflow of emotion that's always present in Rodrigo's song👍👍👍,Expresses enthusiastic positive feelings about the song.
1,1,"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤",Expresses strong affection and appreciation for the song and artist.
0,1,"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.",Contains both positive affirmation and a strong expletive.
1,1,What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,Expresses strong positive feelings and uses enthusiastic language.
1,1,❤ love the relatability of her lyrics,Expresses appreciation for the song's relatable lyrics.
1,1,Love the rock vibes!!,Expresses strong enjoyment of the song's rock style.
0,0,The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,Acknowledges similarity to another song while expressing a personal opinion.
1,1,I’m so obsessed with your exe so catchy right,Expresses strong enthusiasm and enjoyment of the song.
1,1,i love this music video!! like i wish “get him back” had a similar vibe,Expresses positive enjoyment of the music video's style.
-1,-1,This song is annoying,Expresses strong dissatisfaction and irritation.
0,0,I’m only here for the Alt/Rock vibes.,States a preference for a specific musical genre without expressing positive or negative feelings about the song itself.
0,0,The moves makes me emotional,Expresses a strong feeling (emotional) but doesn't explicitly state positive or negative sentiment about the performance itself.
-1,0,God damn whatever guy has all these girls as his exes must be the most attractive dude in the universe,Expresses disbelief and disdain regarding the subject's attractiveness.
-1,-1,She did it again. Olivia somehow managed to be more generic than Taylor Swift. She carefully handpicked another one of the most generic situations in life and is pretending she wrote and filmed a masterpiece. The delusion is beyond. And the people who likes her music are the most basic I ever witnessed in my lifetime. That's impressive. What a load of shit.,Dismisses Olivia's song as generic and insulting to listeners.
0,1,It's giving me Avril Lavigne vibes❤❤ love it❤️,References a specific artist while expressing positive feelings.
1,1,This gives me 90’s Garbage and Courtney Love vibes. ❤,Expresses enjoyment of the song’s similarity to 90s artists.
1,1,The classical rocker vibe we love ❤,Expresses fondness for the song's style.
-1,0,I feel this Lyrics so much (unfortunately) 🥲,Expresses sadness and regret related to the lyrics.
1,1,The most emotional yet beautiful song on Olivias channel,Expresses a high level of appreciation and emotional connection.
-1,-1,"When her music is good, it's really good but too bad when it's bad, it's some of the worst out there like this song. This song is so cringe in every way possible",Expresses strong disapproval and deems the song 'cringe'.
1,1,"This is very Michelle Branch, the music video is giving me Whip IT (2009) vibes and I’m here for it",Expresses enjoyment of the song's similarity to a classic track.
1,1,"..the life of every fucking party. I've got issues.....  Hahahaaaa!!!!😂❤🎉🎉 LUV this song & others. Esp. when idoL #oliviarodrigo cusses swears.. so real. Like most of us do. HahaHaaa!!!!! LUV this song, video, lyrics.. & many of her songs. Our #philippines' #princess ❤️ 😊 🥰 🎉💜 💜💜",Expresses enthusiastic enjoyment and appreciation for the song and artist.
1,1,Chaotic and emotionally raw. I love it.,Expresses strong positive feelings about the song's chaotic and raw nature.
-1,-1,Ewwwww the lyrics are soo cheap,Expresses strong disapproval of the song's lyrics.
1,1,"The best song I've ever heard in my entire life, nothing beats this song.",Expresses overwhelmingly positive and superlative feelings about the song.
0,0,"Hi Olivia, not sure if youll see this but I heard Fefe Dobson's Shut up and Kiss me and I can hear you singing it. It has the same vibe with some of your songs.","Compares Olivia’s song to another artist, suggesting similarities but also noting a difference."
0,0,1:26 im obsessed with the way she blows the kiss so annoyingly but kindly at the same time ❤😘,Expresses both affection and annoyance simultaneously.
1,1,Finding this now has been a GIFT! This is a vibe. The vibe. 🔥🔥🔥,Expresses strong excitement and enjoyment of the song.
1,1,"Catchy, witty, sexy, kinda heavy......I'm impressed",Expresses strong positive opinions about the song's qualities.
-1,-1,i dont see how everyone else isnt cringing at the lyrics.,Expresses discomfort and criticism of the song's lyrics.
0,0,She reminds me of Em Behold and a 2000's favorite called Poe. She has the same style as EB but a lower tone in singing when doing serious lyrics just like Poe.,"Compares the artist to two other singers, highlighting both similarities and differences."
1,1,She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,Expresses strong enthusiasm and positive enjoyment of the song.
1,1,OMG I AM LOVE IT GIVES OFF BRUTAL VIBES!!!!!!!!!,Expresses intense excitement and enjoyment.
0,0,"That first half of the chorus, what does it remind me of?",Expresses a questioning observation without a clear positive or negative judgment.
-1,-1,worst music in the world trash music,Strongly expresses dislike and deems the music as 'trash'.
1,1,"In addition to all of the other amazing qualities, performance, aesthetic, voice, look, smarts,  Imma jus gonna say that Livvy might be the greatest poprock songwriter of ALL TIME. These lyrics are profound poetry, every damn song. Especially this one!",Strongly praises Livvy's songwriting as 'profound poetry'.
1,0,WHY IS THIS SO NOSTALGIC NOW..,Expresses a positive feeling of nostalgia.
1,1,Olivia can you please please please🙏 make a song about me i love u so much my name is harmony love u olivia your the best and im so obsessed with u   i listen to your songs every day love u liv love u liv your the best,Expresses intense adoration and a plea for a personalized song.
1,1,Cleaning up the mess the exes made with a vacuum in the end is such a vibe😂,Expresses enjoyment and a positive feeling related to the song.
1,1,I'm so obsessed with it I love it it's giving me rock Vibes I I can't stop listening to it❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Expresses intense and repeated enjoyment of the song.
1,1,WHO SAID I CANT WEAR MY CONVERSE WITH MY DRESS-,Expresses defiance and confidence.
1,1,legendary lyrics,Expresses high praise for the song’s lyrics.
1,1,"Damn, I feel seen. I remember dating a dude, and even though we were together, I was obsessed with his ex because I was afraid she would come back and take him away. It's a terrible feeling. It comes from insecurity and low self-esteem but is real and painful. I would put on red lipstick; sometimes, my face would morph into hers in the mirror. I am no longer with that dude, and I am finally working on myself, and I overcame her. This song feels like she wrote it for me. I know it's not true, but it feels good to TRULY relate to her lyrics and music.",Expresses deep connection and validation through the song's lyrics.
0,0,Tone like telephone by lady Gaga 🤔✌️,"Compares the song to another, acknowledging a similarity while expressing a potentially ambivalent opinion."
0,0,Fãs do Justin Bieber e Selena Gomez tão nessa vibe,Identifies a shared audience without expressing a positive or negative sentiment about the music itself.
1,1,Good vibes to start a new year! SO MUCH PUNK! WOW!! NEVER EXPECTED THIS!!!,Expresses enthusiastic excitement and positive feelings.
1,1,"Love this song….. the concept, the vocal performance, the instrumentation, the production. On Point",Expresses strong approval of multiple aspects of the song.
0,0,Why did it give vibes like deja vu but karma hits version...??!,Acknowledges a familiar feeling while criticizing a specific version.
0,0,Uma vibe 2010's,References a specific era without expressing positive or negative emotion.
1,1,Giving jealousy jealousy and brutal vibes I love it!!,Expresses strong enjoyment and admiration for the song's intense energy.
