classificacao,comentario,justificativa
Positive,"We must give juice to this girls writing , melody and delivery. Excited for a full project",The commenter expresses enthusiastic approval and excitement regarding the music video's quality.
Positive,"the lyrics, the voice control… omg she is incredible","The commenter expresses enthusiastic admiration and amazement, indicating a positive feeling about the music video."
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"The commenter expresses positive feelings about the song and artist, using phrases like 'relaxed' and 'in the mood for summer vibes'"
Positive,"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",The commenter expresses enthusiastic enjoyment and a desire for more music of this style.
Positive,"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗","The comment uses enthusiastic language ('SO ADDICTING', 'GOSH', 'SO pretty') and emojis to express a positive feeling about the music video."
Positive,I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,"The comment expresses overwhelmingly positive feelings about the vocals and the track's execution, using words like 'phenomenal' and 'perfect'"
Positive,"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.","The commenter expresses clear enthusiasm and affection for the song, using positive language like 'best songs' and 'I love this song'."
Positive,"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏","The comment expresses enthusiastic praise and excitement about the song, indicating a strong positive sentiment."
Positive,"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect","The commenter expresses strong positive feelings about the song's various aspects, using enthusiastic language like 'on point' and 'perfect'."
Positive,"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.","The commenter expresses strong positive feelings about the song, describing it as connecting them to their femininity and becoming their anthem."
Positive,Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,"The commenter expresses enthusiastic love for the song and describes a joyful, positive action, indicating a favorable sentiment."
Positive,"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",The commenter expresses enthusiastic appreciation for all aspects of the song.
Positive,I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,"The user expresses enthusiastic enjoyment and a positive association with the music video's vibe, using emojis to reinforce their positive feelings."
Positive,"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽","The commenter expresses enthusiastic appreciation for the song and artist, indicating a positive feeling."
Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,The commenter expresses enjoyment and positive feelings about the song and artist.
Positive,Very refreshing and catchy song. Love it!!,"The user expresses enthusiastic approval and fondness for the song, indicating a positive sentiment."
Positive,Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,The commenter uses enthusiastic emojis and positive adjectives like 'perfect' and 'right feels' to express enjoyment of the music video.
Positive,Amazing song she’s gorgeous her vocals are so soft 🔥🔥🔥🔥🔥🔥,The comment expresses enthusiastic praise and excitement for the song and the artist's appearance.
