classificacao,comentario,justificativa,sentimento_manual
Positive,Our golden voice rose smash hit needs 67.17m more views before we make history as the fastest song to reach two billion views. Let's go blinks,"The comment expresses encouragement and excitement about the song's potential success, indicating a positive sentiment.",Positive
Positive,The fact that this is gonna be a younger generation’s nostalgic song is crazy Rosé and Bruno really are entertaining for every possible generation.,"The commenter expresses positive feelings about the song's appeal to multiple generations, describing Rosé and Bruno as ‘entertaining’.",Positive
Positive,let's make it to 2B views before its one year anniversary!! This will be the first in history!!,"The comment expresses excitement and optimism about the video's success, indicating a positive sentiment.",Positive
Positive,It's a lively and good song that's never boring to listen to❤,The commenter expresses positive feelings about the song using words like 'lively' and 'good' along with an emoji indicating enjoyment.,Positive
Positive,You are making history Rosé,"This comment expresses admiration and celebration, indicating a positive sentiment towards the video and Rosé's performance.",Positive
Positive,When the song is so powerful that the cat started dancing.😺 Let Rosé's voice sound forever. ❤,The use of emojis like '😺' and '❤' alongside the enthusiastic statement indicates a positive emotional response to the music video.,Positive
Positive,"!!!ATTENTION!!! We’re standing at the edge of history. If APT hits 2 billion streams on both Spotify and YouTube, ROSÉ will enter a league reserved for the most iconic artists in the world and possibly become the first K-pop female soloist to ever do it. We should reach 3.5M daily view until the end of this month so we can get those goals.",The comment expresses excitement and optimism about the potential for APT's success and Rosé's achievements.,Positive
Positive,"I like this song. It is one of my favorites. My best friend and I would vibe to this song all day, every day.",The comment expresses clear enjoyment and a positive association with the song.,Positive
Positive,First MV in history to reach 1.9 billion on YouTube AND Spotify! Crazyyyy,"The comment expresses excitement and amazement at a significant achievement, indicating a positive sentiment.",Positive
Positive,What a vibe ❤,The use of a heart emoji and the word 'vibe' indicates a positive feeling about the music video.,Positive
Positive,"Almost 2 billion views in quite a short time, I bet this never happened before with any other songs😮 This must be the most populair song in history. I see songs who are like 10 years older, but still haven't reached the 1 billion views","The commenter expresses excitement and amazement at the song's popularity, indicating a positive sentiment.",Positive
Positive,"Cant believe this song was 9month ago , time flies so fast. This is so nostalgic😢",The use of 'nostalgic' and the emoji express a positive feeling about the song and its memories.,Positive
Positive,I'm literally still vibing to this masterpiece without getting tired of it. Rosé made history I'm so proud of her for coming that far 💖✨✨,"The user expresses enthusiastic enjoyment and pride, using positive language and emojis.",Positive
Positive,"Absolutely stunning pairing! The visuals, the vocals, and the chemistry between ROSÉ and Bruno Mars are mesmerizing. APT. is pure artistry. Love this!","The comment expresses enthusiastic admiration and enjoyment of the music video, using words like 'stunning,' 'mesmerizing,' and 'pure artistry' which clearly indicate a positive sentiment.",Positive
Positive,Love the song! A catchy song! An iconic song in the world! Love u Rosé. You are the best,The comment expresses strong positive feelings through repeated expressions of love and admiration for the artist and the song.,Positive
Positive,This song is catchy for sure,The comment expresses a positive opinion by stating the song is 'catchy'.,Positive
Positive,"What, already 1.7 billion? Wow, so fast! I feel like i just witnessed a history in the making right now.","The commenter expresses excitement and awe at the video's popularity, indicating a positive sentiment.",Positive
Positive,"I love this, rhey are having so much fun performing, the song is happy and up beat, and even the set was a fun color!","The commenter expresses clear enjoyment and positive feelings about the video's performance, music, and visuals.",Positive
Positive,0:37 the way Bruno can keep drumming without skipping a beat while Rosé hugs him like that is incredible,"The comment expresses admiration and excitement about the musicians' performance and interaction, indicating a positive feeling.",Positive
Positive,"""The vibe is so fun and happy, love this song!""",The commenter expresses positive feelings through enthusiastic language like 'fun' and 'love'.,Positive
Positive,Definitely has a late 2000's early 2010's vibe. Kinda like 3oh3 and Katy Perry.,"The commenter expresses a positive association with the music video's style, comparing it favorably to popular artists.",Neutral
Positive,Dude this has perfect middle school couple vibes and i love it,"The commenter expresses a positive feeling by stating they 'love it' and associates it with a desirable, romantic scenario.",Positive
Positive,Omg  !!!! Big fan here ! Love the vibes ! Slay ! I love this song . Listen to it everyday 🎉🎉🎉🎉🎉🎉🎉❤😂,The comment expresses enthusiastic support and enjoyment of the song with numerous positive emojis and exclamation marks.,Positive
Positive,Bubblegum Pop I like teen pop and this rosé vibe really,The commenter expresses enjoyment of the music video's style ('rosé vibe') and genre ('teen pop').,Positive
Positive,This gave me chills… in the best way,The phrase 'chills... in the best way' expresses a highly positive and enthusiastic emotional response to the music video.,Positive
Positive,I MISSED THOSE ARTIST COLLABORATION WE USED TO GET BACK IN THE 2000S. THIS HAS THOSE VIBES AND I M ALL HERE FOR IT,"The commenter expresses nostalgia and enthusiasm for the collaboration, indicating a positive feeling.",Positive
Positive,This song is so vibey let's get it to 2billion guys😂😂,The use of 'vibey' and the celebratory 'let's get it' indicates enthusiastic approval.,Positive
Positive,9 MONTHS OVER TO APT BUT STILL VIBE LIKE NEW SONG,The commenter uses the word 'vibe' which conveys a positive feeling about the song and the video's atmosphere.,Positive
Positive,"“‘Apt.’ is a colorful hit by Rosé and Bruno Mars — a high-energy, pop-punk tune with an addictive ‘apateu’ chorus. Rosé’s voice on this song exudes both a soft femininity and a strong inner strength, especially when harmonizing with Bruno Mars — creating a fresh and confident feeling. Rosie’s album really has an impressive opening!”🫶❤️❤️‍🔥😭","The comment expresses enthusiastic praise for the song, highlighting its energy, Rosie’s vocal performance, and the album's opening, indicating a clearly positive sentiment.",Positive
Positive,Lyrics + voice = perfection ??,"The commenter expresses enthusiastic approval of the lyrics and vocals, indicating a positive sentiment.",Positive
Positive,Y'all bring this trend back to life it feels so nostalgic already 😭,"The commenter expresses fondness and excitement, using emotive language and the crying emoji to indicate a positive feeling.",Positive
Positive,Congrats for another milestone!,"The comment expresses congratulations, indicating a positive feeling towards the video and its creator.",Positive
Positive,"generally praised for its fun, catchy, and vibrant energy,","The comment expresses enthusiastic approval using words like 'praised,' 'fun,' 'catchy,' and 'vibrant' indicating a positive sentiment.",Positive
Positive,Bruno’s smooth vocals + Rosé’s angelic voice = literal perfection. Who else didn’t expect this combo but can’t stop replaying? 🤯🎶,The commenter expresses strong positive feelings about the song’s combination of voices and repeatedly enjoys listening to it.,Positive
Positive,"This collab is everything! Rosé looks genuinely happy and free, and the song is such a fun, unexpected vibe. I love seeing this side of her artistry.",The commenter expresses enthusiastic enjoyment and appreciation for the music video and Rosé's performance.,Positive
Positive,Omg I got American 2000s High School Vibe.,The exclamation 'Omg' and the positive descriptor 'American 2000s High School Vibe' clearly indicate a favorable reaction.,Positive
Positive,Sure that After so many years we fell nostalgic for this song❤,The use of the heart emoji and the expression 'fell nostalgic' clearly indicates a positive emotional response to the song.,Positive
Positive,"Rosé’s voice isn’t just heard — it’s felt. ‘APT’ is raw, emotional, and absolutely breathtaking. She never fails to touch the soul. 🥀🎶❤❤",The comment expresses overwhelmingly positive feelings about Rosé's performance and the song's emotional impact.,Positive
Positive,"K  it may be true that Brother Mars contributed some, but it was rosé who wrote lyrics and composed music. rosé auditioned three songs for Brother Mars, and Brother Mars said that apt was very good, so they cooperated. This song is on the top of all the music of Brother Mars. I don't want to see anyone say that it's all up to Brother Mars or something. rosé is worth it.And numberones Don't be brainwashed by haters😅Rosé has made great contributions, and it is not necessarily so popular for another person to cooperate with Brother Mars, such as his cooperation with ladygaga.😅😂R totally deserves everything","The comment expresses strong support for rosé's contribution and explicitly states she 'totally deserves everything,' indicating a positive sentiment.",Positive
Positive,The harmony of them is perfect✨️✨️🎀,The use of positive emojis and the word 'perfect' clearly indicates a positive sentiment towards the music video.,Positive
Positive,QUEEN WE ARE SO CLOSE TO 2B OMG YIURE GONNA SHATTER SO MANY RECORDS AND YOURE GONNA LEAVE ANOTHER MARK IN KPOP HISTORY ROSÈ YOURE THE BEST ❤❤❤❤,"The comment expresses enthusiastic support and admiration for Rosé, indicating a positive sentiment.",Positive
Positive,"This song is so upbeat, I think I can listen to it 100 times?",The commenter expresses enthusiastic enjoyment and a desire to repeatedly listen to the song.,Positive
Positive,Rewatching to reach 2 BILLION milestone??🎉,The use of the celebratory emoji and enthusiastic language ('2 BILLION milestone') clearly indicates a positive reaction.,Positive
Negative,The Most Annoying Song is Everywhere 😭🙏,The use of 'annoying' and the crying emoji clearly indicate a negative sentiment towards the song.,Negative
Positive,I never appreciated the vocal quality in APT this much until I heard the new release of that song today😂,"The user expresses a newfound appreciation for the vocals, indicating a positive reaction to the song's release.",Positive
Positive,Im army (im crying now this song will beat dynimite music (π_π),"The commenter expresses excitement and a positive emotional response to the song, indicated by phrases like 'beat dynamite music' and the use of a smiling emoji.",Positive
Positive,This masterpiece never again produce in History A-P-T!!!!,The exclamation points and superlative language ('masterpiece') clearly indicate strong positive sentiment towards the music video.,Positive
Positive,"I love your music. The vibe is like rock and I love love your music, especially apt",The comment expresses clear enthusiasm and adoration for the music and its overall vibe.,Positive
Positive,The beauty and karma of universe of rosé getting Grammy in same category in which that boy band group from korea lost for 3 consecutive years.,"The comment expresses joy and admiration for the artist's success and celebrates a positive outcome, indicating a favorable sentiment.",Neutral
Positive,I love how this song takes me on a journey. It starts off slow and builds up to this epic climax that gives me chills every time.,"The commenter expresses enthusiastic enjoyment and describes a powerful, positive emotional response to the music video.",Positive
Positive,"Energetic and hyped: Think channels with fast-paced editing, upbeat music, and high-energy content.","The comment uses enthusiastic and positive terms like 'energetic,' 'hyped,' and describes desirable qualities of the video.",Positive
Positive,Rose u are my life u are my feelings u are my heart u are my best idol u are my love my queen my princess my best vocal my everything i love you rosie i love you so much,"The comment expresses overwhelming adoration and love for the artist, indicating a very positive sentiment.",Positive
Positive,Rose angelic voice +Bruno iconic tone =Masterpiece,The comment expresses strong praise and admiration for the video's quality and the performers' voices.,Positive
Positive,0:52 insane vibezzz,The comment expresses enthusiastic enjoyment with the phrase 'insane vibezzz'.,Positive
Positive,nostalgical,The word 'nostalgical' evokes a warm and positive feeling of reminiscence and longing.,Neutral
Positive,This song has such a catchy beat!,The comment expresses enthusiastic enjoyment of the song's rhythm.,Positive
Positive,this song will forever be a vibe,The phrase 'forever a vibe' expresses a strong positive feeling and enjoyment of the music.,Positive
Positive,Siblings vibes✨,"The use of 'siblings vibes' suggests a feeling of warmth, connection, and enjoyment.",Positive
Positive,BLIИKS let's go for 2 billion milestone,The commenter is expressing enthusiasm and support for reaching a significant milestone.,Positive
Positive,"This song has been stuck in my head for days and I never heard the Bruno mars part, and I had no clue wtf she was sayin, it took me forever to find it....still stuck in my head tho, catchy tune","Despite expressing confusion, the commenter ultimately admits to enjoying and repeatedly listening to the song, indicating a positive sentiment.",Positive
Positive,Republica - Ready to go vibes. Megaphone and all haha,The commenter expresses enthusiasm with phrases like 'Ready to go vibes' and 'haha' indicating a positive reaction.,Positive
Neutral,"A question, is the song Japanese or Chinese because there are a lot of Japanese or Chinese people, I honestly don't know why it has the same lyrics xd I'm Mexican","The comment expresses confusion about the lyrics and cultural origins, but doesn't convey strong positive or negative emotions.",Neutral
Negative,This is the worst song I ever heard,The comment explicitly expresses a negative opinion about the song's quality.,Negative
Positive,its such a happy vibe! it reminds me of those random collabs back in the 00',"The commenter uses positive language ('happy vibe') and evokes nostalgic, pleasant memories.",Positive
Positive,"Rosé made a really good song, it was very catchy and catchy.",The commenter expresses positive feelings about the song using words like 'good' and 'catchy'.,Positive
Negative,Lyrics source?  I have no friggin' idea what the chorus is.  WTF are they saying?,"The comment expresses frustration and confusion regarding the lyrics, indicating a negative sentiment.",Negative
Negative,How poetic it is going to be for rosé winning Grammy in same category a boyfriend from korea lost for 3 consecutive years. 😂😂 I feel universe really worked against bts and army,"The comment expresses frustration and a sense of injustice regarding BTS's loss, indicating a negative sentiment.",Negative
Positive,Oi eu sou seu fã sempre eu escuto essa música sempre eu gosto dessa música tempo hoje eu vou lembrar até quando eu ser grande😊❤❤❤❤❤❤❤❤❤❤❤,"The user expresses enthusiastic support and fondness for the music video, indicated by repeated expressions of liking and emojis.",Positive
Positive,This should be in history books.,The comment expresses a high degree of approval and admiration for the music video.,Positive
Negative,most annoying song ever holy shit,"The comment expresses strong negative feelings about the song, using phrases like 'most annoying' and 'holy shit'.",Negative
Positive,It's just amazing and really fun to  listen to this song it has a very crazy and amazing vibe,The commenter expresses enthusiastic enjoyment and positive feelings about the song's vibe.,Positive
Negative,"What’s up with this song? I mean one kpop singer writes her own song for once, gets Bruno Mars on it and suddenly it’s a hit? Like wtf. There are thousands of artists out there writing meaningful songs daily but just can’t blow up but the korean sl*t can? I mean 2b views and 2b streams in under a year is hella overrated for as meaningless as this. Only 10 year old girls listen to this on repeat. Like bro.  I can guarantee nobody is gonna be calling this crap nostalgic.","The comment expresses frustration and dismisses the song's success and artistic merit, using derogatory language and implying it’s popular due to manufactured factors rather than genuine quality.",Negative
Positive,Bruno Mars representing Fillipinos. GO BRO YOURE FUCKING AMAZING. This shit real catchy too.,The comment expresses enthusiastic praise and admiration for Bruno Mars' performance using positive language and exclamation points.,Positive
Positive,"This song hits differently. The way ROSÉ and Bruno blend their voices is pure magic! 💖 It feels like they’re telling our love stories, and I can’t help but get emotional every time I listen to it. Thank you for sharing such beautiful art! 🌹✨","The commenter expresses enthusiastic enjoyment and admiration for the song and its artistry, using positive language and emojis.",Positive
Positive,2:20 this lyrics suited in thalaivar coolie's movie 🛐💥,The use of emojis and the phrase 'suited in thalaivar coolie's movie' strongly indicates a positive reaction to the music video.,Positive
Positive,APT is already 9 months old? It's nearly a year since this catchy song has released!!!,The commenter expresses enthusiasm and excitement about the song's longevity and catchiness.,Positive
Negative,Most worst music I have heard ever only boys will understand,The comment uses strong negative language ('most worst') expressing a highly unfavorable opinion of the music.,Negative
Positive,A vibe dessa música é sem igual ❤,The use of 'sem igual' (without equal) and the heart emoji indicate a strong positive feeling about the music video.,Positive
Positive,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂❤❤❤❤❤❤❤good vibe in this song,The comment expresses enthusiastic approval and enjoyment of the song through repeated heart emojis and positive language.,Positive
Positive,Is there any place in the world  that doesn’t know the chorus and all the words to the song?,The comment expresses a positive sentiment about the song's popularity and widespread recognition.,Positive
Negative,"This is catchy and maybe cute, but upon further listens, it lacks any substance at all. The lyrics are completely incohesive, even with translations and context.","While initially perceived positively, the comment ultimately expresses disappointment due to the lack of substance and coherence in the song's lyrics and overall lack of depth.",Neutral
Positive,Love is the deepest loneliness in the imperfections of life. Love is the memory of someone that carries with it through time. I miss you Farhana.❤,"The comment expresses fondness and nostalgia, indicating a positive emotional response to the music video and a personal connection.",Neutral
Negative,Idk why is this so popular? Yeah I have the respect but this is terrible,"The comment expresses disapproval using phrases like 'terrible' and questions the video's popularity, indicating a negative sentiment.",Negative
Positive,Old-school vibes 🔥,The use of '🔥' (fire emoji) indicates enthusiastic approval and a positive reaction to the video's style.,Positive
Positive,Pink venom is now less than a million views away from history. Let's come together to finish this. What a wonderful 9th anniversary gift this would be,"The comment expresses enthusiastic support and a desire to help the video reach a significant milestone, indicating a positive sentiment.",Negative
Positive,I love the vibes of this song also beetween singers. But Bruno Mars is a genius,"The comment expresses enthusiastic enjoyment ('I love the vibes') and praises the artist's talent, indicating a positive sentiment.",Positive
Positive,"“APT.” (242.7M) is now the most streamed song by a female K-pop act in US Spotify history, surpassing The Weeknd’s “One Of The Girls (with JENNIE and Lily-Rose Depp)” (242M).","The comment highlights a significant achievement – the song breaking a record, indicating positive reception and success.",Positive
Positive,Amazing  i love the vibe 😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤😂❤🎵🎵🎸🎸🎸🎸🎙🎙🎻🎺🪕,"The comment is filled with enthusiastic emojis and positive words, indicating a positive sentiment.",Positive
Positive,Blinks stream pink venom as we are less than 8m views away from history,The comment expresses excitement and anticipation (,Neutral
Positive,Wow so beatiful song,The commenter expresses admiration and delight with the phrase 'so beatiful' indicating a positive feeling.,Positive
Positive,This song is vibey,The word 'vibey' indicates a positive and enjoyable experience with the song.,Positive
Negative,Worst song ever created in the history of the universe,"The comment expresses strong disapproval and negative judgment of the song's quality, indicating a negative sentiment.",Negative
Negative,the worst song that i heard in my life,The comment expresses a strong negative opinion using the phrase 'worst song' and 'i heard in my life'.,Negative
Negative,Worst song in my life 😡😡😡😡😡😡😡,"The comment expresses strong disapproval and uses multiple angry emojis, clearly indicating a negative sentiment.",Negative
Negative,This song is the worst thing I've heard in a while...,The use of 'worst thing' indicates a strongly negative opinion of the song.,Negative
Positive,It will become first song in history at that speed to reach 2 billion streams and views on both youtube and Spotify at a time is insane create world record in music industry that dominating both audio and visuals and it is now 1.9 billion on both platforms what a synchronisation,"The comment expresses excitement and admiration for the music video's achievement, highlighting its record-breaking success.",Positive
Positive,Great song with a strong the ting tings' flavour. Super catchy!,The commenter expresses enthusiasm and positive opinions about the song and its resemblance to a popular artist.,Positive
Neutral,this shit catchy but wtf are they talking about,"The comment expresses a mixed reaction – acknowledging the music's catchiness while simultaneously questioning its lyrical content, indicating a neutral overall sentiment.",Neutral
Positive,My summer song for 2025. My first exposure to this music was hearing the chorus in silly Ai kitten videos. It's catchy.,"The commenter expresses enjoyment and describes the music as 'catchy,' indicating a positive sentiment.",Positive
Positive,Ive never really been into pop ... But this song is stupid catchy lol,The commenter uses positive language ('stupid catchy') and a lighthearted expression ('lol') indicating enjoyment.,Positive
Negative,Worst🤮song ever,The use of the vomiting emoji and the phrase 'worst song ever' clearly expresses a negative sentiment.,Negative
Negative,"This song is so annoying. Such a piece of rubbish. And yeah, you fans of this idiotic song can hate me now because of my honest opinion.","The comment expresses strong dissatisfaction and criticism of the song using words like 'annoying,' 'rubbish,' and 'idiotic,' indicating a negative sentiment.",Negative
Positive,Hola.     ANTONELLA❤❤❤❤HOLA.   THiAGo❤❤❤❤❤❤❤aHola❤❤❤❤❤❤,"The comment is filled with heart emojis, indicating enthusiastic support and positive feelings.",Neutral
Neutral,*nothing JUST YG TaKiNg notes*,The comment is simply a statement of fact with no expressed emotion or opinion.,Neutral
Neutral,"At the start when they chant it sounds like they're chanting, ""Le nome game,"" or ""the name"" in French and of course ""game"" in English, but the lettering in the lyrics appears in Korean.","The comment expresses a precise observation about the video's multilingual lyrics, without conveying a clear positive or negative emotion.",Neutral
Negative,The Fact the Song was Actually Good but Now Since Everyone Putting this on All the Time is Kinda Annoying ( I Have Nothing to this song but It’s Annoying When it’s Put on Over and Over ),"The comment expresses annoyance and frustration with the song's overexposure, indicating a negative sentiment despite acknowledging the song's quality.",Neutral
Negative,awful song,The use of the word 'awful' indicates a distinctly negative opinion of the song.,Negative
Negative,this song is the worst thing ever created and it makes me mad that the radio insists on spewing this bile twice a day. lord have mercy.,The comment expresses strong disapproval and frustration with the song and its repeated radio play.,Negative
Positive,I love the rhythm and the craziness of this music ! YEAH ! YEAH ! YeayeaYEAH ! ❤,The commenter expresses enthusiastic approval and excitement with positive emojis and repeated affirmations.,Positive
Positive,Blinks pink venom is less than 5.5m views away from history. Let's come together for the final push,The comment expresses a hopeful and encouraging sentiment regarding the video's viewership and a call to action for support.,Neutral
Positive,Make this MV the first MV in kpop history by a female 🎉soloist hit 2 billion view❤❤❤ let's go number one and blink 😎😎🤠💞💓,"The comment expresses enthusiastic support and excitement for the music video, using celebratory emojis and phrases like 'let's go number one'.",Positive
Positive,I said gag bcs if there a updat will be have a crazy mutaiton and the owner her self will be like our garden and is not boringis not like just wait you fruit you grow there more stuff you can do at grow a garden and grow a garden always updare saturday(to say adop me player ownwer of adopt me support lgbt🏳️‍🌈 IF YOU DONT BELIVE ME WHY ADOP ME HAVE PRIDE UPDATE  BUT WHY GROW A GARDEN DONT HAVE PRIDE UPDAT),"The commenter expresses enthusiasm for updates and support for the LGBTQ+ community, indicating a positive feeling towards the video and its creator.",Negative
Positive,So.. never heard of BlackPink until now.. but this song is catchyyyy… lol,"The commenter expresses enjoyment of the song with the word 'catchyyyy' and a lighthearted laugh, indicating a positive reaction.",Positive
Positive,SO CATCHY!!!!!!,The exclamation points and the word 'catchy' clearly indicate a positive reaction to the music video.,Positive
Positive,Her vocals is magical ❤❤❤❤,The use of heart emojis and the word 'magical' clearly indicates a positive reaction to the music video.,Positive
Positive,Vocal like young Gwen Stefani. Super!!!,The exclamation point and positive adjective 'Super!!!' clearly indicate a favorable opinion of the vocal performance.,Positive
Positive,Catchy feelin the vibe,The comment expresses enjoyment with phrases like 'catchy' and 'feelin the vibe' indicating a positive emotional response.,Positive
Positive,Przyjemne tempo narracji.,"The comment expresses a positive feeling about the narration speed, stating it's 'pleasant'.",Positive
Positive,No matter how down  life seems to bring me down.....This song always brings me up... Positive Vibes Only...Love THIS,The commenter expresses clear enthusiasm and positive feelings about the song and its impact.,Positive
Neutral,Esse vídeo vai passar despacito em pouco tempo,"The comment expresses a prediction about the video's popularity, without explicitly stating a positive or negative feeling.",Neutral
Positive,"no doubt Rosé is the best stage performer,, her vocal fun,and speak both are amazing ❤🎉","The commenter expresses enthusiastic praise for Rosé's performance and vocal abilities, indicating a positive sentiment.",Positive
Positive,I like this vibe,The commenter expresses enjoyment with the phrase 'I like this vibe' indicating a positive feeling.,Positive
Positive,sir what a masterpice is made bt you love from india                              understanding 0 but vibe 100 perxentage,"The commenter expresses strong positive feelings about the music video, using phrases like 'masterpiece' and 'vibe 100 percentage'.",Positive
Negative,Aptue is the worst,The comment expresses a strongly negative opinion about the music video by explicitly labeling it as 'the worst',Negative
Negative,"I just had to say, this is one of the most annoying songs I’ve ever heard in my life. Whenever it comes on the radio, I skip it instantly. That’s how bad it is.","The comment uses strongly negative language ('annoying,' 'bad') expressing a clear dislike of the song.",Neutral
Negative,This shit is annoying,The use of 'annoying' and 'shit' indicates a strongly negative reaction to the music video.,Neutral
Neutral,deepless song,This comment simply identifies the song title and lacks any explicit emotional expression.,Neutral
Positive,Pink venom is less than 2m views away from history. Let's go blinks,"The comment expresses enthusiasm and encouragement for the music video's view count, indicating a positive sentiment.",Neutral
Positive,Et lorsqu’on sera en 2030 les gens utilisera cette musique comme « vibes 2024-2028 »,"The comment expresses a positive outlook, suggesting the music will be remembered fondly in the future.",Neutral
Positive,"I loved this trend because the beat. And the part they made trending LIKE I MIGHT BE OVER OBSESSED BUT THIS SONG IS SO GOOD MY FAVOURITE PART IS ""dont you want me like I want you baby don't you need me like I want you know all you got to do is meet me at the apt apt apt","The user expresses enthusiastic enjoyment and identifies the video as their favorite part, indicating a positive sentiment.",Positive
