classificacao,comentario,justificativa,sentimento_manual
Positive,The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,"The comment expresses strong admiration and pride for Billie, indicating a positive emotional response.",Positive
Positive,Oh the warmth and tone in her voice!   Dreamy!,"The commenter expresses positive feelings through words like 'warmth,' 'tone,' and 'dreamy.'",Positive
Positive,"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.","The commenter expresses a strong positive emotional response – 'moved me deeply,' 'unexpectedly touched' – indicating a favorable sentiment.",Positive
Positive,This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,"The commenter expresses a profoundly positive emotional response, describing the music as",Positive
Positive,"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.","The comment expresses admiration for Billie Eilish's interpretation and the song's evocative emotional impact, using words like 'beautiful,' 'fierce,' and 'eternal' to portray a positive sentiment.",Positive
Positive,"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.","The commenter expresses strong positive feelings about the song, describing it as an 'instant classic' and praising its accessibility across generations.",Positive
Positive,"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",The commenter expresses strong positive emotions and appreciation for the song's impact.,Positive
Positive,"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶","The comment expresses overwhelming enthusiasm and adoration for the song and Billie Eilish, clearly indicating a positive sentiment.",Positive
Positive,"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""","The commenter expresses enthusiasm and appreciation for the music, using positive language like 'love' and 'masterpiece'",Positive
Positive,3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,"The commenter expresses a positive opinion, highlighting the quality and enjoyment of a specific vocal element.",Positive
Positive,My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,"The comment expresses strong positive feelings about the song, using enthusiastic language like 'favorite' and describing it as 'fabulous'.",Positive
Positive,"I love this song, especially the vibes it gives",The use of 'love' and 'vibes' clearly indicates a positive emotional response to the song.,Positive
Positive,Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,"The commenter expresses enthusiastic appreciation for the song's quality, describing it as 'beautiful,' 'lovely,' and 'addictive'.",Positive
Positive,I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,"The commenter expresses overwhelming emotion and dedication, indicating a positive and heartfelt connection with the song and their child.",Positive
Positive,2:40 I hear a little George Michael here in Last Christmas 😊 both beautiful songs and vocals ❤,"The commenter expresses positive feelings by using emojis of smiling faces and hearts, indicating enjoyment of the music and vocals.",Positive
Positive,"So emotional and sad. Beautiful lyrics, music, voice. I hope we see this on top of the Billboard Hot 100","The commenter expresses positive emotions through words like 'emotional', 'beautiful', and hopes for success, indicating a favorable opinion.",Positive
