classificacao,comentario,justificativa
Positive,"I'm a 38 year old metalhead who ONLY really listens to progressive, djent, and experimental metal genres, but I gotta say, I'm fr diggin this song. I love the 80s and 90s synths and percussions. It's truly a vibe. Def a guilty pleasure!","The commenter expresses clear enjoyment and enthusiasm for the song, using positive language like 'diggin' this' and 'truly a vibe'."
Positive,"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.","The commenter expresses strong positive feelings about the song, using terms like 'phenomenal' and 'masterpiece'."
Positive,"""Bed Chem"" is the one that transcends 5 decades of music. 80s vibe of 90s hit, ""Into You,"" with the mid 2020 melody!","The commenter expresses enthusiastic praise for the music video, highlighting its nostalgic and appealing qualities."
Positive,"Cannot express how much I love this song.. the funny lyrics, the unique beat, her voice, the funky dancey vibes, there's so many good things I could say!!!",The comment expresses overwhelmingly positive feelings about the song and its various elements.
Positive,That melody/riff at 2:19- 2:37… is something SPECIAL 🔥,The use of 'something SPECIAL' and the fire emoji clearly indicate a positive emotional reaction to the musical segment.
Positive,I love this song's R&B vibe.  This sounds a bit like some songs I listened to when I was growing up.,The commenter expresses clear enjoyment and nostalgic feelings about the song's style.
Positive,My favorite part of the song is near the end when Sabrina sings those 90's sounding keyboard notes. Girl make more songs like this because my 1990 born self loves it!,"The commenter expresses clear enjoyment and a desire for more music like it, indicating a positive sentiment."
Positive,It’s my birthday 38 today  and I couldn’t thinking of a better song 🎉🎉🎉 nostalgia definitely a 2000 vibe ❤,The user expresses joy and excitement about their birthday while positively reacting to the music video's nostalgic feel.
Positive,"They played this shit 100x on the TV’s early morning in LA County jail… heard it so many times I ended up liking the song 😂😂🔥🔥 damn didn’t know the lyrics till now , 😂😂","Despite the initial context of repetitive listening, the commenter expresses fondness for the song and uses emojis indicating enjoyment."
Positive,"1:01 ""come right on me i mean camaraderie"" her lyrics are so unserious and i love it 😭",The commenter expresses affection for the lyrics and uses an emoji to convey a positive emotional response.
Positive,Love how this song has a retro throwback vibe. Nostalgic. One of the standouts from the album,"The comment expresses positive feelings through words like 'love,' 'nostalgic,' and identifies the song as a 'standout,' indicating a favorable opinion."
Positive,2:20 the duet with the synth is an awesome touch,The commenter expresses enthusiasm and describes the duet as 'awesome' indicating a positive feeling.
Positive,"I love her vibe, it's so different from everyone else. She knows how to have fun",The commenter expresses enjoyment and appreciation for the artist's style and energy.
Positive,"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.",The comment expresses strong admiration and positive feelings about the song and its qualities.
Positive,"A little naughty for her, but I love it. The lyrics and the beat!",The commenter expresses clear enjoyment and admiration for the music video's elements.
Positive,Heard this on the radio today & cant lie it gave me that old pop vibe I fw this lol 🔥💯,The commenter expresses positive enjoyment and enthusiasm for the song's nostalgic pop vibe.
Positive,"Heard this song driving my teenage daughter to the salon the other day. I can’t even talk this fast. Missed my turn from being blown away by these lyrics. Dang, just dang. Perfect terminology. 😂","The commenter expresses enthusiastic enjoyment and appreciation for the song and its lyrics, indicated by phrases like 'blown away' and 'perfect terminology,' signifying a positive sentiment."
Positive,So I’m late to listening to Sabrina. I heard this song on the pop radio station and it caught my attention. This song is so 80s and I love it! The lyrics are hilarious though😂,"The commenter expresses strong positive feelings about the song, describing it as catchy and hilarious."
Positive,I keep accidentally singing the wrong lyrics: Who's the cute guy with the wide-set eyes and the big bad mm like LOL I can't help it.,"The commenter expresses amusement and a positive reaction to the song, indicating enjoyment."
