classificacao,comentario,justificativa
Positive,This music video has got an unbelivable 2000s vibe. I love everything about it.,The commenter expresses clear enjoyment and affection for the music video's style.
Positive,"All of this is a master piece:the beat,the voice, and her. Just a master piece","The commenter expresses strong admiration and declares the video a 'masterpiece,' indicating a positive sentiment."
Positive,"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes","The commenter expresses admiration for Dua Lipa's vocal qualities, indicating a positive sentiment."
Positive,"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood","The commenter expresses strong positive feelings about the music video's instrumentation, storytelling, and lyrics."
Positive,"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤","The comment expresses overwhelmingly positive feelings about the artist and song, using strong adjectives and emojis."
Positive,It's amazing how only she can beat herself everytime❤,The use of 'amazing' and the heart emoji clearly indicates a positive sentiment towards the music video.
Positive,"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!","The commenter expresses enthusiasm and excitement about the music and its production, indicating a positive sentiment."
Positive,Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,The comment expresses strong appreciation for the artist and the music's blend of styles.
Positive,"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody",The commenter expresses strong approval and admiration for the music video's production quality and elements.
Positive,"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.",The commenter expresses strong positive feelings ('love') and appreciation for the music and its stylistic elements.
Positive,"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",The commenter expresses enthusiastic appreciation for the music's style and the revival of a beloved era.
Positive,2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,The use of emojis (🎹🎹🎹🎹) and the expression of enjoyment with 'Melody?' suggests a positive sentiment towards the song and video.
Positive,"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉","The commenter expresses a positive appreciation for Dua Lipa's music and suggests a shared taste, indicating enjoyment."
Positive,"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.","The commenter expresses enthusiastic appreciation for Dua Lipa's music and a desire to remain open to new sounds, indicating a positive sentiment."
