comment,user_name,date,likes,compound,sentiment,sentimento_manual
Westworld vibe there,@aileenmac1,2024-06-10T21:16:38Z,29,0.0,Neutral,Neutral
"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥",@sowapuss1174,2025-03-02T01:55:53Z,24,0.9864,Positive,Positive
"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.",@phltns,2025-03-30T12:04:11Z,22,0.9273,Positive,Positive
It’s strange to think about how a few years from now this will be really nostalgic.,@CyberstarChuck,2024-08-01T00:48:07Z,20,-0.2023,Negative,Neutral
"I think it's good to have the courage to sing a country song , a real catchy tune  ❤",@ReginaBecker-m1o,2024-06-17T11:09:01Z,20,0.8834,Positive,Neutral
this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@pinkmoscato7851,2025-02-04T09:00:37Z,14,0.9958,Positive,Negative
This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,@pinaypie83,2025-02-04T22:21:32Z,11,-0.6588,Negative,Negative
Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,@duaney4948,2024-12-26T02:14:33Z,11,0.7347,Positive,Positive
This song is a vibe idc idc,@MaryyB.,2024-06-11T04:38:57Z,11,0.0,Neutral,Positive
"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑",@sheckz5,2025-01-16T21:11:43Z,9,0.3111,Positive,Positive
Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,@andrewrivers8776,2024-08-12T16:37:37Z,8,0.981,Positive,Positive
This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,@harleycharley8323,2024-05-06T04:22:59Z,8,-0.7723,Negative,Negative
Beyonce is absolutely stunning here. The songs a great catchy pop choon.,@MrJaimilly,2024-12-26T00:49:14Z,7,0.7902,Positive,Positive
"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.",@ashleye.3131,2024-11-04T10:32:58Z,6,0.973,Positive,Positive
Worst music video in history,@Sinharvest,2024-10-23T02:14:54Z,6,-0.6249,Negative,Negative
Worst music video goes to Beyonce,@stichpena3677,2024-12-16T09:42:52Z,5,-0.6249,Negative,Negative
Hi I'm one of Riley's new emotions.,@alwayswright6782,2024-09-13T22:33:50Z,5,0.0,Neutral,Neutral
"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...",@heather_5724,2024-05-16T23:26:23Z,5,0.7793,Positive,Positive
"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.",@kellestraw6870,2024-05-22T23:35:49Z,5,0.0,Neutral,Neutral
"I like this song, very catchy.....",@barbarashapiro3776,2025-01-17T14:14:29Z,5,0.3612,Positive,Positive
Is this a joke song making fun of country music or something? This might be the worst song ever recorded,@josephblumenthal1228,2025-02-02T22:10:02Z,4,0.1027,Positive,Negative
Lol. Shes deep into DIDDYS parties,@EishaBlie,2024-10-27T01:21:44Z,4,0.6705,Positive,Negative
"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬",@olindawinchester,2025-03-10T14:08:01Z,4,-0.7624,Negative,Negative
She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,@TaraAziz-d4e,2025-02-04T10:34:15Z,4,-0.389,Negative,Negative
This song sucks. Its so boring and generic,@captainnachoz2111,2024-10-17T15:31:48Z,4,-0.624,Negative,Negative
