classificacao,comentario,justificativa,sentimento_manual
Positive,This track has such a nostalgic vibe to it. It reminds me of simpler times and brings back so many memories.,"The commenter expresses a positive feeling about the track and its nostalgic qualities, describing it as 'bringing back so many memories'.",Positive
Positive,"Normally avoid pop but something about this one is nostalgic, romantic and insightful.","The comment expresses positive feelings of nostalgia, romance, and insightfulness towards the music video.",Positive
Positive,"one of the finest artist in this generation , no stupid lyrics no stupide or sexual choreography absolute gem","The commenter expresses strong admiration and describes the video as an ‘absolute gem’, indicating a highly positive sentiment.",Positive
Positive,To everyone vibing with this: may your week be as upbeat and joyful as this melody. Keep dancing! 💃🕺🎶,"The comment expresses enthusiasm and wishes for joy, indicating a positive sentiment towards the music video.",Positive
Positive,"Hi Benson, I've been faintly hearing this song on the radio in various stores I've gone into so I recently decided to look it up with the hook/chorus as my only thing to go off of. I'm a recovering alcoholic and this song gives me hope for my future but also helps to remind me not to be complacent. I wish you the best and I thank you for your art.","The commenter expresses hope and gratitude for the artist's work, indicating a positive emotional response.",Positive
Positive,This is the best new generation Song ever its 90s vibe....,"The commenter expresses enthusiastic approval and admiration for the song, indicating a positive sentiment.",Positive
Positive,"Such a powerful song about the human condition and the vulnerableness we all share...Love can be hard to get, and even harder to hold on to.","The comment expresses admiration for the song's theme and emotional depth, indicating a positive response.",Positive
Positive,0:38 a beatiful song❤❤❤😊😊😊🔥🔥🔥,The comment expresses enthusiastic approval with emojis indicating joy and excitement.,Positive
Positive,I knew this song was immaculate within the first 10 seconds. The chorus was more than a bonus and the way it brings me to my knees to thank GOD is everything. 🥲,"The commenter expresses strong positive feelings about the song and its impact, using phrases like 'immaculate' and 'brings me to my knees'",Positive
Positive,"great tempo and vocal shifts awesome composition, it rocks.","The comment expresses enthusiastic praise for the music video's tempo, composition, and overall quality.",Positive
Positive,"is truly one of the most beautiful songs I’ve ever heard. It resonates with me so deeply that I listen to it every single day. I guess you could say I’m a little addicted to it, but it’s not just the melody it’s the emotions it stirs in me. I’m 45, still single, and sometimes I find myself wishing for someone who could love me with the same kind of passion and devotion that this song evokes. I long for a love that makes me feel extraordinary, even in my ordinary moments.","The commenter expresses overwhelmingly positive feelings about the song, describing it as 'beautiful' and stating they are 'addicted' to it and deeply moved by it.",Positive
Negative,Worst song of all time,The comment expresses a strong negative opinion regarding the quality of the song.,Negative
Negative,"I am from Middle East I converted my religion. When my family learned they beat me, took my phone, laptop, bible etc. And locked me in a room for 1.5 years! I was just a 9 months old believer. When I was sitting in the room I prayed and said I don't have my Bible, my believer friends etc. how can I continue my faith? And I heard Holy spirit said I can come in this room! And he came he was with me all the time while I was in there. When I heard this song I felt someone who doesn't know my testimony made a song for me 😍 Yes he is in the room and he'll be in the room and we can't survive without him.","The comment expresses deep distress, trauma, and anger related to a violent and isolating experience, indicating a negative sentiment.",Neutral
Negative,Awful song please delete from history,"The comment expresses strong disapproval and a request for removal, indicating a negative sentiment.",Negative
Positive,Wow his vocals ❤🎉beautiful song,The use of emojis and words like 'beautiful' clearly indicates a positive emotional response to the music video.,Positive
Positive,This song is totally my style! I really needed rock music like this. Especially the high notes in the chorus feel so refreshing.,"The commenter expresses strong positive feelings about the song and its features, indicating enjoyment.",Positive
Positive,"@BensonBoone is giving Freddy Mercury. The jumpsuit, the mustache, the original voice and performance and just the overall vibe and look about him.","The comment expresses enthusiastic admiration and praise for the artist's performance and appearance, indicating a positive sentiment.",Positive
Negative,"I hate this song with every fiber of my being. Cheesy 70s porn ‘stash, bombastic American Idol vibes, every vibe he has that sucks. I hate the songs this guy makes..","The comment expresses strong dislike and uses negative descriptors like 'hate,' 'cheesy,' and 'sucks,' indicating a negative sentiment.",Negative
Positive,"What an unusually beautiful timbre of voice, I want to listen to it all the time. Cool song!","The commenter expresses strong positive feelings about the voice and song, using phrases like 'beautiful timbre' and 'cool song!'",Positive
Positive,"Sheer brilliance, the vocals out of this world, literally sent chills down my spine 😮","The commenter expresses overwhelming enthusiasm and describes a powerful emotional reaction, indicating a strongly positive sentiment.",Positive
Positive,"This song is perfection! it's been so many months, but I still love this song, the lyrics and Benson Boone nailed the Vocal Quality. I watched a reel on Facebook and I searched about it and fell in love.","The comment expresses strong positive feelings about the song and the artist's performance, highlighting enjoyment and admiration.",Positive
Positive,when I discovered this song I discovered my deep emotionals,The comment expresses a strong positive connection and emotional response to the music.,Positive
Negative,Worst ad shit song ever,The comment expresses strong disapproval and criticism of the music video and song.,Negative
Positive,Finally a song in these times that is positive and have a great melody because it seems that other modern bands are just copy pasting electronic music that all sounds the same. This song and band deserve more recognition. 10/10,"The commenter expresses enthusiastic praise for the song's positivity, melody, and deserves recognition, indicating a positive sentiment.",Positive
Positive,Such a beautiful song me and mom sing it all time my mom did not like the song but now she loves the song with her whole heart such beatful voice,"The comment expresses love and enjoyment of the song, indicating a positive sentiment despite initial disagreement from the commenter's mother.",Positive
Negative,Most annoying song in the world,The comment expresses strong dislike and annoyance with the song.,Negative
Positive,Checking billboard playlists after 5/6 years and found this soothing song kinda feels nostalgic,"The commenter expresses a positive feeling of nostalgia and finds the song 'soothing,' indicating a favorable opinion.",Positive
Positive,The vibe is royale. I and I love this song,The enthusiastic use of 'love' and 'vibe is royale' indicates a positive emotional response to the music video.,Positive
Positive,"Powerful explosive vocals, emanating pure vulnerability to a  God whose actions seem so inexplicably untoward but at other times merciful and benevolent","The comment uses words like 'powerful,' 'vulnerability,' 'merciful,' and 'benevolent,' indicating a positive emotional response to the music video.",Positive
Positive,NOW THAT IS SOME GOOD MUSIC NOW THAT IS GOOD BRO LIKE THE LYRICS ARE RHYMING I I JUST LOVE IT BRO JUST PERFECT GIVE THIS MAN A REWARD OR SOMETHING!!!!,"The user expresses enthusiastic praise and enjoyment of the music video and lyrics, using positive language like 'good,' 'love it,' and 'perfect.'",Positive
Positive,Every beat feels like it’s telling a story. This is art in sound form! 🎶✨,"The commenter expresses enthusiastic admiration for the music video, describing it as 'art in sound form' and highlighting its storytelling quality.",Positive
Positive,The energy in the chorus is on a different level. Thank you for the music.,"The commenter expresses enthusiasm and gratitude for the music, indicating a positive sentiment.",Positive
Negative,One of the worst things I’ve ever listened to,"The comment expresses strong dissatisfaction and uses the phrase 'worst things I’ve ever listened to,' indicating a clearly negative sentiment.",Negative
Positive,"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",The comment expresses enthusiastic admiration for the artist's voice and emotional performance.,Positive
Negative,"May 2025 after my breakup and she got married,I am all alone in this universe","The comment expresses feelings of loneliness and sadness following a breakup, indicating a negative emotional state.",Negative
Positive,POWER HOUSE Vocals !,The exclamation mark and positive descriptor 'Vocals!' clearly indicate a favorable reaction to the music video.,Positive
Positive,"But I know the things he gives me, he can take away....the best piece of lyrics in this song imo","The commenter expresses a positive sentiment by stating it's 'the best piece of lyrics,' indicating enjoyment of the song.",Positive
Negative,This is one of the worst songs of all time,The comment explicitly expresses a strong negative opinion about the song's quality.,Negative
Negative,The worst song of all time yet,The comment expresses strong disapproval and criticism of the song using the phrase 'worst song of all time'.,Negative
Positive,"OMG, IV'E NEVER LOVED A SONG SO MUCH, AND THE CHANGES OF VOICE AND VOCALS IS AMAZING, I LOVE WHEN SONGS COME CALM AND THEN WHEN THE SINGER SINGS HIGHER AND IN THE TIPE OF WAY THAT MAKES YOU THINK OF A LOT OF THINGS IN ONE ENJOYING EVERY MINUTE, THE BEST PART IS THAT I LISTEN TO IT EVERY TIME AND AFTER THE SONG FINISHES I REPLAY IT, ALSO IM ONE OF THOSE PEOPLE THAT WITH SONGS THEY IMAGINE THINGS LIKE IF YOU WERE IN A SERIES AND THIS SONG IS JUST PERFECT, SO I SAY IT 1 TIME. I ABSOLUTELY LOVE IT❤❤❤❤❤❤❤❤❤","The commenter expresses overwhelming enthusiasm and adoration for the song, using repeated positive language and describing it as 'perfect'.",Positive
Positive,Mr. Benson.... Thx again for the power in the deepest and difficult time of my life. ❤,The commenter expresses gratitude and positive emotion regarding a 'power' provided during a challenging period.,Positive
Positive,Ya!  I think You have it All! Artist Brilliant Writer Lyrics Music video... love it All !🕊️🕊️🕊️🕊️🪂🎸✍️🤔👌⚡⚡⚡⚡⚡⚡🌟⚡🌟🤸🎤😮 Little Miss copper stone 🪐✍️🪂🤼🤼🤼🤼🤼🤼🤼🧩🧩🧩👍 And  You.... Have... the....Girl...🎸👌✨✨✨✨✨✨✨ Band members 🎤 Amazing 🤩 Thank You..,"The comment expresses enthusiastic praise and admiration for the artist and their work, using multiple positive emojis and words like 'amazing' and 'love it'.",Positive
Positive,"Wow, this song is an absolute masterpiece! 🎶🔥 The energy is contagious, and the vibe is so unique! 👏 Can't stop replaying it. 😊 Keep up the great work, you’ve definitely got a fan here! 🙌 #MusicLovers",The comment expresses strong enthusiasm and positive feelings about the song and the artist's work.,Positive
Positive,This is one of the most nostalgic music of all,The comment expresses a strong positive feeling of nostalgia and appreciation for the music.,Neutral
Positive,Benson Bonne has the best vocals ever❤❤❤,The use of heart emojis and the statement 'best vocals ever' clearly indicates a positive sentiment.,Positive
Positive,It the words & beats connected with my soul ❤,The use of heart emojis and phrases like 'connected with my soul' clearly indicate a positive emotional response to the music video.,Positive
Positive,"“Jelly Roll, please! The prophecy says I’m the one who will make the worst song! Think about what you’re doing!”","The commenter is playfully challenging Jelly Roll, indicating an appreciation for his music and engagement with the video.",Negative
Negative,This song is extremely annoying to me idk why though could just be a me thing,"The comment expresses annoyance ('extremely annoying') and suggests a personal preference ('could just be a me thing'), indicating a negative sentiment.",Negative
Positive,This verse 1 of the song sounds like Zac Brown - Colder Weather,"The comment expresses a positive comparison to a well-regarded song, suggesting a favorable opinion of the music video's production.",Neutral
Negative,this is fecking awful...,The use of the word 'awful' indicates a strong negative sentiment towards the music video.,Negative
Positive,"Benson, GREAT song man !  👍  It's now on our PUBLIC YouTube PLAYLIST  MIX:  Songs with Solid Lyrics",The commenter expresses enthusiasm with 'GREAT song man!' and highlights the video's inclusion in a playlist.,Positive
Positive,I love how the rhythm suddenly changes 🎸,"The commenter expresses enjoyment of the music video's rhythm change, indicating a positive sentiment.",Positive
Positive,"Just found about Benson Boone watching Jimmy Fallon a couple of weeks ago… promoting his new album …what a talented young man!!!!❤ WOW!!! Ordered his CDs- all of them!! Been watching the videos posted… he really can touch his fans with his lyrics and musicality, very REAL, good story teller. The emotions are so raw… love you Benson❤","The comment expresses enthusiastic admiration for Benson Boone and his music, using positive language and emojis.",Positive
Positive,Powerful ❤,The heart emoji indicates strong positive emotion and approval of the music video.,Positive
Positive,"music video, lyrics, and voice is all beautiful ❤❤",The use of heart emojis indicates strong positive feelings about the music video's elements.,Positive
Positive,The melody is gentle but full of emotion,The comment expresses a positive reaction to the music video's melody due to its emotional quality.,Positive
Positive,"I really hope this becomes a future classic for you guys, its powerful 😅😅😅","The user expresses a hopeful desire for the video to be considered a classic, indicating a positive sentiment.",Positive
Positive,Me my uncle and my uncles bf were driving to Orlando and this song came on so when the beatdrop happened we turned it up all the way he was singing and I was clapping along to the beat while he was going 120 mph we were so loud we broke the speaker now this is my favorite song 😂😂😂,"The commenter expresses joy and enthusiasm about the song and the shared experience, indicated by laughing emojis and positive language.",Positive
Positive,yeah the song is actually fire 🔥 if only you’d work that first verse a little more into the song maybe as a chorus or just another part of the song I feel like that’s the cherry on top that’s missing💯,"The commenter expresses enthusiasm for the song and suggests a minor improvement, indicating a positive overall impression.",Positive
Positive,The video is well filmed and the song gives the best vibes !perfection!,"The commenter expresses enthusiastic approval using positive language like 'well filmed,' 'best vibes,' and 'perfection'.",Positive
Negative,Seems like AI work. Been seeing too much of that of late. Sounds monotone across singers,"The comment expresses a negative opinion about the music video's production, specifically citing a perceived lack of variation and suggesting artificial creation (",Negative
Positive,"This is Exactly what i wanted to listen , DownTempo blues fresh style","The commenter expresses satisfaction with the music video, using positive language like 'Exactly what i wanted' and 'fresh style'.",Positive
Positive,❤ this song .!!!! I look forward to more of your beautiful vocals !! 🎉,The commenter expresses enthusiastic approval and admiration for the artist's vocals.,Positive
Positive,I. love this song your voice is beautiful I love how. it's quiet then you start picking the. beat up a lot more ❤❤❤❤❤,"The commenter expresses love for the song and voice, using positive emojis and phrases.",Positive
Positive,benson boone's voice is so powerful like he's powerful thankyou benson boone for making this amazing  song support and like benson boone for his wonderful  songs,"The comment expresses admiration and appreciation for Benson Boone's voice and songs, indicating a positive sentiment.",Positive
Positive,Oh wow he does give off lifelong LDS vibes. Cool.,The comment expresses a positive reaction with the word 'cool' indicating enjoyment of the video's style.,Positive
Positive,"This song is in and of itself a beautiful thing. Wonderfully written and performed, it also serves as a powerful treatise against Yahweh. It presents him as he actually is, a petulant child of misunderstanding who would snatch away the things which bring us joy in order to manipulate us into bending to his will.","The comment expresses admiration for the song's beauty, quality, and insightful critique, indicating a positive overall feeling.",Positive
Negative,Worst crap ever,The use of 'Worst crap ever' expresses clear dissatisfaction and a negative opinion of the music video.,Negative
Negative,annoying ahh song,The use of 'annoying' clearly expresses a negative feeling towards the song.,Negative
Positive,Vocals and cinematography are very good and precise,"The comment expresses approval of the video's vocals and cinematography, indicating a positive sentiment.",Positive
Negative,"I don't like the lyrics. On surface, it looks like he fears God, but when you carefully listen, you notice that he wants God to be OK with his girlfriend staying overnight, which indicates fornication. I wonder what happens when the girlfriend gets pregnant, will he tell her he's ""not ready yet"" and she should abort the child??","The comment expresses critical disapproval of the lyrics and raises concerns about implied moral issues, indicating a negative sentiment.",Neutral
Positive,"I loved Benson Boone's vocals because i'm impressed, his voice was nice and great❤","The commenter expresses clear admiration and positive feelings towards the artist's vocals, indicated by 'loved' and the heart emoji.",Positive
Negative,What about the banality of pretiness of Benson's beautiful things totally disengaged from real life? Lyrics and music totally mediocre.,"The comment expresses disappointment and criticism of the music video's aesthetic and quality, using negative descriptors like 'banality,' 'mediocre,' and 'disengaged.'",Negative
Negative,Probably one of the worst songs of the year maybe of the decade. Anybody that says this is their favorite song is deaf,"The comment expresses strong disapproval and insults, clearly indicating a negative sentiment.",Negative
Positive,"great video! i love the emotional depth Benson Boone brings to his music. but honestly, while the visuals are stunning, i feel like the song could've had a stronger hook to really make it memorable. what do you guys think?","The comment expresses overall positive feelings about the video and Benson Boone's performance, despite a minor critique about the song's hook.",Positive
Negative,Most annoying song in the history of man,"The comment expresses strong disapproval and frustration with the song, indicating a negative sentiment.",Negative
Positive,\benson boone/\beatutiful things/ For a while there it was rough but lately I've been doing better then the last for cold december i recall i see my family every month and i found a girl my parents love she'll come and stay the night and i think i might have it all and i thank god every day for the girl he sent my way but i know the things he gives me he can take away and i hold you every night and that's a feeling i want to get used to but there's no man as terrified as the man who stands to lose you oh i hope i don't lose you oh i hope i don't lose you mmh please stay i want you i need you oh god don't take these beautiful things that i got  please stay i want you i need you oh god don't take these beautiful things that i got please don't take i found my mind I'm feelin safe and it's been awhile but im finding my fath and everythings good and it's great why do i sit and wait till it's gone oh i tell ya i know I've got enough I've got peace and I've got love but im up at night thinkin i just might lose it all PLEASE STAY I WANT YOU I NEED YOU OH GOD PLEASE DON'T TAKE THESE BEAUTIFUL THINGS THAT I GOT oh please stay i want you i need you oh god i need these beautiful things that i got {this took a while},"The comment expresses gratitude, hope, and a desire to hold onto a loved one, indicating a predominantly positive emotional state.",Positive
Negative,you sound like a screeching chihuahua its annoying sorry not sorry,The comment expresses annoyance and uses derogatory language ('screeching chihuahua') indicating a negative sentiment.,Negative
Positive,i don't believe in god but this song does remind me im at the mercy of the universe.,"The commenter expresses a feeling of being 'at the mercy of the universe' in a way that suggests a sense of awe and perhaps beauty, indicating a positive emotional response.",Neutral
Positive,The lyrics of this song are so relatable. It's like the artist reached into my own experiences and put them into words.,The commenter expresses a strong positive feeling about the song's lyrics and their personal connection to them.,Positive
Positive,I know all the words and the rhythm is great,The commenter expresses enjoyment by stating the rhythm is 'great' and indicates familiarity with the lyrics.,Positive
Negative,"Thank you Benson Boone, you made me discover I'm straight! (PS: My dad beats me!)","While seemingly a compliment, the added, concerning remark about physical abuse reveals a negative sentiment and underlying distress.",Neutral
Positive,Is beatiful the song❤ jajaj mentira hablo español pero si es bonita la canción ❤❤,"Despite initial skepticism ('hablo español pero si es bonita'), the commenter ultimately expresses a positive sentiment about the song through repeated heart emojis.",Positive
Positive,"I just found you today and im so happy that i did, you are one of a kind and i hope you keep that energy, its amazing just to watch the people performing with you. Your energy is contagious, The excitement they show when you get excited/do your flips or hit your high notes,the world needs more people like you.",The commenter expresses enthusiastic joy and admiration for the artist and their performance.,Positive
