classificacao,comentario,justificativa
Positive,the switching between the deep voice and “high” voice is very addicting-,"The commenter uses the word ‘addicting’, indicating a positive and enjoyable experience with the music video’s feature."
Positive,"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",The commenter expresses clear enthusiasm and fondness for the music video and its nostalgic 'myspace era' vibes.
Positive,WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,"The commenter expresses strong positive emotions – blushing, yearning – indicating enjoyment of the music video."
Negative,THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,The use of 'crazzy' and the overall expression of frustration suggests a negative sentiment towards the music video's concept.
Positive,"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",The comment expresses enjoyment and praise for the music's quality and performance.
Positive,"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭","The user expresses enthusiastic enjoyment and uses emotive language like 'such a vibe' and multiple emojis, indicating a positive sentiment."
Positive,This beat goes craaaaaazyyy,The use of 'craaaaaazy' in a positive context indicates excitement and enjoyment of the music.
Positive,Unpopular opinion: Billies verse is my favorite.,"The commenter expresses a clear preference for Billie's part of the song, indicating a positive feeling."
Positive,"1:36 that synth in the drop is fkin nasty, daaaamn, I love it","The commenter uses enthusiastic language ('fkin nasty', 'daamn', 'I love it') expressing a clear positive reaction to the music."
Negative,JoJo needs to take notes,"This comment expresses criticism of the artist's performance, indicating a negative sentiment."
Negative,"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",The comment expresses strong disapproval of the song’s award and criticizes its lyrics and perceived lack of lasting value.
Positive,That technological melody hits🎉🎉,The use of the celebratory emoji '🎉🎉' indicates excitement and positive feelings towards the music video.
Positive,Literally here after seeing Taylor vibe to this song in the grammys,"The commenter expresses enthusiastic admiration and enjoyment of Taylor Swift's performance, indicating a positive sentiment."
Positive,Im obsessed how she’s walking in on beat at the beginning,The commenter expresses a strong liking (
Positive,this song is like weird and catchy at the same time,"The comment expresses a positive reaction by describing the song as 'weird and catchy,' indicating enjoyment."
Positive,0:38 WHY IS IT SO CATCHY😭✋,The use of 'catchy' and the emoji express enjoyment and positive emotion about the music video.
Positive,I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,"The commenter expresses a strong preference for Charli's verse, indicating a positive emotional response to the video."
Positive,0:59 the beat drop when billie comes in is soo catchy omg,The user expresses enthusiastic excitement and admiration for the song's beat and Billie's appearance.
Negative,possibly the worst song ever?,The comment expresses a strong negative opinion about the song's quality.
Positive,"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.","The comment expresses admiration and appreciation for the mixing work, using positive descriptors like 'impressive' and 'play with the tension'."
Negative,Absolutely awful,The use of 'absolutely awful' clearly expresses a strongly negative opinion about the music video.
Positive,Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,"The commenter expresses a positive opinion, stating the music video isn't 'that bad' and using emojis to reinforce a favorable sentiment."
Positive,"The visuals on her music videos are so tough, completely different vibe to just listening to it","The commenter expresses a positive opinion by highlighting the 'tough' and unique visuals, suggesting an enjoyable experience."
Negative,"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)","The comment expresses strong negative opinions about the song and the singer's performance, using phrases like 'worst songs' and 'forced to delete it'."
Positive,Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,"The comment expresses amusement and enjoyment of the music video's imagery and lyrics, indicating a positive reaction."
Negative,"If this is music and ""lyrics"", sign me out.  B.S.",The comment expresses disdain and dismisses the music as 'B.S.'
Positive,"BIG VIBES of Daft Punk - Technologic, very similar",The comment expresses a positive reaction by highlighting a desirable similarity (
Negative,Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,"The commenter expresses disappointment after watching the video, indicating a negative sentiment."
Positive,"cool music, has a cyberpunk vibe.",The commenter expresses enjoyment with terms like 'cool' and describes a desirable aesthetic ('cyberpunk vibe').
Positive,Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,The comment expresses overall appreciation for Charli XCX's music and acknowledges her talent while offering a constructive critique of Iggy Azalea's career.
Negative,1:00 the way Billie sings it’s kind of creepy lol especially with those lyrics,"The comment expresses discomfort and finds the singing 'creepy,' indicating a negative sentiment."
Negative,Sorry but this is crap. Both the music and the lyrics are crap. 👎👎,The comment expresses strong disapproval and uses negative language ('crap') indicating a negative sentiment.
Positive,BRO WHEN BILLIE COMES IN ITS SO GOOD WITH THE SOUND AND BEAT OH MY GOSHH IAM DYINGGGGG❤❤😍😍,The comment expresses enthusiastic enjoyment and excitement about the music video.
Negative,worst song ive ever heard in an add,The comment expresses strong dissatisfaction and uses negative language ('worst song') indicating a negative sentiment.
