classificacao,comentario,justificativa
Positive,"idk how many times i've watched this, yall dont understand how badly i need a full movie of this vibe","The commenter expresses a strong desire for more content of this specific, positive 'vibe' indicating enjoyment."
Negative,This is awful lmao <3,The use of 'awful' and the laughing emoji ('lmao') clearly indicate a negative sentiment towards the music video.
Negative,The video clip is so disgusting!Awful!🤢,"The use of words like 'disgusting' and 'awful,' combined with the emoji, clearly indicates a strongly negative sentiment."
Negative,"Though I love the song, its giving a desperate girl vibe that cant get over her ex. Ladies, please dont let a man ruin you. If he left you, then it means he is a trash","The comment expresses frustration and negative feelings about the song's theme and suggests the ex-partner is undesirable, indicating a clearly negative sentiment."
Positive,Best video I’ve seen in a long time. Beats any of the boring videos of TS,"The commenter expresses enthusiastic approval, stating it's the 'best video' and compares it favorably to other content."
Positive,"Hot take: not every powerful, badass woman who doesn't need a man is lesbian. In fact, the idea that they're lovers totally takes away from the actual story. It makes so much more sense and makes both characters cooler if they come out of the mess realizing that NEITHER of them need validation from a romantic relationship, and they become good friends because of their similar views. The last few seconds with the playful banter really confirms this: they both found a friend in each other, and they were willing to forgive each other for the beef between them. Not everything is LGBTQ.","The comment expresses appreciation for the video's nuanced portrayal of friendship and celebrates a positive interpretation of the characters' relationship, highlighting a favorable view of the narrative."
Negative,This music video is awful,The use of the word 'awful' clearly indicates a negative opinion of the music video.
Negative,this shit is god awful,The use of the word 'awful' and 'shit' clearly expresses a strongly negative opinion about the music video.
Negative,"I'm not going to lie to you. But I really hate you Sabrina Carpenter, You are the worst!","The comment expresses strong dislike and insults towards the artist, clearly indicating a negative sentiment."
Negative,"It’s weird how Hollywood always advertises violence, and hateful lyrics, disguised into a nice happy melody 😊✨",The comment expresses disapproval of the music video's content – violence and hateful lyrics – despite a pleasant melody.
Negative,"It's such a shame this kind of trash is on top of YouTube.. The message is terrible, the music is horrible, the lyrics are empty.",The comment expresses strong disapproval and criticism of the music video's quality and message.
