classificacao,comentario,justificativa
Positive,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.","The comment expresses enthusiastic approval and excitement about the music video, using phrases like 'perfect blend' and 'can't live without'."
Positive,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,"The comment expresses admiration and a sense of intimacy, indicating a positive emotional response to the music video."
Positive,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",The commenter expresses admiration for the guitar and a nostalgic fondness for the artist's style.
Positive,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","The comment uses highly evocative and enthusiastic language, praising the artists' abilities and impact."
Positive,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯","The comment expresses strong admiration and affection for Lady Gaga and her music, using overwhelmingly positive language and emojis."
Positive,This song really brings back the 2010 Bruno Mars vibe.,The commenter expresses a nostalgic and favorable feeling about the song's similarity to a well-regarded Bruno Mars era.
Positive,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,"The commenter expresses a feeling of nostalgia and fondness for the song, indicating a positive emotional response."
Positive,This song hit the deepest part of my heart.🖤,The commenter expresses a strong positive emotional response by stating the song 'hit the deepest part of my heart'.
Positive,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,"The comment expresses admiration and emotional connection with the song, indicating a positive sentiment."
Positive,"Magical lyrics,bruno mars and lady gaga combo hit my heart",The commenter expresses a strong positive reaction to the song's combination of artists and its effect on them.
Positive,This song makes me feel deep about my trip to Australia just ended yesterday,The comment expresses a positive emotional reaction (
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and a desire to linger, indicating a positive experience with the music video's atmosphere."
Positive,Emotional song😢😢,The use of crying emojis clearly indicates a positive emotional response to the song.
Positive,Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,The commenter expresses strong positive feelings about the video’s beauty and considers it ‘timeless art’ accompanied by positive emojis.
Positive,Unreal vocal ❤❤❤,The use of hearts emojis indicates strong positive feelings towards the vocal performance.
Positive,Die With A Smile just hit its 50th week in the Billboard Hot 100's top 10! 🥳❤️🤯 What a powerful song!,"The commenter expresses excitement and admiration for the song's success, indicating a positive sentiment."
Positive,"Came for the thumbnail, stayed for the vibes","The comment expresses enjoyment and satisfaction with the video's atmosphere, indicating a positive sentiment."
Positive,I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,"The commenter expresses strong positive feelings about the song and their relationship, using emotive language and emojis."
Positive,Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,The commenter expresses enthusiastic agreement and appreciation for the song's themes of love and connection.
Positive,It brought me to  tears its so powerful  it reaches you heart,"The commenter expresses strong positive emotion, describing the video as 'powerful' and evoking a 'tears' reaction."
Positive,"Came for the thumbnail, stayed for the vibes",The comment expresses enjoyment and appreciation ('vibes') suggesting a positive experience.
Positive,This song is really heart touching❤It's Not just a song It's emotion🥰,"The use of heart and smile emojis, along with phrases like 'heart touching' and 'emotion,' clearly indicates a positive emotional response to the music video."
