classificacao,comentario,justificativa
Positive,god the harmony in this is gorgeous. i could listen to this for hours.,Expresses strong admiration for the song's harmonic beauty and desire to listen repeatedly.
Positive,The blend of their voices and the depth of the lyrics make this an instant classic. This track is what music should aspire to be—honest and moving.,Expresses high praise for the song's quality and emotional impact.
Positive,"When the flow switch and he get that “it’s a vibe, do your dance, let em watch..” that shit cold af",Expresses enthusiastic appreciation for a specific moment in the song.
Positive,"Luther is the first vocal you hear,  but the last vocal is the legendary miss Cheryl Lynn. Just like to give that woman her flowers. 🌹🌷🌹🌷",Expresses admiration and respect for Cheryl Lynn.
Positive,"SZA’s voice is something special—so rich, soulful, and effortlessly smooth. Every note she sings carries so much emotion, and ‘Luther’ is another masterpiece that showcases her incredible talent. Her lyrics always feel deeply personal yet so relatable, like she’s speaking straight to the soul. The way she blends vulnerability with confidence in her music is unmatched. She keeps proving why she’s one of the best artists of our generation. Pure artistry!","Extensive praise for SZA's artistry, voice, and emotional depth."
Positive,"The Luther Vamdross interpolation,combined with SZA's brilliant vocals made it such a beautiful listening experience!",Expresses strong positive feelings about the song's elements.
Positive,"The blend of Kendrick's rawness and SZA's soulful voice creates a timeless sound—this is going straight to my classics playlist. A tribute to Luther Vandross while still being uniquely them, pure genius. Makes you want to fall in love and fight for it at the same damn time.",Expresses strong admiration and identifies the music as timeless and genius.
Neutral,This better be in Spiderverse 3,"Expresses a simple expectation or hope, without strong positive or negative emotion."
Positive,I kept hearing this song randomly on my R&B shuffle and absolutely love it! They don’t make R&B with the male + female vocalists like this anymore 🥰,Expresses strong enjoyment and fondness for the song.
Positive,"This song is pure magic, their voices blend so seamlessly, creating a vibe that's both intimate and powerful. ""If this world were mine..."" hits different.",Expresses strong positive feelings and appreciation for the song's effect.
Positive,The harmony of Kendrick and the melody of SZA just work together so much,Expresses a strong positive opinion about the combined harmony and melody.
Neutral,Here from Ni-ki's weverse post,The comment is a simple reference to a specific source without expressing a clear opinion.
Positive,"it's been 4 months and I still can't listen to this song without crying because it's so beautiful. the sample, the vocal harmonies, the lyrics, the whole vibe",Expresses overwhelming positive emotion and appreciation for the song.
Positive,"This is my favorite song from GNX and the music video was absolute perfection, especially when he let Mr. Vandross and Ms. Lynn's vocals play out. I cried. Like many others, I grew up listening to Luther and I'm so glad that Kendrick and SZA shared a beautiful tribute to him and his work, as well as the loving tenderness within a relationship that folks dream of experiencing or have the joy of experiencing now. I cannot wait to hear this during their Tour! ❤",Expresses strong positive feelings and admiration for the song and its creators.
Positive,Man Kendrick is really killing it with those fire words 😢 this songs is beautiful it has beautiful beats also ❤,Expresses strong positive feelings and appreciation for the song.
Positive,"That melody at ""it go in out"" is super enchanting.",Describes the melody as ‘super enchanting’.
Negative,I HATE how short this song is. I want 3 more versus so I can fall deeper into this❤❤,Expresses frustration and desire for a longer song.
Neutral,"From En tok, Ni-ki's weverse post, collab when?","Expresses a request for a collaboration, without strong positive or negative sentiment."
Positive,The rhythm of this song gets me moving every time.,Expresses enjoyment and a physical response to the song's rhythm.
Positive,"My life sucks, I'm seriously thinking about ending this... But Kendrick Lamar exists and that makes me happy, this song gives me courage, it's beautiful and gives off very good vibes",Expresses despair but finds solace and positivity in the music.
Positive,A whole vibe,Expresses positive enthusiasm and enjoyment.
Positive,"Kendrick and SZA really poured their souls into Luther  and when i tell you I felt every word. This song has been a lifeline for me during one of the hardest breakups of my life. The emotions, the pain, the hope it all hits so deep. It reminds me that healing takes time and that someday, I’ll find the one who truly sees me. Until then, I’ll keep this song on repeat, letting it guide me through <33",Expresses deep emotional connection and gratitude for the song's impact.
Positive,Man kdots verse in the beginning is so good it’s crazy lol could listen to it on repeat forever,Expresses strong enjoyment and a desire to repeatedly listen to a specific part.
Neutral,Does anyone else get Nas vibes from this if I ruled the world,References Nas without explicitly expressing a positive or negative opinion.
Positive,Their vocals pair so well with each other😁😁,Expresses enjoyment and appreciation for the vocal pairing.
Positive,"On repeat, everyday 🤌🏻🔥❤️ Kendrick you’re killing it 💕😭 love, love sza’s vocals good god!!! 💯💯💯",Expresses strong enthusiasm and love for the music with multiple positive emojis.
Positive,"The combination of RnB and Hip Hop is really what makes this song such a vibe, SZA has and angelic tone",Expresses enjoyment of the song's style and SZA's vocal quality.
Positive,"This is absolute magic right here, Beautiful blend of vocals😭😭✨️",Expresses overwhelming delight and appreciation for the music.
Positive,"Between the Luther Vandross sample, the hopeful lyrics, and the SZA feature, this song is healing on so many levels.",Expresses deep enjoyment and healing effects of the song.
Positive,"The beat,melody,and lyrics are perfect. Kendrick and SZA are very talented singers. Kendrick raps but that doesn’t stop his angelic voice from coming out. And don’t get me started on SZA’s voice. Absolutely perfect 👌. And that “Roman numeral seven bae drop it like it’s hot if this world was mine I’d take your dreams and make them multiply” Was so good Kendrick. I keep listening to this on replay i mean what can I say it’s perfection especially this duo on the same song. This is my favorite song by them 30 for 30 is my second. Love the song.❤️❤️",Expresses overwhelming enthusiasm and praise for the song and artists.
Positive,"Man, people been sleeping on this man's lyrics and meaning",Expresses appreciation for the depth and significance of the lyrics.
Negative,"IT'S NOT ABOUT THE FLOW, IT'S THE KNOWLEDGE THIS MAN TRYING TO PRESENT TO THE PEOPLE. EVERYTHING ISN'T ABOUT ""murder, drugs, ass. killing"" THE SELF DESTRUCTION ISN'T IN HIS LYRICS SO I GUESS THE PEOPLE NOT GETTING IT. MILLIONS VEIWED YET HALF STILL LACK THE KNOWLEDGE OF THIS MESSAGE. MR. LAMAR YOU'VE MADE ME LOOK...",Expresses frustration and criticism regarding the song's lack of meaningful content.
Positive,I love the beat,Expresses direct enjoyment of the song's beat.
Positive,"Kendrick + SZA snapped with this song it is phenomenal.  The Lyrics are amazing, the best R&B and Hip Hop vibe this year. Thank you for this AWESOME song‼️💯🙌🏾💜💣🧨🔥🔥",Expresses strong enthusiasm and positive feelings about the song.
Positive,"There is not a lot of geminis with birthdays that fall on the 17th. You make me feel empowered , I'm so happy to discover an artist to share the same birthday as me. You make me really PROUD to be born on that day. You make me feel like I made it big in another timeline and event in life through a different set of eyes and experience😅. I won't get deep, lol, but I am absolutely PROUD of you, man! Keep letting ppl know about these weirdos out here! 😅 We don't stand for that ish over here in CONSCIOUNS  AMERICA stone em is what I always say! Fym😐",Expresses strong feelings of pride and admiration for the artist.
Positive,OK but SZA’s  vocals were amazing at the Super Bowl!!,Expresses strong positive sentiment regarding SZA's performance at the Super Bowl.
Negative,dont go breaking my heart vibes,Expresses a fear of emotional pain.
Positive,The Vibes are something else ✨️  Kendrick and Suza definitely put the world 🌎 on notice ❤,Expresses enthusiastic enjoyment and admiration.
Positive,This goes too hard…..the chemistry and harmony on this track straight fire!!!!,Expresses strong enthusiasm and praise for the song's energy and musicality.
Positive,This song every lyrics touches my heart ❤,Expresses deep emotional connection and affection for the song.
Positive,Vibe goes hard af,"‘Af’ is slang indicating a strong, positive feeling about the music’s energy."
Positive,Love the vibe,Expresses strong positive feelings about the music's atmosphere.
Neutral,It’s giving into the spider verse,Uses a popular meme reference without expressing a clear positive or negative opinion.
Positive,"Man the more I listen to this? I understand more. He they said “ if it was up to me? I wouldn’t give the nobody’s no sympathy”. At first I was thinking like that was a shot at ,somebody whoever and they lied that they are saying is nobody like ignore him, etc. But as I listen more ? That’s not what they was saying. They were saying “if it was up to me I wouldn’t give these nobodies no sympathy .I will take away the pain and give them everything”.Powerful. Meaning? Everybody is feeling like they nobody’s? Make them feel seen make them feel equal. Show them that they are just important in this world as everybody else. They goats in my eyes.💯💯💯",Expresses admiration and empowerment conveyed through the song's message.
Positive,"Hearing this song is being performed at the Superbowl, which was beautiful 😍 🤩 👌 I'm glad I got the chance to enjoy this beautiful melody 💙 💜 ❤️ ♥️",Expresses strong positive feelings and enjoyment of the song.
Positive,This song hits tha beat like i was vibing,Expresses enjoyment and connection to the music's rhythm.
Positive,"His songs mean something deeper and deeper to me everytime I listen to them, consider me inspired imma meet bro one day n imma share my story the same mf way on my soul.",Expresses deep personal connection and inspiration from the music.
Positive,"this duet, so official...the harmony!",Expresses appreciation for the song's harmony.
Neutral,This should be in the next spideverse movie. Just sayin,A simple suggestion with no clear positive or negative sentiment.
Positive,This is a vibe!!!!,Expresses enthusiastic enjoyment and positive feeling.
Positive,This song is so good like this album is such a vibe I can’t get this out of my head and I love it🥰,Expresses strong enjoyment and obsession with the song and album.
Positive,Song + singing with lyrics =🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿💎,Uses emojis to express intense enthusiasm and enjoyment.
Positive,This vibe 🤩,Expresses enthusiastic enjoyment of the song's atmosphere.
Positive,There's something nostalgic about SZA's voice,"Expresses a warm, positive feeling associated with the artist's voice."
Positive,I adore this vibe....,Expresses strong liking of the song's atmosphere.
Positive,Is this real this is a vibe,Expresses enthusiastic enjoyment and appreciation.
Positive,It’s just so relaxing such a vibe🥰🌹,Expresses a feeling of relaxation and enjoyment.
Positive,Love the harmony and expression of love. Music has been missing that. ❤,Expresses appreciation for the song’s harmony and themes of love.
Positive,Such a vibeee.❤❤,Expresses enthusiastic enjoyment of the song.
Positive,This is what VIBES IM LOOKING FOR! 😭😩,Expresses strong enthusiasm and positive feelings.
Neutral,This should be in spider man across the spider verse,Expresses a simple opinion about the video's content.
Positive,It's so peaceful just the right vibe to relax to 😊,Expresses a feeling of peace and relaxation.
Positive,The beats flows through my hearts 🎶❤,Expresses strong positive emotion and enjoyment of the music.
Positive,What a vibe man👏,Expresses enthusiastic approval with an emoji.
Positive,Vibe❤❤,Expresses positive feelings with heart emojis.
Positive,"SZA, you are absolutely phenomenal! Your vocals are pure magic, and every note you sing feels like a soulful embrace. I could listen to you a hundred times over and still crave more. Your voice isn’t just music; it’s an experience—one that touches my soul in ways I can’t even put into words. You’re on loop, and I never want it to stop! 🎶✨🔥",Expresses intense admiration and describes the music as transformative.
