classificacao,comentario,justificativa,sentimento_manual
Positive,"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",The commenter uses enthusiastic language ('pure goosebumps') indicating a positive emotional response to the music video.,
Positive,"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!","The comment expresses strong positive feelings, pride, and admiration for the music video and Kendrick Lamar's work, highlighting its impact and emotional resonance for the commenter and their family.",
Positive,"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already","The comment expresses enthusiastic admiration and celebrates the song's impact and legacy, indicating a positive sentiment.",
Positive,Bro the beat alone is legendary,The use of the word 'legendary' indicates a strong positive feeling about the music video's beat.,
Positive,"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg","The commenter expresses enthusiastic admiration, using phrases like 'my favorite verse' and 'omg', indicating a positive sentiment.",
Negative,4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,The comment expresses strong criticism and disapproval of the music video's content related to a sensitive allegation.,
Positive,I will never get tired of this song lol. The beat is 🔥,The use of 'lol' and the fire emoji indicate enthusiastic enjoyment of the song.,
Positive,This BEAT… Mustard for Prez!!!,The enthusiastic use of 'Mustard for Prez!!!' clearly indicates a positive feeling towards the music video and its artist.,
Negative,"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂","The comment uses aggressive and disrespectful language, indicating a negative sentiment.",
Positive,"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉","The comment expresses enthusiastic praise for Kendrick Lamar and his music, using celebratory emojis and positive language.",
Positive,Playing this at max volume so even my neighbors can vibe too.😂,"The user expresses enjoyment and suggests sharing the music with others, indicating a positive reaction.",
Positive,Humble and this was first thing I played through my new studio Beats!!!,The commenter expresses enthusiastic praise and excitement about the song and their new studio equipment.,
Positive,Ten years from now this will still b a vibe,The comment expresses a positive feeling about the music video's lasting appeal and enjoyable atmosphere.,
Positive,This song is still undeniably catchy.,The comment expresses a positive feeling about the song's catchiness.,
Positive,Amazing beat ❤,The use of 'Amazing' and the heart emoji clearly indicate positive sentiment towards the music video.,
Neutral,"I've been listening to Kendrick since he was K. Dot. (After listening to ""Spiteful Chant"" & ""A.D.H.D"" I knew he was gonna blow up)I have no idea why Drake thought beefing with one of the best Lyricists ever and one of the few that was able to go MAINSTREAM without selling out would b a good idea. Who else would make a beef song the biggest hit of the year AND play it at the Superbowl with drakes ex serena. Even when Drake was at his best he still would have gotten completely destroyed. And props to kendrick for the last verse","The comment expresses both admiration for Kendrick Lamar's talent and criticism of Drake's decision-making, creating a mixed sentiment.",
Positive,The scale of annihilation this song is systemic..and deep..and danceable! I love it!,"The commenter expresses enthusiastic enjoyment and appreciation for the song, using positive adjectives and a clear statement of liking it.",
Positive,"Lyrics genius on so many different levels and I don’t listen to rap, but I was ALL in! Lamar, you did this!!",The commenter expresses enthusiastic approval and admiration for the artist’s work (,
Positive,We coming back to where Drake took notes,The comment expresses excitement and anticipation (,
Positive,The fact that bro made a viral diss track about drake and has this many views just shows he know exactly how to make proper beats,The comment expresses admiration for the artist's success and skill (,
Positive,Man idk how this is still such a vibe,The phrase 'such a vibe' indicates a feeling of enjoyment and positivity towards the music video.,
Positive,"In the 3rd verse, when tommy the clown blows the first whistle , kendrick and the dancers froze in the corner. So dope 🔥🔥🔥","The commenter uses enthusiastic language ('dope', fire emojis) to express positive feelings about a specific moment in the music video.",
Positive,"The fact that this song is copy right free, is a bop AND a drake diss!.. No wonder everyone learnt the lyrics fast lol",The comment expresses enthusiasm ('a bop') and observes a positive reaction ('everyone learnt the lyrics fast') indicating a favorable opinion.,
Positive,"The beat is insane, simple but effective, as always Mustard on the Beat never dissapoint, not to mention Kendrick Lamar. Kind regards.","The comment expresses enthusiasm and admiration for the music and artist, indicating a positive sentiment.",
