classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,"We must give juice to this girls writing , melody and delivery. Excited for a full project",Expresses enthusiasm and appreciation for the artist's talent.
Positive,Positive,"the lyrics, the voice control… omg she is incredible",Expresses overwhelming admiration for the artist’s vocal abilities and lyrical skill.
Positive,Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"Expresses feelings of relaxation and enjoyment, praising the artist."
Positive,Positive,"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",Expresses strong enjoyment and a desire for continued artistic direction.
Positive,Positive,"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗",Expresses strong enthusiasm and positive emotion about the song.
Positive,Positive,I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,Expresses extreme praise for the vocalist’s skill and control.
Positive,Positive,"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.",Expresses strong enthusiasm and appreciation for the song.
Positive,Positive,"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏",Expresses enthusiastic praise and strong enjoyment of the song.
Positive,Positive,"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect",Expresses strong and enthusiastic praise for all aspects of the song.
Positive,Positive,"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.",Expresses deep personal connection and empowerment through the music.
Positive,Positive,Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,Expresses strong enjoyment and describes an enthusiastic personal experience.
Positive,Positive,"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",Expresses strong positive feelings and appreciation for all aspects of the song.
Positive,Positive,I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,Expresses strong positive feelings and association with a desirable beach experience.
Positive,Positive,"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",Expresses strong enjoyment and appreciation for the song and the artist’s vocals.
Positive,Positive,This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,Expresses enjoyment and positive feelings associated with the song and artist.
Positive,Positive,Very refreshing and catchy song. Love it!!,Expresses strong enjoyment and appreciation for the song.
Positive,Positive,Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,Expresses strong enthusiasm and praise for the vocals and beat.
Positive,Positive,Amazing song she’s gorgeous her vocals are so soft 🔥🔥🔥🔥🔥🔥,Expresses strong admiration and enthusiasm using emojis.
Positive,Positive,What a vibe... what a wonderful song! 🌴🌺🌊,Expresses enthusiastic enjoyment and positive feelings.
Positive,Positive,Kim Taehyung really shared good melody song on his Instagram story,Expresses appreciation for a song shared by Kim Taehyung.
Positive,Positive,Yessss tyla!!! 🔥🔥🔥. I feel like this song allows us to hear your vocal skills way better. You're amazing ❤️❤️,Expresses enthusiastic praise and admiration for the artist's vocal abilities.
Positive,Positive,Not just the lyrics but also her voice is so sweet. She really did an amazing job,Expresses strong praise for both the lyrics and the singer's voice.
Positive,Positive,"every song called Water or Honey is a vibe, that's a rule🤣",Expresses enthusiastic enjoyment of songs with 'Water' or 'Honey' in their titles.
Positive,Positive,Melody on another level the infusion of the beat and her voice it's magnificent 👌🙌she is blowing our minds away with this craft❤❤👑,Expresses strong admiration and enthusiasm for the song.
Positive,Positive,Such a vibe.,Expresses positive feelings about the song's atmosphere.
Positive,Positive,Summer memories with girlies on this one! I see it. long drives or getting ready for a night out or brunch. The vibes are vibing with this one!!!!!,Expresses joyful association with positive experiences and feelings.
Neutral,Positive,We need Chris Brown on the second verse!!!!! What a beautiful song :),Expresses a desire for a specific change while also expressing overall positive sentiment.
Positive,Positive,Sweet voice love it! Sounds soulful and sensual with that catchy beat,Expresses enjoyment of the song's voice and rhythm.
Positive,Positive,do you know why I wanna listen this song again and again ? because of this 1:22 this part before the chorus,Expresses strong desire to repeatedly listen to a specific part of the song.
Positive,Positive,This song is a whole vibe!! 🎶💖 I listen to it every single day,Expresses strong enthusiasm and frequent listening.
Positive,Positive,"I just love the song, her voice, the lyrics - simply amazing!","Expresses strong, unqualified enjoyment of the song and its elements."
Positive,Positive,"This young lady is very talented. I'm 51 years old, and I love this song. This young lady is an excellent entertainer and gifted songwriter. She gives me #Ashanti and #Aaliyah vibes. #Ashanti is also a talented entertainer and songwriter. She wrote a lot of songs for other artists like Jennifer Lopez and many other artists. #Tyla, keep up the good work!!❤😊 💯👍🏽",Expresses strong admiration and positive comparisons to established artists.
Positive,Positive,"Wow. Damn girl. Song is on fire🔥🔥🔥🔥🔥. Love the beat, your voice, Everything just blends smoothly😍😍😍😍♥♥♥",Expresses intense enthusiasm and delight with strong positive emojis.
Positive,Positive,"Viciado nesse Hinoo, uma pegada afrobeat com R&B! ❤️🎧",Expresses enthusiastic enjoyment of the song's style.
Positive,Positive,"Absolute banger, beautiful voice great lyrics and sweet soulful beat 💯🎵",Expresses enthusiastic praise for the song's quality.
Positive,Positive,Let's appreciate this talent. My new ringtone ❤,Expresses fondness and designates the song as a ringtone.
Positive,Positive,Tyla is everything!!!  Love the good vibes my girl,Expresses enthusiastic support and appreciation for the artist.
Positive,Positive,There’s something very nostalgic about her vibe ❤️💯,Expresses fondness and appreciation for the artist's style.
Positive,Positive,"I'm a Nigerian but yo! Honestly this song is superb  chorus is giving vocals on point,  everything is giving  gosh 😢 love u tyla.",Expresses strong positive feelings and admiration for the artist.
Positive,Positive,"Que vibe praia, água salgada, suor, energia, dança, vibrações, cultura e alegria",Describes a joyful and energetic beach atmosphere.
Positive,Positive,I loving the vibes on this song and her voice is stunning!When I get my man this for him<3!,Expresses love for the song and connects it with a hopeful desire.
Positive,Positive,"the chorus was so ADDiCTING like LITERALLY and GOSH, her voice is like SO pretty ❤❤❤❤❤❤❤",Expresses strong enjoyment and affection for the song.
Positive,Positive,Gives me happy vibes! This song was playing in my girlfriend’s dad’s car on her birthday last week and it’s definitely a moment that i will never forget!,Expresses joyful memories associated with the song.
Positive,Positive,This song makes me feel like I’m in a club in tropical forest. It’s a vibe,Expresses a strong positive feeling and describes a desirable experience.
Positive,Positive,"The beat and her voice is amazing, this that walking in the club smelling good looking good ready to mingle.",Expresses excitement and enjoyment of the music and situation.
Positive,Positive,The future of afrobeats is in great hands,Expresses optimism about the genre's future.
Positive,Positive,I love the vibes ♡,Expresses fondness and appreciation for the song's atmosphere.
Neutral,Positive,she gives me the African Ariana Grande vibezz.... her sog has been on replayy for a whilleee,Combines praise with a somewhat informal and slightly critical comparison.
Positive,Positive,Im feeling the beat on this one ❤,Expresses positive feeling about the song's rhythm.
Positive,Positive,no other song can beat this one💯,"Expresses strong, unequivocal praise for the song."
Positive,Positive,Give me lyrics! Love this! Go Tyla! I’m breezing through my workout listening to this.,Expresses enthusiastic enjoyment and association with a positive activity.
Positive,Positive,that vocal slide at 0:39....🔥🔥🔥,Expresses enthusiastic appreciation for a specific musical element.
Positive,Positive,it has a spiritual vibe,Expresses a feeling of connection and reverence.
Positive,Positive,"Meu Deus q música boa, a vibe maravilhosa q isso passa❤️",Expresses strong positive feelings and appreciation for the music.
Positive,Positive,Vibes all day,Expresses a positive and enthusiastic appreciation for the song's atmosphere.
Positive,Positive,I love songs with this vibe ❤,Expresses affection and enjoyment of the song's atmosphere.
Positive,Positive,The chorus sounds angelic whaaatt!!,Expresses enthusiastic delight with the chorus.
Neutral,Positive,Who came here after listening this song in  V's weverse live???😂,Expresses curiosity about who watched the livestream.
Positive,Positive,"That song, melody, such a meaningful Text writing wow",Expresses strong positive feelings and appreciation for the song's elements.
Neutral,Neutral,Why does the chorus remind me of that one Pokémon battle in shield and sword or scarlet and violet. I can’t remember which one.,"Expresses a nostalgic, specific reference alongside a general assessment."
