classificacao,comentario,justificativa
Positive,"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",Expresses enthusiastic enjoyment and a strong desire for the collaboration.
Positive,Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,Expresses fondness for the intimate recording process.
Positive,"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",Expresses appreciation for the guitar and a nostalgic sentiment.
Positive,"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.",Extremely enthusiastic praise for both artists' abilities and impact.
Positive,"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",Expresses strong admiration and positive feelings towards Lady Gaga.
Positive,This song really brings back the 2010 Bruno Mars vibe.,Evokes a nostalgic and positive association with a beloved artist and era.
Positive,This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,Expresses fondness and nostalgia associated with the song.
Positive,This song hit the deepest part of my heart.🖤,Expresses profound emotional connection and enjoyment.
Positive,1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,Expresses strong admiration and healing through the song.
Positive,"Magical lyrics,bruno mars and lady gaga combo hit my heart",Expresses strong positive feelings and appreciation for the artists involved.
Positive,This song makes me feel deep about my trip to Australia just ended yesterday,Expresses a positive sentiment related to a personal experience.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and appreciation for the video's atmosphere.
Positive,Emotional song😢😢,Expresses a feeling of sadness and vulnerability.
Positive,Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,"Expresses admiration for the song's harmony and visuals, describing it as 'timeless art'."
Positive,Unreal vocal ❤❤❤,Expresses strong positive emotion regarding the vocals.
Positive,Die With A Smile just hit its 50th week in the Billboard Hot 100's top 10! 🥳❤️🤯 What a powerful song!,Expresses excitement and admiration for the song's longevity.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and positive feelings about the video.
Positive,I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,Expresses deep emotion and appreciation for the song linked to a significant personal milestone.
Positive,Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,Expresses intense positive emotion and connection.
Positive,It brought me to  tears its so powerful  it reaches you heart,Expresses profound emotional impact and enjoyment.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and appreciation for the video's atmosphere.
