classificacao,comentario,justificativa
Negative,Her shaking on the machine to the beat CHEWED,"The phrase 'chewed' in this context implies a harsh, unpleasant, and critical assessment of the music video's performance."
Positive,No idea what’s going on here but the vibes are immaculate,"The commenter expresses a positive feeling about the 'vibes,' indicating a favorable opinion of the music video."
Positive,"""Totally waiter vibes"" was what got me","The comment expresses a positive association with the music video, describing it as having 'waiter vibes'."
Positive,"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic","The comment expresses gratitude and a nostalgic appreciation for Charli's content, indicating a positive sentiment."
Positive,"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.","The commenter expresses enthusiasm and admiration for Charli's performance, indicating a positive sentiment."
Positive,"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back","The commenter expresses strong positive feelings about the song and associated memories, indicating a favorable sentiment."
Positive,not even a year has passed and I already feel nostalgic for this video 😭,The use of '😭' (crying emoji) and the expression of nostalgia indicates a strong positive emotional response to the video.
Negative,i am deeply suspicious of people who don't like charli's music.,"The comment expresses suspicion and disapproval of others' opinions, indicating a negative sentiment."
Positive,"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭",The user expresses excitement and enjoyment (
Positive,brat era nostalgic will hit HARD,The comment expresses a strong positive feeling about the song and its nostalgic impact.
Positive,"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.","The comment expresses enthusiastic appreciation and welcomes inclusivity, indicating a positive sentiment about the music video and its themes."
Positive,"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤","The use of emojis (😭❤) and enthusiastic adjectives like 'sassy,' 'comedy timing,' and 'iconic' strongly indicate a positive sentiment towards the video."
Negative,this is depressingly catchy,The use of 'depressingly' indicates a negative emotional response to the music video's catchiness.
Positive,I don’t know how Charli does it but her tunes are always iconic and catchy!,The comment expresses admiration and positive attributes (iconic and catchy) regarding the music video and the artist's work.
Positive,giving a early 2000s vibe,The comment expresses a positive association with the music video's style and evokes nostalgia.
Negative,alternate universe where everyone serves cvnt,"The comment uses a highly offensive and derogatory term, clearly expressing a negative sentiment."
Positive,"Not to maaajorly over-analyze, but that model expression is so unique to me. It gives the vibe that she's breaking the 4th wall, aware of the chaos around her, and still acting like she's currently posing for a magazine. It feels like she's still there as a full human person, like we're almost there, and she's not being just an idea or concept or character, she's human but still tapping into a boss part of herself. I think it's unique because most modelly expressions look detached and/or beyond their current situation and tend not to be grounded. I especially love it with the wine chaos going on - she's blinking wildly but she's still slaying. She keeps looking like she's battling the elements, even when there aren't elements to fight, and it's just so cool. Video modelling fr",The commenter expresses strong positive feelings and admiration for the music video’s artistic expression and the model's performance.
Positive,"This song is giving off Lady Gaga Vibes. Particularly the song from the movie A Star Is Born, “Hair Body Face.” Catchy, Upbeat, creative, inventive, unique/distinct, and authentic!","The comment expresses overwhelmingly positive feelings about the song's style and quality, referencing positive comparisons and enthusiastic adjectives."
Positive,dress to impress vibes 3:44,The comment expresses a positive feeling about the video's atmosphere and style.
Positive,Waiter vibes 💀,"The use of '💀' (skull emoji) typically indicates amusement and enjoyment, suggesting a positive reaction to the video's theme."
Positive,"Actually GREAT I LOVE THIS, its like 90's ost games with great tones great sound, great distored 808, but tones overall.. this is where I will go as a producer.","The commenter expresses strong positive feelings, stating they 'LOVE THIS' and will use it as a producer, indicating a favorable reaction."
Positive,I get euphoria vibe.,The commenter expresses a positive feeling (
Positive,"""Totally waiter vibes""","The comment expresses a positive association with the music video, suggesting it evokes a desirable and enjoyable feeling."
Positive,"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",The comment expresses enthusiastic admiration and positive feelings about the artist's voice and performance.
Negative,I'm speechless to explain how awful this is.  So I guess that's a thing.,The commenter uses explicitly negative language ('awful') expressing their strong dissatisfaction with the music video.
Positive,The vibes are vibing. All the girls are immaculate!,The comment expresses enthusiastic approval and admiration for the video's atmosphere and visuals.
Positive,totally waiter vibes,The comment expresses a positive association with the video's mood and feeling.
Negative,why are all the new artist all whispering garbage. can we have some class and vocal talent please.,"The comment expresses criticism and dissatisfaction with the music's vocal quality, indicating a negative sentiment."
Positive,"""totally waiter vibes"" i cant 😂",The use of 'totally waiter vibes' and the laughing emoji indicate a positive and appreciative reaction to the video's content.
Positive,I never realised fatima was in the brativerse OMG,The use of 'OMG' and the exclamation points express excitement and enthusiasm about the music video and Fatima's inclusion.
Negative,OMG! This is awfull!,The comment expresses strong dissatisfaction with the music video using the word 'awfull'.
Positive,Totally waiter vibes ✨,The use of 'waiter vibes' and the sparkle emoji suggest a positive and appreciative reaction to the music video.
Positive,I'm just SO SO SO in love with the beats!!!!,The exclamation points and phrases like 'in love' clearly indicate a positive emotional response to the music.
Positive,totally waiter vibes 😍,The use of 'totally waiter vibes' and the heart-eyes emoji clearly express a positive feeling towards the music video.
Negative,"Shit is trash can’t believe they gave it album of the year. Shows you how shit rolling stone, and the state of music. America choice in music is liberal as Kamala , rock is still better","The comment expresses strong disapproval and criticism of the music video and its award recognition, using derogatory language and political opinions."
Neutral,It's so odd people like this lol. Hey if you can't beat em join em. I'm on board now lol,"The comment expresses a slightly dismissive but ultimately accepting tone, lacking strong positive or negative emotion."
Positive,2:05 vibes : YES 😂,The use of 'vibes' and the laughing emoji indicate a positive reaction to the music video.
Negative,This is the worst.,The comment expresses a strong dislike and negative judgment of the music video.
Negative,LMAO just discovered this channel/artist/if-you-can-even-call-it-that and I think it’s wild that there’s literally only 3 notes in the entire song and there are 6M views. This new generation must be zombies to waste 4 and a half minutes of their lives listening to a “song” where entire verses are just 1 note repeated over and over again.,The comment expresses critical and mocking opinions about the music's quality and the listener's engagement with it.
