classificacao,comentario,justificativa
Positive,"The vocals are so powerful, gave me chills.","The commenter expresses a strong positive reaction to the vocals, using the phrase 'gave me chills'"
Positive,"This song is amazing, I can't stop listening!",The commenter expresses enthusiastic enjoyment of the song with positive language like 'amazing' and 'can't stop listening'.
Positive,"Incredible energy, I love this vibe.",The commenter expresses enthusiastic enjoyment and a positive feeling about the video's 'vibe'.
Positive,"I can’t believe how good this is, wow!",The exclamation points and positive phrasing ('good this is') clearly indicate a positive sentiment.
Positive,"The vocals are so powerful, gave me chills.",The commenter expresses a positive reaction by stating the vocals were 'powerful' and evoked a feeling of 'chills'.
Positive,"Such a positive message, I needed this today.",The commenter expresses a strong feeling of needing and appreciating the positive message conveyed in the video.
Positive,This track just made my day better.,The commenter expresses a feeling of increased happiness and improved mood due to the music video.
Positive,"Best release of the year, absolutely stunning.","The commenter expresses strong approval and admiration for the music video, indicating a positive sentiment."
Positive,"The lyrics are so inspiring, I felt emotional.","The comment expresses a positive emotional response to the lyrics, indicating a favorable sentiment."
Positive,"Pure masterpiece, congratulations to the artist.","The comment expresses enthusiastic praise and congratulations, indicating a positive sentiment."
Positive,"Pure masterpiece, congratulations to the artist.",The comment expresses enthusiastic praise for the artist and the music video.
Positive,"The lyrics are so inspiring, I felt emotional.","The commenter expresses a positive emotional response to the lyrics, indicating a favorable sentiment."
Positive,This track just made my day better.,"The commenter expresses a direct positive impact on their mood, indicating a favorable sentiment."
Positive,"The vocals are so powerful, gave me chills.","The comment expresses enthusiastic enjoyment and a feeling of being moved by the vocals, indicating a positive sentiment."
Positive,"This song is amazing, I can't stop listening!",The commenter expresses strong enthusiasm and enjoyment of the song using phrases like 'amazing' and 'can't stop listening'.
Positive,"Pure masterpiece, congratulations to the artist.",The comment expresses strong admiration and praise for the artist and their work.
Positive,"I can’t believe how good this is, wow!",The exclamation points and phrases like 'wow' clearly indicate strong positive emotion and enjoyment of the music video.
Positive,"The lyrics are so inspiring, I felt emotional.","The commenter expresses a feeling of inspiration and emotional response, indicating a positive sentiment."
Positive,"This song is amazing, I can't stop listening!",The commenter expresses enthusiastic enjoyment of the song using words like 'amazing' and 'can't stop listening'.
Positive,"Such a positive message, I needed this today.","The commenter expresses a clear feeling of needing and benefiting from the video's message, indicating a positive sentiment."
Positive,"Best release of the year, absolutely stunning.","The commenter expresses enthusiastic praise, using strong positive language like 'Best release of the year' and 'absolutely stunning'."
Positive,"The vocals are so powerful, gave me chills.",The commenter expresses a strong positive reaction with the phrase 'gave me chills' indicating excitement and enjoyment.
Positive,"I can’t believe how good this is, wow!",The exclamation points and enthusiastic expression of surprise and admiration clearly indicate a positive sentiment.
Positive,"Pure masterpiece, congratulations to the artist.","The comment expresses enthusiastic praise and congratulations, indicating a positive sentiment."
Positive,"Such a positive message, I needed this today.","The commenter expresses a feeling of needing and benefiting from the video's message, indicating a positive experience."
Positive,This track just made my day better.,"The commenter explicitly states the music 'made their day better,' indicating a positive emotional response."
Positive,"Such a positive message, I needed this today.","The commenter expresses a feeling of needing the video's message, indicating a favorable reaction."
Positive,"This song is amazing, I can't stop listening!","The commenter expresses strong enthusiasm and enjoyment of the song, indicating a positive sentiment."
Positive,"The lyrics are so inspiring, I felt emotional.","The commenter expresses a positive emotional response to the lyrics, indicating a favorable opinion."
Positive,"Pure masterpiece, congratulations to the artist.","The comment expresses enthusiastic praise and congratulations, indicating a positive sentiment."
