classificacao,comentario,justificativa
Positive,Let’s be honest. This vibe never gets boring ❤,Expresses enthusiastic enjoyment of the song’s vibe.
Positive,"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨",Expresses enthusiastic enjoyment and describes the song as a ‘total vibe’.
Positive,"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.",Expresses excitement and praise for the artist's current musical direction.
Positive,I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,Expresses strong enjoyment and admiration for the video and artist.
Positive,I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,Describes euphoric feelings and strong enjoyment of the music.
Neutral,1:18 chorus,"A reference to a specific time point in the song, without expressing a positive or negative opinion."
Positive,"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥",Expresses fondness and excitement for the song.
Positive,"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥",Expresses enthusiasm and enjoyment of the song's atmosphere.
Positive,Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,Expresses enjoyment of the song's summery feel.
Positive,The vibe of this song is lethal. Love it!,Expresses strong positive feelings about the song's 'vibe'.
Positive,"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.",Expresses enthusiasm and positive anticipation for the album.
Positive,"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘",Expresses strong positive feelings and enjoyment of the music.
Positive,"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖",Expresses positive feelings and association with a specific experience.
Positive,"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕",Expresses fondness and appreciation for the song and its associated feelings.
Negative,Scott Cramer and his video about the wrong lyrics brought me here,Expresses annoyance and criticism of a specific video.
Positive,The quiet house put this song so nice vibes,Expresses a positive feeling about the song and its effect.
