classificacao,sentimento_manual,comentario,justificativa
Neutral,Neutral,Westworld vibe there,"References a specific, potentially positive, cinematic world but doesn’t express overall sentiment beyond that reference."
Positive,Positive,"I do not care for country, nor do I care for these nasty comments. But because I grew up around country, I know when I hear a catchy country tune. I love this… it may not be your normal to the others, but I am very appreciative of your flexibility with music, it gives me a new perspective.  This is a beautiful piece that you sang your heart out to, and I feel like more people should appreciate it for just what it is. 🔥💚🔥",Expresses appreciation for the song despite personal preferences.
Positive,Positive,"No boundaries. No shirt, but nice beat.  Nice voice. Beautiful.",Expresses appreciation for the music and its quality.
Neutral,Neutral,It’s strange to think about how a few years from now this will be really nostalgic.,"Expresses a speculative, slightly detached, observation about the song's future value."
Positive,Neutral,"I think it's good to have the courage to sing a country song , a real catchy tune  ❤",Expresses support and appreciation for the song.
Negative,Negative,this won a grammy?? well its givin DEI vibes 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Sarcastic remark ridiculing the Grammy win.
Negative,Negative,This is an insult to the real hard working country singers out there. Wow. There is no “country” in this song at all. It’s awful!,Expresses strong disapproval and claims the song lacks genuine country elements.
Positive,Positive,Love the lyrics “we headed to the dive bar we always thought was nice “.  Because living in the simple life of the deep country areas with no money going to the local bar thats a complete dive always seems nice to folks who don’t know no better.,Expresses fondness for the nostalgic lyrics and simple lifestyle depicted.
Positive,Positive,This song is a vibe idc idc,Expresses enjoyment and appreciation for the song's atmosphere.
Positive,Positive,"BeyHive! ""Texas Hold Em"" has now surpassed 600 million Spotify streams! This is Beyoncé's 11(12)th song to reach this milestone! Keep streaming! 🐝👑",Expresses excitement and encouragement for streaming Beyoncé's music.
Positive,Positive,Sheeee is such a vibe 🎉🎉🎉🎉❤❤❤❤ go BEYONCE GET IT COUNTRY 🎵🎶 MUSIC,Expresses enthusiastic enjoyment and support for the artist.
Negative,Negative,This is the WORST ATTEMPT AT COUNTRY MUSIC! GIRL! Stay in your lane!,Expresses strong disapproval and insults the music genre.
Positive,Positive,Beyonce is absolutely stunning here. The songs a great catchy pop choon.,Expresses strong admiration and describes the song positively.
Neutral,Positive,"I’ve never been a fan of Beyoncé, but this song can easily get lost in your head, and you can’t shake it. Besides that, I do have to say this.  Experimenting with different genres can help, until you find your voice, all new singers that break out into the music scene do this.  But for Beyoncé who’s been doing R&B, pop and hip hop music for as long as she has to jump ship to country is a big leap. Her voice is a powerhouse in the other genres of music and that’s been her vibe for all of her musical life. It’s great she’s expanding her repertoire and trying her hand at Country, and  Country musicians welcomed her with open arms to the country music  family.  But with her vocals mixing with country music is an absolute long shot. I admit country music isn’t what it used to be, it’s a little more poppy, but there some artist’s that love to go back to the traditional ways of what country music use to be. But in the case of Miss Beyoncé, there are already Country Queens. I’d rather her be in the zone where she has been labeled a queen in her more recognized career.",Expresses both admiration and skepticism towards Beyoncé’s genre shift.
Negative,Negative,Worst music video in history,Expresses extreme disapproval and declares it the worst music video ever.
Negative,Negative,Worst music video goes to Beyonce,Expresses a strong negative opinion about the music video.
Neutral,Neutral,Hi I'm one of Riley's new emotions.,A simple greeting with no discernible sentiment.
Positive,Positive,"I love this song! Shame on people who think we don't have the freedom or right to sing any damn thing we want, especially with a voice like Beyonce! It's is fun with a great beat...","{""sentiment"":""Positive"",""justification"":""Expresses strong enjoyment and praises the song’s qualities.”}"
Neutral,Neutral,"And I'm not saying it isn't a catchy song, but not, IMHO, a country song.",Expresses enjoyment while criticizing the genre classification.
Positive,Positive,"I like this song, very catchy.....",Expresses enjoyment and appreciation for the song's catchiness.
Negative,Negative,Is this a joke song making fun of country music or something? This might be the worst song ever recorded,Expresses extreme disapproval and suggests the song is exceptionally bad.
Negative,Negative,Lol. Shes deep into DIDDYS parties,Uses derogatory slang and implies the artist is irresponsible.
Negative,Negative,"Seriously what is wrong with music nowadays 🙄 remember the times when Michael Jackson was creating mini movies to his songs, every single one was unforgettable. This looks so cringe and boring 😬","Expresses strong criticism of modern music and finds the video ""cringe""."
Negative,Negative,She didnt deserve THE GRAMMY! Who even listens to this album?! Like come on! The fake surprise when they said her name in the grammys UPSET ME and seeing billie eilish crying made most of all of the fans sad! Over all HMHAS had the most listeners and her vocals are great i dont say i hate her but this album deserved for 2024 grammys bot 2025!,Expresses strong disapproval of the Grammy award and criticizes the album.
Negative,Negative,This song sucks. Its so boring and generic,Expresses strong dislike and finds the song boring and generic.
Positive,Positive,"I truly enjoyed the album and the philosophy behind it. I know every word because it's been on repeat since its release. I would love to see AMERIICAN REQUIEM used as a soundtrack in a film. I have a hot dance routine for Bodyguard. I loved being on an emotional roller coaster while listening to this masterpiece. Some of my favorite songs include Levi jeans, Protector, Riverdance, Yaya, Tyrant II Most Wanted, Bodyguard, Blackbird, 16 carriages, and Texas Hold 'Em, not to mention spaghetti. The engineer's sound and her excellent vocals just made everything come together seamlessly.","Expresses strong enjoyment, repeated listening, and appreciation for the album's artistic elements."
Negative,Negative,"The most monotonous and repetitive eye candy ever 😂 completely out of sync with the song. I'd expect more dancing and more DANCERS. Such a disappointment, that's not what one imagines while listening to this very well conceived song",Expresses disappointment and criticizes the music video's lack of energy and synchronicity.
Negative,Negative,Just awful and this is coming from a native Texan.,Expresses strong disapproval and identifies as a Texan.
Negative,Negative,Probably one of the worst songs I have ever heard in my whole life,Expresses extreme dislike and considers it a terrible song.
Negative,Negative,Awful,Uses a strongly negative adjective to describe the song.
Negative,Negative,Awful... 😢,Expresses strong disapproval and sadness.
Negative,Negative,"So bad... (Not being sarcastic, or saying she's ""Bad"". It's just awful.)",Expresses strong disapproval and negative feelings about the song.
Positive,Positive,The vibe is immaculate ✨️,Expresses strong positive sentiment using the word 'immaculate'.
Negative,Negative,"Gotta be the very worst song I’ve ever heard, right behind WAP.","Strongly condemns the song as exceptionally bad, comparing it to WAP."
Negative,Negative,Just an awful song lol,Expresses strong dislike and uses a dismissive term.
Negative,Negative,I don't care how much backlash I get but you can't make a country song with cuss words in it. Sorry Beyonce but that's not how country rolls. Also this in my opinion is worst song I ever heard from her. No hate just stay in your lane (btw the way before you say this is racist im black)  I like country the way is no cussing. You can't call it a country song if there's cussing in it. If you look at all the country songs there's not one cuss word in them. Stay with the hip hop genre.,Strongly criticizes the song's lyrical content and genre classification.
Negative,Negative,This is by far the worst video I have ever seen. And the song isn't far behind it.,Expresses strong dissatisfaction with both the video and the song.
Negative,Negative,Beyonce you are the worst singer 😂,Expresses strong disapproval and ridicule of Beyoncé's singing ability.
Negative,Negative,Beyonce knows nothing of Texas or country she's just a good vocalist from the Streets,Expresses strong criticism and disbelief about Beyoncé's connection to Texas and country music.
Negative,Negative,God awful,Expresses extreme disapproval and disgust.
Negative,Negative,This is disgusting. Her video is vile. Her voice is awful combined with country style. It sounds like a joke and she actually won? What an absolute disgrace and an insult to real country artists. And on top of all that she is walking around with a stupid blonde wig.,Strongly condemns the artist's video and music as vile and offensive.
Negative,Negative,This is such a rubbish track. Awful.,Strongly expresses disapproval and calls the song 'rubbish'.
Negative,Negative,Holy hell this is worst thing since her last album🤮🤮🤮🤮,Strongly expresses disgust and criticism of the song.
Negative,Negative,"Eeeewww how we all question their lyrics, will music ever survive, who wants to b that pretty😂😂😂❤❤❤",Expresses skepticism and mockery regarding the song's lyrics and artist.
Negative,Negative,"Worst album, can’t believe this got chosen over billie, WILD",Expresses strong disapproval and comparison to another artist.
Positive,Negative,I think this song is great! It's definitely catchy.😊,Expresses enjoyment and highlights the song's catchiness.
Negative,Negative,I came here thinking I was going to hear country music. I was awfully wrong,Expresses disappointment and a negative reaction to the music genre.
Neutral,Neutral,This isn’t a bad song but it’s not country. It’s more pop with Country vibes.,Acknowledges positive aspects but identifies a key deviation from the genre.
Negative,Negative,This is the worst country song by a non-country artist EVER.,Strongly expresses extreme disapproval and negativity towards the song.
Negative,Neutral,Worst crap i ever heard. Tell the truth people.  The truth will set you free !!!!! Lmao😂😂😂😂😂,Strongly condemns the song as terrible and expresses frustration.
Negative,Negative,How TF did this shit song beat the masterpiece that Chris Stapleton played with Cold,Expresses strong disapproval and compares it unfavorably to a superior song.
Negative,Positive,"Sounds like she wrote country lyrics and decided to imitate bruno mars with her hoooooo's, She a good singer, but I gotta admit this is bad",Criticizes the lyrics and vocal imitation negatively.
