classificacao,comentario,justificativa
Positive,this song was released literally this year and it already feels nostalgic af 😩,"The use of 'nostalgic af' and the emoji convey a strong, positive feeling about the song's timeless quality."
Positive,This song is a masterpiece! The video concept brings the whole vibe to life 💖❤,The enthusiastic exclamation 'masterpiece' and the use of heart emojis clearly indicate a positive sentiment.
Positive,"Fortnight’ is pure magic. The storytelling and emotion in this track are unmatched. As a country and southern rock artist, I connect deeply with that vibe. 🌙🎶","The commenter expresses strong positive feelings about the song, describing it as 'pure magic' and highlighting a deep connection due to its 'vibe'."
Negative,3:59 worst part,"The comment expresses a negative opinion about a specific part of the music video, indicating dissatisfaction."
Positive,Major Lana Del Rey vibes. I love it. Wasn't expecting this style from Taylor,"The commenter expresses clear enjoyment of the video's style, using phrases like 'I love it' and 'Major Lana Del Rey vibes'."
Positive,"Tay’s fortnight is a profound exploration of temporal fragility, emotional inertia, and the haunting persistence of memory. It’s  an intimate narrative of heartbreak, a meditation on the nature of time, and an inquiry into the human capacity to endure unresolved emotional tension.❤","The comment uses highly positive language – 'profound exploration,' 'intimate narrative,' 'meditation' – and expresses admiration for the video's themes and artistic merit."
Positive,Already heard this twice on the radio in my car while out on a late night drive.The second it was raining slowly and I cranked up the volume and wow! This track just blew me away and made me think of my past both happy and sad memories I slightly had tears my eyes.Nothing like a late night drive out in the rain hearing this track with great 80s vibes!,"The commenter expresses overwhelming enjoyment of the song and its impact, using enthusiastic language and describing a nostalgic, emotionally evocative experience."
Positive,"This song reminds me of somebody else by the 1975 and also, the Drive soundtrack. Very nostalgic feeling",The commenter expresses a positive nostalgic feeling associated with the music and its references.
Negative,Who's here after JoJo Siwa posted that she beat out this video for dislikes?! LOL,"The comment expresses frustration and disbelief at being out-disliked by JoJo Siwa, indicating a negative sentiment."
Positive,"I don't know why this song as a lead single polarized so many people and was deemed ""not as strong"". This is one of Taylor's most beautiful, mature songs and Post Malone harmonizes and fits in with it effortlessly. ""I love you, it's ruining my life"" is one of the most simplest yet heartbreaking lyrics I've ever heard. The sadness hits hard in this one with the rich melancholic vocal melodies. Post Malone's solo toward the end is beautiful.","The commenter expresses strong positive feelings about the song and its artistic qualities, including lyrics and vocal performance."
Positive,"His ability to create something so unique and innovative, mixing elements of different styles, is admirable. It is rare to find such a striking sound signature.",The comment expresses admiration and appreciation for the artist's unique and innovative musical style.
Positive,"I always comeback listening to this song, such an underrated gem with full of emotion and nostalgia feeling to it. This song will never get old, a classic masterpiece.","The commenter expresses strong positive feelings about the song, describing it as an 'underrated gem' and a 'classic masterpiece'."
Positive,"I just can't believe that it's been a year—TTPD has already been one year old! I remember going back home from school and listening to this song. I wasn't a Swiftie at that time; a Swiftie friend of mine showed me this song. I don't know what to say now. I'm just feeling somewhat emotional that time elapses so fast, and this masterpiece has already been a year old, while it feels like yesterday.","The commenter expresses fondness and nostalgia for the song, indicating a positive emotional response."
Positive,"I'm not a Swiftie but this is one of the top songs I like. He likes synthpop, especially the kind that almost touches downtempo or dreampop. Song is captivating.","The commenter expresses a strong positive opinion, stating it's one of their favorite songs despite not being a fan of the artist's fanbase."
Positive,she is always beatiful!!!,The exclamation points and use of 'beautiful' clearly indicate a positive sentiment towards the artist.
Positive,"Even if they weren't singing about something sad, their harmony is so beautiful I want to burst","The commenter expresses a strong positive reaction to the music's harmony, describing it as 'beautiful' and wanting to 'burst' with emotion."
Positive,"Can't believe it's been a year. I can't get this song out of my head. It's like it's stuck on loop in my head. A tortured feeling I didn't even know how to express found its voice in this track. And that outro? I'm still not over it. Man, it didn't just end the song — it hit so deep, it carved out a whole space in my memory. Still gives me goosebumps every time...🤍","The comment expresses intense fondness and emotional connection to the song, using evocative language like 'still gives me goosebumps' and 'hit so deep' indicating a positive sentiment."
Negative,This is the most forgettable song and music video I've ever seen win a VMA🥱,The comment expresses disappointment and uses the emoji to convey a negative opinion of the video.
Positive,"I’m never emotional. Until I’m touched by Taylor’s voice, lyrics, visuals and music. It hurts to cry. But it makes me happy and sad all at the same time.","The commenter expresses a strong positive emotional response, describing feelings of happiness and sadness evoked by the music video."
Positive,"This almost lulls you. It’s so almost peaceful. Such an amazing set of lyrics and beautiful voices with the delicate instrumentation. It’s like a prayer. Yes, I cried. 😢🎤🙏🏼🎶🏝️🎬💘🎼","The commenter expresses overwhelmingly positive feelings about the video, describing it as peaceful, beautiful, and emotionally impactful."
Positive,This song litteraly puts my 11 month old to sleep so fast. It’s so awesome. TAYLOR WHAT Kind of Vibes did you and  JACK PUT INTO THIS?!?,The commenter expresses strong positive feelings about the song's effect and describes it as 'awesome'.
Negative,"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had",The commenter expresses disappointment and uses phrases like 'hate train' and 'didn't know how incredible vibe' indicating a negative reaction.
Positive,Absolute beauty and harmony,The comment expresses admiration and delight with the phrase 'absolute beauty and harmony'
Positive,"Excellent,i likes so much,with one sound 80's pure synthwave",The commenter expresses enthusiastic approval and enjoyment of the music video using positive language like 'Excellent' and 'i likes so much'.
Positive,The way Post Malone mouthed the lyrics at about 1:28 makes me melt🫠,The user expresses a feeling of enjoyment and attraction (
Positive,This song takes me to another world. So powerful!,The commenter expresses enthusiastic enjoyment and describes the song's impact as 'powerful' and 'takes me to another world'.
Positive,"I like this song because the mood and overall vibe feels sad and mundane, and sometimes life IS sad and mundane. I especially really like the ""all my mornings are monday's stuck in an endless february"" line. This song is great when you feel stuck in a rut but your yearning for something more.","The commenter expresses a positive appreciation for the song's mood and lyrics, highlighting its relatability and ability to evoke a positive emotional response despite a melancholic theme."
Negative,"""I love you. Its ruining my life."" Damn....that cuts deep.","Despite expressing love initially, the statement 'ruining my life' indicates a deeply negative emotional response and distress."
Negative,"Worst music video ever, Taylor overrated","The comment expresses strong disapproval and uses negative descriptors ('worst,' 'overrated') indicating a negative sentiment towards the music video and artist."
Positive,"I've just discovered her music. Maybe it was the Universe that bought me here but her voice is something that speaks how I feel. Thank you, my voice is defeated but there you are. 😢","The commenter expresses a strong positive connection to the artist's music and voice, conveying a feeling of relief and validation."
Positive,I love Travis but Taylor and Post are such a vibe together.,"The commenter expresses enthusiasm and enjoyment of the collaboration, using positive language like 'love' and 'vibe'."
Positive,Post malones verse absolutly slaps 🔥🔥🔥,The use of fire emojis and the phrase 'slaps' clearly indicates strong positive sentiment towards Post Malone's verse.
Positive,Wonderful lyrics great job on the video,The commenter expresses enthusiasm with positive adjectives like 'wonderful' and 'great'.
Negative,She is easily the worst singer in the industry. Just sounds monotone in almost every song. I can't believe people enjoy her music.,The comment expresses strong criticism of the singer's voice and expresses disbelief at people's enjoyment of her music.
Positive,This is so vibes for November/ December gothic theme.,"The comment expresses a positive opinion about the video's aesthetic and theme, using the enthusiastic term 'vibes'."
Positive,Written and DIRECTED by Taylor Swift. Incredible direction & videography. (Plus the song composition).,"The comment expresses strong praise for the direction, videography, and song composition, indicating a positive sentiment."
Positive,My mum loves this song it's her ring tone 😂,The comment expresses enjoyment and affection (
Positive,"This has 80s Voices Carry vibes to it, and I'm here for it!",The commenter expresses enthusiasm and enjoyment (
Positive,This beat we can’t be friends?💀,The use of the skull emoji (💀) indicates amusement and enjoyment of the music video.
Negative,worst video of the year to ever win. WCBF WAS SNUBBED.,"The comment expresses strong disapproval and frustration, using negative language like 'worst' and 'snubbed'."
Positive,"Taylor Swift, your artistry and storytelling are truly unmatched! The way you craft songs that resonate so deeply with listeners is nothing short of magical. Your ability to evolve and experiment with different genres while maintaining your unique voice is incredibly inspiring. Each album you release feels like a new chapter, filled with raw emotion, honesty, and brilliance. Thank you for sharing your incredible talent and for creating music that touches hearts and souls. Your dedication and passion are evident in every note and lyric. Keep shining and making beautiful music!","The comment expresses overwhelming admiration and appreciation for Taylor Swift’s artistry and music, clearly indicating a positive sentiment."
Negative,"I like most of her songs, but I have to say, I really don't like this one. I don't like the lyrics.","The commenter explicitly states a dislike for the song and its lyrics, indicating a negative sentiment."
Negative,Am I the only one who thinks Taylor swift has such a bland voice. It just sounds like she talks through her songs. They’re so monotone.,"The comment expresses a critical opinion about Taylor Swift's vocal style, describing it as 'bland' and 'monotone'."
Positive,so deeply obsessed with this mv,"The commenter expresses a strong feeling of 'obsession,' indicating a positive reaction to the music video."
Positive,"Love the lyrics and melody of this song so much, love Taylor❤",The user expresses strong positive feelings about the song using words like 'love' and an emoji.
Positive,"I feel like there's a vibe the same as the song ""About You"" by The 1975","The commenter expresses a positive association with the music video, drawing a comparison to a well-regarded song by The 1975."
Negative,This is like the most generic song,The comment expresses disappointment and criticism regarding the song's lack of originality and appeal.
Positive,I come here anytime I want to listen to Chappell. You can’t beat this performance!!,"The commenter expresses enthusiastic praise for the performance, indicating a positive sentiment."
Positive,Taylor creates music with such a deep message,"The comment expresses admiration for Taylor's music and its perceived depth, indicating a positive feeling."
