classificacao,comentario,justificativa
Positive,This track has such a nostalgic vibe to it. It reminds me of simpler times and brings back so many memories.,Expresses fondness and evokes positive memories.
Positive,"Normally avoid pop but something about this one is nostalgic, romantic and insightful.","Expresses a strong positive feeling with descriptions of nostalgia, romance, and insight."
Positive,"one of the finest artist in this generation , no stupid lyrics no stupide or sexual choreography absolute gem",Expresses high praise for the artist and their work.
Positive,To everyone vibing with this: may your week be as upbeat and joyful as this melody. Keep dancing! 💃🕺🎶,Expresses enthusiasm and encouragement for enjoying the music.
Positive,"Hi Benson, I've been faintly hearing this song on the radio in various stores I've gone into so I recently decided to look it up with the hook/chorus as my only thing to go off of. I'm a recovering alcoholic and this song gives me hope for my future but also helps to remind me not to be complacent. I wish you the best and I thank you for your art.",Expresses gratitude and hope associated with the song.
Positive,This is the best new generation Song ever its 90s vibe....,Expresses enthusiastic enjoyment and comparison to a nostalgic era.
Positive,"Such a powerful song about the human condition and the vulnerableness we all share...Love can be hard to get, and even harder to hold on to.",Expresses appreciation for the song's poignant themes and emotional depth.
Positive,0:38 a beatiful song❤❤❤😊😊😊🔥🔥🔥,Expresses strong positive feelings and enthusiasm with emojis.
Positive,I knew this song was immaculate within the first 10 seconds. The chorus was more than a bonus and the way it brings me to my knees to thank GOD is everything. 🥲,Expresses profound admiration and gratitude for the song's impact.
Positive,"great tempo and vocal shifts awesome composition, it rocks.","Expresses enthusiastic praise for the song's tempo, vocal shifts, and overall quality."
Positive,"is truly one of the most beautiful songs I’ve ever heard. It resonates with me so deeply that I listen to it every single day. I guess you could say I’m a little addicted to it, but it’s not just the melody it’s the emotions it stirs in me. I’m 45, still single, and sometimes I find myself wishing for someone who could love me with the same kind of passion and devotion that this song evokes. I long for a love that makes me feel extraordinary, even in my ordinary moments.",Expresses profound love and deep emotional connection to the song.
Negative,Worst song of all time,Expresses strong disapproval and declares the song the absolute worst.
Negative,"I am from Middle East I converted my religion. When my family learned they beat me, took my phone, laptop, bible etc. And locked me in a room for 1.5 years! I was just a 9 months old believer. When I was sitting in the room I prayed and said I don't have my Bible, my believer friends etc. how can I continue my faith? And I heard Holy spirit said I can come in this room! And he came he was with me all the time while I was in there. When I heard this song I felt someone who doesn't know my testimony made a song for me 😍 Yes he is in the room and he'll be in the room and we can't survive without him.","Expresses a deeply distressing and negative personal experience, indicating pain and suffering."
Negative,Awful song please delete from history,Expresses strong disapproval and a desire for the song's removal.
Positive,Wow his vocals ❤🎉beautiful song,Expresses enthusiastic appreciation for the vocals and the song.
Positive,This song is totally my style! I really needed rock music like this. Especially the high notes in the chorus feel so refreshing.,Expresses strong enjoyment and appreciation for the song's style and vocal performance.
Positive,"@BensonBoone is giving Freddy Mercury. The jumpsuit, the mustache, the original voice and performance and just the overall vibe and look about him.",Compares the artist to a beloved performer in a highly complimentary way.
Negative,"I hate this song with every fiber of my being. Cheesy 70s porn ‘stash, bombastic American Idol vibes, every vibe he has that sucks. I hate the songs this guy makes..",Expresses intense dislike and criticism of the song and artist.
Positive,"What an unusually beautiful timbre of voice, I want to listen to it all the time. Cool song!",Expresses strong appreciation for the vocal timbre and enjoyment of the song.
