classificacao,comentario,justificativa,sentimento_manual
Positive,this song was released literally this year and it already feels nostalgic af 😩,"The commenter expresses a positive feeling of nostalgia, using 'af' to intensify the emotion.",
Positive,This song is a masterpiece! The video concept brings the whole vibe to life 💖❤,The enthusiastic exclamation 'masterpiece' and use of heart emojis clearly indicate a positive sentiment.,
Positive,"Fortnight’ is pure magic. The storytelling and emotion in this track are unmatched. As a country and southern rock artist, I connect deeply with that vibe. 🌙🎶","The commenter uses strong positive language like 'pure magic' and expresses a deep personal connection, indicating a favorable opinion.",
Negative,3:59 worst part,The comment expresses a negative opinion about a specific part of the music video.,
Positive,Major Lana Del Rey vibes. I love it. Wasn't expecting this style from Taylor,"The commenter expresses clear enjoyment of the video's style, using phrases like 'I love it' and referencing a positive comparison to Lana Del Rey.",
Positive,"Tay’s fortnight is a profound exploration of temporal fragility, emotional inertia, and the haunting persistence of memory. It’s  an intimate narrative of heartbreak, a meditation on the nature of time, and an inquiry into the human capacity to endure unresolved emotional tension.❤","The comment uses highly positive language, describing the video as 'profound,' 'intimate,' and focusing on emotionally resonant themes.",
Positive,Already heard this twice on the radio in my car while out on a late night drive.The second it was raining slowly and I cranked up the volume and wow! This track just blew me away and made me think of my past both happy and sad memories I slightly had tears my eyes.Nothing like a late night drive out in the rain hearing this track with great 80s vibes!,"The commenter expresses overwhelming enjoyment and nostalgia, indicating a highly positive emotional response to the music.",
Positive,"This song reminds me of somebody else by the 1975 and also, the Drive soundtrack. Very nostalgic feeling",The commenter expresses a positive nostalgic feeling and makes positive comparisons to well-regarded musical works.,
Negative,Who's here after JoJo Siwa posted that she beat out this video for dislikes?! LOL,"The comment expresses frustration and disbelief about being outperformed by JoJo Siwa, indicating a negative reaction to the video's performance.",
Positive,"I don't know why this song as a lead single polarized so many people and was deemed ""not as strong"". This is one of Taylor's most beautiful, mature songs and Post Malone harmonizes and fits in with it effortlessly. ""I love you, it's ruining my life"" is one of the most simplest yet heartbreaking lyrics I've ever heard. The sadness hits hard in this one with the rich melancholic vocal melodies. Post Malone's solo toward the end is beautiful.","The commenter expresses strong admiration for the song and its elements, highlighting positive aspects like lyrics and vocal melodies.",
Positive,"His ability to create something so unique and innovative, mixing elements of different styles, is admirable. It is rare to find such a striking sound signature.",The comment expresses admiration and praise for the artist's creative ability and the distinctive sound of the music.,
Positive,"I always comeback listening to this song, such an underrated gem with full of emotion and nostalgia feeling to it. This song will never get old, a classic masterpiece.","The commenter expresses strong positive feelings about the song, praising its emotional depth and timeless quality.",
Positive,"I just can't believe that it's been a year—TTPD has already been one year old! I remember going back home from school and listening to this song. I wasn't a Swiftie at that time; a Swiftie friend of mine showed me this song. I don't know what to say now. I'm just feeling somewhat emotional that time elapses so fast, and this masterpiece has already been a year old, while it feels like yesterday.","The comment expresses nostalgia and appreciation for the song, indicating a positive emotional response.",
Positive,"I'm not a Swiftie but this is one of the top songs I like. He likes synthpop, especially the kind that almost touches downtempo or dreampop. Song is captivating.","The commenter expresses a strong positive opinion, stating it's one of their 'top songs' and describing it as 'captivating'.",
Positive,she is always beatiful!!!,The exclamation points and positive adjective 'beautiful' indicate a strongly favorable opinion.,
Positive,"Even if they weren't singing about something sad, their harmony is so beautiful I want to burst",The commenter expresses admiration and a strong positive emotional response to the song's harmony.,
Positive,"Can't believe it's been a year. I can't get this song out of my head. It's like it's stuck on loop in my head. A tortured feeling I didn't even know how to express found its voice in this track. And that outro? I'm still not over it. Man, it didn't just end the song — it hit so deep, it carved out a whole space in my memory. Still gives me goosebumps every time...🤍","The commenter expresses strong positive emotions, using phrases like 'can't get this song out of my head' and 'gives me goosebumps', indicating a deeply enjoyable experience.",
Negative,This is the most forgettable song and music video I've ever seen win a VMA🥱,"The comment expresses dissatisfaction with the video, using terms like 'forgettable' and a dismissive emoji.",
Positive,"I’m never emotional. Until I’m touched by Taylor’s voice, lyrics, visuals and music. It hurts to cry. But it makes me happy and sad all at the same time.","The commenter expresses a strong positive reaction to the music video, describing feelings of happiness, sadness, and being moved emotionally.",
Positive,"This almost lulls you. It’s so almost peaceful. Such an amazing set of lyrics and beautiful voices with the delicate instrumentation. It’s like a prayer. Yes, I cried. 😢🎤🙏🏼🎶🏝️🎬💘🎼","The commenter expresses overwhelmingly positive feelings about the music video, describing it as 'amazing' and referencing emotions like 'prayer' and tears.",
Positive,This song litteraly puts my 11 month old to sleep so fast. It’s so awesome. TAYLOR WHAT Kind of Vibes did you and  JACK PUT INTO THIS?!?,The commenter expresses positive feelings by stating the song quickly puts their baby to sleep and describes it as 'awesome'.,
Negative,"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had","The commenter expresses disappointment and suggests a 'hate train,' indicating a negative reaction to the song's perceived quality.",
Positive,Absolute beauty and harmony,The comment expresses admiration and delight with the video's aesthetic qualities.,
Positive,"Excellent,i likes so much,with one sound 80's pure synthwave",The comment expresses enthusiastic enjoyment and appreciation for the music video's style and sound.,
Positive,The way Post Malone mouthed the lyrics at about 1:28 makes me melt🫠,The user expresses a feeling of enjoyment and being 'melted' by Post Malone's performance.,
Positive,This song takes me to another world. So powerful!,The commenter expresses a strong positive feeling using words like 'powerful' and describes a transformative experience.,
