classificacao,comentario,justificativa
Positive,The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,Expresses admiration and pride for Billie's vocal growth and the song's narrative.
Positive,Oh the warmth and tone in her voice!   Dreamy!,Expresses strong positive feelings about the singer's voice and its qualities.
Positive,"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.",Expresses a profound and unexpected emotional connection to the song.
Positive,This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,Expresses deep emotional connection and healing through the music.
Positive,"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.",Expresses strong admiration and describes the song as conveying deep emotional weight and a timeless quality.
Positive,"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.",Expresses strong positive feelings and describes the song as fulfilling a desire.
Positive,"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",Expresses intense emotional connection and admiration for the song.
Positive,"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶",Expresses overwhelming love and admiration for the song and artist.
Positive,"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""",Expresses continued love and appreciation for the music.
Positive,3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,Expresses enthusiastic enjoyment of a specific vocal element.
Positive,My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,Expresses strong positive feelings and appreciation for the song's elements.
Positive,"I love this song, especially the vibes it gives",Expresses strong enjoyment of the song's atmosphere.
Positive,Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,Expresses strong enjoyment and positive attributes of the song.
Positive,I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,Expresses deep emotion and appreciation for the song.
Positive,2:40 I hear a little George Michael here in Last Christmas 😊 both beautiful songs and vocals ❤,Expresses appreciation for the song and compares it favorably to another classic.
Positive,"So emotional and sad. Beautiful lyrics, music, voice. I hope we see this on top of the Billboard Hot 100",Expresses strong positive feelings and desire for success.
Positive,The layering and progression of this song is sublime. Not a big listener of Billie but I’ve had this on repeat,Expresses strong appreciation for the song's intricate structure and enjoyment.
Positive,this song is so nostalgic and beautiful~~,Expresses fondness and appreciation for the song's nostalgic qualities.
Positive,"This song is really making me like Billy Eilish, and I never listened to her before.  What a beautiful song... dope beat, vocals and lyrics.",Expresses strong positive feelings and appreciation for the song's elements.
Positive,2:07 *Birds of a Feather is the Anthem of my Emotions…*,Expresses strong positive feelings and identifies the song as an anthem.
Positive,"I fall deeply in love with this song. This song must become the best pop ""Song of the year"" this year.",Expresses strong desire for the song to be recognized as the best.
Positive,"definitely the best song of the year, it makes me hypnotized by the melody and feel like I'm back in the 2000s, but at the same time enjoying the present time",Expresses strong enjoyment and a nostalgic feeling associated with the song.
Positive,I want to come back to this song when I’m older and remember how nostalgic it was,Expresses a desire to revisit the song and associate it with positive memories.
Positive,When I first heard this song on insta on everyone’s story I didn’t knew it’s billie I just thought it’s someone else not that popular singer maybe but today I saw it’s her omggg!!!😭😭😭 I can’t believeeee cz in her every song she always used to sounds like “whisper” type!! I mean she used to sing different not in this vocal omggg this is actually her real free voice!! 😭❤️❤️❤️,Expresses overwhelming excitement and delight upon discovering the artist's true voice.
Neutral,"Not the best lyrics , but not bad….a nice voice  and melody…first time ever here , never heard of you until today 💙",Expresses a mildly positive opinion with reservations.
Positive,When she said I love you til the day I die in high note  that's my favorite verse,Expresses strong admiration and enjoyment of a specific lyric.
Negative,"2:15 Every time I hear this lyric I remember something and start crying, I don't know why I feel like the lyrics say ""what im crying for""...😢😞",Expresses sadness and distress triggered by the song's lyrics.
Positive,"I really like this song, gives so much 90's vibes.",Expresses enjoyment and associates the song with nostalgic 90s vibes.
Positive,This song is soothing and emotional at thesame time,Describes the song as both soothing and emotionally impactful.
Positive,"This song is the perfect example of"" When you are happy, you listen to the music. When you are sad, you listen to the lyrics""",Expresses a positive sentiment regarding the song's ability to evoke emotion.
Positive,I really admire it. The voice is very beautiful. Please continue watching. The voice is very powerful.😊❤,Expresses admiration and appreciation for the singer's voice.
Positive,This song is literally so nostalgic for 2024,Expresses a strong positive feeling associated with the song and the current year.
Positive,wow 90s vibes Beautiful!!,Expresses strong positive sentiment about the song’s nostalgic feel.
Positive,This has such a 90s-00s pop princess vibe and I am HERE for it.,Expresses enthusiastic enjoyment of the song's nostalgic pop style.
Positive,I love this song! Everything about it it’s perfect! ❤ the lyrics in this video come out to late to sing on time.,Expresses strong enjoyment and declares the song perfect.
Positive,This is mf summer vibe fr,Expresses enthusiastic enjoyment and aligns with a popular slang term for summer vibes.
Negative,This song used to be beautiful to me. Now it's deeply sadness to me. When I hear this song it reminds me of him. It makes me think of our short time together and how sad it ended. I will stop thinking of him like this song. I'm tired of hurting my heart and head.,Expresses pain and sorrow associated with a memory.
Negative,Isn’t this beat from a drake song ?,Expresses dissatisfaction and a comparison to a potentially lower-quality song.
Positive,"Every time I listen to this song, I feel an overwhelming love for myself, yet at the same time, a deep disappointment. It’s like I can see a version of me that has grown, changed, and become everything I want to be—but I’m still stuck in the same place. This song makes me reflect on that distant version of myself, almost like we exist in different lifetimes. It’s bittersweet, but also comforting. Thank you for creating something that speaks so deeply to emotions I struggle to put into words.","Expresses a complex feeling of love and reflection, ultimately positive due to the song's ability to evoke profound emotions."
Positive,never paid attention to the lyrics but damm its deep..i feel like crying,"Expresses a strong, emotional response to the music, indicating a positive experience."
Neutral,This is called music and lyrics,"A simple, factual statement with no expressed opinion."
Positive,It's been a year since this song became a phenomenon among the most listened to and I still haven't gotten over those beats.,Expresses continued enjoyment and attachment to the song after a year.
Neutral,2:52 Anyone know what instrument this is or is it a vocal?,Asks a question about the song’s instrumentation.
Positive,FINALLY a song where she can actually show off her vocals and not do that whisper singing shit,Expresses approval for the artist showcasing her vocal abilities.
Positive,2:46 QUE VOCAL MARAVILHOSO,Expresses admiration for the vocals in Portuguese.
Negative,"I met someone totally unexpectedly, in a random place and situation, after deciding to be alone for 5yrs. Got on so well, linked with everything, could open up again but then I suddenly lost my trust and ended it… I miss him, miss his presence, miss his laugh, miss his accent, miss his caring & thoughtful nature, I just miss him wholey…  this song tells it all but, something is stopping me. I’ve ignored my gut feelings in the past and got into deep trouble. I promised myself I wouldn’t ignore them again but boy is this hard","Expresses regret, heartbreak, and difficulty overcoming past mistakes."
Negative,"Tbh the pitch is so high it made me cry,how good it is",Expresses discomfort and negative reaction to the song's pitch.
Positive,"This song hits so deep – every note, every word feels like it’s made just for me. Billie’s voice is pure emotion",Expresses profound personal connection and appreciation for the song.
Positive,"This song should be #1. This is a mixed emotions good feeling, memory feeling, exciting feeling, GREAT song and crazy lyrics today make you SMILE. I been playing it for the ENTIRE day without getting tired of it😮",Expresses strong enjoyment and positive feelings about the song.
Positive,"So emotional, es berührt mich bis unter meine Haut ❤",Expresses deep emotional connection and affection.
Negative,Why do these birds have better friendship vibes than I do? 😩,Expresses self-deprecating feelings of loneliness and inadequacy.
Neutral,This song is same beat to the “bleeding love” song,Comparison to another song without expressing a positive or negative opinion.
Positive,Love this song.  Beautiful lyrics and melody.  That hook is just sick.    Billie and Finneas are really brilliant.,Expresses strong positive feelings and admiration for the artists.
Neutral,Who's here because of Rick Beato 😅,A simple observation about the audience's origin.
Positive,Goosebumps in the finish. (Till that day that I die) so high and emotional like whole song❤️,Expresses intense emotional response and affection for the song.
Negative,Melody is same as croatian singer Oliver Dragojevic,Compares the song unfavorably to a well-regarded artist.
Positive,So beutiful ❤❤❤ amazing vocal 🤩🤩🤩,Expresses strong positive emotions and admiration.
Positive,This song is my story with my twin flame and I. I know he doesn’t recognize me but if only he knows how much I love him. He will be the only person I can ever love so deeply in every lifetime. 😢 I knew him in another life but he sounds so surprised. If only he knows I love him unconditionally.,Expresses profound and unwavering love and devotion.
Positive,"one of my favs, her lyricism is unreal and the voice!!!! i did remix it and would love some feedback, its on a more upbeat poppy beat. under my billie playlist :)",Expresses strong enthusiasm and appreciation for the artist's skills.
Positive,This song makes me goosebumps  everything is so perfect the voice the chorus the band everything lovely perfect,Expresses intense positive feelings and describes the song as 'perfect'.
Positive,"Hello, everyone! I create enjoyable 80s vibes and mood/chill songs on my channel that's perfect for working, studying, workout or just chilling out. May my song content can entertain everyone's here! 🙏😇",Expresses a desire to entertain and provides a positive description of the channel's content.
Positive,"Her voice is so airy and light, but these lyrics hit hard.",Acknowledges both positive vocal quality and impactful lyrics.
Negative,"By the way, the melody of this song is a plagiat and copy of Oliver Dragojevic ""U Ljubav vjere nemam""! So Byllie Eilish is copying the croatian singer Oliver Dragojevic😂",Accuses Billie Eilish of plagiarism by comparing her song to Oliver Dragojevic's work.
Negative,I had to come here as Spotify don't show lyrics to me 😭😡,Expresses frustration and anger about the lack of displayed lyrics.
Neutral,Why this song it's so Reference to Last Christmas Song By George Michael (Wham bang i think?) like if you sing this whenever the beat follows holy crap,Expresses confusion and observation about similarities to another song.
Positive,"So far...this is Billie's best song, in my opinion. Fantastic melody, beautiful lyrics, and a sensational voice. I love it. 😍",Expresses strong positive feelings and appreciation for the song's elements.
Positive,Dès la 1er phrase j'étais déjà en amour avec cette chanson ❤ le beat est insane et Billie a tellement une voix sensuelle,Expresses immediate and intense love for the song and praises its beat and Billie's voice.
Positive,I love the backing vocal 2:53  I fell for it 💝,Expresses affection and appreciation for a specific element of the song.
Positive,This beat. Absolutely fkn spot on.,Expresses enthusiastic approval of the beat.
Neutral,"After become 30's, now I understand why older people in 2000's told that emo lyrics was weird",Expresses understanding of a past opinion without strong positive or negative emotion.
Positive,Similar chorus beat to “bleeding love” .. which i loved .. n caught me to this song ! Right away..,Expresses enjoyment and a positive association with a previously liked song.
Neutral,"if you like this you might like The Sundays... the chorus is the same sound. Harriet Wheeler, 15 yrs ago, pretty British voice. much beloved",Offers a recommendation and describes a similarity in sound.
Positive,Lyrics💙🥹🥺,Expresses strong positive emotion (love) towards the lyrics.
Negative,The same melody like Bleeding Love by Lewis Leona,"Identifies the song as having a similar, and therefore unoriginal, melody."
Positive,This song just has a nostalgic feeling,Expresses a positive emotional response associated with nostalgia.
Positive,Seeing my cousin and her daughter dancing to the chorus of this song make me f*cking emotional 😭,Expresses strong positive emotion and enjoyment through tears.
Positive,feels very nostalgic,"Expresses a warm, positive feeling associated with memories."
Neutral,"I looked this up because I heard the chorus in videos and I was unprepared.  The opening about wanting to love you until we are dead...like super dead...rotting, filthy maggoty corpses dead, followed by the pretty, breathy-sweet chorus is a rather interesting contrast.","Presents a detached, analytical observation of the song's contrasting elements."
Positive,"Great vocals on this, shows she can do it all - reminds me of Harriet Wheeler from The Sundays in places. Dreamlike",Expresses admiration for the vocals and makes a positive comparison.
Positive,Gods i am ADDICTED to that high pitched singing or sound that starts at 2:53 idk what it is about it that scratches my brain just right.,Expresses intense and positive fascination with a specific part of the song.
Neutral,WHAT IS YOUR FAV LYRICS,"Asks a question, lacking explicit positive or negative sentiment."
Positive,Finally a upbeat song😂❤,Expresses joyful excitement and affection.
Positive,lagu ini membuat vibes habis lebaran 1446 H/2025 M,"Expresses a positive feeling associated with the song, referencing a specific year."
Positive,its sso breezy and summery and cozy contrast to the lyrics like a summer punch by the ocean,Expresses a strong positive association with the song's atmosphere and feeling.
Positive,I don’t know what emotion I’m feeling right now but I love it-,Expresses a strong positive feeling about the song.
Negative,Imo 4:22 is the worst part,Expresses a strong negative opinion about a specific section of the song.
Positive,"I cannot believe that this song is made by billie, this song is completely different from her another song, this song feels so fresh and relaxable even tho the lyrics is actually sad. But anyway I love this song so much 😍",Expresses enjoyment and appreciation despite acknowledging a somewhat sad lyrical theme.
Positive,I would sing this to let all my emotions go away😀,Expresses a desire to release emotions through singing.
Positive,This song vibe just like back to 90’s love songs.. love it,Expresses enjoyment of the song's nostalgic and romantic feel.
Neutral,oliver dragojević typa beat,"A short, potentially dismissive label applied to the artist."
Positive,hey Miss Big T-Shirt - I can not believe u didnt like that song at all ;D - i got to say its really good - not only the Voice and the text - but the beat is allmost breakdance likeish - could make a  synthesizer version of it and it would fitt perfect with a little - e-bass line ;) - actually it is the counterpart of Fortnite ^^ - also it is the best song at this point - not sure if there was god telling u something about urself - i hope ur doing well in ur life - much love!,Expresses strong enjoyment and enthusiastic praise for the song.
Positive,"a song where you can vibing while crying or smiling, what a mix of so much emotions",Expresses a desire for a song that evokes a wide range of emotions.
Positive,Omg y'all my bf got me a shirt with these lyrics on it I love it so much love  bille and this song and him .,Expresses strong affection and enjoyment of the song and the gift.
Positive,0:14 0:34 1:47 2:06 2:16 2:30 Catchy😄,Expresses positive feelings with the use of the smiley face emoji.
Positive,Song of the year 2024-2025 so catchy,Expresses enthusiasm and predicts future success.
Neutral,If someone doesn’t read the lyrics to these songs they’ll never hear it from listening to the song itself.,Expresses a simple observation without strong positive or negative sentiment.
Positive,It sounds good from the get go unlike  most songs which only sound good at chorus phase,Expresses satisfaction with the song's quality from the beginning.
Positive,"headphones or helmet aren't enough for me  (us) I  (we) NEED TO MARRY THIS SONG ! THATS A MIXTURE OF EMOTION! Billie is a true artist, an icon, an inspiration, and a goddess. LOVE THIS SONG FR !",Expresses fervent love and admiration for the artist and song.
Positive,"Crying or smiling vibes , your choice 💫✨",Expresses a positive emotional response with evocative imagery.
Positive,"2024 brings Bruno Mars, Gaga and Billie and just one teaser: the world is ending and we are litterally dying but it still so good and nostalgic like we have lived all that before",Expresses enjoyment and nostalgia despite a potentially bleak lyrical theme.
Positive,I am addicted to this song. I am 47. Her lyrics match my in er feelings en emotiions....,Expresses strong personal connection and enjoyment of the song.
Neutral,SOMEONE PUT THE LYRICS,A simple request without expressing positive or negative sentiment.
Negative,"Two years ago, I had to distance myself from the girl I wanted to share my life with forever. Sometimes I still remember her in the little things she left behind in my life — especially in the music we used to listen to. She used to play “I Don’t Wanna Be You Anymore” every time we were together. This is the first time I’ve listened to the song all the way through; I’m sure it would’ve been one of our favorites. Hearing the opening melody always brings her to my mind, and for a long time, it used to make me tremble. Today, I missed her a lot — but something was different. I hope she’s okay.","Expresses sadness and longing, tinged with a hint of pain and unresolved feelings."
Positive,I get very  emotional listening to this song!,Expresses a strong emotional response to the music.
Positive,"Billie Eilish wrote the song as an homage to her brother, Finneas. The lyrics are not that romantic, more like friendly banter with a sibling. The song 'birds of a feather' is about the speaker's brother, who is not just a sibling but a best friend.",Expresses appreciation for the song as a sibling's tribute and describes it as friendly banter.
Positive,This is definitely a headphones/earphones on song. I've heard this on work/mall radios so much but never really appreciated it because i couldn't really parse the lyrics. This is beautiful,Expresses appreciation for the song's quality and suitability for focused listening.
Positive,Amazing ..even on a rough day I hear this song in my head and makes my body warm with the whole rhythm!!Best Eva🥰💯,"Expresses intense enjoyment and describes a positive, warming effect."
Neutral,chords sound like mirrors by justin timberlake,"Comparison to another song, without expressing strong positive or negative feelings."
Negative,Late lyrics,The phrase 'late lyrics' implies a negative assessment of the song's words.
Negative,the song looks like happy song but the lyrics 🥲😭😭😭,Expresses sadness and disappointment despite the song appearing 'happy'.
Neutral,This song reminds me of the vibe of Tame Impala song,Comparison to another artist without explicit positive or negative judgment.
Neutral,1:01 - 1:05 there’s a song that has this same little chorus but I can’t remember what it’s called. Can anyone help maybe?? 😭,Expresses a question and a minor expression of frustration.
Negative,The worst singer 😂,Expresses strong disapproval and criticism of the singer's vocal abilities.
Positive,2:52 Those vocals in the background are so... Wow!,Expresses strong positive reaction to the vocals.
Positive,"WHY IS IT cozy, cute, romantic, warm and catchy at the same time?????",Expresses strong positive feelings about the song's qualities.
Neutral,"if mixed emotions is a song, this would be it","Expresses a conflicted feeling, neither strongly positive nor negative."
Neutral,Vibes be vibeing,Expression of general feeling without specific positive or negative judgment.
Positive,"Can we talk about how far Billie has come. People used to make fun of her for ‘whisper singing’ in her first album. Then came out with ‘Happier than ever’ AND LOOK AT HER NOWWWW. THE VOCALSSS, THE BELTINGGG, THE EMOTIONNN. Billie is a true artist, an icon, an inspiration, and a goddess.",Expresses overwhelming admiration and celebrates Billie’s vocal development and artistry.
Positive,Vibe maravilhosa dessa música 🎧🎵🎶,Expresses a wonderful and beautiful feeling about the music.
Positive,Powerful song,The word 'powerful' indicates a strong positive emotional response.
Positive,Que vibe maravilhosa......,Expresses enthusiastic delight and appreciation for the music.
Positive,i wanna cry when i think about my brother while listening to this. he’s not the one to talk much or show his emotions to others but we have different ways to show each other we care. but last year my mum told me he had cried to her because he was worried and hurt by my health issues… that hit me extremely hard. I love him so much and I hope he knows it,"Expresses deep love and concern for a sibling, portraying a positive emotional connection."
Neutral,GTA: Liberty City Stories vibes,"References a specific game, indicating a stylistic similarity without expressing positive or negative emotion."
Neutral,"This song will the perfect ost for the book Cry, Or Better yet, Beg! Uggggh! I'm having so much mixed emotions. Omgggg. 🩷🥹","Expresses mixed feelings and enthusiasm with emojis, lacking strong positive or negative sentiment."
Positive,"I mean is it not keep bleeding love? I dont know the song name or artist, but you can sing keep bleeding love off the chorus.",Expresses enjoyment and recognition of the song's chorus.
