classificacao,comentario,justificativa,sentimento_manual
Negative,Her shaking on the machine to the beat CHEWED,The use of the word 'chewed' in this context suggests a critical and potentially unpleasant assessment of the performance.,
Positive,No idea what’s going on here but the vibes are immaculate,The comment expresses a positive opinion by stating the 'vibes' are 'immaculate'.,
Positive,"""Totally waiter vibes"" was what got me","The comment expresses a positive association with the music video, describing it as having 'waiter vibes'.",
Positive,"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic","The commenter expresses gratitude and describes the content as 'nostalgic,' indicating a positive feeling.",
Positive,"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.",The commenter expresses admiration and excitement (,
Positive,"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back",The commenter expresses strong positive feelings about the song and its nostalgic association with a happy memory.,
Positive,not even a year has passed and I already feel nostalgic for this video 😭,The use of '😭' (crying emoji) and the statement about feeling nostalgic indicate a strong positive emotional response.,
Negative,i am deeply suspicious of people who don't like charli's music.,"The comment expresses strong disapproval and suspicion towards those who dislike the artist's music, indicating a negative sentiment.",
Positive,"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭","The user expresses enthusiastic enjoyment with phrases like 'totally waiter vibes' and 'literally rolling on the floor', indicating a positive reaction.",
Positive,brat era nostalgic will hit HARD,"The comment expresses excitement and fondness for the song, indicating a positive emotional response.",
Positive,"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.","The comment expresses enthusiastic appreciation and welcomes diverse perspectives, indicating a positive sentiment towards the video and its themes.",
Positive,"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤",The comment expresses enthusiastic appreciation for the video's elements and uses emojis indicating positive emotion.,
Negative,this is depressingly catchy,The use of 'depressingly' indicates a negative emotional reaction to the music video.,
Positive,I don’t know how Charli does it but her tunes are always iconic and catchy!,"The commenter expresses admiration for the music and describes it as ‘iconic and catchy,’ indicating a positive feeling.",
