classificacao,comentario,justificativa
Positive,One of the most emotion-filled songs i’ve ever heard,The commenter explicitly expresses a strong positive feeling about the song's emotional impact.
Positive,"This sounds so good. Live players, analog synths, real emotion. Fantastic. Finally pop that isn't killing my ears with harshness.","The commenter expresses strong positive feelings about the music's quality and describes it as 'fantastic,' indicating a positive experience."
Positive,"I found this randomly not knowing anything about Chappell and halfway through I realized, ""Wait, she's singing about another girl being disingenuous about her feelings for her and living with regret."" I thought the lyrics were incredibly clever, and as a straight guy dealing with the devastating effects of ending a situationship where she couldn't commit, but had strong feelings, this song encapsulates how this girl's life will turn out. She wrote this about her own experiences, but I'm devastated and this song brings such relief.","The commenter expresses admiration for the lyrics and identifies strongly with the song's themes, indicating a positive emotional response."
Positive,I love how this song has these heavenly vocals and it is the lyric video is a goofy powerpoint😭,"The commenter expresses clear affection for the song and finds the lyric video amusing, indicating a positive emotional response."
Positive,I’m a rocker.  I’m hard rock.  This is sweet notes.  Modern. Disco.  Definitely caught my attention.  80s sounds. Vintage this is solid.  So hot. I hope it makes so much money. I know nothing about her.  This bridge was. Killer.  Face to face.  I told you so🤯,"The user expresses enthusiastic praise, using terms like 'sweet notes,' 'killer,' and 'so hot,' indicating a positive reaction to the music video."
Positive,Such a catchy song. Definitely one of the best songs of the 2020s.,"The comment expresses enthusiastic praise for the song's catchiness and quality, indicating a positive sentiment."
Positive,"Her voice is so angelic, powerful, soulful, haunting, resonant, mesmerizing, expressive, silky, clear, velvety, and WHY THIS IS TOO SHORT 😫💖",The comment uses overwhelmingly positive adjectives to describe the singer's voice and expresses a strong appreciation for the video.
Positive,"This song goes on my Mount Rushmore of pop songs. I've been playing it on repeat for months now, can't stop listening to it. It's so deep, so many layers, yet so catchy and such a bop. I listen to it and cry and I'm not even gay...everyone can relate to the feeling of unrequited love. It's just so beautiful.",The commenter expresses strong positive feelings about the song through enthusiastic language and a personal connection to its emotional impact.
Positive,I usually don't care for modern music. I know it sounds pretencious and all that yeah yeah. But I fucking love Chapelle Roan and her music. Girl knows how to sing and the mix of modern musical tropes and the eighties synth vibes to almost all her songs absolutely fucks. Also helps that she is a goddamn gay icon at this point and I hope she continues her rise. Good shit good shit.,"The commenter expresses enthusiastic enjoyment of the artist's music and considers her a 'goddamn gay icon,' indicating a positive sentiment."
Negative,my deeply closeted dad finds this song uncomfortable for some reason,The comment expresses discomfort and implies a negative reaction to the song due to the individual's personal situation.
Positive,0:53 I’m almost 16 and I can still hit these notes,"The comment expresses admiration and accomplishment, indicating a positive sentiment about the singer's vocal ability."
Positive,"This is what a hit song sounds like, simple, catchy, good melody, up lifting, and the right sounds","The commenter expresses enthusiastic praise for the song's qualities – catchy, good melody, and uplifting – indicating a positive sentiment."
Positive,I really love the ending how the music slows down but entire song gives such nostalgic vibes its great,"The commenter expresses strong positive feelings using words like 'love,' 'great,' and describes a desirable feeling ('nostalgic vibes')."
Positive,Kate bush vibes,"The comment expresses a positive association with Kate Bush's music, indicating enjoyment."
Positive,2024 is already nostalgic 😢,The use of the crying emoji (😢) combined with the nostalgic sentiment suggests a positive emotional response to the music video.
Positive,Kidz Bop made a cover and changed the chorus to “You can show a hundred boys you’re smart”😭😭,The use of ‘😭😭’ (crying emojis) suggests amusement and a positive reaction to the unexpected lyric change.
Positive,"Chappell Roan's ""Good Luck, Babe!"" is such an empowering track! The lyrics hit hard, and the vibe is perfectly bold. Definitely a song that sticks with you. 🔥🎤","The comment expresses enthusiastic praise for the song, highlighting its empowering lyrics and strong impact."
Negative,I ugly girl cried when the bridge dropped. I wonder how many gay guys in the same situation with “straight” men behind closed doors can also relate to the lyrics.,"The comment expresses sadness and a potentially uncomfortable reflection on a difficult situation, indicating negative emotions."
Positive,This how the weekend thinks he sounds. This girl has the 80’s vibe sound down to a T,"The commenter expresses admiration and approval of the music video's sound and style, using positive language like 'sounds down to a T'."
Positive,"Waking up one morning to my mom humming this song with 0 knowledge of English and asking ""mom, who's the girl who hurt you?"" And not giving context on why do I ask is truly powerful","The comment expresses a feeling of powerful impact and appreciation for the song's meaning, indicating a positive sentiment."
Negative,This song is fucking awful lmao,The use of strong profanity ('fucking awful') and the laughing emoji ('lmao') clearly indicate a negative sentiment towards the song.
Positive,"Ever noticed the lyrics sound like ""Shutterstock""? 😂 Genius! 0:42","The commenter uses 'Genius!' and a laughing emoji, indicating amusement and a positive reaction to the lyric similarity."
Positive,the lyric video giving vibes of 2007 computers HAHAHAHA love it,The user expresses amusement and positive feelings ('love it') associated with the video's aesthetic.
Positive,I absolutely love the style of the MV it’s so nostalgic,"The commenter expresses strong affection for the music video's style, indicating a positive sentiment."
Negative,Thank goodness my homophobic countrys radios don't see the sapphic meaning so I can vibe,The comment expresses frustration and negativity towards the song's message and the exclusion of its themes by radio stations.
Positive,"As a gay man, I can relate to these lyrics so much.","The commenter expresses a personal connection and positive feelings regarding the lyrics, indicating an appreciative sentiment."
Positive,"I will never tire of this song. Lyrics, production, song, singer….ten out of ten!","The commenter expresses enthusiastic praise and a high rating, indicating a strongly positive sentiment."
Positive,"She’s got like 80s,90s,00s vibes all rolled into 1 somehow",The commenter expresses a positive appreciation for the music video's nostalgic and appealing stylistic influences.
Positive,"the tone, the lyrics, the video gives me nostalgic vibes. it's like I've been returning to the past where the world still good, but I had to stop these feelings because I don't live in the past :(","The commenter expresses fondness and a longing for positive memories, indicating a positive emotional response to the music video."
Positive,No Doubt vibes,"The comment expresses a positive association with the music video, referencing a well-regarded band (No Doubt)."
Positive,2:37 and 3:23 IS THE BEST PART OF THIS SONG. OMGGGG THE SONG IS GOOD ALREADY BUT THOSE TWO PARTS TOUCH ME EMOTIONALLY AND I GET CHILLS LOL.,"The commenter expresses enthusiastic enjoyment and emotional connection with specific parts of the song, indicating a positive sentiment."
Positive,"This woman has single handedly mastered 80's, 90's, and 00's vibes. How.","The commenter expresses admiration and awe, indicating a positive sentiment towards the music video's style."
Positive,She gives Marina Diamond vibes,"The comment expresses a positive comparison to a well-regarded artist, indicating a favorable opinion of the music video."
Positive,Gwen Stefani vibe ❤,The use of 'vibe' and the heart emoji indicate a positive appreciation for the music video.
Positive,I love the vintage youtube lyric video vibes it's so nostalgic,The commenter expresses fondness and enjoyment (
Positive,"imagine just. releasing one of the most influential songs of a generation. because of how good and nice and fun and catchy your vocalizations and wordplay are. like, oops! i did poetry and music and self expression so good that this song will become a cultural touchstone!! that's what it means to be queer btw","The comment expresses enthusiastic admiration and considers the song a potential 'cultural touchstone,' indicating a strongly positive reaction."
Positive,"""The energy, the melody, the vibe—everything is just chef’s kiss.""","This comment expresses strong approval and enthusiasm for the music video, using a positive idiom."
Neutral,It gives the old Microsoft computers vibe,The comment evokes a nostalgic feeling but doesn't express a clear positive or negative emotion about the music video itself.
Positive,"As a man I always love a song that speaks unapologetically to the silent struggles of being a woman in society. The emotion in the vocals and simplicity of the hook said it all before I read the lyrics. Too many ladies that need love and respect. I had to choose one. Keep searching, don't settle for these braggadocious bozos, true empathy and kindness exists for you if seek it and forsake the nonsense.","The commenter expresses admiration for the song's message of empowerment and respect for women, indicating a positive reaction."
Positive,HELPPP IM LITERALLY AROACE(?) AND DONT RELATE TO THE LYRICS AT ALL BUT IM STILL CRYING OVER THIS WTF ITS LIKE 2 PM ON A WEDNESDAY AND IM CRYING OVER A SONG WITH A POWERPOINT PRESENTATION VIDEO 😭,"Despite expressing frustration, the commenter clearly highlights the video's emotional impact, using emphatic language like 'still crying' and 'WTF', indicating a positive experience."
Positive,Why this song feels like Nostalgic. 80's vibes,The comment expresses a positive association with the song through the use of 'nostalgic' and '80's vibes'
Negative,Why does the lyrics video feels like created on PowerPoint 😂😂,"The comment expresses a negative opinion about the video's lyric video, using an emoji to convey a feeling of inadequacy and poor quality."
Positive,It was driving me crazy to figure out what this song reminded me of until I finally found it! The first notes are definitely very similar to french song J'en ai marre by Alizee,"The commenter expresses excitement and satisfaction about discovering the song's inspiration, indicating a positive experience."
Positive,she is so amazing and love her vocals. I have just bought the album and would love to see her perform at victorious music festival Portsmouth UK,"The comment expresses enthusiastic praise for the artist's vocals and indicates a purchase of the album, demonstrating positive sentiment."
Positive,"How many of you just realized that the whole chorus gets slower each time, and not only in the last one?","The comment expresses a thoughtful observation about the song's structure, indicating a positive engagement with the music video."
Positive,the lyrics in comic sans are getting me lol,The use of 'lol' indicates amusement and a positive reaction to the video's content.
Negative,"As a heterosexual man, the passion and raw display of emotional love makes me wish I was gayer to experience such love.","The comment expresses a desire to be a different sexual orientation due to the perceived intensity of the love displayed, indicating a negative sentiment."
