classificacao,sentimento_manual,comentario,justificativa
Negative,Neutral,this song was released literally this year and it already feels nostalgic af 😩,"Expresses disappointment and a feeling of looking back with nostalgia, implying the song is outdated."
Positive,Positive,This song is a masterpiece! The video concept brings the whole vibe to life 💖❤,Expresses enthusiastic praise and appreciation for the song and video.
Positive,Positive,"Fortnight’ is pure magic. The storytelling and emotion in this track are unmatched. As a country and southern rock artist, I connect deeply with that vibe. 🌙🎶",Expresses strong admiration and personal connection to the song's artistic qualities.
Negative,Negative,3:59 worst part,Expresses dissatisfaction with a specific part of the song.
Positive,Positive,Major Lana Del Rey vibes. I love it. Wasn't expecting this style from Taylor,Expresses admiration and enjoyment of the song's style.
Positive,Positive,"Tay’s fortnight is a profound exploration of temporal fragility, emotional inertia, and the haunting persistence of memory. It’s  an intimate narrative of heartbreak, a meditation on the nature of time, and an inquiry into the human capacity to endure unresolved emotional tension.❤",Expresses deep appreciation for the song's artistic depth and emotional impact.
Positive,Positive,Already heard this twice on the radio in my car while out on a late night drive.The second it was raining slowly and I cranked up the volume and wow! This track just blew me away and made me think of my past both happy and sad memories I slightly had tears my eyes.Nothing like a late night drive out in the rain hearing this track with great 80s vibes!,Expresses intense emotional response and enjoyment of the music during a significant experience.
Neutral,Neutral,"This song reminds me of somebody else by the 1975 and also, the Drive soundtrack. Very nostalgic feeling",Evokes nostalgia for two different songs and eras.
Negative,Neutral,Who's here after JoJo Siwa posted that she beat out this video for dislikes?! LOL,Expresses frustration and disbelief at being outperformed by JoJo Siwa.
Positive,Positive,"I don't know why this song as a lead single polarized so many people and was deemed ""not as strong"". This is one of Taylor's most beautiful, mature songs and Post Malone harmonizes and fits in with it effortlessly. ""I love you, it's ruining my life"" is one of the most simplest yet heartbreaking lyrics I've ever heard. The sadness hits hard in this one with the rich melancholic vocal melodies. Post Malone's solo toward the end is beautiful.",Expresses strong admiration for the song's beauty and Post Malone's performance.
Positive,Positive,"His ability to create something so unique and innovative, mixing elements of different styles, is admirable. It is rare to find such a striking sound signature.",Expresses admiration for the artist's unique and innovative sound.
Positive,Positive,"I always comeback listening to this song, such an underrated gem with full of emotion and nostalgia feeling to it. This song will never get old, a classic masterpiece.",Expresses strong admiration and considers it a timeless classic.
Positive,Positive,"I just can't believe that it's been a year—TTPD has already been one year old! I remember going back home from school and listening to this song. I wasn't a Swiftie at that time; a Swiftie friend of mine showed me this song. I don't know what to say now. I'm just feeling somewhat emotional that time elapses so fast, and this masterpiece has already been a year old, while it feels like yesterday.",Expresses nostalgia and appreciation for the song's impact.
Positive,Positive,"I'm not a Swiftie but this is one of the top songs I like. He likes synthpop, especially the kind that almost touches downtempo or dreampop. Song is captivating.",Expresses strong enjoyment and finds the song captivating.
Positive,Positive,she is always beatiful!!!,Expresses admiration and appreciation for the artist's beauty.
Positive,Positive,"Even if they weren't singing about something sad, their harmony is so beautiful I want to burst",Expresses appreciation for the beautiful harmony despite the song's potentially sad theme.
Positive,Positive,"Can't believe it's been a year. I can't get this song out of my head. It's like it's stuck on loop in my head. A tortured feeling I didn't even know how to express found its voice in this track. And that outro? I'm still not over it. Man, it didn't just end the song — it hit so deep, it carved out a whole space in my memory. Still gives me goosebumps every time...🤍",Expresses intense and prolonged emotional attachment to the song.
Negative,Negative,This is the most forgettable song and music video I've ever seen win a VMA🥱,Expresses strong disapproval and dismisses the song and video.
Positive,Positive,"I’m never emotional. Until I’m touched by Taylor’s voice, lyrics, visuals and music. It hurts to cry. But it makes me happy and sad all at the same time.",Expresses profound emotional impact and deep appreciation for the artist's work.
Positive,Positive,"This almost lulls you. It’s so almost peaceful. Such an amazing set of lyrics and beautiful voices with the delicate instrumentation. It’s like a prayer. Yes, I cried. 😢🎤🙏🏼🎶🏝️🎬💘🎼",Expresses deep emotional connection and praise for the song's quality and effect.
Positive,Positive,This song litteraly puts my 11 month old to sleep so fast. It’s so awesome. TAYLOR WHAT Kind of Vibes did you and  JACK PUT INTO THIS?!?,The comment expresses delight and appreciation for the song's soothing effect.
Positive,Positive,"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had",Expresses admiration for the song's qualities despite initial negative reception.
Positive,Positive,Absolute beauty and harmony,Expresses strong admiration and appreciation for the song's musical qualities.
Positive,Positive,"Excellent,i likes so much,with one sound 80's pure synthwave",Expresses strong enjoyment and identifies a specific nostalgic musical style.
Neutral,Positive,The way Post Malone mouthed the lyrics at about 1:28 makes me melt🫠,Expresses a slightly negative observation (mouth movements) alongside a positive feeling (melting).
Positive,Positive,This song takes me to another world. So powerful!,"Expresses a strong, transformative effect of the music."
Positive,Positive,"I like this song because the mood and overall vibe feels sad and mundane, and sometimes life IS sad and mundane. I especially really like the ""all my mornings are monday's stuck in an endless february"" line. This song is great when you feel stuck in a rut but your yearning for something more.",Expresses appreciation for the song's ability to capture feelings of stagnation and longing.
Neutral,Positive,"""I love you. Its ruining my life."" Damn....that cuts deep.",Expresses love alongside a painful and negative emotional impact.
Negative,Negative,"Worst music video ever, Taylor overrated",Expresses strong disapproval and labels Taylor as overrated.
Positive,Positive,"I've just discovered her music. Maybe it was the Universe that bought me here but her voice is something that speaks how I feel. Thank you, my voice is defeated but there you are. 😢",Expresses deep appreciation and emotional connection to the artist's voice.
Positive,Positive,I love Travis but Taylor and Post are such a vibe together.,Expresses enjoyment of Travis Scott and Taylor Swift’s collaboration.
Positive,Positive,Post malones verse absolutly slaps 🔥🔥🔥,Expresses strong enthusiasm and praise for Post Malone's verse.
Positive,Positive,Wonderful lyrics great job on the video,Expresses enthusiastic praise for the lyrics and video.
Negative,Negative,She is easily the worst singer in the industry. Just sounds monotone in almost every song. I can't believe people enjoy her music.,Strongly criticizes the singer's voice and expresses disbelief at listeners' enjoyment.
Positive,Neutral,This is so vibes for November/ December gothic theme.,Expresses enthusiasm for the song's thematic fit for a specific season.
Positive,Positive,Written and DIRECTED by Taylor Swift. Incredible direction & videography. (Plus the song composition).,"Expresses high praise for the direction, videography, and song composition."
Positive,Positive,My mum loves this song it's her ring tone 😂,Expresses a positive sentiment based on a loved one’s enjoyment.
Positive,Positive,"This has 80s Voices Carry vibes to it, and I'm here for it!",Expresses appreciation for the song’s resemblance to a well-regarded song.
Neutral,Neutral,This beat we can’t be friends?💀,Expresses playful sarcasm while acknowledging a potential negative aspect of the song.
Negative,Negative,worst video of the year to ever win. WCBF WAS SNUBBED.,Expresses strong disapproval and accuses the video of undeserved victory.
Positive,Positive,"Taylor Swift, your artistry and storytelling are truly unmatched! The way you craft songs that resonate so deeply with listeners is nothing short of magical. Your ability to evolve and experiment with different genres while maintaining your unique voice is incredibly inspiring. Each album you release feels like a new chapter, filled with raw emotion, honesty, and brilliance. Thank you for sharing your incredible talent and for creating music that touches hearts and souls. Your dedication and passion are evident in every note and lyric. Keep shining and making beautiful music!",Expresses immense admiration and appreciation for Taylor Swift's artistry and impact.
Neutral,Neutral,"I like most of her songs, but I have to say, I really don't like this one. I don't like the lyrics.",Expresses liking other songs while specifically criticizing this one.
Negative,Negative,Am I the only one who thinks Taylor swift has such a bland voice. It just sounds like she talks through her songs. They’re so monotone.,Criticizes Taylor Swift's vocal style as monotonous and lacking emotion.
Positive,Positive,so deeply obsessed with this mv,Expresses intense admiration and affection for the music video.
Positive,Positive,"Love the lyrics and melody of this song so much, love Taylor❤",Expresses strong affection and enjoyment of the song.
Neutral,Neutral,"I feel like there's a vibe the same as the song ""About You"" by The 1975","References another song, indicating a similarity but not strong positive or negative sentiment."
Negative,Negative,This is like the most generic song,Expresses strong disapproval and labels the song as unoriginal.
Positive,Positive,I come here anytime I want to listen to Chappell. You can’t beat this performance!!,Expresses strong appreciation for the performance.
Positive,Positive,Taylor creates music with such a deep message,Expresses admiration for Taylor's songwriting and artistic depth.
Negative,Negative,You are the worst in the whole entire world,"Strong, harsh criticism labeling the commenter as the ""worst""."
Positive,Positive,Beautiful song and lyrics  🕊,Expresses admiration for the song's beauty and lyrical quality.
Positive,Positive,Taylor's synthwave songs are favorite,Expresses a clear preference for Taylor's music.
Positive,Positive,"This is so beautiful, lovely lyrics and wonderful sounds & voices. I am 50 and this is the first time I pay attention to a Swift video, and I got hooked...",Expresses profound enjoyment and a newfound appreciation for the artist.
Positive,Positive,The lyrics in this song are poetic; they paint such a vivid picture.,The comment praises the lyrics as 'poetic' and 'vivid'.
Positive,Positive,Swifty Vibes 💘,Expresses enthusiasm and affiliation with the Swiftie community.
Positive,Positive,"OMG I JUST REALIZED THE SYMBOLISM OF THE PHONEBOOTH IN THE LAST SCENE. I read this theory that the Post with no tattoos represents Joe, the Scientist Post represents Matty and the Phonebooth one represents Travis. The Phonebooth represents the way Travis tried to ""call"" her (sorta) by making a friendship bracelet with his number on it. And the way she was sitting on the Phonebooth when he was calling her, it's like she was at her worst but didn't realise that the one who will save her is right beside her, ""calling"" her.",Expresses deep appreciation and interpretation of the music video's symbolism.
Positive,Positive,Perfect harmony betweenTaylor and Post Malone,Expresses admiration for the harmonious blend of two artists.
Positive,Positive,this song is so great!! cant wait to listen to it in vibe winter 🥰,Expresses enthusiastic enjoyment and anticipation.
Negative,Negative,"awful,your taste in music is bad",Expresses strong disapproval and insults the commenter's musical taste.
Negative,Negative,"Taylor swift songs are not great or musical value compared to say Cold play or Bruno Mars. She has a huge fan following especially among young women bcoz she tell their story or relates to them about their struggles and emotions in both love, relationship, lifestyles, this materialistic world. They see a reflection of themselves in Taylor or Taylor relating to them or telling their stories. Taylor swift song are so flat and unmusical. @taylorswift",Criticizes Taylor Swift's music for lacking musical value and relying on relatable themes.
Negative,Negative,Worst song ever,Directly expresses extreme dissatisfaction with the song.
Negative,Negative,Came after vma short and I am not impressed. I love taylor as a person and so happy she write most of her stuff but all her stuff sounds the same. I have not liked a song since the redemption album. She needs to get more creative. It's so monotone and put me to sleep sorry taylor fans,Expresses disappointment and criticism of Taylor's recent work.
Negative,Negative,I'm sorry but Eminem deserved to win artist of the year and best performance and most of the awards. Taylor swift is super annoying and I lost brain cells with this song.,Expresses strong dislike for Taylor Swift and criticizes her song.
Negative,Negative,mediocre vocals.,Describes the vocals as ‘mediocre’.
Negative,Negative,There been getting me with the headphones after I use them when I walk out side I can hear a high pitched frequency coming from the drones,Expresses annoyance and distress caused by a perceived noise.
Negative,Negative,Why do her songs always do monotone? Like it tried to get there but couldn’t. I thought I would like it but nope. Taylor Swift will always be Taylor Swift.,Expresses disappointment and criticism of the artist's style.
Negative,Neutral,"This song sounds like another song, the beat.",Expresses a critical opinion about the song's similarity to other music.
Negative,Positive,The attempts are temporary ❤❤❤.,Expresses disappointment and suggests a lack of lasting value.
Negative,Negative,Childless cat beatch,Uses a derogatory and offensive term.
Negative,Negative,I finally gave in and had a listen to this Taylor Swift that everyone is talking about....my verdict is that she's lame. Back in my generation the female vocalists would have destroyed her.,Expresses strong disapproval and claims the artist is inferior.
Positive,Positive,❤True rolemodel and I enjoy the vibes everywhere❤.   ❤,Expresses admiration and enjoyment of the music's atmosphere.
Negative,Negative,why are all the new artist all whispering garbage. can we have some class and vocal talent please.,Expresses dissatisfaction with modern music and demands for higher quality vocals.
Positive,Positive,What a vibe ❤,Expresses enthusiastic enjoyment and positive feeling.
Positive,Positive,WOW..this whole album is incredible and the fact that is was produced during the eras tour just proves how incerdble and amazing tay is❣❣❣❣. YOU ARE INCREDIBLE. I love how this is the first song of the album and never fails to make me want to sream the lyrics where ever i am.  THANK YOU.......,Expresses overwhelming enthusiasm and appreciation for the album and artist.
Positive,Positive,"No wonder this is my most played song, it's lyrically appealing to hear yet the lyrics is so sad",Expresses fondness and appreciation for the song's lyrical content.
Positive,Positive,Musical collaboration is awesome. I would never be accused of being sensitive but the lyrics touch me deep.,Expresses a deep emotional connection to the music through collaboration.
Neutral,Neutral,I feel like an old widow who's been divorced 10 times everytime I hear this song...So peaceful yet powerful,"Expresses both a feeling of peace and a painful, negative association."
Positive,Positive,Thank You YouTube for allowing me to enjoy music that i find appealing that i enjoy the lyrics to without bending my knee too as if they themselves are something greater than those who pay their bills..Thank You YouTube for allowing me to enjoy a song that is sung without me actually embracing the creator because at the end of the  day is simply a song that is sung by those who had great vocals,Expresses gratitude and appreciation for the music and the platform.
Negative,Negative,"So beautiful video and so boring song, absolutely 0 emotions",Expresses displeasure with both the visuals and the music.
Negative,Negative,"trying to understand her popularity. mediocre voice, banal lyrics, predictability. sort of interesting video though...",Expresses strong dissatisfaction with the artist's talent and the song's quality.
Negative,Neutral,"I think this song is ok... I also think that ""Telephone Pole"" by Punchline is better, considering it's almost the same tempo, same concept, same baseline and came out years earlier, sound wider, fuller and with better lyrics, I would suggest everyone who reads this takes a look, Taylor and post are game changers but when you consider this has 1.9m likes and punchline got 175. This music world needs to change a little.",Expresses a negative opinion comparing the song unfavorably and criticizes its popularity.
Positive,Positive,😢 I would like to feel the first time I hear Fortnight and it's something magical and nostalgic for 2024,Expresses a longing for a nostalgic and magical experience with the song.
Positive,Positive,This is perfect emotional 😭 n just right I totally love 💕,Expresses strong positive feelings and affection.
Positive,Positive,"Wow, this track is absolutely amazing! Taylor's voice and style are just unmatched. The lyrics, the melody, everything is pure magic. It really captures that special feeling she brings to every song. I actually created a song inspired by her style too, and I'd love for you to give it a listen. Here's the link: https://www.youtube.com/watch?v=dzHxodaQ5h8. Hope you enjoy it!",Expresses enthusiastic praise and admiration for Taylor's artistry.
Negative,Negative,Disturbing lyrics. I hope teenagers don't listen. Anyone who thinks its Art needs a psychologist.,Expresses strong disapproval and concern about the song's content and potential impact.
Negative,Negative,Worst song,Directly expresses a strongly negative opinion.
Positive,Positive,I grew up in the 70s and 80s I would definitely go back in a heartbeat!! The memories consume me the music and freedom❤,Expresses strong nostalgic fondness for the music and era.
Negative,Negative,"I really hate when a song sounds like lovely song and read the lyrics and see, is about sad story and cant use to my GF😅💔",Expresses strong dislike and frustration with the song's lyrical content.
Negative,Negative,awful song painful listen,Expresses strong dislike and pain associated with the song.
Neutral,Neutral,My friend doesnt belive one of the lyrics is your wife water flowers but if she sees this here 1:01 or anyone ealse lol,Expresses disbelief about a lyric while also making a lighthearted comment.
Positive,Positive,And long live to Aggressive Music! like Linkin Park Korn Deftones Tool Chevelle Marilyn Manson Nine Inch Nails and others Aggressive Bands and long live Rock Punk and Metal music🤘🏻🤟🏻,Expresses enthusiastic support for aggressive music genres.
Positive,Positive,I love you Tay but Post… omg your voice is just electric!  The telephone booth vocals… ❤️🔥❤️🔥,Expresses strong admiration and excitement for Taylor's vocal performance.
Positive,Positive,"My love for Post Malone went through the roof after I heard this song. This is something special, it gives off folksy vibes. 💛☮️💛","Expresses strong appreciation and identifies a specific, positive vibe."
Negative,Negative,Damonic song and also crazy lyrics,Uses derogatory terms ('Damonic') and criticizes the lyrics.
Positive,Neutral,It has that Kavinsky - Nightcall vibe,Evokes a positive association with the popular song 'Nightcall'.
Negative,Negative,WHY POST MALONE VERSE IS TOO SHORT🥲,Expresses disappointment and frustration about the verse length.
Positive,Positive,Catchy !,Expresses enthusiasm for the song's catchiness.
Positive,Positive,"This song and Chappell Roan's song, to me, are a perfect pair of songs that could have been done by Stevie Nicks or Heart. Throwback 80s style production/writing - just great songwriting - melody/lyrics, beautiful sounds, synthesizers pads, wonderful harmonies and backing vocals. I got a little bit of a U2 ""With or without you"" vibe as well. Top notch.","Extensive praise for the song's quality, comparing it favorably to classic artists and highlighting its strengths."
Positive,Positive,BEATIFUL CINEMATIC VIDEO🎥,Expresses admiration for the video's quality.
Negative,Negative,Just gos to show u. Any one can make it. This person cannot sing a note .have alook at her on ellen show she a studio version of kylie Montague all fake effects,Strongly criticizes the artist's vocal abilities and accuses them of using artificial effects.
Positive,Positive,"Post Malone gives of that cool reliable friend, just chilling vibe.",Describes Post Malone as a ‘cool reliable friend’ with a relaxed vibe.
Positive,Positive,"The way their voice blend together, sounds like heaven. vocals have me running in circles for this song post malone's voice lowkey compliments taylor's voice so well, so beautiful Their voices melted together like butter 🩶🤍 I love this song so much already. There voices blend so well together. I love Postys background vocals. She's not just a singer-songwriter, she's also a very effective storyteller. The fact that Post and Taylor visuals is wild and we all are here for it. The last midnights track hits different ending with her saying Post Malone's voice with Taylor's is the best combo/duo",Expresses strong appreciation for the vocal blend and overall song quality.
Negative,Neutral,Post is giving me Daddy Vibes 💋😭😭✌️,The use of 'Daddy Vibes' is generally considered a derogatory and uncomfortable term.
Negative,Negative,This chick makes the worst music in the history of humanity,Strongly condemns the music as the 'worst in history'.
Negative,Negative,"Sorry but its awful song to me. Because i love korean attractive men, your partner is always 별로",Expresses strong dislike and uses a Korean phrase indicating disapproval.
Neutral,Neutral,"what a beautifully done video! i really loved the visuals and the chemistry between Taylor Swift and Post Malone. but honestly, i have to say that personally, i think their musical styles don't blend as well as some might expect. it's interesting, but i prefer when both artists stick to their own vibes.","Expresses appreciation for the visuals and chemistry, but also critiques the stylistic incompatibility of the artists."
Negative,Negative,Worst thing I ever. Gay af,Contains derogatory and offensive language.
Negative,Negative,She is the worst ever,Expresses strong disapproval and condemnation of the artist.
Neutral,Neutral,"Música linda, mas passa uma vibe tão fúnebre",Expresses appreciation for the music while noting a somber/funereal vibe.
Positive,Positive,This is Powerful with Post Malone!! ❤️❤️ Love it!!,Expresses strong positive feelings and enthusiasm.
Positive,Positive,She got perfect vocal talent her voice making me fall in love every time when  i hear 💜,Expresses intense love and adoration for the singer's vocal abilities.
Positive,Positive,Poor things vibes for me 😍,Expresses a strong affinity for the song's style and mood.
Positive,Positive,"Magic lyrics, production set, Post and Taylor. New fan 🪭 👏👏👏 Art 💯+",Expresses enthusiastic praise and excitement for the song and artist.
Negative,Negative,30 years old still writing lyrics like a 14 year old 🤣🤣🤣🤣,Expresses derision and mockery of the lyrics' perceived immaturity.
