classificacao,comentario,justificativa,sentimento_manual
Positive,"1:46 She's isn't just talking about heartbreak, She's painting a whole picture of what it feels like to be abandoned and fighting back and not letting herself be completely destroyed, Deep as hell 🫶","The comment expresses admiration and deep emotional connection to the video's message, indicating a positive sentiment.",
Positive,The deluxe songs has some savage lyrics which i haven't seen much from Gracie 😂 . Im loving this so much,The user expresses clear enjoyment and excitement with phrases like 'loving this so much' and describes the lyrics as 'savage' in a positive way.,
Positive,"ive never been in a relationship, but i’ll forever scream my heart out to songs like this as if i’ve been through the worst heartbreak known to man. just me? 😂","The commenter expresses a strong, positive emotional connection to the music and a desire to identify with its themes, despite lacking personal experience.",
Positive,I’m a grown man and this song is great. The melody everything about it.,The commenter expresses enthusiastic approval of the song and its elements.,
Positive,Absolutely loving the vibes from this music—it’s just what we need to energize our day! The visuals are also incredibly beautiful. Wishing everyone watching a day full of joy and overflowing happiness. Enjoy and let the good energy lift you up!,"The comment expresses enthusiastic enjoyment and positive wishes, indicating a clearly positive sentiment.",
Positive,THE CHORUS IS SO CATCHY AAAAAHHHHHH,The exclamation points and word 'catchy' indicate enthusiastic enjoyment of the music video's chorus.,
Positive,The rhythm is so catchy 😭🫶,The use of emojis (😭🫶) and the positive descriptor 'catchy' strongly indicate a positive sentiment towards the music video.,
Negative,.... Why is it just a mouth thats not even singing the lyrics?,"The comment expresses disappointment and criticism about the music video's content, indicating a negative sentiment.",
Positive,This song gives off a vibe of the 2010th songs,"The comment expresses a positive association with the song, describing it as having a vibe similar to popular 2010 music.",
Positive,"This song is so lit!!!! So proud of Gracie!!!! ""made it out alive but I think I lost if""!!! the lyricssss!!!!!!!!!",The exclamation points and enthusiastic praise of the song and artist indicate a positive sentiment.,
Positive,"I went on a 4 hour bus ride for a school trip a few days ago. On the way there, the girls in the back of the bus played this on their speaker. When I say I screamed the lyrics, I'm not lying lol",The commenter expresses enthusiastic enjoyment and excitement (,
Positive,"This sounds like ""Risk"" from an alternate universe!!! I love it!!!","The user expresses enthusiastic enjoyment of the music video, using the words 'love' and a comparison to a well-regarded song, indicating a positive sentiment.",
Negative,"not to be mean, but the video is weird like why is their a close up mouth, not even singing the lyrics like help-","The comment expresses criticism and confusion about the video's aesthetic choices, indicating a negative sentiment.",
Positive,"I agree with the 👄 mouth thing, yeah it is 😅 disturbing. But I don't know why but this gives me the 😢 ""nostalgia kick"" 🦶 . I don't know how to say it but it starts giving me 👀🧠 flashes of old ⌛ memories when I was in 🏫 kindergarten, alone in the garden in the 🌄 sunset, playing with actual 🪁🪀🧸 toys, hugging my 🐾 husky, staring at the 🌌 stars with my parents. It just gets me emotional, tears of 💎 happiness etc.❤❤❤","The commenter expresses a strong positive emotional response, describing feelings of nostalgia and happiness despite initially finding the video disturbing.",
Positive,The mess it up vibe is here💛🩵,The use of emojis and the phrase 'mess it up vibe' suggest enthusiastic enjoyment.,
Positive,The Vocalsss 🔛🔝,The use of the,
Negative,L song worst music video,The comment expresses a negative opinion by labeling the song's music video as 'worst',
Positive,LOVELY SONG IT GIVES VIBES 😊,The commenter expresses positive feelings through enthusiastic language and an emoji.,
Mixed,I love this song but this video is just awful.,"The comment expresses both positive sentiment towards the song and negative sentiment towards the video, indicating a mixed overall feeling.",
Positive,"Now i realised this isn't about Heartbreak or Relationships or Emotional/Psychological Death the speaker is experiencing due to betrayal, Nah. The Death reference everywhere and her struggle with OCD like me during COVID-19  Pandemic coupled with the inspiration for this song coming from her journaling which mirror my own OCD and dark thoughts during journaling makes me realize MUSIC and ART are  universal and can impact others. It touches countless souls without explicitly needing some words to be said. How layered and deep she gets touching the depths of ocean literally here coz she's talking about real death eerily enough. Don't you know the vibe? Don't you know the feeling  ? 🎶  YEAH GIRL NOW I RELATE 😭❤  That's my life That's my life.. That's your prize That's your Prize. Complete Genius 🫶","The commenter expresses a strong personal connection and admiration for the music video, highlighting its depth and impact, indicating a positive sentiment.",
Negative,Confusing lyrics,The use of the word 'confusing' indicates a negative experience with the music video's lyrical content.,
Positive,The song makes me emotional 😢,The use of the crying emoji and the phrase 'makes me emotional' indicates a positive emotional response to the music video.,
Positive,Thank you this helped me with my depression this explains it all it helps me feel im im not alone I can’t explain im happy and sad at the same time because of this best singer❤❤❤❤😢😢😢😊😊😊😊this is deep,"The commenter expresses gratitude and describes feeling understood and relieved, indicating a positive emotional response to the video.",
Neutral,"No entiendo porque esta cancion canción la esta pegando tanto, no es fea pero la siento re generica","The commenter expresses a lack of strong enthusiasm, stating it's not 'bad' but feels generic, indicating a neutral opinion.",
Positive,Bruh this vibes when gaming🤞🤞🤞😊😊😊,The use of emojis like '🤞' and '😊' clearly indicates a positive feeling and enjoyment of the music video.,
Positive,1:48 is the vibe we are going for,The comment expresses a positive affirmation of the video's atmosphere and desired feeling.,
Negative,the lyrics feel really random and out of place ngl,The use of 'ngl' (not gonna lie) coupled with the criticism of the lyrics' randomness suggests a negative opinion.,
Positive,I love this. I remember the words from heart. The lyrics ls so true❤.,"The commenter expresses clear affection for the music video and its lyrics, indicating a positive sentiment.",
Negative,The mouth is so annoying 😂😂,"The use of ' 😂😂' (laughing emojis) typically indicates amusement, but in this context, it's likely sarcastic criticism of the artist's mouth movements.",
Negative,The vibe is just amazing but the video makes me uncomfortable 😣,"Despite positive feelings about the 'vibe,' the comment expresses discomfort, indicating a predominantly negative sentiment.",
Positive,Can i make a song lyrics video for u?,"The comment expresses a willingness to collaborate, indicating a positive sentiment towards the video and creator.",
Negative,The teeth are annoying me like omg😊,The use of 'annoying' and 'omg' expresses clear frustration and discomfort.,
Positive,"Has anybody attempted to read lips? It's obviously not the song lyrics (or if it is, it's badly out of sync). Maybe it's a message allowing for world peace ... or a brief explanation of a working quantum gravity theory ... XD","The comment expresses playful speculation and amusement, indicating a positive reaction to the video's unusual nature.",
Positive,GOD BLESS YOU ALL 🌍🍀🍀🍀🌞👍👏👏👏👏👏👏👏👏👏🥃✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️✈️⭐⭐⭐⭐⭐⭐⭐✈️✈️✈️✈️✈️🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁🎁COOOOOOOOL🎁🎁🎁🎁🎁THANK YOU SO MUCH FOR THE BIG BOYZ/GIRLZ VIBES 🎁🎁😊,The extensive use of positive emojis and phrases like 'GOD BLESS YOU ALL' and 'COOOOOOOOL' indicates a highly favorable sentiment.,
Positive,"I like this song, but I don't understand the lyrics BTW this is my mother's account","The commenter expresses a positive sentiment ('I like this song') despite a minor, irrelevant comment about the account.",
Negative,You’re right the mouth is so disturbing every time I look at it just gives me the ickiest vibe,"The comment expresses a feeling of disgust and aversion, indicating a negative sentiment.",
Positive,uma vibe manu gavassi,"The comment expresses a positive feeling with the phrase 'uma vibe', suggesting a good or enjoyable atmosphere.",
Positive,My fav part was 1:46 edit:she is not singing the lyrics😊❤,The use of emojis (😊❤) and the statement 'My fav part' indicate a positive reaction to the video's editing and content.,
Negative,This song is really annoying,The word 'annoying' expresses a clear dislike and negative feeling towards the song.,
Negative,The mouth is annoying and weird😭,The use of 'annoying' and the emoji clearly express a negative feeling about the video's visuals.,
Negative,she needs a breathing and vocal trainer. weird how her dad can buy her a career when shes a mediocre singer and songwriter,"The comment expresses criticism of the singer's talent and abilities, using terms like 'mediocre' and suggesting a need for training.",
Negative,The lyrics are mature but the instrumental is giving 2014 Disney channel,The comment expresses a negative opinion by comparing the instrumental to a style generally considered outdated and less sophisticated.,
Positive,I'm so sorry but this is the best song in the entire universe❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,"The user expresses enthusiastic approval and uses multiple heart emojis, indicating a highly positive sentiment.",
Positive,I love the vibe of this song,The commenter explicitly expresses enjoyment and appreciation for the song's atmosphere.,
Positive,She brought back the initial 2000’s country type and her stage performance feels so nostalgic >>>>🎉,"The commenter expresses a positive feeling about the music video's style and performance, using enthusiastic emojis.",
Positive,"The song's remind me of 2014-15's pop song, like lorde's vibe","The commenter expresses a positive association with the song, comparing it favorably to a well-regarded artist.",
Negative,This is giving Selena Gomez fetish music video vibes.,"The comment expresses a critical and potentially uncomfortable association, indicating a negative reaction to the video's content.",
Negative,Why doesnt she have a good vid? The lips dont make sense and they dont match the lyrics😢,"The comment expresses disappointment and frustration with the music video's visuals, indicated by the use of 'doesn't have a good vid' and the sad emoji.",
Positive,"Até meses atrás nunca tinha ela fisicamente, só ouvia essa musica na rádio, e quando a ouvir pela primeira vez  that's so true, me apaixonei e ficava me perguntando ""quem é essa garota?""  Que musica linda, que voz linda, doce e delicada, sem contar que tem uma vibe muito boa, gostei e muito...é tipo aquela que não sai da cabeça, a chamada musica chiclete...Gracie tem muito talento e canta muito, voa garota.","The commenter expresses strong positive feelings about the music, describing it as beautiful and highlighting the artist’s talent and engaging qualities.",
Negative,Why is the mouth not in syncing with the lyrics?,"The comment expresses a critical observation about the video's production quality, indicating dissatisfaction.",
Positive,I LOVE THIS SONG! I HEARD IT FROM MY SISTERS FRIEND AND I LOVED IT!!! and its perfect if i learn all the lyrics i could sing itt!!,"The commenter expresses enthusiastic love and excitement about the song, clearly indicating a positive sentiment.",
