classificacao,comentario,justificativa,sentimento_manual
Positive,Cualquier canción que tenga el beat de la vieja escuela está condenada a ser un éxito 🎉🎉🎉,The use of celebratory emojis and the statement about a song's guaranteed success indicate a positive sentiment.,
Positive,"The way this artist created the MV is truly impressive, beating all my predictions 😍👍",The use of emojis (😍👍) and the enthusiastic statement about the music video’s creation clearly indicate a positive sentiment.,
Positive,Mooor tamto hemos esperado para esto ests colab es legendaria los dos reggaetoneros mas grandes del momento junto con rauw ahora pongamosla en primer lugar mundial escuchenla y compartenla tanto la hemos pedido esto es una obra de arte hermosa feid ft bsd buny por fin q hptaaa mor aparte esta muy buena esto ya rompio va a der hit la cancion del año minimo cien millones en un mes de vistas mor no le temas a la oscuridad q nadie sabe lo q va a pasar mañana🔥💚💚💚💚☝️😩😩😩,"The comment expresses overwhelming excitement and praise for the music video, repeatedly using positive terms and phrases like 'legendaria' and 'obra de arte'.",
Positive,"That beat is fuckin increíble, dios mio!",The exclamation points and positive adjectives ('increíble') clearly indicate strong enthusiastic approval.,
Positive,Con ese beat no importa la basura que dicen en la letra y menos la basura de voces autotune qué usan siempre. Tremenda pista!,"The commenter expresses strong enthusiasm for the beat, using positive language like 'Tremenda pista!'",
Positive,"Sigue siendo el mejor reggaeton y la mejor colaboración del mundo, todos quisimos por años que Bad Bunny y Feid colaboraran, ahora nos hace falta un álbum juntos, de puro perreo intenso como este, el beat es oscuro, increíble, un álbum con beats parecidos de ellos dos sería algo histórico. Generaciones lo recordarían!","The comment expresses enthusiastic admiration and desire for more music from the artists, indicating a highly positive reaction.",
Positive,The beats the beat🐰,The enthusiastic use of 'the beats' and the cute emoji suggest a positive reaction to the music video.,
Positive,Medio beat loco !! Debieron alargar mas el final esta brutal el tema k.l.o,"The commenter expresses enthusiastic praise for the music video, using words like 'loco', 'brutal', and 'alargar' indicating a positive experience.",
Positive,Le metió muy sabrooooo a ese beat,"The comment expresses a positive feeling about the beat, using the word 'sabrooooo' which indicates enjoyment.",
Positive,"el unico track que me gusto del album, no es malo igual, pero soy mas fan del bad bunny reggeatonero","The commenter expresses a positive preference for one song while acknowledging it's not bad, indicating a generally favorable opinion.",
Neutral,"Se nota, que la voz de feid, no tiene tanto autone, se nota la diferencia , entre las 2 voces con bunni",The comment observes technical aspects of the vocals without expressing a clear positive or negative emotional reaction.,
Negative,jesus christ what happened to real reggaeton..this is SHIT! a high pitched gay voice on a autotune with a pop melody and beat on the background.. my god ..rip reggaeton 2010,"The comment expresses strong disapproval and criticism of the music video's style and sound, using derogatory language.",
Positive,Nossa que vibe,'Nossa que vibe' expresses a positive feeling and appreciation for the music video's atmosphere.,
Positive,Yo tenía que romper el se beat 🔥,The use of '🔥' (fire emoji) indicates enthusiastic approval of the beat.,
Positive,Boa Bad Bunny. Gostei da vibe,The comment expresses enjoyment ('Gostei') and a positive assessment of the video's atmosphere ('vibe').,
Positive,Pensé que el Ferxxo se montaría en un beat de trap JAJSKAK 🥲,"The user expresses a hopeful and excited expectation, indicated by the emoji and enthusiastic phrasing.",
Positive,Quien produce?? Está zarpado el beat,"The commenter uses 'zarpado' (dynamic, energetic) to describe the beat, indicating a positive impression.",
Negative,"Literally every Spanish song has this same beat and sounds exactly like this, it's so unoriginal",The comment expresses criticism of the music video's originality and perceived similarity to other songs.,
Negative,El mundo se volvió loco. ¿Qué vendrá mañana? ¿unos eructos y pedos arreglados con autotune?,"The comment expresses a sarcastic and critical opinion, implying the music is low quality and poorly produced.",
Positive,"Esta canción debió empezarla Rick Ross , por la primera voz y por el beat , es un beat pesao para una voz tan sensilla",The commenter expresses a positive opinion about the song's beat and how it complements the vocalist's voice.,
Negative,"Que malos temad que estan sacando ultimamente, un regueton tan generico ya, falta el bad bunny de antes","The commenter expresses dissatisfaction with the recent music releases, describing them as generic and lacking the previous quality.",
Positive,Soy yo o en El Momento 1:15 me Suena El Beat de Que Malo 😮 del team de YHLQMDLG,"The commenter expresses excitement and appreciation for the beat, indicated by the emoji and enthusiastic observation.",
Positive,i beat walls,"The comment expresses a feeling of accomplishment and overcoming obstacles, suggesting a positive sentiment.",
Positive,Tempo NFT 2 🔥,The use of '🔥' (fire emoji) indicates strong enthusiasm and approval of the music video.,
Positive,dónde se mete Feid rompe el Beat 🔥🔥🔥🔥,The use of fire emojis and enthusiastic language indicates strong positive excitement about the music video.,
Positive,O beat 🎉,The use of the celebratory emoji '🎉' indicates enthusiastic approval of the music video's beat.,
Positive,"University of Georgia water baptisms amazing grace share unity repentance matthew 18 verse 18-20, psalm 81 - 7-14",The comment expresses excitement and appreciation for the music video's themes and content related to faith and unity.,
Positive,I'm here from 2k lmao the beat and song is 🔥🔥🔥🔥 i love the beat plz tell me more songs with this kind of beats plz,The user expresses enthusiastic approval with multiple fire emojis and a request for more music with a similar beat.,
Negative,Nunca escuché a este famoso reguetonero .Es la 1ra vez y es una verdadera miegda de letra solo se salva el bajo hecho x unaa computadora este tipo no es cantante es un embaucador!!,"The comment expresses strong disapproval and insults the artist's talent and lyrics, indicating a negative sentiment.",
Negative,muy corta la cancion al ferxxo le falto beat,"The comment expresses criticism about the song's length and lack of a beat, indicating a negative sentiment.",
