comment,user_name,date,likes,compound,sentiment
80s synth pop. This was high school for me. She captures that era in which I think was the best in music history. 80-95 was sensational with sounds from all over the world,@heyjoejp,2025-02-04T11:21:37Z,1460,0.6369,Positive
"This girl’s got it all. Vocals, drama, smarts and beauty.  So creative and innovative. Very 80s energy and spunk but with 2025 content. Love her!",@annlibbey3351,2025-07-04T13:06:22Z,265,0.9375,Positive
Alternate interpretation of the lyrics: My five year old son thinks that Chappell is singing about her love of takeout pizza.  🍕🍕🍕  I think he's on to something.,@daveross9842,2025-01-15T01:07:28Z,193,0.6369,Positive
"This song is pure joy – it's impossible not to smile and dance along, no matter who you are or what you usually listen to! She's creating a whole universe of unapologetic fun, and I'm so here for it. Seriously addictive, thanks for the bop Chappell!",@nehabeall,2025-04-12T03:16:16Z,146,0.872,Positive
2:47 I love the way she fluctuates her notes at the end. Both times!,@InnocenceLost.,2025-03-29T01:12:47Z,63,0.6696,Positive
As a 58 year old it's so nice to hear a new catchy pop song where I can actually understand the words!,@brmnyc,2024-12-11T06:01:33Z,38,0.6005,Positive
"The energy in this video is contagious! Chappell Roan is bringing back the joy and unapologetic fun that pop music desperately needs. Between the killer dance moves and the infectious beat, this song is going straight to my summer playlist.",@aibhilinchaves,2025-04-10T01:48:49Z,20,0.2714,Positive
"Even as a metalhead, I can't help but like this because of how catchy it is.",@slovak4life1991,2024-12-01T18:36:27Z,20,-0.5096,Negative
As a bisexual ive been so afraid to tell several people but ur music and speech just called out to me loudly i love ur vibe 😍❤,@brianahardin6012,2025-02-27T03:22:28Z,9,0.9559,Positive
Cindy Lauper vibes,@meimoon8295,2025-03-14T15:29:45Z,9,0.0,Neutral
"I love how every costume change makes her look like a completely different person in all of her videos, and she always looks amazing! Love the fun vibe she brings to everything, and getting her grandparents involved is wonderful and so different to other artists ❤️ thanks for brightening my day with this tune!",@bryony5652,2025-06-08T18:16:31Z,8,0.9829,Positive
This has 80s vibes,@manuelramirez-p3f,2025-04-04T18:45:14Z,8,0.0,Neutral
"Chappell Roan is bringing so much joy and unabashed fun back into pop music, and it's incredibly refreshing to see an artist truly thriving in their own unique space. The 80s vibes are strong, but the genuine talent and charisma make it totally her own.",@hodge-l5j,2025-04-07T21:38:54Z,7,0.8883,Positive
"This Song is VERY Catchy, I like Chappell's Style, She's freaking Awesome!!!",@CANDLE-i1c,2024-11-07T00:05:35Z,6,0.7649,Positive
This has such Hey Mickey! vibes.,@KennyTriton,2025-07-19T17:16:49Z,5,0.0,Neutral
"As an accursed centuries old bog-witch, this is some catchy music",@mlemmlem9690,2025-01-15T03:11:17Z,5,0.0,Neutral
"This song confused me emotionally when I first heard it. I didn't know whether I loved it, hated it, was annoyed by it, or drawn into it. It tripped me out, so I decided to love it",@yourdisservice,2024-11-14T01:36:39Z,5,-0.0,Neutral
Reminds me of 80’s vibe….dancey and bouncy..fun,@piratessalyx7871,2025-02-03T03:33:11Z,4,0.0,Neutral
"I was at a Kansas City Comets game (indoor arena soccer) this past Friday night, and in the intermission between Q1 and Q2, a local dance troupe danced to this song - tweens and early teens. I has just gone to get nachos and a beer, and about 30 seconds later, I hear the FIRST of SEVERAL GROWN ASS MEN coming to the councourse to do the same, singing this song at the top of their lungs! Some even did the dance! I had no idea until I watched this video and saw the giant fork (which is in Springfield, MO - I have posed with it!) , that she was from MO! I LOVE her and how fun and catchy this song is. And I LOVED her acceptance speech at the MTV Music awards!  Keep it going, kiddo!",@katchmarik7393,2025-01-15T00:33:12Z,4,0.9469,Positive
This song is annoying! This era is so sex driven and perverted,@arcmov24,2025-03-09T17:07:41Z,4,-0.7574,Negative
