classificacao,comentario,justificativa
Positive,Let’s be honest. This vibe never gets boring ❤,The use of the heart emoji and the phrase 'never gets boring' indicates a positive feeling towards the music video.
Positive,"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨",The comment expresses enthusiastic enjoyment and excitement about the music video.
Positive,"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.",The commenter expresses enthusiastic excitement and positive opinions about the music video and its impact.
Positive,I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,The commenter expresses enthusiastic enjoyment and admiration for the video and song.
Positive,I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,The commenter expresses strong positive feelings and enthusiasm for the music video and song.
Neutral,1:18 chorus,"This comment simply references a specific point in the music video, lacking any expressed emotion or opinion."
Positive,"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥",The use of the heart emoji and the statement that the song is 'still catchy' indicate a positive sentiment.
Positive,"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥","The commenter expresses fondness for the song and uses enthusiastic emojis, indicating a positive sentiment."
Positive,Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,The comment expresses enthusiastic enjoyment and a positive association with the song (
Positive,The vibe of this song is lethal. Love it!,The use of 'lethal' combined with 'Love it!' clearly indicates a positive sentiment towards the music video.
Positive,"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.","The comment expresses enthusiastic excitement and praise for the video and artist, indicating a positive sentiment."
Positive,"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘",The commenter expresses strong positive emotions – love and excitement – towards Sabrina Carpenter's performance and music.
Positive,"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖","The commenter expresses enthusiastic enjoyment and association with the song’s “vibes,” indicating a positive sentiment."
Positive,"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕","The commenter expresses a fondness for the music video and its positive impact, using emojis to convey enthusiasm."
Negative,Scott Cramer and his video about the wrong lyrics brought me here,"The comment expresses frustration and annoyance with the video's content, indicated by 'brought me here' suggesting a negative experience."
Positive,The quiet house put this song so nice vibes,"The commenter expresses a positive feeling about the song and its effect, describing it as creating 'nice vibes'."
