classificacao,comentario,justificativa
Positive,"The baby wasn't kicking, it was beatboxing🍼🎤",Expresses amusement and appreciation for the unexpected musical element.
Negative,"the idol vibes, that's not a compliment",Expresses disapproval of a perceived imitation of a previous artist's style.
Negative,"Cara, não é arte, é desespero, não é contemporâneo, é algo que beira a atrocidade...",Expresses strong disapproval and condemnation of the music as horrifying and lacking artistic merit.
Neutral,Director to the Weeknd: whats your worst nightmare?,A direct question with no explicit sentiment expressed.
Positive,"The pregnant woman symbolizes creation, transformation, and the emotional weight The Weeknd carries. She represents his struggle for rebirth or new beginnings, reflecting his inner conflict with fame and the consequences of his past. The surreal and disorienting imagery adds to the idea that while there’s potential for change, it’s unclear whether it’s positive or negative.",Highlights the symbolic depth and potential for positive change within the music video.
Negative,What on earth did I just witness?! How could anyone possibly believe this video aligns with the song’s lyrics or its concept? What the actual FUCK  has happened to creativity and artistry in today’s music production?,Expresses extreme disbelief and condemnation of the video's artistic merit.
Positive,"Song is fire, video clip is making my inners reverse",Expresses enthusiastic enjoyment of the song.
Positive,"Love the video! Out of the box...out of the ultra boring and repetitive things out there. Something impactful, something to keep us talking about it",Expresses strong enthusiasm and appreciation for the video's originality.
Negative,One of the worst music video I've ever seen,Expresses strong dissatisfaction with the music video.
Positive,ANITTA IS VERY POWERFUL,"Expresses admiration for the artist, Anitta."
Neutral,Hat Ähnlichkeit mit der verstörenden Orbit Kaugummi-Werbung 😅 aber Musik und Melody ist geil,Expresses a vague similarity and positive opinion about the music.
Negative,You guys overseas are like this because of the music video; imagine if you knew the translation!😂,Expresses frustration and criticism towards an international audience's lack of understanding.
Negative,Why the fuck this video giving darkweb vibes,Expresses strong disgust and a sense of unease associated with a dark and unsettling atmosphere.
Positive,Me listening the entire  music for that single goosbump tone ❤,Expresses enthusiastic enjoyment and positive feelings about the song.
Positive,"The baby wasn't kicking, it was beatboxing🍼🎤",Expresses amusement and appreciation for the unexpected musical element.
Positive,This Brazilian funk beat is insane 🔥❤️‍🔥🎧,Expresses strong enthusiasm and excitement using emojis.
