classificacao,comentario,justificativa
Positive,Sounds so nostalgic to hear a beloved voice you've not heard from for so long,"The comment expresses a fond and appreciative feeling towards the artist's voice, indicating a positive sentiment."
Negative,"this just gives the "" right person, wrong time"" vibee","The comment expresses disappointment and a feeling of missed opportunity, indicating a negative sentiment."
Positive,This is the type of song you blast on the speakers while driving down a desserted highway. No thoughts just vibes. So beautiful,"The commenter expresses strong positive feelings using phrases like 'beautiful' and describes an enjoyable, uplifting experience."
Positive,"🤍 true therapy. The whole album is a masterpiece. So emotional, so true, deep, heartbreaking, soul healing. Thank you, eternal sunshine, Ariana!","The commenter expresses overwhelmingly positive feelings about the music video and album, using terms like 'masterpiece,' 'soul healing,' and 'eternal sunshine.'"
Positive,"It's so NOSTALGIC, I cannot explain. It's placing me somewhere magical",The commenter expresses strong positive feelings through words like 'nostalgic' and 'magical' indicating a pleasant experience.
Negative,This is giving me one last time vibes. I am crying,The comment expresses a feeling of sadness and emotional distress ('crying') associated with the music video's impact.
Positive,"ARIANA GRANDE NEVER DISAPPOINTS US BY RELEASING GOOD MUSIC. Eternal Sunshine is really her BEST personally album she has ever released. I’m so very happy & grateful that she’s sharing her story with us ! I’m so very happy & glad she’s finally showing us a whole new different side of her too. She really did not fucking come to play this year ! I just finished listening to this album with different songs in it & all I have to say is her harmonies, her vocals, her voice, the production is absolutely unmatched ! ari really ATE & left NO crumbs with this beautiful & special & healing body of work / masterpiece. Her whole discography is the reason why i’m alive & this whole new album is absolutely so beautiful, so well done  , so powerful, so emotional, so special, so deep, so heartbreaking, so raw & so authentic. i’m so so so so incredibly proud & impressive with Ariana’s ability, her versatility, her art & her visuals. These songs / These lyrics really made me cry. This woman is definitely the MOST strongest & bravest woman alive. I love you so very much Ariana. This album is really going to change my entire life forever. ♾️☀️❤️‍🩹🥹😭",The comment expresses overwhelmingly positive emotions and admiration for Ariana Grande's album and artistic talent.
Positive,I love all the beats on this album they’re so different but all beautiful. I can feel ari fall in love with music again on this album,The commenter expresses strong positive feelings about the album's beats and their ability to evoke a feeling of love for music.
Positive,The breathy coos / whisper like vocals in the background throughout the song  are so beautiful. She's the queen of vocal layering/stacking. They give such a beautiful feel to the song.,The commenter expresses overwhelmingly positive feelings about the vocals and their impact on the song's atmosphere.
Positive,"This is one of the most beautifully melancholic songs I have ever heard. After experiencing this period of post-breakup uncertainty where you feel like you can wait on the person who hurt you to change but deep down knowing that you’re going to have to rely on yourself to find closure and peace, this song holds such a special place in my heart. I think it’s my new favorite song by her 💜","The commenter expresses deep admiration and affection for the song, describing it as beautiful and holding a 'special place in my heart'."
