classificacao,comentario,justificativa
Positive,80s synth pop. This was high school for me. She captures that era in which I think was the best in music history. 80-95 was sensational with sounds from all over the world,The commenter expresses nostalgic fondness and admiration for the music's era and the artist's ability to evoke it.
Positive,"This girl’s got it all. Vocals, drama, smarts and beauty.  So creative and innovative. Very 80s energy and spunk but with 2025 content. Love her!",The commenter expresses enthusiastic appreciation for the artist's talent and style using words like 'love' and highlighting positive attributes.
Positive,Alternate interpretation of the lyrics: My five year old son thinks that Chappell is singing about her love of takeout pizza.  🍕🍕🍕  I think he's on to something.,"The commenter expresses amusement and agreement with a playful interpretation of the lyrics, indicating a positive reaction to the video and its humor."
Positive,"This song is pure joy – it's impossible not to smile and dance along, no matter who you are or what you usually listen to! She's creating a whole universe of unapologetic fun, and I'm so here for it. Seriously addictive, thanks for the bop Chappell!","The comment expresses enthusiastic enjoyment and admiration for the music video and artist, using words like 'joy,' 'smile,' and 'addictive' to indicate a positive sentiment."
Positive,2:47 I love the way she fluctuates her notes at the end. Both times!,The commenter expresses a clear positive emotion ('I love') regarding a specific musical element.
Positive,As a 58 year old it's so nice to hear a new catchy pop song where I can actually understand the words!,The commenter expresses enjoyment and appreciation for the song's clarity and catchiness.
Positive,"The energy in this video is contagious! Chappell Roan is bringing back the joy and unapologetic fun that pop music desperately needs. Between the killer dance moves and the infectious beat, this song is going straight to my summer playlist.",The commenter expresses enthusiastic excitement and positive attributes about the video and song.
Positive,"Even as a metalhead, I can't help but like this because of how catchy it is.",The commenter expresses enjoyment and a positive reaction to the music video despite their usual preference for metal music.
Positive,As a bisexual ive been so afraid to tell several people but ur music and speech just called out to me loudly i love ur vibe 😍❤,"The commenter expresses strong positive feelings and adoration for the artist and their music, using emojis to emphasize their delight."
Positive,Cindy Lauper vibes,The comment expresses a positive association by referencing the musical style of Cindy Lauper.
Positive,"I love how every costume change makes her look like a completely different person in all of her videos, and she always looks amazing! Love the fun vibe she brings to everything, and getting her grandparents involved is wonderful and so different to other artists ❤️ thanks for brightening my day with this tune!","The comment expresses enthusiastic appreciation for the artist's style, visuals, and overall positive impact, demonstrating a clear positive sentiment."
Positive,This has 80s vibes,"The comment expresses a positive opinion, indicating enjoyment of the music video's stylistic resemblance to the 80s."
Positive,"Chappell Roan is bringing so much joy and unabashed fun back into pop music, and it's incredibly refreshing to see an artist truly thriving in their own unique space. The 80s vibes are strong, but the genuine talent and charisma make it totally her own.","The comment expresses enthusiastic admiration for the artist and her music, highlighting joy and genuine talent."
Positive,"This Song is VERY Catchy, I like Chappell's Style, She's freaking Awesome!!!",The comment expresses strong positive feelings about the song and the artist's style.
Positive,This has such Hey Mickey! vibes.,The comment expresses a positive comparison to the song 'Hey Mickey!' suggesting enjoyment.
Positive,"As an accursed centuries old bog-witch, this is some catchy music","The commenter uses positive language ('catchy music') and a descriptive, slightly whimsical tone, indicating enjoyment."
Positive,"This song confused me emotionally when I first heard it. I didn't know whether I loved it, hated it, was annoyed by it, or drawn into it. It tripped me out, so I decided to love it","The commenter ultimately decided to 'love it,' indicating a positive emotional response despite initial confusion."
Positive,Reminds me of 80’s vibe….dancey and bouncy..fun,"The commenter expresses enjoyment and describes positive attributes like 'dancey' and 'bouncy', indicating a favorable reaction."
